0	Index      	 *	Score 	Summary	Detail	
1	24126 51132	 * 	196.04	DCR|5VULN|2DMG|1CDMG	1279aVULN|39CGEN|4FEWX|5CDMG|6RCR|89DMG|9BPWR
45	23433 61232	   	179.79	ACR|4VULN|1AART|1CDMG|1ZMB	1589VULN|2ZMB|3ERES|4RCR|6AART|7CDMG|aDUST
46	23433 61233	   	179.79	ACR|4VULN|1AART|1CDMG|1ZMB	1589VULN|2ZMB|3ERES|4RCR|6AART|7CDMG|aLEGI
47	21226 55131	 * 	179.77	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|279TLV|3RCVC|4FEWX|5CDMG|6RCR|89DMG|9BPWR|aAART
48	24533 42132	 * 	179.55	ACR|5VULN|1CDMG|2DUR|1ZMB	1256aVULN|36DUR|4RCR|6BPWR|7ZMB|8CDMG|9CGEN
49	24533 12161	 * 	179.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	125VULN|3DUR|4RCR|6CDMG|7CGEN|8DMG|9LIT|aAART
50	25633 26231	   	179.39	ACR|3VULN|2DMG|3CDMG	19aVULN|269CDMG|3RPLT|4RCR|5DUST|7CGEN|89DMG|9BPWR
51	25633 23231	   	179.29	ACR|3VULN|2DMG|3CDMG	19aVULN|269CDMG|3RPLT|4RCR|5DUST|7ERES|89DMG|9BPWR
52	25633 23234	   	179.29	ACR|3DMG|2VULN|3CDMG	19VULN|269CDMG|3RPLT|4RCR|5DUST|7ERES|89aDMG|9BPWR
53	25633 53231	   	179.29	ACR|3VULN|2DMG|3CDMG	19aVULN|279CDMG|3RPLT|4RCR|5DUST|6TLV|89DMG|9BPWR
54	53633 43223	 * 	178.97	ACR|4VULN|3ZMB|2ASPD	1RCR|29ERES|3567VULN|469ZMB|69BPWR|89ASPD|aCGEN
55	24533 43312	   	178.92	ACR|4VULN|1AART|1CDMG|2DUR	1256VULN|36DUR|4RCR|6BPWR|7CDMG|8RMIN|9BELT|aAART
56	53633 43222	   	178.87	ACR|4VULN|3ZMB|2ASPD	1RCR|29aERES|3567VULN|469ZMB|69BPWR|89ASPD
57	52314 13341	   	178.80	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCR|2RCVC|3LIT|4LHND|58DMG|6CDMG|7ZMB|9VULN|aAART
58	52324 11121	   	178.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2RCVC|3LIT|47VULN|5DMG|6CDMG|8ZMB|9BEXP|aAART
59	52324 11131	   	178.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2RCVC|3LIT|47VULN|5DMG|6CDMG|8ZMB|9LHND|aAART
60	52326 11152	   	178.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2RCVC|3LIT|47VULN|5MLV|6CDMG|8ZMB|9DMG|aAART
61	52324 11111	   	178.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2RCVC|3LIT|47VULN|5DMG|6CDMG|8ZMB|9DUST|aAART
62	52324 11162	   	178.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2RCVC|3LIT|47VULN|5DMG|6CDMG|8ZMB|9ERES|aAART
63	21226 52132	   	178.63	DCR|3VULN|2DMG|2CDMG	19aVULN|29TLV|3RCVC|4FEWX|57CDMG|6RCR|89DMG|9BPWR
64	23634 32123	 * 	177.89	DCR|2VULN|2DMG|2ZMB|1FLTHEA|2DUR|1ASPD	18VULN|24ZMB|38DUR|5FLTHEA|6LIT|78DMG|8BPWR|9ASPD|aRCR
65	51462 31131	   	177.87	ACR|2VULN|2DMG|3CDMG|1ASPD	1RCR|249CDMG|39FEWX|5TLV|67VULN|89DMG|9BPWR|aASPD
66	52226 31132	   	177.84	ACR|3VULN|2DMG|1CDMG	1RCR|2RCVC|39TLV|49FEWX|5CDMG|67aVULN|89DMG|9BPWR
67	52226 31152	   	177.74	ACR|3VULN|2DMG|1CDMG	1RCR|2RCVC|3TLV|4FEWX|5CDMG|67aVULN|89DMG
68	23512 46232	 * 	177.63	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	156VULN|2ZMB|3LHND|46ASPD|6BPWR|7AART|8DUST|9DMG|aRCR
69	23234 32123	   	177.44	DCR|2VULN|2DMG|1FLTHEA|2DUR|1ZMB|1ASPD	18VULN|2ZMB|3RCVC|48DUR|5FLTHEA|6LIT|78DMG|8BPWR|9ASPD|aRCR
70	23433 52226	   	177.39	ACR|4VULN|1AART|2ASPD|1ZMB	1569VULN|2ZMB|379ERES|4RCR|89ASPD|9BPWR|aAART
71	21226 36131	   	177.37	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|269TLV|3RCVC|4FEWX|5CDMG|7RCR|89DMG|9BPWR|aAART
72	12663 11126	 * 	177.27	DCR|3VULN|2DMG|1AART	159ERES|2RCVC|3CGEN|479VULN|69DMG|8RCR|9BPWR|aAART
73	12416 22432	   	177.03	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1ERES|2RCVC|3AART|4ZMB|589DMG|6DUR|7VULN|aRCR
74	23433 11112	   	176.74	ACR|3VULN|1AART|2CDMG|1ZMB|1ASPD	157VULN|2ZMB|37ERES|4RCR|67CDMG|7BPWR|8ASPD|9BELT|aAART
75	23433 11142	   	176.74	ACR|3VULN|1AART|2CDMG|1ZMB|1ASPD	157VULN|2ZMB|37ERES|4RCR|67CDMG|7BPWR|8ASPD|9LIT|aAART
76	24533 12112	   	176.70	ACR|4VULN|1DMG|2CDMG|1DUR	125aVULN|3DUR|4RCR|69CDMG|7CGEN|8DMG
77	23433 53126	 * 	176.67	ACR|5VULN|1AART|1ZMB	15679VULN|2ZMB|3ERES|4RCR|8BEXP|aAART
78	24164 11122	 * 	176.46	ACR|3VULN|1AART|3ASPD|2CDMG	127VULN|3CGEN|478ASPD|5RCR|67CDMG|7BPWR|9FEWX|aAART
79	24164 11132	   	176.46	ACR|3VULN|1AART|3ASPD|2CDMG	127VULN|3CGEN|478ASPD|5RCR|67CDMG|7BPWR|9BEXP|aAART
80	24364 11122	   	176.46	ACR|3VULN|1AART|3ASPD|2CDMG	127VULN|3MLV|478ASPD|5RCR|67CDMG|7BPWR|9FEWX|aAART
81	24364 11132	   	176.46	ACR|3VULN|1AART|3ASPD|2CDMG	127VULN|3MLV|478ASPD|5RCR|67CDMG|7BPWR|9BEXP|aAART
82	31526 41221	   	176.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1TLV|2DMG|3AART|4ERES|5RCR|6ZMB|7CDMG|8aVULN|9DUR
83	51342 31161	   	176.23	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1RCR|2CDMG|34DUR|5TLV|67VULN|8DMG|9LIT|aAART
84	24533 32122	   	176.11	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	125VULN|3DUR|4RCR|6RCVC|7ZMB|89CDMG|aDMG
85	23433 62631	 * 	176.05	ACR|3VULN|1AART|1DMG|2ZMB	158VULN|29ZMB|3ERES|4RCR|6AART|7CGEN|aDMG
86	24514 13222	 * 	175.86	DCR|4VULN|1AART|1ZMB|1DUR	129aVULN|3DUR|4LWND|5AART|6RCR|7RMIN|8ZMB
87	24533 43231	   	175.78	ACR|4VULN|1DMG|1CDMG|2DUR	1256VULN|36DUR|4RCR|6BPWR|7CDMG|8RPLT|9DMG|aFEWX
88	24533 43233	   	175.78	ACR|4VULN|1DMG|1CDMG|2DUR	1256VULN|36DUR|4RCR|6BPWR|7CDMG|8RPLT|9DMG|aCGEN
89	24533 43311	   	175.78	ACR|4VULN|1DMG|1CDMG|2DUR	1256VULN|36DUR|4RCR|6BPWR|7CDMG|8RMIN|9BELT|aDMG
90	24533 12142	   	175.68	ACR|4VULN|1DMG|1CDMG|2DUR	125aVULN|39DUR|4RCR|6CDMG|7CGEN|8DMG
91	24126 52131	   	175.43	DCR|3VULN|2DMG|2CDMG	129VULN|39CGEN|4FEWX|57CDMG|6RCR|89DMG|9BPWR|aLWND
92	24533 43132	   	175.38	ACR|5VULN|1CDMG|2DUR|1ASPD	1256aVULN|36DUR|4RCR|6BPWR|7CDMG|8ASPD|9ERES
93	24126 52133	   	175.33	DCR|3VULN|2DMG|2CDMG	129VULN|39CGEN|4FEWX|57CDMG|6RCR|89DMG|9BPWR|aTLV
94	55111 33222	   	175.24	ACR|4VULN|1AART|1ZMB	1RCR|2LWND|3AART|4FEWX|579aVULN|6TLV|8ZMB
95	55122 51221	   	175.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2LWND|3AART|4DMSP|5RMIN|6DMG|7CDMG|8aVULN|9DUR
96	55151 33222	   	175.14	ACR|4VULN|1AART|1ZMB	1RCR|2LWND|3AART|4LEGI|579aVULN|6TLV|8ZMB
97	51342 31112	   	174.99	ACR|3VULN|1DMG|2CDMG|2DUR	1RCR|29CDMG|34DUR|5TLV|67aVULN|8DMG
98	24533 16132	 * 	174.96	ACR|5VULN|2CDMG|2DUR	1259aVULN|38DUR|4RCR|69CDMG|79FEWX|9BPWR
99	52324 11321	   	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2RCVC|3LIT|47VULN|5DMG|6CDMG|8ASPD|9BEXP|aAART
100	52324 11331	   	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2RCVC|3LIT|47VULN|5DMG|6CDMG|8ASPD|9LHND|aAART
101	52326 11352	   	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2RCVC|3LIT|47VULN|5MLV|6CDMG|8ASPD|9DMG|aAART
102	52324 11523	   	174.74	ACR|2VULN|2DMG|3CDMG	1RCR|2RCVC|38LIT|47VULN|58DMG|68aCDMG|8BPWR|9LWND
103	52236 31161	   	174.64	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2RCVC|3TLV|4DUR|5CDMG|67VULN|8DMG|9LIT|aAART
104	52324 11311	   	174.64	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2RCVC|3LIT|47VULN|5DMG|6CDMG|8ASPD|9DUST|aAART
105	52324 11362	   	174.64	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2RCVC|3LIT|47VULN|5DMG|6CDMG|8ASPD|9ERES|aAART
106	55111 21126	   	174.51	ACR|2DMG|1AART|1VULN|2CDMG	1RCR|2LWND|3AART|4FEWX|5VULN|6LSRREG|7aDMG|89CDMG
107	52324 12533	   	174.48	ACR|3DMG|3CDMG|1VULN	1RCR|29RCVC|38aLIT|4VULN|58aDMG|68aCDMG|7DMSP|8aBPWR
108	52324 12522	   	174.31	ACR|2DMG|1AART|1VULN|2CDMG	1RCR|2RCVC|38LIT|4VULN|58DMG|68CDMG|7DMSP|8BPWR|9LWND|aAART
109	24212 55323	   	174.00	DCR|4VULN|2DMG|1ASPD	125aVULN|3LSRHEA|4aDMG|6ASPD|7RCR|8BEXP|9aLIT|aBPWR
110	11532 22652	 * 	173.82	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1ERES|24DMG|39AART|5TLV|6DUR|7VULN|8RCR|aZMB
111	31532 52422	 * 	173.77	DCR|3DMG|2AART|1VULN|1DUR	1TLV|268DMG|39AART|4DUR|5RMIN|7VULN|aRCR
112	11532 22422	   	173.67	DCR|3DMG|2AART|1VULN|1DUR	1ERES|248DMG|39AART|5TLV|6DUR|7VULN|aRCR
113	31523 51422	   	173.67	DCR|3DMG|2AART|1VULN|1DUR	1TLV|268DMG|39AART|4ERES|5VULN|7DUR|aRCR
114	23433 11111	   	173.60	ACR|3VULN|1DMG|2CDMG|1ZMB|1ASPD	157VULN|2ZMB|37ERES|4RCR|67CDMG|7BPWR|8ASPD|9BELT|aDMG
115	23433 11235	   	173.60	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	157VULN|2ZMB|37ERES|4RCR|67CDMG|7BPWR|8RPLT|9DMG|aDUR
116	31532 52352	   	173.59	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1TLV|26DMG|3AART|4DUR|5RMIN|7aVULN|8ASPD|9RCR
117	24313 11126	   	173.57	DCR|3VULN|2DMG|1AART	129VULN|34MLV|579ERES|69DMG|8RCR|9BPWR|aAART
118	24343 11126	   	173.57	DCR|3VULN|2DMG|1AART	129VULN|3MLV|4DMSP|579ERES|69DMG|8RCR|9BPWR|aAART
119	23433 11352	   	173.50	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	157VULN|2ZMB|37ERES|4RCR|67CDMG|7BPWR|8DUST|9DMG|aDUR
120	23433 11652	   	173.50	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	157VULN|2ZMB|37ERES|4RCR|67CDMG|7BPWR|8LEGI|9DMG|aDUR
121	11532 22354	   	173.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1ERES|24DMG|3AART|5TLV|6DUR|7aVULN|8ASPD|9RCR
122	52236 31112	   	173.40	ACR|3VULN|1DMG|2CDMG|1DUR	1RCR|2RCVC|3TLV|4DUR|59CDMG|67aVULN|8DMG
123	53613 13134	   	173.36	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	1RCR|2ERES|359VULN|4ASPD|6CDMG|7MBVNT|8DUR|aAART
124	24163 41122	 * 	173.36	DCR|5VULN|1DMG|2ASPD	12679VULN|3CGEN|49ASPD|59ERES|8RCR|9BPWR|aDMG
125	23512 41125	 * 	173.32	DCR|3VULN|1DMG|1FLTHEA|2ASPD|1ZMB|1DUR	156VULN|2ZMB|3LHND|46ASPD|6BPWR|7DUR|8DMG|9FLTHEA|aRCR
126	25633 13233	   	173.25	ACR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RPLT|4RCR|5DUST|6ERES|89DMG|9BPWR|aCGEN
127	25633 13235	   	173.25	ACR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RPLT|4RCR|5DUST|6ERES|89DMG|9BPWR|aLHND
128	25633 13236	   	173.25	ACR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RPLT|4RCR|5DUST|6ERES|89DMG|9BPWR|aLIT
129	52324 11153	   	173.19	ACR|2VULN|2DMG|1CDMG|1ZMB	1RCR|2RCVC|3LIT|47VULN|59DMG|6CDMG|8ZMB|aLHND
130	51314 16121	 * 	173.15	ACR|3VULN|2DMG|2CDMG|3DUR|1MSE	1RCR|27CDMG|379DUR|4MSE|58DMG|67aVULN|7BPWR
131	25633 13232	   	173.15	ACR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RPLT|4RCR|5DUST|6aERES|89DMG|9BPWR
132	52324 11151	   	173.09	ACR|2VULN|2DMG|1CDMG|1ZMB	1RCR|2RCVC|3LIT|47VULN|59DMG|6CDMG|8ZMB|aDUST
133	24533 42121	   	173.03	ACR|4VULN|2CDMG|2DUR|1ZMB	1256VULN|36DUR|4RCR|6BPWR|7ZMB|89CDMG|aBELT
134	24533 42123	   	173.03	ACR|4VULN|2CDMG|2DUR|1ZMB	1256VULN|36DUR|4RCR|6BPWR|7ZMB|89CDMG|aCGEN
135	53613 33225	   	172.95	ACR|4VULN|1DMG|2ASPD	1RCR|2ERES|357aVULN|48ASPD|6RCVC|9DMG
136	24533 32112	   	172.93	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	125VULN|3DUR|4RCR|6RCVC|7ZMB|8CDMG|9BELT|aAART
137	53633 61211	   	172.89	ACR|3VULN|1AART|1CDMG|1ZMB	1RCR|2ERES|358VULN|4ZMB|6AART|7CDMG|9LHND|aDUST
138	53633 61213	   	172.89	ACR|3VULN|1AART|1CDMG|1ZMB	1RCR|2aERES|358VULN|4ZMB|6AART|7CDMG|9LHND
139	53633 61221	   	172.89	ACR|3VULN|1AART|1CDMG|1ZMB	1RCR|2ERES|358VULN|4ZMB|6AART|7CDMG|9FEWX|aDUST
140	53633 61223	   	172.89	ACR|3VULN|1AART|1CDMG|1ZMB	1RCR|2aERES|358VULN|4ZMB|6AART|7CDMG|9FEWX
141	11533 23451	   	172.87	DCR|3VULN|2DMG|1AART	15ERES|24DMG|3AART|6LWND|789VULN|aRCR
142	53633 61331	   	172.79	ACR|3VULN|1AART|1CDMG|1ZMB	1RCR|28aERES|359VULN|4ZMB|6AART|7CDMG
143	53633 61332	   	172.79	ACR|3VULN|1AART|1CDMG|1ZMB	1RCR|28ERES|359VULN|4ZMB|6AART|7CDMG|aDUST
144	53633 61333	   	172.79	ACR|3VULN|1AART|1CDMG|1ZMB	1RCR|28ERES|359VULN|4ZMB|6AART|7CDMG|aLEGI
145	24533 42221	   	172.74	ACR|5VULN|2DUR|1ZMB|1ASPD	12569VULN|36DUR|4RCR|6BPWR|7ZMB|8ERES|aASPD
146	55111 26232	 * 	172.69	ACR|3VULN|2AART|1ZMB	1RCR|27LWND|38AART|4FEWX|579VULN|67LSRREG|7BPWR|aZMB
147	23433 11316	   	172.60	ACR|3VULN|3CDMG|1DMG|1ZMB	157VULN|2ZMB|37ERES|4RCR|679CDMG|7BPWR|8DUST|aDMG
148	23433 11616	   	172.60	ACR|3VULN|3CDMG|1DMG|1ZMB	157VULN|2ZMB|37ERES|4RCR|679CDMG|7BPWR|8LEGI|aDMG
149	52324 42131	   	172.59	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCR|2RCVC|3LIT|4VULN|57DMG|6ERES|8ZMB|9AART|aDUR
150	52236 11111	   	172.50	ACR|2VULN|1AART|2CDMG|3DUR	1RCR|2RCVC|38TLV|478DUR|58CDMG|6AART|8BPWR|9aVULN
151	54236 11111	   	172.40	ACR|2VULN|1AART|2CDMG|3DUR	1RCR|28CGEN|3RCVC|478DUR|58CDMG|6AART|8BPWR|9aVULN
152	52236 31142	   	172.38	ACR|3VULN|1DMG|1CDMG|2DUR	1RCR|2RCVC|3TLV|49DUR|5CDMG|67aVULN|8DMG
153	53633 43231	 * 	172.38	ACR|4VULN|2ZMB|1CDMG|1ASPD	1RCR|2ERES|3567VULN|46ZMB|6BPWR|8ASPD|9MLV|aCDMG
154	21433 13452	   	172.35	ACR|3VULN|1AART|1DMG|1CDMG	158VULN|2TLV|3ERES|4RCR|6CDMG|7LIT|9DMG|aAART
155	21226 51131	   	172.32	DCR|3VULN|2DMG|1CDMG	179VULN|29TLV|3RCVC|4FEWX|5CDMG|6RCR|89DMG|9BPWR|aLWND
156	21226 51134	   	172.32	DCR|3VULN|2DMG|1CDMG	179VULN|29TLV|3RCVC|4FEWX|5CDMG|6RCR|89DMG|9BPWR|aLHND
157	21226 51136	   	172.32	DCR|3VULN|2DMG|1CDMG	179VULN|29TLV|3RCVC|4FEWX|5CDMG|6RCR|89DMG|9BPWR|aRMIN
158	41233 61234	 * 	172.27	DCR|4VULN|1AART|1CDMG|1ZMB	1FEWX|2589VULN|3ERES|4ZMB|6AART|7CDMG|aRCR
159	51135 41112	 * 	172.24	ACR|2VULN|1AART|2CDMG|2ZMB|1ASPD	1RCR|27CDMG|3ERES|47ZMB|5DMSP|67VULN|7BPWR|8ASPD|9BELT|aAART
160	21226 51133	   	172.22	DCR|3VULN|2DMG|1CDMG	179VULN|29aTLV|3RCVC|4FEWX|5CDMG|6RCR|89DMG|9BPWR
161	21226 51152	   	172.22	DCR|3VULN|2DMG|1CDMG	17aVULN|2TLV|3RCVC|4FEWX|5CDMG|6RCR|89DMG
162	23433 62431	   	172.20	ACR|3VULN|1AART|1DMG|1ZMB	15aVULN|2ZMB|3ERES|4RCR|6AART|7CGEN|8DMG|9RPLT
163	23433 62621	   	172.20	ACR|3VULN|1AART|1DMG|1ZMB	158VULN|2ZMB|3ERES|4RCR|6AART|79CGEN|aDMG
164	53236 11111	   	172.20	ACR|2VULN|1AART|2CDMG|3DUR	1RCR|28ERES|3RCVC|478DUR|58CDMG|6AART|8BPWR|9aVULN
165	24533 33632	   	172.17	ACR|5VULN|2CDMG|1DUR	1259aVULN|3DUR|4RCR|6RCVC|79CDMG|89FEWX|9BPWR
166	53633 11112	   	172.14	ACR|2VULN|1AART|2CDMG|2ZMB|1ASPD	1RCR|27ERES|35VULN|47ZMB|67CDMG|7BPWR|8ASPD|9BELT|aAART
167	53633 11142	   	172.14	ACR|2VULN|1AART|2CDMG|2ZMB|1ASPD	1RCR|27ERES|35VULN|47ZMB|67CDMG|7BPWR|8ASPD|9LIT|aAART
168	51244 32211	   	172.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCR|2CDMG|3DUST|4DUR|57DMG|6FEWX|8AART|9RMIN|aVULN
