0	Index      	 *	Score 	Summary	Detail	
1	31423 16612	 * 	280.74	ACR|DCR|3AAC|1VULN|1TLV|1MLV	1RMIN|29RCR|345AAC|6VULN|7TBNT|8MLV|aTLV
15	35132 46122	   	259.07	DCR|2VULN|2MLV|1TLV|1DMG	1RMIN|2DMG|3TLV|45MLV|6CGEN|79VULN|8RCR|aLWND
16	35132 46123	   	259.07	DCR|2VULN|2MLV|1TLV|1DMG	1RMIN|2DMG|3TLV|45MLV|6CGEN|79VULN|8RCR|aZMB
17	35132 66121	   	258.97	DCR|2VULN|2MLV|1TLV|1DMG	1RMIN|2DMG|3TLV|45MLV|6ERES|79VULN|8RCR|aBELT
18	35132 66122	   	258.97	DCR|2VULN|2MLV|1TLV|1DMG	1RMIN|2DMG|3TLV|45MLV|6ERES|79VULN|8RCR|aLWND
19	35132 66123	   	258.97	DCR|2VULN|2MLV|1TLV|1DMG	1RMIN|2DMG|3TLV|45MLV|6ERES|79VULN|8RCR|aZMB
20	41311 31162	 * 	258.87	DCR|2VULN|2MLV|1TLV|2CDMG	1aCDMG|2DUST|3aVULN|4BBNT|5ERES|6TLV|7AETHUN|8RCR|9aMLV|aBPWR
21	66111 26121	   	258.41	DCR|DCR|1VULN|1DMG|1CDMG	1FEWX|2LWND|3VULN|4AART|5DMG|69RCR|7MDPS|8CGEN|aCDMG
22	53235 11225	   	256.55	DCR|3MLV|3TLV|1VULN	1AEBURN|235TLV|458MLV|5BPWR|6LHND|7AME|9VULN|aRCR
23	11463 11335	 * 	256.24	DCR|DCR|1VULN|1MLV|1CDMG	1FRZICY|2LWND|3VULN|4MLV|5RPLT|6CDMG|7aRCR|8MDPS|9LHND
24	32112 16144	 * 	255.46	DCR|2TLV|2DMG|1VULN|1MLV|1AAC	1RMIN|2CGEN|39TLV|46DMG|5MLV|7VULN|8RCR|aAAC
25	41323 14747	   	254.39	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2DUST|3VULN|4AART|5MBVNT|6BEXP|7ZMB|8ASPD|9aRCR
26	41323 22747	   	254.39	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2DUST|3VULN|4AART|5MBVNT|6ZMB|7BEXP|8ASPD|9aRCR
27	35132 33122	 * 	253.42	DCR|3MLV|1VULN|1TLV|1DMG	1RMIN|2DMG|3TLV|45aMLV|6LWND|7ZMB|8RCR|9VULN
28	35132 46132	   	253.42	DCR|3MLV|1VULN|1TLV|1DMG	1RMIN|2DMG|3TLV|45aMLV|6CGEN|7VULN|8RCR|9LHND
29	35136 43122	   	253.42	DCR|3MLV|1VULN|1TLV|1DMG	1RMIN|2DMG|3TLV|46aMLV|5LWND|7ZMB|8RCR|9VULN
30	35132 36122	   	253.32	DCR|3MLV|1VULN|1TLV|1DMG	1RMIN|2DMG|3TLV|45aMLV|6LWND|7ERES|8RCR|9VULN
31	35132 66132	   	253.32	DCR|3MLV|1VULN|1TLV|1DMG	1RMIN|2DMG|3TLV|45aMLV|6ERES|7VULN|8RCR|9LHND
32	35133 43122	   	253.32	DCR|3MLV|1VULN|1TLV|1DMG	1RMIN|2DMG|3TLV|46aMLV|5BEXP|7ZMB|8RCR|9VULN
33	35134 43122	   	253.32	DCR|3MLV|1VULN|1TLV|1DMG	1RMIN|2DMG|3TLV|46aMLV|5DUST|7ZMB|8RCR|9VULN
34	32112 16121	   	252.47	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2CGEN|3TLV|46DMG|5MLV|79VULN|8RCR|aBELT
35	32112 16122	   	252.47	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2CGEN|3TLV|46DMG|5MLV|79VULN|8RCR|aLWND
36	32112 16123	   	252.47	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2CGEN|3TLV|46DMG|5MLV|79VULN|8RCR|aZMB
37	32151 16121	   	252.47	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2CGEN|3TLV|4MLV|56DMG|79VULN|8RCR|aBELT
38	32151 16122	   	252.47	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2CGEN|3TLV|4MLV|56DMG|79VULN|8RCR|aLWND
39	32151 16123	   	252.47	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2CGEN|3TLV|4MLV|56DMG|79VULN|8RCR|aZMB
40	35135 16121	   	252.47	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|26DMG|3TLV|4MLV|5ZMB|79VULN|8RCR|aBELT
41	35135 16122	   	252.47	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|26DMG|3TLV|4MLV|5ZMB|79VULN|8RCR|aLWND
42	35135 16123	   	252.47	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|26DMG|3TLV|4MLV|5aZMB|79VULN|8RCR
43	32112 16125	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2CGEN|3TLV|46DMG|5MLV|79VULN|8RCR|aBEXP
44	32151 16125	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2CGEN|3TLV|4MLV|56DMG|79VULN|8RCR|aBEXP
45	34112 16121	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2ERES|3TLV|46DMG|5MLV|79VULN|8RCR|aBELT
46	34112 16122	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2ERES|3TLV|46DMG|5MLV|79VULN|8RCR|aLWND
47	34112 16123	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2ERES|3TLV|46DMG|5MLV|79VULN|8RCR|aZMB
48	34151 16121	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2ERES|3TLV|4MLV|56DMG|79VULN|8RCR|aBELT
49	34151 16122	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2ERES|3TLV|4MLV|56DMG|79VULN|8RCR|aLWND
50	34151 16123	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2ERES|3TLV|4MLV|56DMG|79VULN|8RCR|aZMB
51	35131 16121	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV|1NUKE	1RMIN|26DMG|3TLV|4MLV|5NUKE|79VULN|8RCR|aBELT
52	35131 16122	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV|1NUKE	1RMIN|26DMG|3TLV|4MLV|5NUKE|79VULN|8RCR|aLWND
53	35131 16123	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV|1NUKE	1RMIN|26DMG|3TLV|4MLV|5NUKE|79VULN|8RCR|aZMB
54	34112 16125	   	252.27	DCR|2VULN|2DMG|1TLV|1MLV	1RMIN|2ERES|3TLV|46DMG|5MLV|79VULN|8RCR|aBEXP
55	35131 16125	   	252.27	DCR|2VULN|2DMG|1TLV|1MLV|1NUKE	1RMIN|26DMG|3TLV|4MLV|5NUKE|79VULN|8RCR|aBEXP
56	36212 35352	 * 	251.93	DCR|3MLV|2TLV|2ASPD	1RMIN|2aLHND|34ASPD|59aMLV|6AART|7RCR|8aTLV|aBPWR
