0	Index      	 *	Score 	Summary	Detail	
1	26132 43281	 * 	274.44	DCR|DCR|1VULN|1TLV|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9TLV|aVULN
29	26132 43254	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9VULN|aLIT
30	26132 43257	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9VULN|aZMB
31	26132 43262	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9LIT|aVULN
32	26132 43271	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9CGEN|aVULN
33	26132 43542	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|79RCR|8LIT|aVULN
34	26132 43238	   	248.14	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9TBNT|aVULN
35	26132 43253	   	248.14	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9VULN|aTBNT
36	26132 43256	   	248.14	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9VULN|aERES
37	26132 43258	   	248.14	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR|1MSE	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9VULN|aMSE
38	32142 33221	 * 	247.13	DCR|DCR|2DMG|1VULN	1SPLREG|2VULN|3BBNT|4ASPD|59DUST|6aDMG|78RCR
39	62142 33221	   	247.13	DCR|DCR|2DMG|1VULN	1MULHEA|2VULN|3BBNT|4ASPD|59DUST|6aDMG|78RCR
40	22623 23552	 * 	245.52	DCR|2VULN|3CDMG|1TLV|1DMG|1MLV|2ASPD	1AETHUN|278CDMG|3MLV|47VULN|57ASPD|6RCR|7BPWR|9DMG|aTLV
