0	Index      	 *	Score 	Summary	Detail	
1	13142 31532	 * 	255.04	DCR|DCR|2VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|5AETHUN|6aRCR|79VULN|8FEWX
21	43141 36232	   	232.44	DCR|DCR|1VULN|1MSLTOX|1DUR	1ERES|2MSLTOX|3RPLT|4VENFST|57DUST|6aRCR|8DUR|9VULN
22	42313 53412	 * 	230.81	ACR|DCR|3VULN|1DUR	1ERES|28RCR|359VULN|4FEWX|6DUST|7LWND|aDUR
23	42321 53412	   	230.81	ACR|DCR|3VULN|1DUR	14ERES|28RCR|349VULN|4BPWR|5DUR|6DUST|7LWND|aRCVC
24	42321 53411	   	230.71	ACR|DCR|3VULN|1DUR	14aERES|28RCR|349VULN|4BPWR|5DUR|6DUST|7LWND
25	42321 53413	   	230.71	ACR|DCR|3VULN|1DUR	14ERES|28RCR|349VULN|4BPWR|5DUR|6DUST|7LWND|aBBNT
26	23325 23266	 * 	230.49	DCR|2VULN|2DMG|1TLV|1MLV	136LIT|23DMG|3BPWR|4TLV|5MLV|7aVULN|8ASPD|9RCR
27	13613 33536	 * 	230.36	DCR|DCR|1TLV|1DMG|1AART	1TSLFST|2TLV|3AME|4TBNT|5AART|6DMG|7aRCR|8RAT|9ERES
28	13142 31512	   	228.84	DCR|DCR|1VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|5AETHUN|6aRCR|7VULN|89FEWX
29	13142 31552	   	228.84	DCR|DCR|1VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|5AETHUN|6aRCR|7VULN|8FEWX|9RCVC
30	13141 34632	   	228.84	DCR|DCR|1VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|5DUST|6aRCR|7DMSP|8FEWX|9VULN
31	13141 35632	   	228.84	DCR|DCR|1VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|5DUST|6aRCR|7RCVC|8FEWX|9VULN
32	13142 33632	   	228.84	DCR|DCR|1VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|5AETHUN|6aRCR|7DMSP|8FEWX|9VULN
33	13142 35632	   	228.84	DCR|DCR|1VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|5AETHUN|6aRCR|7RCVC|8FEWX|9VULN
34	13141 31152	   	228.74	DCR|DCR|1VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|58DUST|6aRCR|7VULN|9LHND
35	13142 31152	   	228.74	DCR|DCR|1VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|5AETHUN|6aRCR|7VULN|8DUST|9RCVC
36	13142 31562	   	228.74	DCR|DCR|1VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|5AETHUN|6aRCR|7VULN|8FEWX|9AEPOI
37	13141 36632	   	228.74	DCR|DCR|1VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|57DUST|6aRCR|8FEWX|9VULN
38	13142 31162	   	228.64	DCR|DCR|1VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|5AETHUN|6aRCR|7VULN|8DUST|9AEPOI
39	44263 33313	 * 	225.95	DCR|3VULN|1TLV|1DMG|1DUR	1ERES|249VULN|3TLV|5BEXP|6DMG|7FEWX|8DUR|aRCR
40	44262 32313	   	225.85	DCR|3VULN|1TLV|1DMG|1DUR	1ERES|249VULN|3TLV|5DUST|6DMG|7BEXP|8DUR|aRCR
41	44262 33313	   	225.85	DCR|3VULN|1TLV|1DMG|1DUR	1ERES|249VULN|3TLV|5DUST|6DMG|7FEWX|8DUR|aRCR
