0	Index      	 *	Score 	Summary	Detail	
1	36312 31344	 * 	280.00	ACR|DCR|3VULN|2TLV|3CDMG	1RPLT|28RCR|3MDPS|47TLV|57aVULN|679CDMG|7BPWR
23	36312 31351	   	251.82	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9LWND|aRCVC
24	36312 31352	   	251.82	ACR|DCR|2VULN|2TLV|2CDMG	1aRPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9LWND
25	36312 31353	   	251.82	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9LWND|aFEWX
26	36312 31356	   	251.82	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9LWND|aBELT
27	36312 31311	   	251.72	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9BBNT|aZMB
28	36312 31312	   	251.72	ACR|DCR|2VULN|2TLV|2CDMG	1aRPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9BBNT
29	36312 31314	   	251.72	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9BBNT|aLWND
30	36312 31315	   	251.72	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9BBNT|aRAT
31	36312 31323	   	251.72	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9AME|aRAT
32	36312 31331	   	251.72	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9TBNT|aZMB
33	36312 31332	   	251.72	ACR|DCR|2VULN|2TLV|2CDMG	1aRPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9TBNT
34	36312 31334	   	251.72	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9TBNT|aLWND
35	36312 31335	   	251.72	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9TBNT|aRAT
36	36312 31355	   	251.72	ACR|DCR|2VULN|2TLV|2CDMG|1MSE	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9LWND|aMSE
37	36312 31313	   	251.62	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9BBNT|aDUST
38	36312 31316	   	251.62	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9BBNT|aFLTHEA
39	36312 31325	   	251.62	ACR|DCR|2VULN|2TLV|2CDMG|1MSE	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9AME|aMSE
40	36312 31333	   	251.62	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9TBNT|aDUST
41	36312 31336	   	251.62	ACR|DCR|2VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9TBNT|aFLTHEA
