0	Index      	 *	Score 	Summary	Detail	
1	22641 51112	 * 	260.03	DCR|3VULN|3MLV|2TLV|3ASPD	168ASPD|238MLV|4aTLV|56aVULN|68aBPWR|78aLIT|9RCR
37	22615 25131	 * 	230.85	DCR|2VULN|3MLV|2CDMG|1MSLTOX|2ASPD	18ASPD|238MLV|4AIRBOS|57CDMG|68VULN|8BPWR|9RCR|aMSLTOX
38	33433 22313	   	230.24	DCR|DCR|1VULN|1AART|1DUR	1LHND|2LIT|3VULN|4DUR|5BOSS|6CGEN|79RCR|8AART|aFEWX
39	33433 22314	   	230.24	DCR|DCR|1VULN|1AART|1DUR	1LHND|2aLIT|3VULN|4DUR|5BOSS|6CGEN|79RCR|8AART
40	33433 22316	   	230.24	DCR|DCR|1VULN|1AART|1DUR	1LHND|2LIT|3VULN|4DUR|5BOSS|6CGEN|79RCR|8AART|aLWND
41	33433 62313	   	230.24	DCR|DCR|1VULN|1DUR|1AART	1LHND|2LIT|3VULN|4DUR|5BOSS|6RMIN|79RCR|8AART|aFEWX
42	33433 62314	   	230.24	DCR|DCR|1VULN|1DUR|1AART	1LHND|2aLIT|3VULN|4DUR|5BOSS|6RMIN|79RCR|8AART
43	33433 62315	   	230.24	DCR|DCR|1VULN|1DUR|1AART	1LHND|2LIT|3VULN|4DUR|5BOSS|6RMIN|79RCR|8AART|aBELT
44	33433 62316	   	230.24	DCR|DCR|1VULN|1DUR|1AART	1aLHND|2LIT|3VULN|4DUR|5BOSS|6RMIN|79RCR|8AART
45	33433 22311	   	230.14	DCR|DCR|1VULN|1DUR|1AART	1LHND|2LIT|3VULN|4DUR|5BOSS|6CGEN|79RCR|8AART|aERES
46	33433 22312	   	230.14	DCR|DCR|1VULN|1DUR|1AART	1LHND|2LIT|3VULN|4DUR|5BOSS|6CGEN|79RCR|8AART|aBBNT
47	33433 62311	   	230.14	DCR|DCR|1VULN|1DUR|1AART	1LHND|2LIT|3VULN|4DUR|5BOSS|6RMIN|79RCR|8AART|aERES
48	33433 62312	   	230.14	DCR|DCR|1VULN|1DUR|1AART	1LHND|2LIT|3VULN|4DUR|5BOSS|6RMIN|79RCR|8AART|aBBNT
