0	Index      	 *	Score 	Summary	Detail	
1	65241 53124	 * 	250.58	ACR|DCR|2VULN|2DUR|1MLV|2ASPD	1RCVC|2MBVNT|39RCR|4aDUR|5aVULN|6LWND|7MLV|8aASPD|aBPWR
13	36131 36363	   	234.78	DCR|DCR|2TLV|1AART|1CDMG	1CGEN|25LIT|3AART|45TLV|5BPWR|6aRCR|7CDMG|8RAT|9LHND
14	65241 27124	   	234.77	ACR|DCR|2VULN|2DUR|2ASPD	1RCVC|2MBVNT|39RCR|4aDUR|5aVULN|6DUST|7AME|8aASPD|aBPWR
15	65242 45124	 * 	234.77	ACR|DCR|1VULN|2DUR|1TLV|2ASPD	1RCVC|2MBVNT|39RCR|4aDUR|5aDUST|6TLV|7VULN|8aASPD|aBPWR
16	11225 36334	 * 	234.73	DCR|2VULN|2TLV|2MLV|1FLTARM	1aBEXP|2SNITOX|3aVULN|4FLTARM|5RCVC|68TLV|7aMLV|9RCR|aBPWR
17	13132 65125	   	232.09	DCR|DCR|1VULN|1MLV|1AART	1BEXP|2FEWX|3ZMB|4BOSS|5ERES|69RCR|7MLV|8VULN|aAART
18	43132 65122	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	1DUR|2FEWX|3ZMB|4BOSS|5ERES|69RCR|7MLV|8VULN|aLHND
19	43132 65121	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1DUR|2FEWX|3ZMB|4BOSS|5aERES|69RCR|7MLV|8VULN
20	33342 62511	   	230.66	DCR|DCR|1TLV|1DMG|1AART|1AAC	12CGEN|3AART|4RCVC|5AEPOI|68RCR|7DMG|9AAC|aTLV
21	33352 62511	   	230.56	DCR|DCR|1TLV|1DMG|1AART|1AAC	12CGEN|3AART|4AEFBLL|5AEPOI|68RCR|7DMG|9AAC|aTLV
22	43132 63125	   	230.14	DCR|DCR|1VULN|1DUR|1AART	1DUR|2FEWX|3ZMB|4BOSS|5ERES|69RCR|7CGEN|8VULN|aAART
23	65113 53321	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1RCVC|2MBVNT|34ERES|4BPWR|5AART|6aRCR|7VULN|8RAT|9DUR
24	65123 53321	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1RCVC|2MBVNT|3ERES|4AEWIND|5AART|6aRCR|7VULN|8RAT|9DUR
25	13342 66122	   	229.04	DCR|DCR|1VULN|1TLV	1BEXP|2FEWX|3LIT|4TLV|5ERES|69RCR|7ZMB|8VULN|aLHND
26	13342 66121	   	228.94	DCR|DCR|1VULN|1TLV	1BEXP|2FEWX|3LIT|4TLV|5aERES|69RCR|7ZMB|8VULN
27	13362 66321	   	228.94	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2FEWX|3LIT|4VULN|5AAC|69RCR|7AME|8TLV|aERES
28	13362 66322	   	228.94	DCR|DCR|1VULN|1TLV|1AAC|1MSE	1BEXP|2FEWX|3LIT|4VULN|5AAC|69RCR|7AME|8TLV|aMSE
29	13362 66323	   	228.94	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2FEWX|3LIT|4VULN|5AAC|69RCR|7AME|8TLV|aBASHEA
30	12623 16326	 * 	228.93	ACR|DCR|2VULN|1DMG|1DUR	1BEXP|28RCR|3LWND|46VULN|5FRZARM|7LHND|9DUR|aDMG
31	12623 26326	   	228.93	ACR|DCR|2VULN|1DMG|1DUR	1BEXP|28RCR|3LWND|47VULN|5FRZARM|6LHND|9DUR|aDMG
32	36211 12515	 * 	228.84	DCR|DCR|1VULN|2DUR	1CGEN|2LIT|38DUR|4TBNT|5MDPS|6LWND|7VULN|9aRCR
33	12621 16326	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	1BEXP|28RCR|3LWND|46VULN|5CANTOX|7LHND|9DUR|aDMG
34	12621 26326	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	1BEXP|28RCR|3LWND|47VULN|5CANTOX|6LHND|9DUR|aDMG
35	12611 16326	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	1BEXP|28RCR|3LWND|4LEGI|5BASICY|67VULN|9DUR|aDMG
36	12613 16326	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	1BEXP|28RCR|3LWND|4LEGI|5BASHEA|67VULN|9DUR|aDMG
37	65241 16224	   	228.36	ACR|DCR|2VULN|2DUR	1RCVC|2MBVNT|39RCR|4aDUR|5aVULN|6CGEN|7ASPD|8aBEXP|aBPWR
38	42343 26322	   	228.26	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|47VULN|5FRZARM|6LHND|aASPD
39	42623 16322	   	228.26	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|46VULN|5FRZARM|7LHND|aASPD
40	42623 26322	   	228.26	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|47VULN|5FRZARM|6LHND|aASPD
41	42311 16322	   	228.16	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|aASPD
42	42313 16322	   	228.16	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|aASPD
43	42316 16322	   	228.16	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5LSRREG|67VULN|aASPD
44	42341 26322	   	228.16	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|47VULN|5CANTOX|6LHND|aASPD
45	42343 14322	   	228.16	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|46VULN|5FRZARM|7LEGI|aASPD
46	42621 16322	   	228.16	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|46VULN|5CANTOX|7LHND|aASPD
47	42621 26322	   	228.16	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|47VULN|5CANTOX|6LHND|aASPD
48	42341 14322	   	228.06	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|46VULN|5CANTOX|7LEGI|aASPD
49	42611 16322	   	228.06	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|4LEGI|5BASICY|67VULN|aASPD
50	42613 16322	   	228.06	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|4LEGI|5BASHEA|67VULN|aASPD
51	66262 23133	 * 	226.56	DCR|2VULN|3DMG|1MLV|1CDMG	1RCVC|29CANTOX|3MLV|479DMG|5ZMB|6CDMG|89VULN|9BPWR|aRCR
52	42421 16133	 * 	226.27	ACR|2VULN|2FLTARM|2MLV|2DUR|1CDMG	17DUR|2RCR|3BOSS|4DMSP|57MLV|67FLTARM|7BPWR|89VULN|aCDMG
53	42421 16111	 * 	226.27	ACR|2FLTARM|1VULN|2MLV|2DUR|1TLV|1CDMG	17DUR|2RCR|3BOSS|4DMSP|57MLV|67FLTARM|7BPWR|8VULN|9TLV|aCDMG
54	13132 65123	   	225.38	DCR|DCR|1VULN|1MLV	1BEXP|2FEWX|3ZMB|4BOSS|5ERES|69RCR|7MLV|8VULN|aASPD
55	13152 65123	   	225.38	DCR|DCR|1VULN|1MLV	1BEXP|2FEWX|3ZMB|4LIT|5ERES|69RCR|7MLV|8VULN|aASPD
56	42343 26313	   	224.48	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|47VULN|5FRZARM|6LHND|9MLV|aRAT
57	42623 16313	   	224.48	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|46VULN|5FRZARM|7LHND|9MLV|aRAT
58	42623 26313	   	224.48	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|47VULN|5FRZARM|6LHND|9MLV|aRAT
59	42311 16313	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|9MLV|aRAT
60	42313 16313	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|9MLV|aRAT
61	42316 16313	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5LSRREG|67VULN|9MLV|aRAT
62	42341 26313	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|47VULN|5CANTOX|6LHND|9MLV|aRAT
63	42343 14313	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|46VULN|5FRZARM|7LEGI|9MLV|aRAT
64	42621 16313	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|46VULN|5CANTOX|7LHND|9MLV|aRAT
65	42621 26313	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|47VULN|5CANTOX|6LHND|9MLV|aRAT
66	42343 26311	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|47VULN|5FRZARM|6LHND|9MLV|aAEFBLL
67	42343 26312	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|47VULN|5FRZARM|6LHND|9MLV|aMULARM
68	42623 16311	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|46VULN|5FRZARM|7LHND|9MLV|aAEFBLL
69	42623 16312	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|46VULN|5FRZARM|7LHND|9MLV|aMULARM
70	42623 26311	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|47VULN|5FRZARM|6LHND|9MLV|aAEFBLL
71	42623 26312	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|47VULN|5FRZARM|6LHND|9MLV|aMULARM
72	33362 36353	   	224.35	DCR|DCR|1TLV|1AART|1CDMG	12CGEN|3AART|4TLV|5LIT|6aRCR|7CDMG|8RAT|9FEWX
73	33362 36363	   	224.35	DCR|DCR|1TLV|1AART|1CDMG	12CGEN|3AART|4TLV|5LIT|6aRCR|7CDMG|8RAT|9LHND
74	42311 16311	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|9MLV|aAEFBLL
75	42311 16312	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|9MLV|aMULARM
76	42311 16314	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|9MLV|aMBVNT
77	42311 16315	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|9MLV|aTBNT
78	42311 16316	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|9MLV|aDUST
79	42313 16311	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|9MLV|aAEFBLL
80	42313 16312	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|9MLV|aMULARM
81	42313 16314	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|9MLV|aMBVNT
82	42313 16315	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|9MLV|aTBNT
83	42313 16316	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|9MLV|aDUST
84	42316 16311	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5LSRREG|67VULN|9MLV|aAEFBLL
85	42316 16312	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|4LHND|5LSRREG|67VULN|9MLV|aMULHEA
86	42341 14313	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|46VULN|5CANTOX|7LEGI|9MLV|aRAT
87	42341 26311	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|47VULN|5CANTOX|6LHND|9MLV|aAEFBLL
88	42341 26312	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|47VULN|5CANTOX|6LHND|9MLV|aMULARM
89	42343 14311	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|46VULN|5FRZARM|7LEGI|9MLV|aAEFBLL
90	42343 14312	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|46VULN|5FRZARM|7LEGI|9MLV|aMULARM
91	42611 16313	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|4LEGI|5BASICY|67VULN|9MLV|aRAT
92	42613 16313	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|4LEGI|5BASHEA|67VULN|9MLV|aRAT
93	42621 16311	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|46VULN|5CANTOX|7LHND|9MLV|aAEFBLL
94	42621 16312	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|46VULN|5CANTOX|7LHND|9MLV|aMULARM
95	42621 26311	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|47VULN|5CANTOX|6LHND|9MLV|aAEFBLL
96	42621 26312	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|47VULN|5CANTOX|6LHND|9MLV|aMULARM
97	42341 14311	   	224.18	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|46VULN|5CANTOX|7LEGI|9MLV|aAEFBLL
98	42341 14312	   	224.18	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3FEWX|46VULN|5CANTOX|7LEGI|9MLV|aMULARM
99	42611 16311	   	224.18	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|4LEGI|5BASICY|67VULN|9MLV|aAEFBLL
100	42611 16312	   	224.18	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|4LEGI|5BASICY|67VULN|9MLV|aMULARM
101	42613 16311	   	224.18	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|4LEGI|5BASHEA|67VULN|9MLV|aAEFBLL
102	42613 16312	   	224.18	ACR|DCR|2VULN|1MLV|1DUR	1DUR|28RCR|3LWND|4LEGI|5BASHEA|67VULN|9MLV|aMULARM
103	33222 24321	 * 	223.75	DCR|3VULN|2DMG|2CDMG	12CGEN|356VULN|47DMG|89CDMG|aRCR
104	61322 24321	   	223.75	DCR|3VULN|2DMG|2CDMG	1RCVC|256VULN|3CGEN|47DMG|89CDMG|aRCR
105	43132 63123	   	223.43	DCR|DCR|1VULN|1DUR	1DUR|2FEWX|3ZMB|4BOSS|5ERES|69RCR|7CGEN|8VULN|aASPD
106	11463 12621	   	223.33	DCR|DCR|1VULN|1AART	1BEXP|2SNITOX|3FEWX|4AART|5LIT|6ASPD|79RCR|8MDPS|aVULN
107	11262 32166	   	222.80	DCR|DCR|1VULN|1DMG	1BEXP|2SNITOX|3VULN|4RAT|5ZMB|6DMG|7aRCR|8CGEN|9TBNT
108	63124 43222	   	222.80	DCR|DCR|1VULN|1DMG|1NUKE	13RCVC|2LWND|4DLOT|5DMG|6aRCR|7VULN|8NUKE|9CGEN
109	63224 43222	   	222.80	DCR|DCR|1VULN|1DMG|1NUKE	1RCVC|23LWND|4DLOT|5DMG|6aRCR|7VULN|8NUKE|9CGEN
110	11225 36332	   	222.24	DCR|2VULN|2TLV|1FLTARM|1MLV	1BEXP|2SNITOX|3aVULN|4FLTARM|5RCVC|68TLV|7MLV|9RCR
111	12121 33518	   	222.18	ACR|DCR|1VULN|1TLV|1DUR|1AART|1SELL	1BEXP|2aRCR|3RCVC|4DUR|5VULN|6SELL|7TLV|8MBVNT|9AART
112	65241 33418	   	222.18	ACR|DCR|1VULN|1TLV|1DUR|1AART|1SELL	1RCVC|2MBVNT|3aRCR|4DUR|5VULN|6SELL|7TLV|8LWND|9AART
113	65241 33318	   	222.08	ACR|DCR|1VULN|1TLV|1DUR|1AART|1SELL	1RCVC|2MBVNT|3aRCR|4DUR|5VULN|6SELL|7TLV|8DUST|9AART
114	12623 16324	   	221.32	ACR|DCR|2VULN|2DUR	1BEXP|28RCR|3LWND|46VULN|5FRZARM|7LHND|9aDUR
115	12623 26324	   	221.32	ACR|DCR|2VULN|2DUR	1BEXP|28RCR|3LWND|47VULN|5FRZARM|6LHND|9aDUR
116	42311 16325	   	221.22	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|aBELT
117	42313 16325	   	221.22	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|aBELT
118	12621 16324	   	221.22	ACR|DCR|2VULN|2DUR	1BEXP|28RCR|3LWND|46VULN|5CANTOX|7LHND|9aDUR
119	12621 26324	   	221.22	ACR|DCR|2VULN|2DUR	1BEXP|28RCR|3LWND|47VULN|5CANTOX|6LHND|9aDUR
120	42343 26321	   	221.22	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|47VULN|5FRZARM|6LHND|aDUST
121	42343 26323	   	221.22	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|47VULN|5FRZARM|6LHND|aAEFBLL
122	42623 16321	   	221.22	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|46VULN|5FRZARM|7LHND|aDUST
123	42623 16323	   	221.22	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|46VULN|5FRZARM|7LHND|aAEFBLL
124	42623 26321	   	221.22	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|47VULN|5FRZARM|6LHND|aDUST
125	42623 26323	   	221.22	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|47VULN|5FRZARM|6LHND|aAEFBLL
126	12611 16324	   	221.12	ACR|DCR|2VULN|2DUR	1BEXP|28RCR|3LWND|4LEGI|5BASICY|67VULN|9aDUR
127	12613 16324	   	221.12	ACR|DCR|2VULN|2DUR	1BEXP|28RCR|3LWND|4LEGI|5BASHEA|67VULN|9aDUR
128	42311 16321	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|aDUST
129	42311 16323	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|aAEFBLL
130	42311 16326	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|aMDPS
131	42313 16321	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|aDUST
132	42313 16323	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|aAEFBLL
133	42313 16326	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|aMDPS
134	42316 16321	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5LSRREG|67VULN|aDUST
135	42316 16323	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|4LHND|5LSRREG|67VULN|aAEFBLL
136	42341 26321	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|47VULN|5CANTOX|6LHND|aDUST
137	42341 26323	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|47VULN|5CANTOX|6LHND|aAEFBLL
138	42343 14321	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|46VULN|5FRZARM|7LEGI|aDUST
139	42343 14323	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|46VULN|5FRZARM|7LEGI|aAEFBLL
140	42621 16321	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|46VULN|5CANTOX|7LHND|aDUST
141	42621 16323	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|46VULN|5CANTOX|7LHND|aAEFBLL
142	42621 26321	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|47VULN|5CANTOX|6LHND|aDUST
143	42621 26323	   	221.12	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|47VULN|5CANTOX|6LHND|aAEFBLL
144	36131 31415	   	221.03	DCR|DCR|2TLV|1AART|1AAC	1CGEN|25LIT|3AART|45TLV|5BPWR|6aRCR|7TBNT|8RPLT|9AAC
145	34253 62312	 * 	221.02	ACR|DCR|2VULN|2AART	1CGEN|2SNITOX|39RCR|4aAART|58VULN|6FLTFST|7DUST
146	42341 14321	   	221.02	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|46VULN|5CANTOX|7LEGI|aDUST
147	42341 14323	   	221.02	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3FEWX|46VULN|5CANTOX|7LEGI|aAEFBLL
148	42611 16321	   	221.02	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|4LEGI|5BASICY|67VULN|aDUST
149	42611 16323	   	221.02	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|4LEGI|5BASICY|67VULN|aAEFBLL
150	42613 16321	   	221.02	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|4LEGI|5BASHEA|67VULN|aDUST
151	42613 16323	   	221.02	ACR|DCR|2VULN|2DUR	19DUR|28RCR|3LWND|4LEGI|5BASHEA|67VULN|aAEFBLL
152	33362 34222	   	220.93	DCR|DCR|2TLV|1AART	12CGEN|3AART|47TLV|5LIT|6aRCR|8RAT|9CANARM
