0	Index      	 *	Score 	Summary	Detail	
1	26122 13536	 * 	279.86	ACR|DCR|2VULN|3TLV|2MLV|1CDMG	17VULN|29RCR|3AEFRZ|4RMIN|57MLV|678TLV|7BPWR|aCDMG
42	41332 14151	   	259.19	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	12LWND|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9DUR|aASPD
43	51332 14111	   	259.19	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	12BEXP|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9DUR|aASPD
44	34135 14111	   	259.09	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1AAC|2DUST|3DMSP|4VULN|5DMG|68RCR|7MLV|9DUR|aASPD
45	65132 14111	   	259.09	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1DMG|2DUST|3DMSP|4VULN|5AAC|68RCR|7MLV|9DUR|aASPD
46	63512 12152	   	259.07	ACR|DCR|2VULN|2DMG|1TLV	13DMG|28RCR|4TLV|5ZMB|69VULN|7LHND|aDMSP
47	63512 12153	   	259.07	ACR|DCR|2VULN|2DMG|1TLV	13DMG|28RCR|4TLV|5ZMB|69VULN|7LHND|aRMIN
48	24342 14111	   	258.99	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1VULN|2AEPOI|3DMG|4DUST|5AAC|68RCR|7MLV|9DUR|aASPD
49	63512 12151	   	258.97	ACR|DCR|2VULN|2DMG|1TLV|1SELL	13DMG|28RCR|4TLV|5ZMB|69VULN|7LHND|aSELL
50	23323 24266	   	258.39	DCR|DCR|2VULN|1MLV|1DUR	1aVULN|2RPLT|3BEXP|4DUR|5LIT|67RCR|8BELT|9MLV
51	25122 36413	 * 	257.89	DCR|3VULN|3DUR|2MLV|1TLV	157VULN|27aDUR|3LWND|45MLV|57BPWR|67AEFBLL|8TLV|9RCR
52	25132 63341	   	257.39	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	178VULN|2DUR|37LWND|4MDPS|57DMG|6RCR|7BPWR|9CDMG|aTLV
53	25232 63341	   	257.39	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	178VULN|2DUR|37FEWX|4MDPS|57DMG|6RCR|7BPWR|9CDMG|aTLV
54	25332 63341	   	257.39	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	178VULN|2DUR|37BEXP|4MDPS|57DMG|6RCR|7BPWR|9CDMG|aTLV
55	25232 63352	 * 	256.19	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|29DUR|37FEWX|4MDPS|57DMG|6RCR|7BPWR|aTLV
56	25332 63352	   	256.19	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|29DUR|37BEXP|4MDPS|57DMG|6RCR|7BPWR|aTLV
57	51332 14125	 * 	256.19	DCR|DCR|2DMG|1VULN|1MLV|1AAC	12BEXP|2BPWR|3aDMG|4VULN|5AAC|68RCR|7MLV|9CGEN
58	51332 14135	   	256.09	DCR|DCR|2DMG|1VULN|1MLV|1AAC	12BEXP|2BPWR|3aDMG|4VULN|5AAC|68RCR|7MLV|9AME
59	25153 24331	   	255.44	DCR|DCR|2VULN|2DUR	19VULN|29DUR|3LWND|4RPLT|5LIT|67RCR|89LHND|9BPWR|aZMB
60	25153 24323	   	255.24	DCR|DCR|2VULN|2DUR	19VULN|2aDUR|3LWND|4RPLT|5LIT|67RCR|8LHND
61	26132 13531	   	254.20	ACR|DCR|2VULN|2TLV|1MLV	17VULN|29RCR|37AEFRZ|4CGEN|5MLV|67TLV|7BPWR|8AETHUN|aASPD
62	26432 13531	   	254.20	ACR|DCR|2VULN|2TLV|1MLV	17VULN|29RCR|37AEWIND|4CGEN|5MLV|67TLV|7BPWR|8AETHUN|aASPD
63	63512 16131	   	253.46	ACR|DCR|2DMG|1VULN|1TLV|1DUR	13DMG|28RCR|4TLV|5ZMB|6VULN|7DUR|9FEWX|aASPD
64	41332 14141	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1AAC	129LWND|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|aCDMG
65	41332 14152	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	12LWND|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9DUR|aFEWX
66	41332 14153	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	12LWND|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9DUR|aLHND
67	51332 14112	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	12BEXP|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9DUR|aFEWX
68	51332 14113	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	12BEXP|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9DUR|aLHND
69	51332 14114	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	12BEXP|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9DUR|aCGEN
70	51332 14116	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	12BEXP|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9DUR|aLWND
71	23323 24131	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1VULN|2RPLT|3BEXP|4DUR|5LIT|67RCR|8MLV|9RAT|aDMG
72	25153 24131	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1VULN|2DUR|3LWND|4RPLT|5LIT|67RCR|8MLV|9RAT|aDMG
73	25253 24131	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1VULN|2DUR|3FEWX|4RPLT|5LIT|67RCR|8MLV|9RAT|aDMG
74	25353 24131	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1VULN|2DUR|3BEXP|4RPLT|5LIT|67RCR|8MLV|9RAT|aDMG
75	34135 14112	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1AAC|2DUST|3DMSP|4VULN|5DMG|68RCR|7MLV|9DUR|aFEWX
76	34135 14113	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1AAC|2DUST|3DMSP|4VULN|5DMG|68RCR|7MLV|9DUR|aLHND
77	51332 14115	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	12BEXP|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9DUR|aAME
78	65132 14112	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1DMG|2DUST|3DMSP|4VULN|5AAC|68RCR|7MLV|9DUR|aFEWX
79	65132 14113	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1DMG|2DUST|3DMSP|4VULN|5AAC|68RCR|7MLV|9DUR|aLHND
80	24342 14112	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1VULN|2AEPOI|3DMG|4DUST|5AAC|68RCR|7MLV|9DUR|aFEWX
81	24342 14113	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1VULN|2AEPOI|3DMG|4DUST|5AAC|68RCR|7MLV|9DUR|aLHND
82	25132 63343	 * 	250.35	DCR|4VULN|2DMG|1DUR|1CDMG	178aVULN|2DUR|37LWND|4MDPS|57DMG|6RCR|7BPWR|9CDMG
83	25232 63343	   	250.35	DCR|4VULN|2DMG|1DUR|1CDMG	178aVULN|2DUR|37FEWX|4MDPS|57DMG|6RCR|7BPWR|9CDMG
84	66222 14133	 * 	249.95	DCR|DCR|2DUR|1TLV|1DMG	1DMG|2ASPD|3FEWX|45DUR|68RCR|7AME|9BBNT|aTLV
