0	Index      	 *	Score 	Summary	Detail	
1	41613 12613	 * 	242.59	DCR|DCR|2VULN|1CDMG	1MDPS|2BEXP|37VULN|4CDMG|5FEWX|6aRCR|8LHND|9AME
23	14351 32213	   	231.01	ACR|DCR|3VULN|1DUR	1DUR|27RAT|3LWND|48aVULN|56RCR|9RPLT
24	43351 32433	   	230.69	ACR|DCR|1VULN|1FLTARM|1DMG|1MLV	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8MLV|9BELT|aDMG
25	43351 32523	   	230.69	ACR|DCR|1VULN|1FLTARM|1DMG|1MLV	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8DMG|9LHND|aMLV
26	63222 23135	 * 	230.53	DCR|DCR|1VULN|2MLV	139DUST|29MLV|4RPLT|5VULN|6LHND|7aRCR|89SPLREG|9BPWR
27	35164 22112	   	229.97	DCR|3VULN|2TLV|1DUR|1AART	18AEBURN|27LWND|38TLV|468VULN|5AART|8BPWR|9RCR|aDUR
28	12513 82133	   	229.94	DCR|DCR|1VULN|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|5VULN|6aRCR|7BEXP|8FEWX|9MDPS
29	21111 53451	 * 	228.94	DCR|DCR|1VULN|1TLV|1AAC	1CGEN|2AAC|3TLV|4BELT|5VULN|6aRCR|7BLAICY|8LIT|9MDPS
30	14351 31253	 * 	228.93	ACR|DCR|2VULN|1DMG|1DUR	1DUR|2RAT|37LWND|48VULN|56RCR|9FEWX|aDMG
31	14351 32253	   	228.93	ACR|DCR|2VULN|1DMG|1DUR	1DUR|27RAT|3LWND|48VULN|56RCR|9FEWX|aDMG
32	12513 84162	 * 	228.90	DCR|3VULN|1DMG|1MLV|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|579VULN|6RCR|8DMG|aMLV
33	14351 31233	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	1DUR|2RAT|37LWND|48VULN|56RCR|9DUST|aDMG
34	14351 31243	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	1DUR|2RAT|37LWND|48VULN|56RCR|9ERES|aDMG
35	14351 32233	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	1DUR|27RAT|3LWND|48VULN|56RCR|9DUST|aDMG
36	14351 32243	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	1DUR|27RAT|3LWND|48VULN|56RCR|9ERES|aDMG
37	33215 61433	 * 	228.74	DCR|DCR|1VULN|2DUR	1AEBURN|2RPLT|3BEXP|4DUST|58DUR|6aRCR|7VULN|9MDPS
38	43351 32324	   	228.73	ACR|DCR|1VULN|1FLTARM|1DMG|1DUR	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8DUR|9LWND|aDMG
39	13253 12336	 * 	228.70	DCR|DCR|2DUR|1MSLTOX|1MLV	14DUR|2MLV|3DUST|5BOSS|6BEXP|7FEWX|8aRCR|9MSLTOX
40	13264 32336	   	228.70	DCR|DCR|2DUR|1MSLTOX|1MLV	16DUR|2MLV|3DUST|4LIT|5BEXP|7FEWX|8aRCR|9MSLTOX
41	53253 32336	   	228.70	DCR|DCR|2DUR|1MSLTOX|1MLV	1BEXP|2MLV|3DUST|46DUR|5BOSS|7FEWX|8aRCR|9MSLTOX
42	43351 32215	   	228.63	ACR|DCR|1VULN|1FLTARM|1DMG|1CDMG	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8TBNT|9CDMG|aDMG
43	43351 32231	   	228.06	ACR|DCR|2VULN|1FLTARM	1MDPS|2AEFRZ|3RAT|49VULN|56RCR|7FLTARM|8TBNT|aASPD
44	43351 32631	   	228.06	ACR|DCR|2VULN|1FLTARM	1MDPS|2AEFRZ|3RAT|49VULN|56RCR|7FLTARM|8BBNT|aASPD
45	51153 23136	   	226.10	DCR|DCR|1TLV|1MLV|1DUR	1BEXP|2FEWX|3MLV|4DUR|5BOSS|6TSLARM|7ERES|8TLV|9aRCR
46	43351 32533	   	226.09	ACR|DCR|1VULN|1FLTARM|1DMG|1NUKE	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8DMG|9BELT|aNUKE
47	21111 33452	 * 	226.05	DCR|3VULN|1TLV|1DMG|1DUR|1AAC	1CGEN|2AAC|3TLV|4BELT|567VULN|8DMG|9RCR|aDUR
48	12121 25636	   	226.00	DCR|DCR|1TLV|1MLV|1DUR	1DUR|2AEFBLL|3TLV|4BOSS|5MDPS|6TSLARM|7CGEN|8MLV|9aRCR
49	13321 25136	   	226.00	DCR|DCR|1TLV|1MLV|1DUR	1DUR|2MLV|3AEFBLL|4BOSS|5MDPS|6TSLARM|7CGEN|8TLV|9aRCR
50	53253 23136	   	226.00	DCR|DCR|1TLV|1MLV|1DUR	1BEXP|2MLV|3DUST|4DUR|5BOSS|6TSLARM|7ERES|8TLV|9aRCR
51	12143 11216	   	225.95	DCR|3VULN|1TLV|1DMG|1DUR	1DUR|2AEFBLL|3TLV|48LWND|5DMG|67aVULN|9RCR
52	35153 11216	   	225.95	DCR|3VULN|1TLV|1DMG|1DUR	1AEBURN|28LWND|3TLV|4DUR|5DMG|67aVULN|9RCR
53	13321 23136	   	225.90	DCR|DCR|1TLV|1MLV|1DUR	1DUR|2MLV|3AEFBLL|4BOSS|5MDPS|6TSLARM|7ERES|8TLV|9aRCR
54	21111 33451	 * 	224.86	DCR|3VULN|1TLV|2AAC|1DMG	1CGEN|2aAAC|3TLV|4BELT|567VULN|8DMG|9RCR
55	14351 31611	   	224.48	ACR|DCR|2VULN|1MLV|1DUR	1DUR|2RAT|37LWND|4aVULN|56RCR|8MLV|9LIT
56	14351 32611	   	224.48	ACR|DCR|2VULN|1MLV|1DUR	1DUR|27RAT|3LWND|4aVULN|56RCR|8MLV|9LIT
57	54242 13213	   	224.48	ACR|DCR|2VULN|1MLV|1CDMG	1BEXP|2RAT|3aRCR|4LIT|58VULN|6MLV|7CDMG|9RPLT
58	14351 31333	   	224.48	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|2RAT|37LWND|4VULN|56RCR|8LHND|9MLV|aTLV
59	14351 31623	   	224.48	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|2RAT|37LWND|4VULN|56RCR|8MLV|9FEWX|aTLV
60	14351 32333	   	224.48	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|27RAT|3LWND|4VULN|56RCR|8LHND|9MLV|aTLV
61	14351 32623	   	224.48	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|27RAT|3LWND|4VULN|56RCR|8MLV|9FEWX|aTLV
62	14351 33251	   	224.48	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|2RAT|3LWND|4VULN|56RCR|7ZMB|8BOSS|9MLV|aTLV
63	14351 31242	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|2RAT|37LWND|48VULN|56RCR|9ERES|aMLV
64	14351 32242	   	224.38	ACR|DCR|2VULN|1MLV|1DUR	1DUR|27RAT|3LWND|48VULN|56RCR|9ERES|aMLV
65	64242 13213	   	224.38	ACR|DCR|2VULN|1MLV|1CDMG	1DUST|2RAT|3aRCR|4LIT|58VULN|6MLV|7CDMG|9RPLT
66	54331 31236	   	224.38	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1BEXP|2RAT|3LWND|4DUR|56RCR|7LSRREG|8VULN|9MLV|aTLV
67	12513 84122	 * 	224.35	DCR|2VULN|2DMG|1MLV|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|57VULN|6RCR|89DMG|aMLV
68	64331 31236	   	224.28	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1DUST|2RAT|3LWND|4DUR|56RCR|7LSRREG|8VULN|9MLV|aTLV
69	21212 11243	   	224.25	DCR|DCR|1TLV|1DUR|1AAC|1CDMG	19CGEN|2AAC|3BBNT|4CDMG|5DUR|6aRCR|7TLV|8ZMB
70	14351 36212	   	224.23	ACR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DUR|2RAT|3LWND|4VULN|56RCR|7BEXP|8SELL|9MLV|aTLV
71	14242 13613	 * 	224.21	ACR|DCR|1VULN|2MLV|1DUR|1CDMG	1DUR|2RAT|3aRCR|4LIT|5VULN|68MLV|7CDMG|9RPLT
72	43351 32353	   	224.18	ACR|DCR|1VULN|1FLTARM|1MLV|1DUR	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8DUR|9AME|aMLV
73	13611 13612	 * 	224.10	DCR|2VULN|2MLV|2DUR|1TLV	19DUR|24MLV|3aVULN|5LWND|6TLV|7FLTHEA|8RCR
74	12134 11416	   	223.90	DCR|DCR|1TLV|1DUR|1CDMG|1SELL	1DUR|2AEFBLL|3TLV|4CDMG|5BELT|6aRCR|7LEGI|8SELL|9LIT
75	42342 34322	 * 	223.75	DCR|3VULN|3DUR|2CDMG	1MDPS|2RMIN|36aDUR|4BELT|56aVULN|6aBPWR|7aCDMG|8RCR|9BBNT
76	43351 32423	 * 	222.92	ACR|DCR|1VULN|2MLV|1FLTARM	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8aMLV|9LHND
77	21232 11263	   	222.81	DCR|DCR|2DUR|1TLV|1AAC|1SELL	1CGEN|2AAC|3BBNT|4SELL|59DUR|6aRCR|7TLV|8ZMB
78	14351 36323	   	222.52	ACR|DCR|1VULN|1TLV|1DUR|1AAC	1DUR|2RAT|3LWND|4VULN|56RCR|7BEXP|8LIT|9TLV|aAAC
79	14331 16433	 * 	222.41	DCR|2VULN|2DUR|2AART|1TLV	14DUR|2RAT|3LWND|5TLV|6aAART|78VULN|9RCR
80	12113 66532	 * 	222.24	DCR|2VULN|2TLV|2DUR|1MLV	19DUR|2AEFBLL|39TLV|4FEWX|5BOSS|6RCR|7AEWIND|89VULN|9BPWR|aMLV
81	12123 66532	   	222.24	DCR|2VULN|2TLV|2DUR|1MLV	19DUR|2AEFBLL|39TLV|4BOSS|5FEWX|6RCR|7AEWIND|89VULN|9BPWR|aMLV
82	35223 22333	 * 	221.70	DCR|DCR|2DMG|1DUR|1AAC|1SELL	1AEBURN|2LWND|3BBNT|4AAC|59DMG|6DUR|7aRCR|8SELL
83	12323 63623	 * 	221.32	ACR|DCR|2VULN|2DUR	19DUR|29AEFBLL|36LWND|4LHND|5aRCR|7RPLT|89VULN|9BPWR
84	14351 31211	   	221.32	ACR|DCR|2VULN|2DUR	1aDUR|2RAT|37LWND|48VULN|56RCR|9RPLT
85	14351 32211	   	221.32	ACR|DCR|2VULN|2DUR	1aDUR|27RAT|3LWND|48VULN|56RCR|9RPLT
86	43351 32122	   	221.22	ACR|DCR|1VULN|1FLTARM|1TLV	1MDPS|2AEFRZ|38RAT|4VULN|56RCR|7FLTARM|9TLV|aLWND
87	43351 32124	   	221.22	ACR|DCR|1VULN|1FLTARM|1TLV	1MDPS|2AEFRZ|38RAT|4VULN|56RCR|7FLTARM|9TLV|aBEXP
88	43351 32126	   	221.22	ACR|DCR|1VULN|1FLTARM|1TLV	1MDPS|2AEFRZ|38RAT|4VULN|56RCR|7FLTARM|9TLV|aDMSP
89	43351 32232	   	221.12	ACR|DCR|2VULN|1FLTARM	1MDPS|2AEFRZ|3RAT|49VULN|56RCR|7FLTARM|8TBNT|aLWND
90	43351 32235	   	221.12	ACR|DCR|2VULN|1FLTARM	1MDPS|2AEFRZ|3RAT|49VULN|56RCR|7FLTARM|8TBNT|aRCVC
91	43351 32632	   	221.12	ACR|DCR|2VULN|1FLTARM	1MDPS|2AEFRZ|3RAT|49VULN|56RCR|7FLTARM|8BBNT|aLWND
92	43351 32121	   	221.12	ACR|DCR|1VULN|1FLTARM|1TLV	1MDPS|2AEFRZ|38RAT|4VULN|56RCR|7FLTARM|9TLV|aDUST
93	43351 32123	   	221.12	ACR|DCR|1VULN|1FLTARM|1TLV	1MDPS|2AEFRZ|38RAT|4VULN|56RCR|7FLTARM|9TLV|aDLOT
94	43351 32125	   	221.12	ACR|DCR|1VULN|1FLTARM|1TLV|1SELL	1MDPS|2AEFRZ|38RAT|4VULN|56RCR|7FLTARM|9TLV|aSELL
95	43351 32222	   	221.12	ACR|DCR|1VULN|1FLTARM|1TLV	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8TBNT|9FEWX|aTLV
96	43351 32242	   	221.12	ACR|DCR|1VULN|1FLTARM|1TLV	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8TBNT|9LWND|aTLV
97	43351 32332	   	221.12	ACR|DCR|1VULN|2DUR|1FLTARM	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|89DUR|aLHND
98	43351 32333	   	221.12	ACR|DCR|1VULN|2DUR|1FLTARM	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|89DUR|aLIT
99	43351 32334	   	221.12	ACR|DCR|1VULN|2DUR|1FLTARM	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|89DUR|aBEXP
100	43351 32622	   	221.12	ACR|DCR|1VULN|1FLTARM|1TLV	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8BBNT|9FEWX|aTLV
101	43351 33143	 * 	221.12	ACR|DCR|1VULN|2DUR|1TLV	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7ZMB|89DUR|aTLV
102	43351 32233	   	221.02	ACR|DCR|2VULN|1FLTARM	1MDPS|2AEFRZ|3RAT|49VULN|56RCR|7FLTARM|8TBNT|aDLOT
103	43351 32234	   	221.02	ACR|DCR|2VULN|1FLTARM	1MDPS|2AEFRZ|3RAT|49VULN|56RCR|7FLTARM|8TBNT|aFLTHEA
104	43351 32633	   	221.02	ACR|DCR|2VULN|1FLTARM	1MDPS|2AEFRZ|3RAT|49VULN|56RCR|7FLTARM|8BBNT|aDLOT
105	43351 32331	   	221.02	ACR|DCR|1VULN|2DUR|1FLTARM	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|89DUR|aAEBURN
106	43351 32336	   	221.02	ACR|DCR|1VULN|2DUR|1FLTARM	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|89DUR|aDUST
107	12513 84138	   	220.24	DCR|3VULN|1DMG|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|57aVULN|6RCR|8DMG|9ASPD
108	45211 12222	 * 	220.13	DCR|2VULN|2FLTARM|2MLV	1MDPS|29MLV|3BBNT|4LWND|59VULN|69FLTARM|7BELT|8LEGI|9BPWR|aRCR
109	45611 12222	   	220.13	DCR|2VULN|2FLTARM|2MLV	1MDPS|29MLV|3TBNT|4LWND|59VULN|69FLTARM|7BELT|8LEGI|9BPWR|aRCR
110	41623 42232	 * 	219.54	DCR|3VULN|3DMG|1AAC	1MDPS|27BEXP|378VULN|4AAC|57aDMG|6BELT|7BPWR|9RCR
111	12513 87241	   	219.44	DCR|3VULN|1TLV|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|589VULN|6RCR|7TLV|aRAT
112	14331 13641	 * 	219.42	DCR|1VULN|2DUR|1TLV|1DMG|1MLV|1AART	14DUR|2RAT|3LWND|5TLV|6AART|7MLV|8VULN|9RCR|aDMG
113	14331 16241	   	219.42	DCR|1VULN|2DUR|1TLV|1DMG|1MLV|1AART	14DUR|2RAT|3LWND|5TLV|6AART|7VULN|8MLV|9RCR|aDMG
114	12513 87243	   	219.34	DCR|3VULN|1TLV|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|589VULN|6RCR|7TLV|aDUST
115	12513 87244	   	219.34	DCR|3VULN|1TLV|1DUR|1CDMG|1SELL	1DUR|2AEFBLL|3MBVNT|4CDMG|589VULN|6RCR|7TLV|aSELL
116	13633 84161	   	219.17	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1SELL	1DUR|2MLV|3aVULN|4SELL|5MBVNT|6DMG|7TLV|8CGEN|9RCR
117	13334 13541	 * 	219.16	DCR|1VULN|2MLV|1TLV|1DMG|1DUR|1CDMG	1DUR|27MLV|3AEFBLL|4CDMG|5BELT|6RCR|8TLV|9DMG|aVULN
118	13633 84261	   	219.07	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1SELL	1DUR|2MLV|3aVULN|4SELL|5MBVNT|6DMG|7TLV|8AME|9RCR
119	13633 84361	   	219.07	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1SELL	1DUR|2MLV|3aVULN|4SELL|5MBVNT|6DMG|7TLV|8ERES|9RCR
120	14114 11236	   	218.53	DCR|DCR|1DUR|1AART|1AAC	1DUR|25RAT|3AEFBLL|4AART|69RCR|7LEGI|8ASPD|aAAC
121	14115 11236	   	218.53	DCR|DCR|1DUR|1AART|1AAC	1DUR|2RAT|3AEFBLL|4AART|5RCVC|69RCR|7LEGI|8ASPD|aAAC
122	14351 33353	   	218.34	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1DUR|2RAT|3LWND|4VULN|56RCR|7ZMB|8FEWX|9MLV|aDMG
123	33622 23623	   	218.24	DCR|DCR|1VULN|1MLV	1AEBURN|2RPLT|3MLV|4LEGI|5VULN|6LHND|7aRCR|8ERES|9LWND
124	13623 44313	 * 	218.16	DCR|2VULN|2MLV|2DUR|1DMG	18DUR|26MLV|36VULN|4DMSP|5BOSS|6BPWR|7DMG|9ZMB|aRCR
125	12584 11417	 * 	218.14	DCR|3VULN|2DUR|1TLV	18DUR|2AEFBLL|3MBVNT|4ERES|5TLV|67aVULN|9RCR
126	13623 44323	   	218.06	DCR|2VULN|2MLV|2DUR|1DMG	18DUR|26MLV|36VULN|4DMSP|5BOSS|6BPWR|7DMG|9ERES|aRCR
127	66212 23236	 * 	217.96	DCR|2VULN|2MLV|1TLV|1DMG	1aDUST|2AME|3BBNT|4aVULN|5BOSS|6RCR|7DMG|8TLV|9aMLV|aBPWR
128	41613 12236	   	217.46	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1MDPS|2BEXP|37VULN|4CDMG|5FEWX|6RCR|8DUR|9DMG|aTLV
129	12513 87221	   	217.36	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|58VULN|6RCR|7TLV|9DMG|aRMIN
130	12513 87222	   	217.36	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|58VULN|6RCR|7TLV|9DMG|aLHND
131	12513 87213	   	217.26	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|58VULN|6RCR|7TLV|9SPLJET|aDMG
132	12513 87223	   	217.26	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|58VULN|6RCR|7TLV|9DMG|aMDPS
133	12513 87224	   	217.26	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|58VULN|6RCR|7TLV|9DMG|aDUST
134	16212 22156	   	217.24	DCR|3VULN|3DUR|1AART	179DUR|29AME|3BBNT|489VULN|5BOSS|6RCR|9BPWR|aAART
135	24511 23332	   	216.89	DCR|2VULN|1TLV|2DUR|1CDMG	17CGEN|27DUR|3ERES|4CDMG|5AETHUN|67VULN|7BPWR|8RCR|9ASPD|aTLV
136	12652 23623	   	216.39	DCR|DCR|1VULN|1DUR	1DUR|2AEFBLL|3RPLT|4CGEN|5VULN|6LHND|7aRCR|8ERES|9LWND
137	22234 16253	   	216.39	DCR|DCR|1VULN|1CDMG	12CGEN|3VULN|4CDMG|5BELT|6aRCR|7BLASTR|8MDPS|9ZMB
138	25632 24231	   	216.39	DCR|DCR|1VULN|1DUR	1CGEN|2LHND|3VULN|4BBNT|5BOSS|69RCR|7LEGI|8LIT|aDUR
139	12613 66233	   	216.29	DCR|DCR|1VULN|1DUR	1DUR|2AEFBLL|3RPLT|4DUST|5VULN|6aRCR|7FEWX|8RCVC|9MDPS
140	31125 32553	   	216.29	DCR|DCR|1VULN|1AART	1AEBURN|2AME|3VULN|4BOSS|5ERES|6AART|7aRCR|8LIT|9CGEN
141	33215 61233	   	216.29	DCR|DCR|1VULN|1DUR	1AEBURN|2RPLT|3BEXP|4DUST|5DUR|6aRCR|7VULN|8RCVC|9MDPS
142	33215 61333	   	216.29	DCR|DCR|1VULN|1DUR	1AEBURN|2RPLT|38BEXP|4DUST|5DUR|6aRCR|7VULN|9MDPS
143	12513 12342	 * 	216.27	DCR|2VULN|2DUR|1TLV|2CDMG	18DUR|2AEFBLL|3MBVNT|48CDMG|5aVULN|6TLV|78LIT|8BPWR|9RCR
144	11161 63336	   	216.25	DCR|DCR|1MSLTOX|1MLV|1DUR	1DUR|2FEWX|3MLV|47LIT|5DUST|6BEXP|8aRCR|9MSLTOX
145	13263 63336	   	216.25	DCR|DCR|1MSLTOX|1MLV|1DUR	1DUR|2MLV|3DUST|47LIT|5FEWX|6BEXP|8aRCR|9MSLTOX
146	13264 12336	   	216.25	DCR|DCR|1MSLTOX|1MLV|1DUR	1DUR|2MLV|3DUST|4LIT|5BEXP|6DMSP|7FEWX|8aRCR|9MSLTOX
147	53253 12336	   	216.25	DCR|DCR|1MSLTOX|1MLV|1DUR	1BEXP|2MLV|3DUST|4DUR|5BOSS|6DMSP|7FEWX|8aRCR|9MSLTOX
148	35164 22111	   	216.22	DCR|3VULN|2TLV|1AART	18AEBURN|27LWND|38TLV|468VULN|5AART|8BPWR|9RCR|aMDPS
149	12613 62133	   	216.19	DCR|DCR|1VULN|1DUR	1DUR|2AEFBLL|3RPLT|4DUST|5VULN|6aRCR|7AEFRZ|8FEWX|9MDPS
150	31134 16253	   	216.19	DCR|DCR|1VULN|1CDMG	1AEBURN|2AME|3VULN|4CDMG|5BELT|6aRCR|7BLASTR|8MDPS|9ZMB
151	13261 12336	   	216.15	DCR|DCR|1MSLTOX|1MLV|1DUR	1DUR|2MLV|35DUST|4LIT|6BEXP|7FEWX|8aRCR|9MSLTOX
152	13262 12336	   	216.15	DCR|DCR|1MSLTOX|1MLV|1DUR	1DUR|2MLV|3DUST|4LIT|5AEBURN|6BEXP|7FEWX|8aRCR|9MSLTOX
153	14231 32122	 * 	215.84	ACR|2VULN|2DMG|2DUR|1TLV|1MLV	19DUR|2RAT|3RCR|4RPLT|59DMG|6MLV|7CGEN|89VULN|9BPWR|aTLV
154	14351 34111	   	215.81	ACR|DCR|2VULN|1DUR	1DUR|2RAT|3LWND|4aVULN|56RCR|7ASPD|8RCVC|9LIT
155	14351 34211	   	215.81	ACR|DCR|2VULN|1DUR	1DUR|2RAT|39LWND|4aVULN|56RCR|7ASPD|8BOSS
156	14351 34123	   	215.81	ACR|DCR|1VULN|1TLV|1DUR	1DUR|2RAT|3LWND|4VULN|56RCR|7ASPD|8RCVC|9FEWX|aTLV
157	14351 34323	   	215.81	ACR|DCR|1VULN|1TLV|1DUR	1DUR|2RAT|3LWND|4VULN|56RCR|7ASPD|89FEWX|aTLV
158	14231 31122	   	215.74	ACR|2VULN|2DMG|2DUR|1TLV|1MLV	19DUR|2RAT|3RCR|4RPLT|59DMG|6MLV|7ERES|89VULN|9BPWR|aTLV
159	43351 33123	   	215.61	ACR|DCR|1VULN|1TLV|1DUR	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7ZMB|8DUR|9TLV|aASPD
160	43351 34113	   	215.61	ACR|DCR|1VULN|1TLV|1DUR	1MDPS|2AEFRZ|39RAT|4VULN|56RCR|7ASPD|8DUR|aTLV
161	43351 34121	   	215.61	ACR|DCR|1VULN|1TLV|1DUR	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7ASPD|8DUR|9TLV|aZMB
162	14235 35123	 * 	215.52	ACR|2VULN|2TLV|2DUR|1DMG|1MLV	19DUR|2RAT|3RCR|4RPLT|59TLV|6MLV|7DMG|89VULN|9BPWR|aASPD
