0	Index      	 *	Score 	Summary	Detail	
1	52331 41422	 * 	257.87	DCR|3VULN|2TLV|2MLV|1AAC|1CDMG	17TLV|2TBNT|3CDMG|4AETHUN|57MLV|679VULN|7BPWR|8RCR|aAAC
69	52331 41114	   	229.02	DCR|2VULN|2TLV|2MLV|1CDMG	17TLV|2TBNT|3CDMG|4AETHUN|57MLV|67VULN|7BPWR|8BEXP|9ASPD|aRCR
70	53322 13563	   	228.94	DCR|DCR|1VULN|1TLV|1AAC	1TLV|2RMIN|3RAT|4AAC|5DUST|6LHND|7aRCR|8LEGI|9VULN
71	11363 24123	 * 	228.83	ACR|DCR|1VULN|1FLTARM|1DMG|1CDMG	1AEBURN|2LHND|3RMIN|48RCR|5CDMG|6DMG|7FLTARM|9BEXP|aVULN
72	11363 24153	   	228.83	ACR|DCR|1VULN|1FLTARM|1DMG|1CDMG	1AEBURN|2LHND|3RMIN|48RCR|5CDMG|6DMG|7FLTARM|9LWND|aVULN
73	21363 24123	   	228.83	ACR|DCR|1VULN|1FLTARM|1DMG|1CDMG	1AEFBLL|2LHND|3RMIN|48RCR|5CDMG|6DMG|7FLTARM|9BEXP|aVULN
74	21363 24153	   	228.83	ACR|DCR|1VULN|1FLTARM|1DMG|1CDMG	1AEFBLL|2LHND|3RMIN|48RCR|5CDMG|6DMG|7FLTARM|9LWND|aVULN
75	54232 35131	   	228.74	DCR|DCR|1VULN|1TLV	1TLV|2MULARM|34AME|5LWND|6aRCR|7VULN|8DUST|9BEXP
76	11363 24133	   	228.73	ACR|DCR|1VULN|1FLTARM|1DMG|1CDMG	1AEBURN|2LHND|3RMIN|48RCR|5CDMG|6DMG|7FLTARM|9LEGI|aVULN
77	11363 24163	   	228.73	ACR|DCR|1VULN|1FLTARM|1DMG|1CDMG	1AEBURN|2LHND|3RMIN|48RCR|5CDMG|6DMG|7FLTARM|9DUST|aVULN
78	21363 24133	   	228.73	ACR|DCR|1VULN|1FLTARM|1DMG|1CDMG	1AEFBLL|2LHND|3RMIN|48RCR|5CDMG|6DMG|7FLTARM|9LEGI|aVULN
79	21363 24163	   	228.73	ACR|DCR|1VULN|1FLTARM|1DMG|1CDMG	1AEFBLL|2LHND|3RMIN|48RCR|5CDMG|6DMG|7FLTARM|9DUST|aVULN
