0	Index      	 *	Score 	Summary	Detail	
1	62331 12628	 * 	308.76	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7AEWIND|9aVULN
38	62331 12623	   	285.84	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7AEWIND|9VULN|aFLTHEA
39	62831 12623	   	285.84	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	18RCR|2MBVNT|3BLASTR|4DMG|5TLV|6CDMG|7AEWIND|9VULN|aFLTHEA
40	15364 22122	   	285.52	ACR|DCR|1TLV|1VULN|2CDMG|1AEPOI	1MLV|2LIT|38CDMG|4VULN|59RCR|6TLV|7AEPOI|aRPLT
41	15364 22123	   	285.52	ACR|DCR|1TLV|1VULN|2CDMG|1AEPOI	1MLV|2LIT|38CDMG|4VULN|59RCR|6TLV|7AEPOI|aFEWX
42	21424 23163	 * 	285.28	DCR|3VULN|2TLV|1CDMG|2ZMB	17ZMB|2AME|347VULN|5AETHUN|67TLV|7BPWR|8CDMG|9RCR|aRAT
43	62133 13464	   	285.11	ACR|DCR|2VULN|1TLV	1aRCR|2MBVNT|37CGEN|467BEXP|57VULN|7BPWR|8TLV|9DUR
44	62311 18444	 * 	285.04	ACR|DCR|3TLV|1VULN	1aRCR|2MBVNT|3BASHEA|458TLV|6AME|7ERES|9VULN
45	62811 18444	   	285.04	ACR|DCR|3TLV|1VULN	1aRCR|2MBVNT|3BLASTR|458TLV|6AME|7ERES|9VULN
46	63313 63116	   	284.96	ACR|3VULN|2TLV|1DMG|2DUR|1MSE	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8MSE|9ZMB|aDMG
47	63313 63241	   	284.26	ACR|3VULN|2TLV|2DUR|1AART	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9AART|aLIT
48	63313 63243	   	284.26	ACR|3VULN|2TLV|2DUR|1AART	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9AART|aBEXP
49	63313 63352	   	284.26	ACR|3VULN|2TLV|2DUR|1AART	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9AART|aBEXP
50	63313 63242	   	284.16	ACR|3VULN|2TLV|2DUR|1AART	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9AART|aERES
51	63313 63353	   	284.16	ACR|3VULN|2TLV|2DUR|1AART	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9AART|aBLASTR
52	61423 12361	   	283.40	ACR|DCR|1TLV|1VULN|1AEFBLL|1AART	19RCR|2RMIN|3LEGI|4FEWX|5RAT|6VULN|7TLV|8AART|aAEFBLL
53	61433 12361	   	283.30	ACR|DCR|1TLV|1VULN|1AEFBLL|1AART	19RCR|2RMIN|3LEGI|4DUST|5RAT|6VULN|7TLV|8AART|aAEFBLL
54	24423 32211	   	283.10	DCR|3VULN|1TLV|1AEPOI|2RAT|1AART|2ZMB	1aZMB|2TLV|34aVULN|5AART|6AEFRZ|7AEPOI|8RCR|9aRAT|aBPWR
55	63313 63151	   	282.72	ACR|3VULN|2TLV|2DUR|1AART|1MSE	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8MSE|9AART|aNUKE
56	14423 26213	   	281.89	ACR|2VULN|1TLV|1AEBURN|1DMG|1ASPD|1CDMG|1AART	1MLV|2TLV|35VULN|4RCR|6DMG|7CDMG|8ASPD|9AEBURN|aAART
57	63313 63263	   	281.75	ACR|3VULN|2TLV|3DUR	1RCR|2RCVC|357VULN|479DUR|67TLV|7BPWR|8CGEN|aBEXP
58	63313 63362	   	281.75	ACR|3VULN|2TLV|3DUR	1RCR|2RCVC|357VULN|47aDUR|67TLV|7BPWR|89FEWX
59	63313 63261	   	281.65	ACR|3VULN|2TLV|3DUR	1RCR|2RCVC|357VULN|479DUR|67TLV|7BPWR|8CGEN|aMDPS
60	63313 63262	   	281.65	ACR|3VULN|2TLV|3DUR|1MSE	1RCR|2RCVC|357VULN|479DUR|67TLV|7BPWR|8CGEN|aMSE
61	63313 63411	   	281.65	ACR|3VULN|2TLV|3DUR	1RCR|2RCVC|357VULN|478DUR|67TLV|7BPWR|9AETHUN|aFEWX
62	63313 63412	   	281.65	ACR|3VULN|2TLV|3DUR	1RCR|2RCVC|357VULN|478DUR|67TLV|7BPWR|9AETHUN|aTSLFST
63	63313 63421	   	281.55	ACR|3VULN|2TLV|3DUR|1MSE	1RCR|2RCVC|357VULN|478DUR|67TLV|7BPWR|9MSE|aFEWX
64	63313 63422	   	281.55	ACR|3VULN|2TLV|3DUR|1MSE	1RCR|2RCVC|357VULN|478DUR|67TLV|7BPWR|9MSE|aMULFIG
65	63313 63431	   	281.55	ACR|3VULN|2TLV|3DUR	1RCR|2RCVC|357VULN|478DUR|67TLV|7BPWR|9MDPS|aERES
66	61226 63321	   	281.21	ACR|3VULN|2TLV|2CDMG|1SELL	1RCR|2RMIN|3SELL|47CDMG|57aVULN|67TLV|7BPWR|8BELT|9RAT
67	62314 15446	   	281.16	ACR|3VULN|2TLV|1DMG	1RCR|2MBVNT|3BASHEA|49TLV|5BLAICY|6DMG|78aVULN
68	62311 68224	   	280.95	ACR|DCR|2TLV|1VULN	1aRCR|2MBVNT|3BASHEA|45TLV|6DUST|7MDPS|8VULN|9DUR
69	62311 52446	 * 	280.76	ACR|2TLV|2VULN|2DMG|1ASPD	1RCR|2MBVNT|39BASHEA|45TLV|69DMG|79VULN|8MDPS|9BPWR|aASPD
70	63313 63215	   	280.20	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9LHND|aRAT
71	63313 63235	   	280.20	ACR|3VULN|2TLV|2DUR	1RCR|29RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|aZMB
72	63313 63252	   	280.20	ACR|3VULN|2TLV|2DUR	1RCR|2aRCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9ZMB
73	63313 63253	   	280.20	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9ZMB|aBEXP
74	63313 63312	   	280.20	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9ZMB|aMLV
75	63313 63325	   	280.20	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9MLV|aRAT
76	63313 63333	   	280.20	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9RPLT|aRAT
77	63313 63612	   	280.20	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8LWND|9ZMB|aMLV
78	63313 63633	   	280.20	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8LWND|9RPLT|aRAT
79	63313 63311	   	280.10	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9ZMB|aBASARM
80	63313 63313	   	280.10	ACR|3VULN|2TLV|2DUR|1MSE	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9ZMB|aMSE
81	63313 63314	   	280.10	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9ZMB|aERES
82	63313 63611	   	280.10	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8LWND|9ZMB|aBASARM
83	63313 63613	   	280.10	ACR|3VULN|2TLV|2DUR|1MSE	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8LWND|9ZMB|aMSE
84	61232 22263	   	279.86	ACR|DCR|2VULN|1TLV|1DMG|1SELL|1MSE	17RCR|2RMIN|3SELL|4LWND|5DMG|6MSE|8TLV|9aVULN
85	24423 32263	   	279.71	DCR|3VULN|1TLV|1AEPOI|1ASPD|1AART	1ZMB|2TLV|34aVULN|5AART|6AEFRZ|7AEPOI|8RCR|9ASPD
86	62331 18621	   	279.00	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7RCVC|9VULN|aFEWX
87	62331 18624	   	279.00	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7aRCVC|9VULN
88	62331 12621	   	278.90	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7AEWIND|9VULN|aFEWX
89	62331 12624	   	278.90	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7AEWIND|9VULN|aRCVC
90	62831 12621	   	278.90	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	18RCR|2MBVNT|3BLASTR|4DMG|5TLV|6CDMG|7AEWIND|9VULN|aFEWX
91	62831 12624	   	278.90	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	18RCR|2MBVNT|3BLASTR|4DMG|5TLV|6CDMG|7AEWIND|9VULN|aRCVC
92	62331 12626	   	278.80	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7AEWIND|9VULN|aMDPS
93	62331 12627	   	278.80	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1MSE	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7AEWIND|9VULN|aMSE
