0	Index      	 *	Score 	Summary	Detail	
1	61321 36131	 * 	308.96	ACR|DCR|2VULN|1TLV|2AEBURN|2RAT	17VULN|29RCR|3AME|47RAT|57AEBURN|6DLOT|7BPWR|8LIT|aTLV
20	11131 56342	   	295.31	ACR|DCR|2VULN|1TLV|1AEBURN	1BEXP|28RCR|35VULN|4MDPS|6BELT|7LHND|9AEBURN|aTLV
21	61123 52324	   	295.31	ACR|DCR|2VULN|1TLV|2AEFBLL	17VULN|28RCR|34AEFBLL|5LIT|6AAC|9RMIN|aTLV
22	61123 52334	   	295.31	ACR|DCR|2VULN|1TLV|2AEFBLL	17VULN|28RCR|34AEFBLL|5LIT|6AAC|9AME|aTLV
23	31223 52354	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	1LWND|28RCR|3AEFRZ|47VULN|5LIT|6AAC|9DMG|aTLV
24	11131 52342	   	295.21	ACR|DCR|2VULN|1TLV|1AEBURN	1BEXP|28RCR|35VULN|4MDPS|6BELT|7LEGI|9AEBURN|aTLV
25	61131 11516	   	294.48	ACR|3VULN|2TLV|1AEFBLL|1DMG	19aVULN|2RCR|3AEFBLL|4aERES|5DMG|67TLV|8aAME|aBPWR
26	61131 11616	   	294.48	ACR|3VULN|2TLV|1AEFBLL|1DMG	19aVULN|2RCR|3AEFBLL|4aERES|5DMG|67TLV|8aCGEN|aBPWR
27	61126 31113	   	294.31	ACR|2TLV|2VULN|2DMG|2AEFBLL	1aVULN|2RCR|34AEFBLL|5RAT|6DLOT|7aTLV|8aDMG|9RCVC|aBPWR
28	61261 32413	 * 	292.73	ACR|2TLV|2VULN|3DMG	19VULN|2RCR|3LHND|49TLV|5FEWX|6DUST|789DMG|9BPWR|aDUR
29	61265 33122	   	292.40	ACR|3VULN|2TLV|2DMG	179VULN|2RCR|37LHND|49TLV|5CGEN|67FEWX|79BPWR|89DMG|aAME
30	61263 33122	   	292.30	ACR|3VULN|2TLV|2DMG	179VULN|2RCR|37LHND|49TLV|5ERES|67FEWX|79BPWR|89DMG|aAME
31	61263 33124	   	292.30	ACR|3VULN|2TLV|2DMG	179VULN|2RCR|37LHND|49TLV|5ERES|67FEWX|79BPWR|89DMG|aRCVC
32	61265 33123	   	292.30	ACR|3VULN|2TLV|2DMG	179VULN|2RCR|37LHND|49TLV|5CGEN|67FEWX|79BPWR|89DMG|aDUST
33	63663 33122	   	292.30	ACR|3VULN|2TLV|2DMG	179VULN|27LHND|3RCR|49TLV|5ERES|67FEWX|79BPWR|89DMG|aAME
34	61261 52312	   	292.20	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5FEWX|6BEXP|79DMG|9BPWR|aMLV
35	61263 33123	   	292.20	ACR|3VULN|2TLV|2DMG	179VULN|2RCR|37LHND|49TLV|5ERES|67FEWX|79BPWR|89DMG|aDUST
36	63663 33123	   	292.20	ACR|3VULN|2TLV|2DMG	179VULN|27LHND|3RCR|49TLV|5ERES|67FEWX|79BPWR|89DMG|aDUST
37	61261 32312	   	292.10	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5FEWX|6DUST|79DMG|9BPWR|aMLV
38	61261 32314	   	292.10	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5FEWX|6DUST|79DMG|9BPWR|aLIT
39	61261 32316	   	292.10	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5FEWX|6DUST|79DMG|9BPWR|aDMSP
40	61261 52313	   	292.10	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5FEWX|6BEXP|79DMG|9BPWR|aMDPS
41	61263 53122	   	292.10	ACR|3VULN|2TLV|2DMG	179VULN|2RCR|37LHND|49TLV|5ERES|67DUST|79BPWR|89DMG|aAME
42	61266 22312	   	292.10	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5MDPS|6RCVC|79DMG|9BPWR|aMLV
43	61266 22313	   	292.10	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5MDPS|6RCVC|79DMG|9BPWR|aRMIN
44	61336 36331	   	292.10	ACR|3VULN|2TLV|2DMG	18aVULN|2RCR|3aAME|49DMG|5DUST|6BELT|7aTLV|aBPWR
45	63661 32312	   	292.10	ACR|3VULN|2TLV|2DMG	189VULN|2LHND|3RCR|49TLV|5FEWX|6DUST|79DMG|9BPWR|aMLV
46	61261 32313	   	292.00	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5FEWX|6DUST|79DMG|9BPWR|aMDPS
47	61261 32315	   	292.00	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5FEWX|6DUST|79DMG|9BPWR|aERES
48	61263 53123	   	292.00	ACR|3VULN|2TLV|2DMG	179VULN|2RCR|37LHND|49TLV|5ERES|67aDUST|79BPWR|89DMG
49	63661 32313	   	292.00	ACR|3VULN|2TLV|2DMG	189VULN|2LHND|3RCR|49TLV|5FEWX|6DUST|79DMG|9BPWR|aMDPS
50	61614 11311	   	291.12	ACR|3VULN|2TLV|2CDMG	149VULN|2RCR|3RPLT|59CDMG|6LWND|7DUR|89TLV|9BPWR|aZMB
51	61126 31353	 * 	289.38	ACR|2TLV|2VULN|2ASPD|2AEFBLL|2RAT	1aVULN|2RCR|34AEFBLL|59RAT|6DLOT|7aTLV|8aASPD|aBPWR
52	61612 61122	 * 	289.05	ACR|4VULN|2TLV|1ASPD	1467VULN|2RCR|3RPLT|5RMIN|8aTLV|9ASPD
53	61616 31122	   	289.05	ACR|4VULN|2TLV|1ASPD	1457VULN|2RCR|3RPLT|5BPWR|6RMIN|8aTLV|9ASPD
54	31223 52344	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	1LWND|28RCR|3AEFRZ|47VULN|5LIT|6AAC|9ASPD|aTLV
55	61131 16512	   	287.27	ACR|2TLV|2VULN|2DMG|1AEFBLL	19VULN|2RCR|3AEFBLL|4ERES|57DMG|6aTLV|8AME
56	61131 16612	   	287.27	ACR|2TLV|2VULN|2DMG|1AEFBLL	19VULN|2RCR|3AEFBLL|4ERES|57DMG|6aTLV|8CGEN
57	31131 61112	 * 	286.85	ACR|4VULN|1TLV|2DMG	16LWND|2RCR|3567VULN|4MDPS|6BPWR|89DMG|aTLV
58	61231 61112	   	286.85	ACR|4VULN|1TLV|2DMG	1567VULN|2RCR|36LHND|4MDPS|6BPWR|89DMG|aTLV
59	61531 61112	   	286.85	ACR|4VULN|1TLV|2DMG	1567VULN|2RCR|36LWND|4MDPS|6BPWR|89DMG|aTLV
60	63631 61112	   	286.85	ACR|4VULN|1TLV|2DMG	1567VULN|26LHND|3RCR|4MDPS|6BPWR|89DMG|aTLV
61	31131 11112	   	286.75	ACR|4VULN|1TLV|2DMG	1LWND|2RCR|3567VULN|4MDPS|89DMG|aTLV
62	61231 11112	   	286.75	ACR|4VULN|1TLV|2DMG	1567VULN|2RCR|3LHND|4MDPS|89DMG|aTLV
63	61531 11112	   	286.75	ACR|4VULN|1TLV|2DMG	1567VULN|2RCR|3LWND|4MDPS|89DMG|aTLV
64	63631 11112	   	286.75	ACR|4VULN|1TLV|2DMG	1567VULN|2LHND|3RCR|4MDPS|89DMG|aTLV
65	61145 12312	   	286.22	ACR|3VULN|1TLV|1AEFBLL|1DMG|1AART	15aVULN|2RCR|3AEFBLL|4FRZARM|6RPLT|7DMG|8AART|9TLV
66	61433 12613	   	285.94	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1VULN|27RCR|3BASHEA|4SPLJET|5CDMG|6ZMB|8MLV|9AEBURN|aTLV
67	61131 51512	   	285.86	ACR|3VULN|1TLV|2DMG|1AEFBLL	169VULN|2RCR|3AEFBLL|4ERES|56DMG|6BPWR|7CGEN|8AME|aTLV
68	61362 11122	   	285.86	ACR|3VULN|1TLV|2DMG|1AEFBLL	169VULN|2RCR|39AME|4MDPS|5ERES|7AEFBLL|89DMG|9BPWR|aTLV
69	61131 56111	   	285.76	ACR|3VULN|1TLV|2DMG|1AEFBLL	169VULN|2RCR|3AEFBLL|47ERES|56DMG|6BPWR|8TLV|aLIT
70	61131 56112	   	285.76	ACR|3VULN|1TLV|2DMG|1AEFBLL	169VULN|2RCR|3AEFBLL|47ERES|56DMG|6BPWR|8TLV|aLHND
71	61131 56113	   	285.66	ACR|3VULN|1TLV|2DMG|1AEFBLL	169VULN|2RCR|3AEFBLL|47ERES|56DMG|6BPWR|8TLV|aAEFRZ
72	31134 34522	   	285.48	ACR|DCR|2VULN|1TLV|2ZMB	1LWND|27RCR|39VULN|4MDPS|58ZMB|6BELT|aTLV
73	11131 51325	   	284.91	ACR|DCR|2VULN|1TLV	1BEXP|28RCR|35VULN|4MDPS|6BELT|7DUR|9AAC|aTLV
74	11131 51335	   	284.91	ACR|DCR|2VULN|1TLV	1BEXP|28RCR|35VULN|4MDPS|6BELT|7DUR|9RMIN|aTLV
75	61614 11312	   	284.18	ACR|3VULN|2TLV|2CDMG	149VULN|2RCR|3RPLT|59CDMG|6LWND|7DUR|89TLV|9BPWR|aMLV
76	61614 11313	   	284.08	ACR|3VULN|2TLV|2CDMG	149VULN|2RCR|3RPLT|59CDMG|6LWND|7DUR|89TLV|9BPWR|aMDPS
77	61351 12412	   	283.44	ACR|2TLV|2VULN|1DMG|1AEPOI|1ASPD	19VULN|2RCR|3AME|4RCVC|5DMG|6aTLV|7AEPOI|8ASPD
78	61131 11413	   	283.34	ACR|2TLV|2VULN|1AEFBLL|1DMG|1ASPD	19VULN|2RCR|3AEFBLL|4ERES|5DMG|67TLV|8ASPD|aDMSP
79	61131 11415	   	283.34	ACR|2TLV|2VULN|1AEFBLL|1DMG|1ASPD	19VULN|2RCR|3AEFBLL|4ERES|5DMG|67TLV|8ASPD|aMLV
80	61131 12412	   	283.34	ACR|2TLV|2VULN|1AEBURN|1DMG|1AEFBLL|1ASPD	19VULN|2RCR|3AEFBLL|4ERES|5DMG|6aTLV|7AEBURN|8ASPD
81	61131 11512	   	283.34	ACR|3TLV|2VULN|1AEFBLL|1DMG	19VULN|2RCR|3AEFBLL|4ERES|5DMG|67aTLV|8AME
82	61131 11612	   	283.34	ACR|3TLV|2VULN|1AEFBLL|1DMG	19VULN|2RCR|3AEFBLL|4ERES|5DMG|67aTLV|8CGEN
83	61131 11411	   	283.24	ACR|2TLV|2VULN|1AEFBLL|1DMG|1ASPD	19VULN|2RCR|3AEFBLL|4ERES|5DMG|67TLV|8ASPD|aBLASTR
84	61131 11416	   	283.24	ACR|2TLV|2VULN|1AEFBLL|1DMG|1ASPD	19VULN|2RCR|3AEFBLL|4aERES|5DMG|67TLV|8ASPD
85	61261 32411	   	283.07	ACR|2TLV|2VULN|3DMG	19VULN|2RCR|3LHND|49TLV|5aFEWX|6DUST|789DMG|9BPWR
86	61261 32412	   	283.07	ACR|2TLV|2VULN|3DMG	19VULN|2RCR|3LHND|49TLV|5FEWX|6DUST|789DMG|9BPWR|aBEXP
87	31131 62352	   	282.91	ACR|4VULN|1TLV|1AEBURN|1ASPD	16LWND|2RCR|3569VULN|4MDPS|6BPWR|7ASPD|8AEBURN|aTLV
88	61231 62352	   	282.91	ACR|4VULN|1TLV|1AEBURN|1ASPD	1569VULN|2RCR|36LHND|4MDPS|6BPWR|7ASPD|8AEBURN|aTLV
89	11622 12313	   	282.87	ACR|2TLV|2VULN|2ASPD|1DMG	1BEXP|2RCR|3CANSTR|4aVULN|5aASPD|6ZMB|7aTLV|8DMG|9VENTOX|aBPWR
90	61133 35412	   	282.81	ACR|4VULN|1TLV|1AEFBLL|1ASPD	1579VULN|2RCR|3AEFBLL|4ERES|6LWND|8ASPD|aTLV
91	31131 12352	   	282.81	ACR|4VULN|1TLV|1AEBURN|1ASPD	1LWND|2RCR|3569VULN|4MDPS|7ASPD|8AEBURN|aTLV
92	61231 12352	   	282.81	ACR|4VULN|1TLV|1AEBURN|1ASPD	1569VULN|2RCR|3LHND|4MDPS|7ASPD|8AEBURN|aTLV
93	61531 12352	   	282.81	ACR|4VULN|1TLV|1AEBURN|1ASPD	1569VULN|2RCR|3LWND|4MDPS|7ASPD|8AEBURN|aTLV
94	63631 12352	   	282.81	ACR|4VULN|1TLV|1AEBURN|1ASPD	1569VULN|2LHND|3RCR|4MDPS|7ASPD|8AEBURN|aTLV
95	61126 31313	   	282.77	ACR|2TLV|2VULN|2ASPD|2AEFBLL	1aVULN|2RCR|34AEFBLL|5RAT|6DLOT|7aTLV|8aASPD|9RCVC|aBPWR
96	31141 52335	   	282.19	ACR|DCR|2VULN|1TLV	1LWND|28RCR|37VULN|4LIT|5AEFRZ|6AAC|9TLV|aZMB
97	31141 52336	   	282.19	ACR|DCR|2VULN|1TLV	1LWND|28RCR|37VULN|4LIT|5AEFRZ|6AAC|9TLV|aRAT
98	31223 52335	   	282.19	ACR|DCR|2VULN|1TLV	1LWND|28RCR|3AEFRZ|47VULN|5LIT|6AAC|9TLV|aZMB
99	31223 52336	   	282.19	ACR|DCR|2VULN|1TLV	1LWND|28RCR|3AEFRZ|47VULN|5LIT|6AAC|9TLV|aRAT
100	31134 34315	   	282.05	ACR|DCR|1TLV|1VULN|1AEBURN	1LWND|27RCR|3VULN|4MDPS|5ZMB|6BELT|8DUR|9AEBURN|aTLV
101	61266 32311	   	281.36	ACR|3VULN|2TLV|2AEPOI	189VULN|2RCR|3LHND|49TLV|5MDPS|6RMIN|79AEPOI|9BPWR|aZMB
102	61131 11513	   	280.69	ACR|2TLV|2VULN|1AEFBLL|1DMG|1AART	19VULN|2RCR|3AEFBLL|4ERES|5DMG|67TLV|8AME|aAART
103	61131 11613	   	280.69	ACR|2TLV|2VULN|1AEFBLL|1DMG|1AART	19VULN|2RCR|3AEFBLL|4ERES|5DMG|67TLV|8CGEN|aAART
104	61131 11462	   	279.58	ACR|2TLV|1VULN|2ASPD|1AEFBLL|1DMG|1CDMG	1VULN|2RCR|3AEFBLL|4ERES|5DMG|67TLV|8aASPD|9CDMG
105	66351 12322	   	279.45	ACR|2TLV|2VULN|1DMG|1AEPOI	13VULN|2RMIN|3BPWR|4RCR|5DMG|6aTLV|7AEPOI|8DUR|9LWND
106	61131 11245	   	279.25	ACR|2TLV|2VULN|1AEFBLL|1DMG	19VULN|2RCR|3AEFBLL|4ERES|5DMG|67TLV|8DUST|aDUR
107	61425 12312	   	279.18	ACR|3VULN|1TLV|1AEFBLL|1DMG|1AART	15aVULN|2RCR|3BASHEA|4AEFBLL|6RPLT|7DMG|8AART|9TLV
108	61321 31131	   	279.00	ACR|DCR|1TLV|1VULN|1AEBURN|2RAT	1VULN|29RCR|3AME|47RAT|5AEBURN|6DLOT|8LIT|aTLV
