0	Index      	 *	Score 	Summary	Detail	
1	22355 22152	 * 	207.49	DCR|3DMG|2VULN|1AART|2CDMG|2ZMB	18ZMB|25VULN|358DMG|4AART|58BPWR|68CDMG|7DMSP|9DUST|aRCR
45	52311 32536	   	183.13	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	139DMG|2VULN|4BEXP|5LHND|6ZMB|7RCR|8CDMG|aAART
46	52323 32536	   	183.13	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	139DMG|2VULN|4LWND|5FEWX|6ZMB|7RCR|8CDMG|aAART
47	52321 32536	   	183.03	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	139DMG|2VULN|4LWND|5LEGI|6ZMB|7RCR|8CDMG|aAART
48	52331 32536	   	183.03	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	139DMG|2VULN|4DUST|5LHND|6ZMB|7RCR|8CDMG|aAART
49	52356 33333	   	182.90	DCR|2VULN|2DMG|2AART|1DUR	13DMG|25VULN|4DUR|6RCR|79AART|8DUST|aCGEN
50	52356 33222	   	182.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|25VULN|4DUR|6RCR|7AART|8LHND|9BEXP|aZMB
51	52356 33322	   	182.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|25VULN|4DUR|6RCR|7AART|8DUST|9BEXP|aZMB
52	52141 53331	   	182.22	ACR|2VULN|2DMG|2AART|1DUR	16DMG|25VULN|3DUR|4RCR|79AART|8DUST|aRCVC
53	22355 16111	   	182.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|8DUR|9LIT|aRMIN
54	22355 16112	   	182.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|25VULN|35DMG|4AART|5BPWR|6aMLV|7RCR|8DUR|9LIT
55	22355 16113	   	182.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|8DUR|9LIT|aCGEN
56	22355 16122	   	182.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|8DUR|9BEXP|aRMIN
57	22355 16123	   	182.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|8DUR|9BEXP|aCGEN
58	22355 16321	   	182.06	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|8FEWX|9BEXP|aASPD
59	22355 16332	   	182.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|8FEWX|9DUR|aRMIN
60	22355 16333	   	182.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|8FEWX|9DUR|aCGEN
61	22141 11536	   	181.78	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ZMB|25VULN|3DUR|4RCR|6LWND|7ASPD|8CDMG|9DMG|aAART
62	22141 31637	   	181.68	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ZMB|25VULN|3DUR|4RCR|6MBVNT|7ASPD|8CDMG|9DMG|aAART
63	22621 51621	   	181.43	DCR|3VULN|2DMG|2CDMG|1ZMB	1ZMB|25aVULN|3LHND|4DUST|6aDMG|7AIRHEL|8RCR|9aCDMG|aBPWR
64	52642 23231	   	181.37	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	17DMG|27VULN|37LHND|4RCR|5RMIN|6AART|7BPWR|8BEXP|9ZMB|aASPD
65	52642 23233	   	181.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17DMG|27VULN|37LHND|4RCR|5RMIN|6AART|7BPWR|8BEXP|9ZMB|aDUR
66	22131 67534	   	181.15	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|25VULN|37DUR|4MBVNT|69DMG|8RCR|aAART
67	22324 33534	   	181.15	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|26VULN|39DMG|45DUR|7MBVNT|8RCR|aAART
68	52131 37534	   	181.15	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	19DMG|25VULN|37DUR|4MBVNT|6ZMB|8RCR|aAART
69	22322 35242	   	180.92	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1ZMB|1DUR	1ZMB|269VULN|3DMG|4DUR|5RCVC|7FLTHEA|8RCR|aCDMG
70	52141 53333	   	180.92	ACR|2VULN|2DMG|2AART|1DUR	16DMG|25VULN|3DUR|4RCR|79AART|8DUST|aCGEN
71	52141 53222	   	180.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	16DMG|25VULN|3DUR|4RCR|7AART|8LHND|9BEXP|aZMB
72	52141 53322	   	180.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	16DMG|25VULN|3DUR|4RCR|7AART|8DUST|9BEXP|aZMB
73	22355 21316	   	179.93	DCR|3DMG|2VULN|1AART|2ZMB|1CDMG|2MSE	1aZMB|25VULN|35aDMG|4AART|5aBPWR|6CDMG|7DUST|8aMSE|9RCR
74	22352 21536	   	179.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|28aVULN|3DMG|4AART|5ERES|6LWND|7RCR|9DUR
75	22153 51621	   	179.75	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR|1ASPD	1ZMB|2aVULN|3DUR|4RMIN|5ASPD|6aDMG|7AIRHEL|8RCR|9aCDMG|aBPWR
76	22131 32534	   	179.71	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	16ZMB|25VULN|3DUR|4MBVNT|79DMG|8RCR|aAART
77	52356 32323	   	179.36	DCR|3VULN|3DMG|1DUR	137DMG|25aVULN|4DUR|6RCR|8ERES|9RCVC
78	22352 56232	   	178.97	DCR|2VULN|2DMG|1AART|2ZMB	1aZMB|26VULN|3aDMG|4AART|5ERES|7RCR|8LIT|9aCGEN|aBPWR
79	22322 33534	   	178.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|26VULN|39DMG|4DUR|5RCVC|7MBVNT|8RCR|aAART
80	52356 33221	   	178.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|25VULN|4DUR|6RCR|7AART|8LHND|9BEXP|aASPD
81	52356 33321	   	178.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|25VULN|4DUR|6RCR|7AART|8DUST|9BEXP|aASPD
82	52356 33231	   	178.15	DCR|2VULN|2DMG|1AART|2DUR	13DMG|25VULN|49DUR|6RCR|7AART|8LHND|aRCVC
83	11353 31543	   	178.09	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	19LHND|2ASPD|39DMG|4AART|5CGEN|6LWND|7RCR|89VULN|9BPWR|aDUR
84	22131 63534	   	178.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|25VULN|3DUR|4MBVNT|69DMG|7RCVC|8RCR|aAART
85	52131 33534	   	178.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19DMG|25VULN|3DUR|4MBVNT|6ZMB|7RCVC|8RCR|aAART
86	52163 51133	   	178.04	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	19DMG|27VULN|3DUR|4CDMG|5ZMB|6RCR|8LEGI|aASPD
87	52163 53323	   	178.04	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD|1DUR	18DMG|29VULN|3DUR|4CDMG|5ZMB|6RCR|7DUST|aASPD
88	22353 31112	   	178.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2VULN|3aDMG|4AART|5CGEN|6DUR|7RCR|8CDMG|9BEXP
89	22353 31121	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5CGEN|6DUR|7RCR|8CDMG|aFEWX
90	22353 31122	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5CGEN|6DUR|7RCR|8CDMG|aMLV
91	22353 31126	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5aCGEN|6DUR|7RCR|8CDMG
92	22353 31162	   	178.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2VULN|3aDMG|4AART|5CGEN|6DUR|7RCR|8CDMG|9FEWX
93	22353 31515	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|28VULN|3DMG|4AART|5CGEN|6DUR|7RCR|9LIT|aCDMG
94	22353 31525	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|28VULN|3DMG|4AART|5CGEN|6DUR|7RCR|9BEXP|aCDMG
95	22356 31112	   	178.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2VULN|3aDMG|4AART|5MLV|6DUR|7RCR|8CDMG|9BEXP
96	22356 31121	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5MLV|6DUR|7RCR|8CDMG|aFEWX
97	22356 31122	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5aMLV|6DUR|7RCR|8CDMG
98	22356 31123	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5MLV|6DUR|7RCR|8CDMG|aCGEN
99	22356 31162	   	178.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2VULN|3aDMG|4AART|5MLV|6DUR|7RCR|8CDMG|9FEWX
100	22353 21123	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5CGEN|6LWND|7RCR|8CDMG|aDUR
101	22125 31621	   	178.01	DCR|2VULN|2DMG|2CDMG|2DUR|1ZMB	1ZMB|2aVULN|36DUR|4DUST|5aDMG|7AIRHEL|8RCR|9aCDMG|aBPWR
102	22126 51621	   	178.01	DCR|2VULN|2DMG|2CDMG|2DUR|1ZMB	1ZMB|2aVULN|35DUR|4DUST|6aDMG|7AIRHEL|8RCR|9aCDMG|aBPWR
103	11352 31543	   	177.99	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	19LHND|2ASPD|39DMG|4AART|5ERES|6LWND|7RCR|89VULN|9BPWR|aDUR
104	22352 31112	   	177.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2VULN|3aDMG|4AART|5ERES|6DUR|7RCR|8CDMG|9BEXP
105	22352 31121	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5ERES|6DUR|7RCR|8CDMG|aFEWX
106	22352 31122	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5ERES|6DUR|7RCR|8CDMG|aMLV
107	22352 31126	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5ERES|6DUR|7RCR|8CDMG|aCGEN
108	22352 31515	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|28VULN|3DMG|4AART|5ERES|6DUR|7RCR|9LIT|aCDMG
109	22352 31525	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|28VULN|3DMG|4AART|5ERES|6DUR|7RCR|9BEXP|aCDMG
110	22353 31125	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5CGEN|6DUR|7RCR|8CDMG|aLSRHEA
111	22356 31124	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5MLV|6DUR|7RCR|8CDMG|aTLV
112	22356 31125	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5MLV|6DUR|7RCR|8CDMG|aLSRHEA
113	22352 21123	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5ERES|6LWND|7RCR|8CDMG|aDUR
114	22352 61163	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5ERES|6BEXP|7RCR|8CDMG|aDUR
115	52356 32211	   	177.86	DCR|3VULN|3DMG|1DUR	137DMG|25aVULN|4DUR|6RCR|8LIT|9LWND
116	22352 31125	   	177.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|29VULN|3DMG|4AART|5ERES|6DUR|7RCR|8CDMG|aLSRHEA
117	11353 31541	   	177.76	DCR|2VULN|2DMG|1AART|2ASPD	19LHND|2aASPD|39DMG|4AART|5CGEN|6LWND|7RCR|89VULN|9BPWR
118	11352 31541	   	177.66	DCR|2VULN|2DMG|1AART|2ASPD	19LHND|2aASPD|39DMG|4AART|5ERES|6LWND|7RCR|89VULN|9BPWR
119	52642 23121	   	177.51	ACR|2VULN|2DMG|1AART|1ZMB	17DMG|27VULN|37LHND|4RCR|5RMIN|6AART|7BPWR|8aRCVC|9ZMB
