0	Index      	 *	Score 	Summary	Detail	
1	23522 31512	 * 	216.47	DCR|3VULN|3DMG|1AART|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8DUST|9ZMB|aAART
20	23535 34131	   	205.32	DCR|4VULN|3DMG|1AART	13aDMG|2356VULN|35BPWR|45LWND|7AART|8RCR|9SNIHEL
21	23522 31165	   	203.41	DCR|4VULN|3DMG|1CDMG	135DMG|235aVULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9DUR
22	23522 31265	   	203.41	DCR|4VULN|3DMG|1CDMG	135DMG|235aVULN|35BPWR|4RPLT|6CDMG|7RCR|8RMIN|9DUR
23	23515 34122	 * 	202.60	DCR|5VULN|2DMG|1AART	13DMG|2356aVULN|35BPWR|45LHND|7AART|8RCR|9RPLT
24	23535 34122	   	202.60	DCR|5VULN|2DMG|1AART	13DMG|2356aVULN|35BPWR|45LWND|7AART|8RCR|9RPLT
25	23522 31136	   	200.31	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9ASPD|aZMB
26	23522 31412	   	200.31	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8LWND|9ZMB|aDUR
27	21166 52212	   	200.10	ACR|3VULN|3DMG|2FLTHEA|1ZMB	157DMG|2LIT|37aVULN|4RCR|67FLTHEA|7BPWR|8LWND|9ZMB
28	23515 34113	   	196.71	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LHND|7AART|8RCR|9CGEN|aDUR
29	23535 34113	   	196.71	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LWND|7AART|8RCR|9CGEN|aDUR
30	23522 31145	   	196.47	DCR|4VULN|3DMG|1CDMG	135DMG|235aVULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9BEXP
31	23522 31235	   	196.47	DCR|4VULN|3DMG|1CDMG	135DMG|235aVULN|35BPWR|4RPLT|6CDMG|7RCR|8RMIN|9LWND
32	23522 31245	   	196.47	DCR|4VULN|3DMG|1CDMG	135DMG|235aVULN|35BPWR|4RPLT|6CDMG|7RCR|8RMIN|9BEXP
33	23522 31635	   	196.47	DCR|4VULN|3DMG|1CDMG	135DMG|235aVULN|35BPWR|4RPLT|6CDMG|7RCR|8CGEN|9FEWX
34	23522 31225	   	196.37	DCR|4VULN|3DMG|1CDMG	135DMG|235aVULN|35BPWR|4RPLT|6CDMG|7RCR|8RMIN|9LEGI
35	23522 31435	   	196.37	DCR|4VULN|3DMG|1CDMG	135DMG|235aVULN|35BPWR|4RPLT|6CDMG|7RCR|8LWND|9ERES
36	23522 31532	   	196.37	DCR|4VULN|3DMG|1CDMG	135DMG|2359VULN|35BPWR|4RPLT|6CDMG|7RCR|8DUST|aLWND
37	23522 31533	   	196.37	DCR|4VULN|3DMG|1CDMG	135DMG|2359VULN|35BPWR|4RPLT|6CDMG|7RCR|8DUST|aBEXP
38	23522 31534	   	196.37	DCR|4VULN|3DMG|1CDMG	135DMG|2359VULN|35BPWR|4RPLT|6CDMG|7RCR|8DUST|aCGEN
39	23522 31531	   	196.27	DCR|4VULN|3DMG|1CDMG	135DMG|2359VULN|35BPWR|4RPLT|6CDMG|7RCR|8aDUST
40	21166 52322	   	196.04	ACR|3VULN|3DMG|2FLTHEA	157DMG|2LIT|37aVULN|4RCR|67FLTHEA|7BPWR|8DUR|9MLV
41	23515 31213	   	195.96	DCR|4VULN|3DMG|1ZMB	13aDMG|2356VULN|35BPWR|45LHND|7DUR|8ZMB|9RCR
42	23522 31326	   	195.28	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8RCVC|9LHND|aZMB
43	23321 53262	   	194.74	DCR|2VULN|2DMG|3ZMB|1AART	17DMG|28VULN|357ZMB|4AART|67LWND|7BPWR|9RCR|aDUR
44	23321 53266	   	194.74	DCR|2VULN|2DMG|3ZMB|1AART	17DMG|28VULN|357ZMB|4AART|67LWND|7BPWR|9RCR|aASPD
45	23315 53262	   	194.14	DCR|2VULN|2DMG|3ZMB|1AART	17DMG|28VULN|347ZMB|5AART|67LWND|7BPWR|9RCR|aDUR
46	21166 52333	   	193.94	ACR|3DMG|2VULN|2FLTHEA|1CDMG	157DMG|2LIT|37VULN|4RCR|67FLTHEA|7BPWR|8DUR|9DUST|aCDMG
47	23552 62323	   	193.67	DCR|4VULN|3DMG|1CDMG	13aDMG|237aVULN|3aBPWR|4LIT|5CDMG|6aCGEN|8RCVC|9RCR
48	23522 31411	   	193.37	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8LWND|9ZMB|aCGEN
49	23522 31413	   	193.37	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8LWND|9ZMB|aMLV
50	23522 31414	   	193.37	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4aRPLT|6CDMG|7RCR|8LWND|9ZMB
51	23522 31416	   	193.37	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8LWND|9ZMB|aBEXP
52	23522 31426	   	193.37	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|89LWND|aZMB
53	23522 31511	   	193.27	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8DUST|9ZMB|aCGEN
54	23522 31514	   	193.27	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4aRPLT|6CDMG|7RCR|8DUST|9ZMB
55	23522 31516	   	193.27	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8DUST|9ZMB|aBEXP
56	23522 31513	   	193.17	DCR|3VULN|3DMG|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8DUST|9ZMB|aMBVNT
57	21141 42315	   	192.81	DCR|3VULN|2DMG|1AART|1ZMB	15DMG|2LIT|367VULN|4AART|8DUR|9RCR|aZMB
58	23321 53246	   	192.34	DCR|2VULN|2DMG|3ZMB|1AART	17DMG|28VULN|357ZMB|4AART|67LWND|7BPWR|9DUR|aRCR
59	21161 54333	 * 	191.94	ACR|3VULN|2DMG|1AART|1CDMG	18DMG|2LIT|38aVULN|4RCR|5RPLT|68SNIHEL|7AART|8BPWR|9CDMG
60	23565 14412	   	191.82	DCR|3VULN|3DMG|1AART	139DMG|235VULN|35BPWR|45BEXP|6MBVNT|7RCR|8FEWX|aAART
61	23515 15334	   	191.72	DCR|3VULN|3DMG|1AART	139DMG|235VULN|35BPWR|45LHND|6MBVNT|7RCR|8AIRHEA|aAART
62	23535 15334	   	191.72	DCR|3VULN|3DMG|1AART	139DMG|235VULN|35BPWR|45LWND|6MBVNT|7RCR|8AIRHEA|aAART
63	23565 14112	   	191.72	DCR|3VULN|3DMG|1AART	139DMG|235VULN|35BPWR|45BEXP|6MBVNT|7RCR|8DUST|aAART
64	23545 14412	   	191.62	DCR|3VULN|3DMG|1AART	139DMG|235VULN|35BPWR|45DUST|6MBVNT|7RCR|8FEWX|aAART
65	23535 31214	   	191.31	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LWND|7DUR|8AART|9CGEN|aRCR
66	21166 52313	   	191.29	ACR|3DMG|2VULN|2FLTHEA|1ZMB	157DMG|2LIT|37VULN|4RCR|67FLTHEA|7BPWR|8DUR|9ZMB|aERES
67	21166 52311	   	191.14	ACR|3DMG|2VULN|2FLTHEA|1ZMB|1SELL	157DMG|2LIT|37VULN|4RCR|67FLTHEA|7BPWR|8DUR|9ZMB|aSELL
68	22313 63516	   	191.14	DCR|2VULN|2DMG|3ZMB|1AART	17DMG|2DUR|347ZMB|57VULN|6AART|7BPWR|89LWND|aRCR
69	23313 13354	   	191.14	DCR|2VULN|2DMG|3ZMB|1AART	17DMG|25VULN|347ZMB|67LIT|7BPWR|8ASPD|9RCR|aAART
70	23513 34131	   	191.12	DCR|3VULN|3DMG|1AART	13aDMG|236VULN|3BPWR|45LHND|7AART|8RCR|9SNIHEL
71	23562 34131	   	191.12	DCR|3VULN|3DMG|1AART	13aDMG|236VULN|3BPWR|45BEXP|7AART|8RCR|9SNIHEL
72	23565 14343	   	190.17	DCR|4VULN|2DMG|1AART	13DMG|2359VULN|35BPWR|45BEXP|6MBVNT|7RCR|8AIRHEA|aAART
73	23523 25234	   	190.06	DCR|3VULN|2DMG|1AART|1CDMG	13DMG|235VULN|3BPWR|4RPLT|6SNIHEL|7CDMG|8DUR|9AART|aRCR
74	43222 61235	   	189.99	DCR|3VULN|2DMG|3ZMB|2DUR	158ZMB|259VULN|3RCVC|4RPLT|59BPWR|69DUR|79DMG|aRCR
75	23545 14343	   	189.97	DCR|4VULN|2DMG|1AART	13DMG|2359VULN|35BPWR|45DUST|6MBVNT|7RCR|8AIRHEA|aAART
76	23515 34121	   	189.77	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LHND|7AART|8RCR|9RPLT|aMLV
77	23535 34121	   	189.77	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LWND|7AART|8RCR|9RPLT|aMLV
78	23515 34112	   	189.67	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LHND|7AART|8RCR|9CGEN|aERES
79	23515 34132	   	189.67	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45aLHND|7AART|8RCR|9SNIHEL
80	23535 34112	   	189.67	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LWND|7AART|8RCR|9CGEN|aERES
81	23535 34132	   	189.67	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LWND|7AART|8RCR|9SNIHEL|aLHND
82	23535 34133	   	189.67	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LWND|7AART|8RCR|9SNIHEL|aFEWX
83	23513 34122	   	189.67	DCR|4VULN|2DMG|1AART	13DMG|236aVULN|3BPWR|45LHND|7AART|8RCR|9RPLT
84	23562 34122	   	189.67	DCR|4VULN|2DMG|1AART	13DMG|236aVULN|3BPWR|45BEXP|7AART|8RCR|9RPLT
85	23515 34133	   	189.57	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LHND|7AART|8RCR|9SNIHEL|aDUST
86	23522 41423	   	189.42	DCR|3VULN|3DMG|1AART	135DMG|235VULN|35BPWR|46RPLT|7DMSP|8RCR|9ERES|aAART
87	23522 31132	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9ASPD|aLIT
88	23522 31133	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9ASPD|aLWND
89	23522 31134	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9ASPD|aCGEN
90	23522 31135	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9ASPD|aBEXP
91	23522 31161	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9DUR|aCGEN
92	23522 31164	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4aRPLT|6CDMG|7RCR|8MLV|9DUR
93	23522 31166	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9DUR|aBEXP
94	23522 31232	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8RMIN|9LWND|aDUR
95	23522 31261	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8RMIN|9DUR|aCGEN
96	23522 31264	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4aRPLT|6CDMG|7RCR|8RMIN|9DUR
97	23522 31266	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8RMIN|9DUR|aBEXP
98	23522 31661	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8aCGEN|9DUR
99	23522 31662	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8CGEN|9DUR|aLIT
100	23522 31663	   	189.31	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8CGEN|9DUR|aLHND
101	23522 31131	   	189.21	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9ASPD|aDUST
102	23522 31163	   	189.21	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9DUR|aMBVNT
103	23522 31222	   	189.21	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8RMIN|9LEGI|aDUR
104	23522 31263	   	189.21	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8RMIN|9DUR|aMBVNT
105	23522 31432	   	189.21	DCR|3VULN|3DMG|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8LWND|9ERES|aDUR
106	23321 53263	   	189.11	DCR|2VULN|2DMG|3ZMB|1AART	17DMG|28VULN|357ZMB|4AART|67LWND|7BPWR|9RCR|aRCVC
107	21166 52222	   	189.10	ACR|3VULN|3DMG|2FLTHEA	157DMG|2LIT|37aVULN|4RCR|67FLTHEA|7BPWR|8LWND|9MLV
108	21166 52113	   	189.00	ACR|3VULN|3DMG|2FLTHEA	157DMG|2LIT|37aVULN|4RCR|67FLTHEA|7BPWR|8TLV|9RPLT
109	21166 52122	   	189.00	ACR|3VULN|3DMG|2FLTHEA	157DMG|2LIT|37aVULN|4RCR|67FLTHEA|7BPWR|8TLV|9FEWX
110	21141 42316	   	188.74	DCR|3VULN|2DMG|1AART	15DMG|2LIT|367VULN|4AART|8DUR|9RCR|aASPD
111	23315 53263	   	188.51	DCR|2VULN|2DMG|3ZMB|1AART	17DMG|28VULN|347ZMB|5AART|67LWND|7BPWR|9RCR|aRCVC
112	43511 11235	 * 	188.45	DCR|4VULN|2DMG|3ZMB	138ZMB|2369VULN|39BPWR|49LHND|5RPLT|79DMG|aRCR
113	43521 11235	   	188.45	DCR|4VULN|2DMG|3ZMB	138ZMB|2369VULN|39BPWR|4RPLT|59FEWX|79DMG|aRCR
114	23321 53261	   	187.80	DCR|2VULN|2DMG|3ZMB|1AART	17DMG|28VULN|357ZMB|4AART|67LWND|7BPWR|9RCR|aFEWX
115	23321 53265	   	187.80	DCR|2VULN|2DMG|3ZMB|1AART	17DMG|28VULN|357ZMB|4AART|67LWND|7BPWR|9RCR|aLHND
116	21161 54331	   	187.29	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2LIT|38VULN|4RCR|5RPLT|68SNIHEL|7AART|8BPWR|9CDMG|aZMB
117	23515 34311	   	187.27	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LHND|7AART|8LIT|9RCR|aDUST
118	23515 34313	   	187.27	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LHND|7AART|8LIT|9RCR|aTLV
119	23535 34311	   	187.27	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LWND|7AART|8LIT|9RCR|aDUST
120	23535 34313	   	187.27	DCR|4VULN|2DMG|1AART	13DMG|2356VULN|35BPWR|45LWND|7AART|8LIT|9RCR|aTLV
121	23315 53261	   	187.20	DCR|2VULN|2DMG|3ZMB|1AART	17DMG|28VULN|347ZMB|5AART|67LWND|7BPWR|9RCR|aFEWX
122	21141 42314	   	187.10	DCR|3VULN|2DMG|1AART|2DUR	15DMG|2LIT|367VULN|4AART|8aDUR|9RCR
123	21166 23221	 * 	187.10	ACR|3DMG|2VULN|2CDMG|1FLTHEA	15aDMG|2LIT|3aVULN|4RCR|6LHND|7FLTHEA|8aCDMG|9RPLT|aBPWR
124	21166 51221	   	187.10	ACR|3DMG|2VULN|2CDMG|1FLTHEA	15aDMG|2LIT|3aVULN|4RCR|6FLTHEA|7LWND|8aCDMG|9RPLT|aBPWR
125	23562 32234	   	187.02	DCR|3VULN|3DMG|1AART	138DMG|236VULN|3BPWR|45BEXP|7LIT|9RCR|aAART
126	23562 34113	 * 	187.01	DCR|3VULN|2DMG|2AART	13DMG|236VULN|3BPWR|45BEXP|7aAART|8RCR|9CGEN
127	21166 52233	   	187.00	ACR|3DMG|2VULN|2FLTHEA|1CDMG	157DMG|2LIT|37VULN|4RCR|67FLTHEA|7BPWR|8LWND|9DUST|aCDMG
128	21126 12434	   	186.92	DCR|3VULN|3DMG|1AART	157DMG|2LIT|368VULN|4BEXP|9RCR|aAART
129	23515 32253	   	186.62	DCR|4VULN|3DMG|1ZMB	138DMG|2356VULN|35BPWR|45LHND|7LIT|9ZMB|aRCR
130	23522 22626	   	186.62	DCR|4VULN|3DMG|1ZMB	135DMG|2358VULN|35BPWR|4RPLT|6LIT|7ZMB|9MLV|aRCR
131	23535 32253	   	186.62	DCR|4VULN|3DMG|1ZMB	138DMG|2356VULN|35BPWR|45LWND|7LIT|9ZMB|aRCR
132	23513 34126	   	186.57	DCR|3VULN|2DMG|1AART|1ZMB	13DMG|236VULN|3BPWR|45LHND|7AART|8RCR|9RPLT|aZMB
133	23522 22636	   	186.52	DCR|4VULN|3DMG|1ZMB	135DMG|2358VULN|35BPWR|4RPLT|6LIT|7ZMB|9ERES|aRCR
134	23531 21512	   	186.52	DCR|3VULN|3DMG|1AART	139DMG|239VULN|39BPWR|49LWND|5RPLT|6MBVNT|7AART|8BELT|aRCR
135	23313 61635	   	186.48	DCR|3VULN|2DMG|3ZMB|2DUR	19DMG|259VULN|347ZMB|69DUR|8RPLT|9BPWR|aRCR
136	23313 63235	   	186.48	DCR|3VULN|2DMG|3ZMB|2DUR	19DMG|259VULN|348ZMB|69DUR|7RPLT|9BPWR|aRCR
137	43323 61235	   	186.48	DCR|3VULN|2DMG|3ZMB|2DUR	138ZMB|259VULN|4RPLT|69DUR|79DMG|9BPWR|aRCR
138	43326 11235	   	186.48	DCR|3VULN|2DMG|3ZMB|2DUR	138ZMB|269VULN|4RPLT|59DUR|79DMG|9BPWR|aRCR
