0	Index      	 *	Score 	Summary	Detail	
1	56323 32322	 * 	218.07	DCR|3VULN|2DMG|1AART|2ASPD|1CDMG|1ZMB	19ASPD|2RMIN|3ZMB|4AART|569VULN|7RCR|89DMG|9BPWR|aCDMG
18	56323 21622	   	202.02	DCR|3DMG|2VULN|1AART|2ASPD|1ZMB	19ASPD|2RMIN|3ZMB|4AART|59VULN|679DMG|8RCR|9BPWR|aBELT
19	24121 33321	 * 	201.52	DCR|3VULN|3DMG|3CDMG|1SELL	19aCDMG|29aDMG|3SELL|4MLV|5DUR|6LEGI|7RCR|89aVULN|9aBPWR
20	52122 36623	   	200.73	DCR|3VULN|2DMG|1AART|3ASPD	19aASPD|2BEXP|3RCVC|4AART|59DMG|679VULN|8RCR|9BPWR
21	52123 26623	   	200.73	DCR|3VULN|2DMG|1AART|3ASPD	19aASPD|2BEXP|3RCVC|4AART|579VULN|69DMG|8RCR|9BPWR
22	56322 32623	 * 	196.53	DCR|2VULN|2DMG|1AART|3ASPD|2ZMB	19aASPD|2RMIN|37ZMB|4AART|59DMG|69VULN|8RCR|9BPWR
23	56323 22623	   	196.53	DCR|2VULN|2DMG|1AART|3ASPD|2ZMB	19aASPD|2RMIN|37ZMB|4AART|59VULN|69DMG|8RCR|9BPWR
24	52122 31623	   	195.60	DCR|3DMG|2VULN|1AART|2ASPD	19ASPD|2BEXP|3aRCVC|4AART|579DMG|69VULN|8RCR|9BPWR
25	52123 21623	   	195.60	DCR|3DMG|2VULN|1AART|2ASPD	19ASPD|2BEXP|3aRCVC|4AART|59VULN|679DMG|8RCR|9BPWR
26	52122 31622	   	194.42	DCR|3DMG|2VULN|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|579DMG|69VULN|8RCR|9BPWR|aBELT
27	52122 31624	   	194.42	DCR|3DMG|2VULN|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|579DMG|69VULN|8RCR|9BPWR|aLWND
28	52122 31625	   	194.42	DCR|3DMG|2VULN|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|579DMG|69VULN|8RCR|9BPWR|aMLV
29	52122 31626	   	194.42	DCR|3DMG|2VULN|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|579DMG|69VULN|8RCR|9BPWR|aFEWX
30	52123 21622	   	194.42	DCR|3DMG|2VULN|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|59VULN|679DMG|8RCR|9BPWR|aBELT
31	52123 21624	   	194.42	DCR|3DMG|2VULN|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|59VULN|679DMG|8RCR|9BPWR|aLWND
32	52123 21625	   	194.42	DCR|3DMG|2VULN|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|59VULN|679DMG|8RCR|9BPWR|aMLV
33	52123 21626	   	194.42	DCR|3DMG|2VULN|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|59VULN|679DMG|8RCR|9BPWR|aFEWX
34	52122 36621	   	194.32	DCR|3VULN|2DMG|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|59DMG|679VULN|8RCR|9BPWR|aDUST
35	52123 26621	   	194.32	DCR|3VULN|2DMG|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|579VULN|69DMG|8RCR|9BPWR|aDUST
36	24133 42336	 * 	193.54	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	19CDMG|28DMG|3SELL|49TLV|59VULN|6AART|7RCR|9BPWR|aZMB
37	52122 34622	   	192.42	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	19ASPD|27BEXP|3RCVC|4AART|59DMG|69VULN|8RCR|9BPWR|aCDMG
38	52123 24622	   	192.42	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	19ASPD|27BEXP|3RCVC|4AART|59VULN|69DMG|8RCR|9BPWR|aCDMG
39	52123 32626	 * 	191.69	DCR|3VULN|1AART|1DMG|2ZMB|2ASPD	19ASPD|2BEXP|3RCVC|4AART|569VULN|79ZMB|8RCR|9BPWR|aDMG
40	56322 32621	   	190.12	DCR|2VULN|2DMG|1AART|2ZMB|2ASPD	19ASPD|2RMIN|37ZMB|4AART|59DMG|69VULN|8RCR|9BPWR|aDUST
41	56323 22621	   	190.12	DCR|2VULN|2DMG|1AART|2ZMB|2ASPD	19ASPD|2RMIN|37ZMB|4AART|59VULN|69DMG|8RCR|9BPWR|aDUST
42	42643 31133	   	189.82	DCR|3VULN|3DMG|1AART	1LWND|246DMG|34BASICY|4BPWR|57aVULN|8RCR|9AART
