0	Index      	 *	Score 	Summary	Detail	
1	61524 24132	 * 	220.50	ACR|3VULN|3DMG|1AART|2CDMG	1RCR|279VULN|3AIRHEL|49aDMG|59CDMG|6MBVNT|8AART|9BPWR
14	65213 32621	   	202.00	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1RCR|2DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|9TLV|aZMB
15	65213 32631	   	202.00	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1RCR|2DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|9NUKE|aZMB
16	61521 36122	   	200.54	ACR|3VULN|3DMG|1AART	1RCR|267VULN|37AIRHEL|47aDMG|5RPLT|7BPWR|8AART|9FEWX
17	61144 11122	 * 	200.44	ACR|3VULN|2DMG|1AART|2ZMB	1RCR|29aVULN|3LWND|49ZMB|59DMG|6LEGI|7AART|8RMIN|9BPWR
18	61135 11422	   	200.44	ACR|3VULN|2DMG|1AART|2ZMB	1RCR|29aVULN|3LWND|49DMG|5RMIN|6LEGI|7AART|89ZMB|9BPWR
19	62532 32313	   	200.24	ACR|3DMG|2VULN|1AART|1CDMG	1RCR|278DMG|3CDMG|4ERES|5AART|6BEXP|9aVULN
20	62563 12233	   	199.70	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1RCR|24DMG|34CDMG|4BPWR|5aVULN|6ZMB|7LHND|8FEWX|9AART
21	62162 51313	   	199.64	ACR|3DMG|2VULN|1AART|1CDMG	1RCR|248DMG|34ERES|4BPWR|5BEXP|6AART|7CDMG|9aVULN
22	61521 36112	   	198.99	ACR|4VULN|2DMG|1AART	1RCR|267aVULN|37AIRHEL|47DMG|5RPLT|7BPWR|8AART|9BEXP
23	61162 31125	   	198.73	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|29VULN|3LWND|4AART|59CDMG|6RPLT|79DMG|8RMIN|9BPWR|aDUR
24	65213 32614	   	198.03	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|9FEWX|aDUR
25	65213 32641	   	198.03	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|29DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|aDUR
26	65213 24422	 * 	198.03	ACR|3VULN|2AART|2DMG	1RCR|2DMSP|3MBVNT|469VULN|5aAART|79DMG|89DUST|9BPWR
27	65213 74422	   	198.03	ACR|3VULN|2AART|2DMG	1RCR|2DMSP|3MBVNT|469VULN|5aAART|69BPWR|79DMG|89DUST
28	65213 32624	   	197.93	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|9TLV|aDUR
29	65213 32634	   	197.93	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|9NUKE|aDUR
30	61162 22512	 * 	197.84	ACR|2VULN|2DMG|1AART|3CDMG	1RCR|28VULN|36LWND|4AART|58aCDMG|78DMG|8BPWR|9FEWX
31	62621 53222	 * 	197.54	ACR|2AART|2VULN|2DMG|2ZMB	1RCR|28DMG|34FEWX|5aAART|68ZMB|78VULN|8BPWR|9MLV
32	62533 31111	 * 	197.49	ACR|3DMG|3ZMB|3CDMG|1VULN	1RCR|289DMG|389CDMG|4ERES|5MBVNT|6LIT|789ZMB|89BPWR|aVULN
33	65213 32612	   	197.14	ACR|2VULN|2DMG|1AART|3CDMG	1RCR|2DMSP|3MBVNT|48VULN|5AART|68aCDMG|78DMG|8BPWR|9FEWX
34	61524 22131	   	196.03	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|29VULN|37AIRHEL|49DMG|59CDMG|6MBVNT|8AART|9BPWR|aDUR
35	61162 25213	   	196.00	ACR|3VULN|1AART|3CDMG|1DMG	1RCR|278VULN|367LWND|4AART|578CDMG|78BPWR|9DMG|aCGEN
36	61162 25212	   	195.90	ACR|3VULN|1AART|3CDMG|1DMG	1RCR|278VULN|367LWND|4AART|578CDMG|78BPWR|9DMG|aERES
37	62563 32233	   	195.63	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|24DMG|34CDMG|4BPWR|5aVULN|6ASPD|7LHND|8FEWX|9AART
38	61551 23132	   	194.72	ACR|3VULN|2DMG|2ASPD|1CDMG	1RCR|28aVULN|3AIRHEL|4aASPD|5RPLT|6DUR|7CDMG|9aDMG|aBPWR
39	62161 22363	   	193.80	ACR|3DMG|1AART|1VULN|2ASPD|1CDMG	1RCR|247DMG|34ERES|4BPWR|5aASPD|6CDMG|8VULN|9AART
40	65213 24722	   	193.73	ACR|3VULN|2DMG|1AART	1RCR|2DMSP|3MBVNT|469VULN|5AART|79DMG|89LHND|9BPWR|aDUR
41	65213 24237	   	193.53	ACR|3VULN|2DMG|1AART	1RCR|2DMSP|3MBVNT|468VULN|5AART|7aDMG|9DUR
42	62352 33226	   	193.23	ACR|3DMG|2VULN|1AART	1RCR|29aDMG|3ASPD|4RCVC|5RMIN|6AART|79FEWX|89VULN|9BPWR
43	62621 53211	   	193.03	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|28DMG|34FEWX|5AART|68ZMB|78VULN|8BPWR|9DUR|aLWND
44	62621 53212	   	193.03	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|28DMG|34FEWX|5AART|68ZMB|78VULN|8BPWR|9DUR|aLHND
45	62621 53213	   	193.03	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|28DMG|34aFEWX|5AART|68ZMB|78VULN|8BPWR|9DUR
46	62213 15622	   	192.43	ACR|3VULN|2DMG|1AART	1RCR|29DMG|39LWND|4DUR|56DUST|7AART|89aVULN|9BPWR
47	62621 53122	   	191.85	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	1RCR|29DMG|349FEWX|5AART|6ZMB|7VULN|89ASPD|9BPWR|aCDMG
48	61162 22511	   	191.80	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|28VULN|36LWND|4AART|58CDMG|78DMG|8BPWR|9FEWX|aRPLT
49	61162 22513	   	191.80	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|28VULN|36LWND|4AART|58CDMG|78DMG|8BPWR|9FEWX|aLIT
50	61162 31121	   	191.80	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|29VULN|3aLWND|4AART|59CDMG|6RPLT|79DMG|8RMIN|9BPWR
51	61162 31124	   	191.80	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|29VULN|3LWND|4AART|59CDMG|6RPLT|79DMG|8RMIN|9BPWR|aBEXP
52	61162 22521	   	191.70	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|28VULN|36LWND|4AART|58CDMG|78DMG|8BPWR|9TLV|aRPLT
53	61162 22522	   	191.70	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|28VULN|36LWND|4AART|58CDMG|78DMG|8BPWR|9TLV|aBEXP
54	61162 22532	   	191.70	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|28VULN|36LWND|4AART|58CDMG|78DMG|8BPWR|9NUKE|aFEWX
55	61162 31123	   	191.55	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1RCR|29VULN|3LWND|4AART|59CDMG|6RPLT|79DMG|8RMIN|9BPWR|aSELL
56	61162 22523	   	191.45	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1RCR|28VULN|36LWND|4AART|58CDMG|78DMG|8BPWR|9TLV|aSELL
57	61162 22533	   	191.45	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1RCR|28VULN|36LWND|4AART|58CDMG|78DMG|8BPWR|9NUKE|aSELL
58	61144 31122	   	191.33	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	1RCR|29aVULN|39LWND|4ZMB|5DMG|69DUR|7AART|8RMIN|9BPWR
59	65213 32611	   	191.10	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|9FEWX|aRPLT
60	65213 32613	   	191.10	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|9FEWX|aLIT
61	65213 32642	   	191.10	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|29DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|aLHND
62	65213 32643	   	191.10	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|29DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|aMGNSTR
63	65213 32644	   	191.10	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|29DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|aRCVC
64	65213 32622	   	191.00	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|9TLV|aFEWX
65	65213 32632	   	191.00	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|9NUKE|aFEWX
66	62335 11141	   	190.78	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2DMG|3ASPD|4DUR|5RPLT|6ZMB|7AART|8aVULN|9CDMG
67	65213 32623	   	190.75	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1RCR|2DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|9TLV|aSELL
68	65213 32633	   	190.75	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1RCR|2DMSP|3MBVNT|48VULN|5AART|68CDMG|78DMG|8BPWR|9NUKE|aSELL
