0	Index      	 *	Score 	Summary	Detail	
1	23621 27544	 * 	295.95	DCR|DCR|2VULN|2DMG|1MLV|1DUR	1MBVNT|28ERES|3RMIN|48DMG|5DUR|6MLV|78VULN|8BPWR|9aRCR
33	43622 45342	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1AEBURN|2CDMG|3MBVNT|49VULN|5TLV|6RAT|78RCR|aLIT
34	43622 45344	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1AEBURN|2CDMG|3MBVNT|49VULN|5TLV|6RAT|78RCR|aLWND
35	21672 43244	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2DUR|37DUST|4ZMB|56VULN|8TLV|9aRCR
36	21732 23244	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2DUR|3ZMB|45VULN|67DUST|8TLV|9aRCR
37	21732 37244	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2DUR|3ZMB|45VULN|6AEWIND|7DUST|8TLV|9aRCR
38	21732 57244	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2DUR|3ZMB|45VULN|6AEPOI|7DUST|8TLV|9aRCR
39	43622 45341	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1AEBURN|2CDMG|3MBVNT|49VULN|5TLV|6RAT|78RCR|aDUST
40	43624 45312	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1AEBURN|2CDMG|3MBVNT|4aVULN|5AME|6RAT|78RCR|9TLV
41	28423 32438	   	267.10	DCR|DCR|2TLV|2DUR|1DMG|1AART	1MBVNT|28TLV|3AART|4ZMB|58DUR|6aRCR|78AME|8BPWR|9DMG
42	28483 32438	   	267.00	DCR|DCR|2TLV|2DUR|1DMG|1AART|1NUKE	1MBVNT|28TLV|3AART|48DUR|5NUKE|6aRCR|78AME|8BPWR|9DMG
43	23624 37544	   	266.69	DCR|DCR|2VULN|2DMG	1MBVNT|28ERES|3RMIN|48DMG|5FEWX|6CGEN|78VULN|8BPWR|9aRCR
44	43622 45313	 * 	266.57	DCR|DCR|2TLV|1VULN|1CDMG|1AAC	1AEBURN|2CDMG|3MBVNT|4VULN|59TLV|6RAT|78RCR|aAAC
