0	Index      	 *	Score 	Summary	Detail	
1	16131 31461	 * 	270.69	DCR|DCR|2VULN|2MLV|1AART	1AART|28VULN|3FEWX|4RPLT|57MLV|6RAT|9aRCR
41	16233 63225	   	242.79	DCR|DCR|2VULN|1AART	1AART|26VULN|38RAT|4MGNSTR|5CGEN|7aRCR|9BEXP
42	35112 66231	   	242.79	DCR|DCR|2VULN|1CDMG|1AAC	1RMIN|2FRZICY|3CDMG|4CGEN|5RPLT|69RCR|7AAC|8aVULN
43	16234 33325	   	242.79	DCR|DCR|2VULN|1AART	1AART|28VULN|35RAT|4MGNSTR|6CGEN|7aRCR|9BEXP
44	36614 33312	 * 	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1RMIN|26DUR|3LIT|4RAT|5MBVNT|79RCR|8CDMG|aVULN
45	22114 68312	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	1AME|2LIT|37DUR|4RAT|5MBVNT|69RCR|8CDMG|aVULN
46	13352 44121	   	242.45	DCR|DCR|2VULN|1AART|1NUKE|1SELL	1AART|2SELL|37VULN|4NUKE|5LWND|6LIT|89RCR|aFEWX
47	13352 44122	   	242.45	DCR|DCR|2VULN|1AART|1NUKE|1SELL	1AART|2SELL|37VULN|4NUKE|5LWND|6LIT|89RCR|aBEXP
48	13353 44121	   	242.45	DCR|DCR|2VULN|1AART|1NUKE|1SELL	1AART|2SELL|37VULN|4NUKE|5LHND|6LIT|89RCR|aFEWX
49	13353 44122	   	242.45	DCR|DCR|2VULN|1AART|1NUKE|1SELL	1AART|2SELL|37VULN|4NUKE|5LHND|6LIT|89RCR|aBEXP
50	13135 35123	   	242.45	DCR|DCR|2VULN|1AART|1AAC|1SELL	1AART|2SELL|3LEGI|4AAC|5DMSP|6LIT|7aVULN|89RCR
51	13353 41123	   	242.45	DCR|DCR|2VULN|1AART|1NUKE|1SELL	1AART|2SELL|3aVULN|4NUKE|57LHND|6LIT|89RCR
52	13135 35124	   	242.45	DCR|DCR|1VULN|1TLV|1AART|1AAC|1SELL	1AART|2SELL|3LEGI|4AAC|5DMSP|6LIT|7VULN|89RCR|aTLV
53	13353 41124	   	242.45	DCR|DCR|1VULN|1TLV|1AART|1NUKE|1SELL	1AART|2SELL|3VULN|4NUKE|57LHND|6LIT|89RCR|aTLV
54	13132 25123	   	242.35	DCR|DCR|2VULN|1AART|1AAC|1SELL	1AART|2SELL|3LEGI|4AAC|5LIT|6AEWIND|7aVULN|89RCR
55	13132 25124	   	242.35	DCR|DCR|1VULN|1TLV|1AART|1AAC|1SELL	1AART|2SELL|3LEGI|4AAC|5LIT|6AEWIND|7VULN|89RCR|aTLV
56	34113 35125	   	242.35	DCR|DCR|1VULN|1TLV|1AART|1NUKE|1SELL	1RMIN|2NUKE|3SELL|4LIT|5ERES|6AART|7VULN|89RCR|aTLV
57	12146 12323	   	241.91	ACR|DCR|2VULN|2AART|1CDMG	17AART|29RCR|3LHND|4CDMG|5LIT|6aVULN|8ASPD
58	12245 24323	   	241.91	ACR|DCR|2VULN|2AART|1CDMG	14AART|29RCR|3BOSS|5aVULN|6LHND|7CDMG|8ASPD
59	12146 12324	 * 	241.91	ACR|DCR|1VULN|2AART|1TLV|1CDMG	17AART|29RCR|3LHND|4CDMG|5LIT|6VULN|8ASPD|aTLV
