0	Index      	 *	Score 	Summary	Detail	
1	22253 25426	 * 	192.82	DCR|3VULN|2DMG|1AART|3DUR	19aDUR|2MBVNT|36aVULN|4aDMG|5AART|7RMIN|8RCR|aBPWR
16	62224 34348	   	182.17	DCR|3VULN|2DMG|1AART|1ZMB	1BEXP|2MBVNT|356VULN|46DMG|6BPWR|7ZMB|8DUST|9RCR|aAART
17	23223 11343	 * 	181.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|23VULN|5LHND|6AART|78DMG|9CDMG|aRCR
18	23264 32432	 * 	180.39	DCR|3VULN|2DMG|1CDMG|1ASPD|1DUR	1DUR|238VULN|4CDMG|5ASPD|6LHND|7RCR|9aDMG
19	23264 22432	   	180.29	DCR|3VULN|2DMG|1CDMG|1ASPD|1DUR	1DUR|238VULN|4CDMG|5ASPD|6DUST|7RCR|9aDMG
20	13235 11343	   	180.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LWND|23VULN|4CGEN|5ZMB|6AART|78DMG|9CDMG|aRCR
21	33235 11343	   	180.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LHND|23VULN|4CGEN|5ZMB|6AART|78DMG|9CDMG|aRCR
22	63235 11343	   	180.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BEXP|23VULN|4CGEN|5ZMB|6AART|78DMG|9CDMG|aRCR
23	22253 48415	   	180.08	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	17DUR|2MBVNT|3aVULN|47DMG|5AART|67ERES|7BPWR|8RCR|9ASPD
24	22253 63334	   	180.06	DCR|3VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2MBVNT|389VULN|4DMG|5AART|6FLTHEA|aRCR
25	22253 62434	   	180.06	DCR|3VULN|1AART|1DMG|1FLTHEA|2DUR	18DUR|2MBVNT|379VULN|4DMG|5AART|6FLTHEA|aRCR
26	23222 41325	 * 	179.82	DCR|4VULN|1AART|3DUR|1CDMG	145DUR|2367VULN|7BPWR|8RCR|9CDMG|aAART
27	12817 41418	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|3CDMG|4DUR|5AART|6RCR|7DMG|89VULN|aZMB
28	32817 41418	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|2MBVNT|3CDMG|4DUR|5AART|6RCR|7DMG|89VULN|aZMB
29	23223 11643	   	179.56	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	14DUR|238VULN|5LHND|6AART|7DMG|9CDMG|aRCR
30	23223 15143	   	179.56	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	14DUR|237VULN|5LHND|6AART|8DMG|9CDMG|aRCR
31	12254 34881	   	179.31	DCR|3VULN|2DMG|1AART|1DUR	1LWND|2MBVNT|356VULN|46DMG|6BPWR|7LSRHEA|8AART|9RCR|aDUR
32	12331 26528	   	179.17	DCR|3VULN|2DMG|1AART	1aLWND|2MBVNT|3FEWX|49aVULN|5AART|6RMIN|7RCR|8aDMG|aBPWR
33	12343 16528	   	179.17	DCR|3VULN|2DMG|1AART	1aLWND|2MBVNT|3FEWX|4RMIN|5AART|69aVULN|7RCR|8aDMG|aBPWR
34	32331 26528	   	179.17	DCR|3VULN|2DMG|1AART	1aLHND|2MBVNT|3FEWX|49aVULN|5AART|6RMIN|7RCR|8aDMG|aBPWR
35	32343 16528	   	179.17	DCR|3VULN|2DMG|1AART	1aLHND|2MBVNT|3FEWX|4RMIN|5AART|69aVULN|7RCR|8aDMG|aBPWR
36	13235 11643	   	178.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|238VULN|4CGEN|5ZMB|6AART|7DMG|9CDMG|aRCR
37	33235 11643	   	178.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|238VULN|4CGEN|5ZMB|6AART|7DMG|9CDMG|aRCR
38	12831 41411	   	178.03	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2MBVNT|3CDMG|4AART|5BEXP|6RCR|7DMG|89aVULN
39	32831 41411	   	178.03	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2MBVNT|3CDMG|4AART|5BEXP|6RCR|7DMG|89aVULN
40	12253 62381	   	177.17	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1LWND|2MBVNT|378VULN|4DMG|5AART|6FLTHEA|9RCR|aDUR
41	13121 16164	   	177.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|267VULN|3ZMB|4CDMG|5RCVC|8AART|9DMG|aRCR
42	33121 16164	   	177.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|267VULN|3ZMB|4CDMG|5RCVC|8AART|9DMG|aRCR
43	22253 48426	   	176.96	DCR|2VULN|2DMG|1AART|3DUR	179DUR|2MBVNT|3aVULN|47DMG|5AART|67ERES|7BPWR|8RCR
44	12253 32487	   	176.70	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1LWND|2MBVNT|38VULN|49DMG|5AART|6ASPD|7CDMG|aRCR
45	22253 23334	   	176.70	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1DUR|2MBVNT|36VULN|48DMG|5AART|7RCVC|9FLTHEA|aRCR
46	32253 32487	   	176.70	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1LHND|2MBVNT|38VULN|49DMG|5AART|6ASPD|7CDMG|aRCR
47	13212 11343	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LWND|23VULN|4RCVC|5DUR|6AART|78DMG|9CDMG|aRCR
48	23213 11343	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|23VULN|4RCVC|5LHND|6AART|78DMG|9CDMG|aRCR
49	25232 11343	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|25LHND|34VULN|6AART|78DMG|9CDMG|aRCR
50	33212 11343	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|23VULN|4RCVC|5DUR|6AART|78DMG|9CDMG|aRCR
51	33222 11343	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15LHND|23VULN|4DUR|6AART|78DMG|9CDMG|aRCR
52	22253 48414	   	176.15	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	17DUR|2MBVNT|3VULN|47DMG|5AART|67ERES|7BPWR|8RCR|9ASPD|aCDMG
53	22253 68434	   	175.86	DCR|2AART|2VULN|1DMG|1FLTHEA|2DUR	18DUR|2MBVNT|39VULN|4DMG|57AART|6FLTHEA|aRCR
54	23261 63311	   	175.75	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|23aVULN|4CDMG|5ERES|6RCR|7aDMG|8LHND|9aDUST|aBPWR
55	22283 62334	   	175.75	DCR|4VULN|1AART|1FLTHEA|1DUR|1ASPD	1DUR|2MBVNT|3789VULN|4ASPD|5AART|6FLTHEA|aRCR
56	12831 24711	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2MBVNT|3CDMG|4AART|5BEXP|69aVULN|7RCR|8DMG
57	22284 34462	 * 	175.62	DCR|3VULN|1DMG|2ASPD|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|356VULN|46ASPD|6BPWR|7ZMB|8CDMG|9RCR|aDMG
58	14333 31125	 * 	175.22	DCR|3DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1LWND|2SELL|3VULN|4AART|5CDMG|678DMG|9DUR|aRCR
59	12254 38524	 * 	174.99	DCR|5VULN|2DMG	1LWND|2MBVNT|3568aVULN|46DMG|6BPWR|7RPLT|9RCR
60	62224 38524	   	174.99	DCR|5VULN|2DMG	1BEXP|2MBVNT|3568aVULN|46DMG|6BPWR|7RPLT|9RCR
61	12817 41438	 * 	174.98	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1SELL	1aLWND|2MBVNT|3aCDMG|4DUR|5AART|6RCR|7DMG|8aVULN|9SELL|aBPWR
62	12253 62414	   	174.77	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1LWND|2MBVNT|379VULN|4DMG|5AART|6FLTHEA|8DUR|aRCR
63	32253 62414	   	174.77	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1LHND|2MBVNT|379VULN|4DMG|5AART|6FLTHEA|8DUR|aRCR
64	62223 37734	 * 	174.77	DCR|3DMG|1AART|1VULN|1FLTHEA|1ASPD	1BEXP|2MBVNT|3VULN|478DMG|5AART|6ASPD|9FLTHEA|aRCR
65	22253 62114	   	174.77	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|379VULN|4DMG|5AART|6FLTHEA|8FEWX|aRCR
66	22253 62374	   	174.77	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|378VULN|4DMG|5AART|6FLTHEA|9LWND|aRCR
67	22253 67334	   	174.77	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|389VULN|4DMG|5AART|6FLTHEA|7RCVC|aRCR
68	22253 62324	   	174.67	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|378VULN|4DMG|5AART|6FLTHEA|9LEGI|aRCR
69	22253 62364	   	174.67	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|378VULN|4DMG|5AART|6FLTHEA|9ERES|aRCR
70	22253 62714	   	174.67	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|379VULN|4DMG|5AART|6FLTHEA|8DUST|aRCR
71	32253 22484	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2MBVNT|36VULN|49DMG|5AART|7ERES|8RCR|aCDMG
72	13221 31643	   	174.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LWND|23VULN|4DUR|5BEXP|68DMG|7CDMG|9AART|aRCR
73	13242 31643	   	174.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LWND|23VULN|4BEXP|5DUR|68DMG|7CDMG|9AART|aRCR
74	23243 31643	   	174.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|23VULN|4BEXP|5LHND|68DMG|7CDMG|9AART|aRCR
75	25231 31643	   	174.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2LHND|34VULN|5BEXP|68DMG|7CDMG|9AART|aRCR
76	33221 31643	   	174.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|23VULN|4DUR|5BEXP|68DMG|7CDMG|9AART|aRCR
77	33242 31643	   	174.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|23VULN|4BEXP|5DUR|68DMG|7CDMG|9AART|aRCR
78	63223 31643	   	174.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|23VULN|4DUR|5LHND|68DMG|7CDMG|9AART|aRCR
79	22254 36724	   	174.40	DCR|4VULN|2DMG|2DUR	17DUR|2MBVNT|356aVULN|46DMG|6BPWR|8RPLT|9RCR
80	13212 11643	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|238VULN|4RCVC|5DUR|6AART|7DMG|9CDMG|aRCR
81	13212 15143	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|237VULN|4RCVC|5DUR|6AART|8DMG|9CDMG|aRCR
82	23213 11643	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|238VULN|4RCVC|5LHND|6AART|7DMG|9CDMG|aRCR
83	23213 15143	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|237VULN|4RCVC|5LHND|6AART|8DMG|9CDMG|aRCR
84	25232 11643	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|25LHND|348VULN|6AART|7DMG|9CDMG|aRCR
85	25232 15143	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|25LHND|347VULN|6AART|8DMG|9CDMG|aRCR
86	33212 11643	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|238VULN|4RCVC|5DUR|6AART|7DMG|9CDMG|aRCR
87	33212 15143	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|237VULN|4RCVC|5DUR|6AART|8DMG|9CDMG|aRCR
88	33222 11643	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	15LHND|238VULN|4DUR|6AART|7DMG|9CDMG|aRCR
89	33222 15143	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	15LHND|237VULN|4DUR|6AART|8DMG|9CDMG|aRCR
90	12817 41471	   	174.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1LWND|2MBVNT|3CDMG|49DUR|5AART|6RCR|7DMG|8aVULN
91	32817 41471	   	174.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1LHND|2MBVNT|3CDMG|49DUR|5AART|6RCR|7DMG|8aVULN
92	23264 32422	   	173.81	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|238VULN|4CDMG|5ASPD|6LHND|7RCR|9ZMB|aDMG
93	23264 22422	   	173.71	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|238VULN|4CDMG|5ASPD|6DUST|7RCR|9ZMB|aDMG
94	22252 34847	   	173.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2MBVNT|36VULN|46DMG|5RCVC|6BPWR|7ZMB|8BEXP|9RCR|aAART
95	22252 34347	   	173.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2MBVNT|36VULN|46DMG|5RCVC|6BPWR|7ZMB|8DUST|9RCR|aAART
96	12831 41418	   	173.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2MBVNT|3CDMG|4AART|5BEXP|6RCR|7DMG|89VULN|aZMB
97	32831 41418	   	173.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2MBVNT|3CDMG|4AART|5BEXP|6RCR|7DMG|89VULN|aZMB
98	13264 22432	   	173.35	DCR|3VULN|2DMG|1CDMG|1ASPD	1LWND|238VULN|4CDMG|5ASPD|6DUST|7RCR|9aDMG
99	13264 32432	   	173.35	DCR|3VULN|2DMG|1CDMG|1ASPD	1LWND|238VULN|4CDMG|5ASPD|6LEGI|7RCR|9aDMG
100	33264 22432	   	173.35	DCR|3VULN|2DMG|1CDMG|1ASPD	1LHND|238VULN|4CDMG|5ASPD|6DUST|7RCR|9aDMG
101	33264 32432	   	173.35	DCR|3VULN|2DMG|1CDMG|1ASPD	1LHND|238VULN|4CDMG|5ASPD|6LEGI|7RCR|9aDMG
102	22253 25438	   	173.35	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|2MBVNT|36VULN|4aDMG|5AART|7RMIN|8RCR|9aLHND|aBPWR
103	12253 25428	   	173.35	DCR|2VULN|2DMG|1AART|2DUR	1aLWND|2MBVNT|36VULN|4aDMG|5AART|7RMIN|8RCR|9aDUR|aBPWR
104	32253 25428	   	173.35	DCR|2VULN|2DMG|1AART|2DUR	1aLHND|2MBVNT|36VULN|4aDMG|5AART|7RMIN|8RCR|9aDUR|aBPWR
105	62223 25428	   	173.35	DCR|2VULN|2DMG|1AART|2DUR	1aBEXP|2MBVNT|36VULN|4aDMG|5AART|7RMIN|8RCR|9aDUR|aBPWR
106	22251 53513	 * 	173.22	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1aDUR|2MBVNT|3aVULN|4DMG|5CGEN|6aCDMG|7DLOT|8RCR|9AART|aBPWR
107	23222 41365	   	173.11	DCR|4VULN|1AART|3DUR|1ASPD	145DUR|2367VULN|7BPWR|8RCR|9ASPD|aAART
108	22283 68334	   	173.09	DCR|3VULN|2AART|1FLTHEA|1DUR|1ASPD	1DUR|2MBVNT|389VULN|4ASPD|57AART|6FLTHEA|aRCR
109	62224 34346	   	173.07	DCR|4VULN|2DMG|1ZMB	1BEXP|2MBVNT|356aVULN|46DMG|6BPWR|7ZMB|8DUST|9RCR
110	22253 48443	   	173.05	DCR|2VULN|2DMG|1AART|2DUR	17DUR|2MBVNT|3aVULN|47DMG|5AART|679ERES|7BPWR|8RCR
111	23121 63463	   	172.88	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1DUR|2VULN|3ZMB|4CDMG|5RCVC|6RCR|7DMG|8LIT|9FLTHEA|aAART
112	22253 25415	   	172.86	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2MBVNT|36aVULN|4DMG|5AART|7RMIN|8RCR|9ASPD
113	23255 31143	 * 	172.77	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1DUR|23VULN|45ZMB|6ERES|7AART|8DMG|9CDMG|aRCR
114	21243 52124	   	172.76	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DUR|2DUST|37VULN|4DMG|5AART|6FLTHEA|8FEWX|9CDMG|aRCR
115	22253 22415	   	172.76	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|2MBVNT|36aVULN|4DMG|5AART|7ERES|8RCR|9ASPD
116	23262 63533	 * 	172.53	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	159DUR|23VULN|4CDMG|6AART|7BELT|8RCR|aDMG
117	13221 31443	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|238VULN|4DUR|5BEXP|6DMG|7CDMG|9AART|aRCR
118	13242 31443	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|238VULN|4BEXP|5DUR|6DMG|7CDMG|9AART|aRCR
119	23243 31443	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|238VULN|4BEXP|5LHND|6DMG|7CDMG|9AART|aRCR
120	25231 31443	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LHND|348VULN|5BEXP|6DMG|7CDMG|9AART|aRCR
121	33221 31443	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|238VULN|4DUR|5BEXP|6DMG|7CDMG|9AART|aRCR
122	33242 31443	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|238VULN|4BEXP|5DUR|6DMG|7CDMG|9AART|aRCR
123	63223 31443	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|238VULN|4DUR|5LHND|6DMG|7CDMG|9AART|aRCR
124	12254 34882	   	172.37	DCR|3VULN|2DMG|1AART	1LWND|2MBVNT|356VULN|46DMG|6BPWR|7LSRHEA|8AART|9RCR|aFEWX
125	12254 34883	   	172.37	DCR|3VULN|2DMG|1AART	1LWND|2MBVNT|356VULN|46DMG|6BPWR|7LSRHEA|8AART|9RCR|aBEXP
126	12252 34884	   	172.37	DCR|3VULN|2DMG|1AART	1LWND|2MBVNT|36aVULN|46DMG|5RCVC|6BPWR|7LSRHEA|8AART|9RCR
127	13152 15121	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|27VULN|3ZMB|4DUR|5BELT|6CDMG|8RCR|9DMG|aAART
128	13262 22121	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|23VULN|4CDMG|5DUR|6BELT|7ZMB|8RCR|9DMG|aAART
129	23132 15121	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|27VULN|3ZMB|4LHND|5BELT|6CDMG|8RCR|9DMG|aAART
130	23265 22121	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5LHND|6BELT|7ZMB|8RCR|9DMG|aAART
131	25242 15131	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2LHND|37VULN|4DMG|5BELT|6CDMG|8RCR|9ZMB|aAART
132	33152 15121	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|27VULN|3ZMB|4DUR|5BELT|6CDMG|8RCR|9DMG|aAART
133	33262 22121	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|23VULN|4CDMG|5DUR|6BELT|7ZMB|8RCR|9DMG|aAART
134	23142 15121	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|27VULN|3ZMB|4LEGI|5BELT|6CDMG|8RCR|9DMG|aAART
135	12253 22736	   	171.77	DCR|3DMG|2VULN|1AART	19LWND|2MBVNT|36VULN|489DMG|5AART|79ERES|9BPWR|aRCR
136	62223 22736	   	171.77	DCR|3DMG|2VULN|1AART	19BEXP|2MBVNT|36VULN|489DMG|5AART|79ERES|9BPWR|aRCR
137	24135 41411	   	171.67	DCR|3VULN|1AART|1DMG|1DUR|1SELL	1DUR|2SELL|3AART|4LHND|5MBVNT|6RCR|7DMG|89aVULN
138	13146 11125	   	171.62	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1LWND|2VULN|3ZMB|4DMSP|578DMG|6AART|9DUR|aRCR
139	33136 11125	   	171.62	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	14LHND|2VULN|3ZMB|578DMG|6AART|9DUR|aRCR
140	33146 11125	   	171.62	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2VULN|3ZMB|4DMSP|578DMG|6AART|9DUR|aRCR
141	23261 63353	   	171.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|23VULN|4CDMG|5ERES|6RCR|7DMG|8LHND|9AART
142	22254 64347	   	171.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|356VULN|4DMG|7ZMB|8DUST|9RCR|aAART
143	22234 34143	   	171.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|346VULN|56ERES|6BPWR|7ZMB|8DMG|9RCR|aAART
144	22234 64143	   	171.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|346VULN|5ERES|7ZMB|8DMG|9RCR|aAART
145	22253 32477	   	171.35	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	19DUR|2MBVNT|38VULN|4DMG|5AART|6ASPD|7CDMG|aRCR
146	22254 34844	   	171.30	DCR|3VULN|2DMG|2DUR|1ZMB	1aDUR|2MBVNT|356VULN|46DMG|6BPWR|7ZMB|8BEXP|9RCR
147	23262 63521	   	171.24	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	15DUR|239VULN|4CDMG|6AART|7BELT|8RCR|aASPD
148	12283 62384	   	171.21	DCR|4VULN|1AART|1FLTHEA|1ASPD	1LWND|2MBVNT|378aVULN|4ASPD|5AART|6FLTHEA|9RCR
149	22254 34344	   	171.20	DCR|3VULN|2DMG|2DUR|1ZMB	1aDUR|2MBVNT|356VULN|46DMG|6BPWR|7ZMB|8DUST|9RCR
150	22254 34547	   	171.20	DCR|3VULN|2DMG|2DUR|1ZMB	1aDUR|2MBVNT|356VULN|46DMG|6BPWR|7ZMB|8LEGI|9RCR
151	22424 71334	 * 	171.16	DCR|2AART|2DMG|1VULN|1FLTHEA|1DUR	1DUR|2MBVNT|3RCVC|46AART|5VULN|78DMG|9FLTHEA|aRCR
152	22424 73134	   	171.16	DCR|2AART|2VULN|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|3RCVC|46AART|57VULN|8DMG|9FLTHEA|aRCR
153	23261 63122	   	171.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5ERES|6RCR|7aDMG|8RMIN|9ZMB
154	12831 24718	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2MBVNT|3CDMG|4AART|5BEXP|69VULN|7RCR|8DMG|aZMB
155	22268 53442	   	170.95	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|2MBVNT|379VULN|4MLV|5aDMG|6CDMG|8RCR
156	22253 25414	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|36VULN|4DMG|5AART|7RMIN|8RCR|9ASPD|aCDMG
157	22253 32571	   	170.85	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|2MBVNT|3VULN|49DMG|5AART|6ASPD|7CDMG|8RCR|aLWND
158	22253 32572	   	170.85	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|3VULN|49DMG|5AART|6ASPD|7CDMG|8RCR|aBEXP
159	22253 32574	   	170.85	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|2MBVNT|3VULN|49DMG|5AART|6ASPD|7CDMG|8RCR|aMLV
160	23261 32453	 * 	170.85	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|238VULN|4CDMG|5ERES|6LEGI|7RCR|9aAART
