0	Index      	 *	Score 	Summary	Detail	
1	63513 22143	 * 	196.64	ACR|3VULN|3DMG|1AART	19aVULN|2LWND|3RCR|49aDMG|5TLV|6LIT|7AART|89aCGEN|9aBPWR
21	61523 21233	   	181.21	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|24DMG|3BELT|5AART|6BEXP|8DUR|9RCR
22	61523 22233	   	181.21	DCR|3VULN|2DMG|1AART|1DUR	18aVULN|24DMG|3BELT|5AART|6BEXP|7DUR|9RCR
23	61523 51233	   	181.11	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|24DMG|3BELT|5AART|6DUST|8DUR|9RCR
24	61523 52233	   	181.11	DCR|3VULN|2DMG|1AART|1DUR	18aVULN|24DMG|3BELT|5AART|6DUST|7DUR|9RCR
25	24512 36123	   	180.14	ACR|3VULN|3DMG|1ZMB	1DMSP|259DMG|3RPLT|4RCR|6ZMB|79aVULN|89LWND|9BPWR
26	63521 11631	   	180.01	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1aVULN|2LWND|3RCR|4ERES|5AART|68DMG|7DUR|9ASPD
27	62226 18442	   	180.01	DCR|3DMG|2VULN|1AART|1DUR	17VULN|27CGEN|3AART|4LEGI|5MBVNT|678DMG|7BPWR|9DUR|aRCR
28	61112 25432	 * 	179.47	DCR|2VULN|2DMG|2ZMB|2ASPD|1CDMG	18VULN|28DMG|39ASPD|4LHND|58ZMB|6RMIN|7RCR|8BPWR|aCDMG
29	12511 26215	   	179.18	ACR|2VULN|2DMG|1AART|1CDMG	1CGEN|2BASICY|3RCR|4CDMG|5LWND|6AART|79DMG|8aVULN
30	61162 35322	 * 	179.03	DCR|3VULN|2DMG|1AART|2CDMG|2ASPD|1SELL	147VULN|29DMG|37ASPD|5AART|67CDMG|7BPWR|8SELL|aRCR
31	41162 53111	   	178.83	DCR|2DMG|2AART|1VULN|2ASPD|1ZMB	1LHND|27DMG|3aASPD|4VULN|5ZMB|69AART|8RCR
32	61112 53111	   	178.83	DCR|2DMG|2AART|1VULN|2ASPD|1ZMB	1VULN|27DMG|3aASPD|4LHND|5ZMB|69AART|8RCR
33	61152 52111	   	178.83	DCR|2DMG|2AART|1VULN|2ASPD|1ZMB	1VULN|27DMG|3aASPD|4BEXP|5ZMB|69AART|8RCR
34	24211 34336	   	178.77	DCR|3DMG|2VULN|1AART	1DMSP|249DMG|345FEWX|49BPWR|6RCR|79VULN|89LIT|aAART
35	63514 23323	 * 	178.69	ACR|2VULN|2DMG|1AART|2ZMB	1aVULN|2LWND|3RCR|4aDMG|5LIT|6LEGI|7TLV|8aZMB|9AART|aBPWR
36	41162 53131	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LHND|27DMG|3ASPD|4aVULN|5ZMB|6AART|8RCR|9LWND
37	61112 53131	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aVULN|27DMG|3ASPD|4LHND|5ZMB|6AART|8RCR|9LWND
38	61152 52131	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aVULN|27DMG|3ASPD|4BEXP|5ZMB|6AART|8RCR|9LWND
39	63521 11331	   	178.08	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	18aVULN|2LWND|3RCR|4ERES|5AART|6DMG|7DUR|9ASPD
40	63521 22324	 * 	177.85	ACR|3VULN|1AART|1DMG|1CDMG	18aVULN|2LWND|3RCR|4ERES|5AART|6LHND|7CDMG|9DMG
41	61563 21233	   	177.72	DCR|4VULN|1AART|1DMG|1DUR	147aVULN|2DMG|3BELT|5AART|6BEXP|8DUR|9RCR
42	61563 22233	   	177.72	DCR|4VULN|1AART|1DMG|1DUR	148aVULN|2DMG|3BELT|5AART|6BEXP|7DUR|9RCR
43	43331 15324	 * 	177.53	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2LWND|3MLV|4CDMG|5AART|6RCR|78aVULN|9DMG
44	63512 31431	   	176.88	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	16aVULN|2LWND|3RCR|4DMG|5ERES|7AART|8DUR|9ASPD
45	12143 26215	   	176.68	ACR|2VULN|2DMG|1AART|1CDMG	1CGEN|2BASICY|3LEGI|4RCR|5CDMG|6AART|79DMG|8aVULN
46	23635 32633	 * 	176.66	ACR|2AART|2VULN|1DMG|2CDMG	1DMSP|2aCGEN|39AART|4DMG|5RCR|6aCDMG|7BELT|8aVULN|aBPWR
47	23635 31622	   	176.38	ACR|2VULN|2DMG|1AART|1CDMG	1DMSP|2aCGEN|3AART|4aDMG|5RCR|6CDMG|7ERES|8aVULN|9RMIN|aBPWR
48	63236 14112	   	176.18	DCR|3VULN|1AART|1DMG|1ZMB	145VULN|25LWND|3AART|5BPWR|6RCR|7CGEN|8ZMB|9DMG|aRPLT
49	63236 14113	   	176.08	DCR|3VULN|1AART|1DMG|1ZMB	145VULN|25LWND|3AART|5BPWR|6RCR|7CGEN|8ZMB|9DMG|aERES
50	63236 16112	   	176.08	DCR|3VULN|1AART|1DMG|1ZMB	145VULN|25LWND|3AART|5BPWR|6RCR|7NUKE|8ZMB|9DMG|aRPLT
51	61135 13113	   	176.06	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	1VULN|27DMG|3ASPD|49AART|5MLV|6BEXP|8RCR|aCDMG
52	61112 53153	   	176.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1VULN|27DMG|3ASPD|4LHND|5ZMB|6AART|8RCR|9RCVC|aCDMG
53	63236 16113	   	175.98	DCR|3VULN|1AART|1DMG|1ZMB	145VULN|25LWND|3AART|5BPWR|6RCR|7NUKE|8ZMB|9DMG|aERES
54	61112 53531	   	175.96	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aVULN|27DMG|3ASPD|4LHND|5ZMB|6AART|8LWND|9RCR
55	61115 21263	   	175.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1VULN|26DMG|3ASPD|4LHND|5BELT|7RCR|8AART|9CDMG|aZMB
56	61144 13113	   	175.46	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	1VULN|27DMG|3ASPD|4MLV|59AART|6BEXP|8RCR|aCDMG
57	61162 24113	 * 	175.46	DCR|2VULN|2AART|1DMG|1CDMG|1ASPD	14VULN|2DMG|3ASPD|59AART|6BEXP|7CGEN|8RCR|aCDMG
58	61136 24111	 * 	175.44	DCR|2AART|2DMG|3ASPD|1VULN	1VULN|25DMG|35aASPD|49AART|5BPWR|6BEXP|7CGEN|8RCR
59	61636 23331	   	175.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1aVULN|25DMG|35ERES|4AART|5BPWR|6BEXP|7DUR|8RCR|9ASPD
60	61162 13215	   	175.32	DCR|4VULN|1AART|1DMG|1ASPD	1479VULN|2DMG|3ASPD|5AART|6RMIN|8LIT|aRCR
61	61632 12234	   	175.30	DCR|2AART|2VULN|2DMG|1DUR	18VULN|28DMG|3ERES|47AART|5DUR|68CGEN|8BPWR|9LIT|aRCR
62	61136 24131	   	175.26	DCR|2VULN|2DMG|1AART|2ASPD	1aVULN|25DMG|35ASPD|4AART|5BPWR|6BEXP|7CGEN|8RCR|9LWND
63	61132 14215	   	175.20	DCR|2AART|2VULN|2DMG|1ASPD	19VULN|27DMG|3ASPD|45AART|6RMIN|8LIT|aRCR
64	61151 53113	   	174.86	DCR|2DMG|2AART|1VULN|1CDMG|1ASPD	1VULN|27DMG|3ASPD|4BEXP|5MLV|69AART|8RCR|aCDMG
65	63236 13343	   	174.85	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	145VULN|25LWND|3AART|5BPWR|6RCR|7RCVC|8ASPD|9DUR|aCDMG
66	61136 35332	   	174.54	3VULN|3DMG|1AART|3ASPD|2CDMG	17aVULN|258DMG|357ASPD|4AART|57BPWR|67CDMG|9FEWX
67	61136 35312	   	174.44	3VULN|3DMG|1AART|3ASPD|2CDMG	17aVULN|258DMG|357ASPD|4AART|57BPWR|67CDMG|9DUST
68	61112 53126	   	174.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1VULN|27DMG|3ASPD|4LHND|5ZMB|6AART|8RCR|9RPLT|aCDMG
69	63236 13211	   	174.32	DCR|3VULN|1AART|1DMG|1ASPD	145VULN|25LWND|3AART|5BPWR|6RCR|7RCVC|8BEXP|9DMG|aASPD
70	63236 13511	   	174.32	DCR|3VULN|1AART|1DMG|1ASPD	145VULN|25LWND|3AART|5BPWR|6RCR|7RCVC|8FEWX|9DMG|aASPD
71	61523 21433	   	174.27	DCR|3VULN|2DMG|1AART	17aVULN|24DMG|3BELT|5AART|6BEXP|8LWND|9RCR
72	63236 13111	   	174.22	DCR|3VULN|1AART|1DMG|1ASPD	145VULN|25LWND|3AART|5BPWR|6RCR|7RCVC|8LEGI|9DMG|aASPD
73	63236 13611	   	174.22	DCR|3VULN|1AART|1DMG|1ASPD	145VULN|25LWND|3AART|5BPWR|6RCR|7RCVC|8DUST|9DMG|aASPD
74	61523 25233	   	174.17	DCR|3VULN|2DMG|1AART	18aVULN|24DMG|3BELT|5AART|6BEXP|7LEGI|9RCR
75	61523 53233	   	174.17	DCR|3VULN|2DMG|1AART	18aVULN|24DMG|3BELT|5AART|6DUST|7BEXP|9RCR
76	63221 36331	   	174.06	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	17aVULN|2LWND|3AART|4ASPD|5ERES|6DUR|8RCR|9DMG
77	61632 26331	   	173.46	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	17aVULN|2DMG|3ERES|4AART|5DUR|6LWND|8RCR|9ASPD
78	61632 36331	   	173.36	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	17aVULN|2DMG|3ERES|4AART|5DUR|6DUST|8RCR|9ASPD
79	61132 13215	 * 	173.27	DCR|3VULN|2AART|1DMG|1ASPD	179VULN|2DMG|3ASPD|45AART|6RMIN|8LIT|aRCR
80	63511 62321	 * 	173.24	ACR|3VULN|2DMG|2ZMB	19aVULN|2LWND|3RCR|49DMG|5DMSP|6RCVC|7RPLT|89ZMB|9BPWR
81	51313 25125	   	172.87	DCR|3VULN|2DMG|1AART	14BEXP|24DMG|3RCVC|4BPWR|578VULN|6SNIHEL|9AART|aRCR
82	61112 25422	   	172.85	DCR|2VULN|2DMG|2ZMB|1CDMG|1ASPD	18VULN|28DMG|3ASPD|4LHND|58ZMB|6RMIN|7RCR|8BPWR|9DMSP|aCDMG
83	61112 25433	   	172.75	DCR|2VULN|2DMG|2ZMB|2ASPD|1DUR	18VULN|28DMG|39ASPD|4LHND|58ZMB|6RMIN|7RCR|8BPWR|aDUR
84	51316 34333	   	172.62	DCR|3DMG|2VULN|1CDMG	145BEXP|249DMG|3RCVC|49BPWR|6RCR|79VULN|89LIT|aCDMG
85	61112 52114	 * 	172.55	DCR|3AART|1DMG|1VULN|1FLTHEA|1ZMB|1ASPD	1VULN|2DMG|3ASPD|4LHND|5ZMB|679AART|8RCR|aFLTHEA
86	61523 21232	   	172.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	17VULN|24DMG|3BELT|5AART|6BEXP|8DUR|9RCR|aASPD
87	61523 22232	   	172.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	18VULN|24DMG|3BELT|5AART|6BEXP|7DUR|9RCR|aASPD
88	61523 51232	   	172.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	17VULN|24DMG|3BELT|5AART|6DUST|8DUR|9RCR|aASPD
89	61523 52232	   	172.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	18VULN|24DMG|3BELT|5AART|6DUST|7DUR|9RCR|aASPD
90	41162 52131	   	172.22	DCR|2VULN|2AART|1DMG|1ZMB|1ASPD	1LHND|2DMG|3ASPD|4aVULN|5ZMB|67AART|8RCR|9LWND
91	61112 52131	   	172.22	DCR|2VULN|2AART|1DMG|1ZMB|1ASPD	1aVULN|2DMG|3ASPD|4LHND|5ZMB|67AART|8RCR|9LWND
92	61112 53114	   	172.22	DCR|2DMG|2AART|1VULN|1ZMB|1ASPD	1VULN|27DMG|3ASPD|4LHND|5ZMB|69AART|8RCR|aCGEN
93	61112 53115	   	172.22	DCR|2DMG|2AART|1VULN|1ZMB|1ASPD	1VULN|27DMG|3ASPD|4aLHND|5ZMB|69AART|8RCR
94	61152 53131	   	172.22	DCR|2VULN|2AART|1DMG|1ZMB|1ASPD	1aVULN|2DMG|3ASPD|4BEXP|5ZMB|67AART|8RCR|9LWND
95	41162 53112	   	172.12	DCR|2DMG|2AART|1VULN|1ZMB|1ASPD	1LHND|27DMG|3ASPD|4VULN|5ZMB|69AART|8RCR|aDUST
96	61112 53112	   	172.12	DCR|2DMG|2AART|1VULN|1ZMB|1ASPD	1VULN|27DMG|3ASPD|4LHND|5ZMB|69AART|8RCR|aDUST
97	61152 52112	   	172.12	DCR|2DMG|2AART|1VULN|1ZMB|1ASPD	1VULN|27DMG|3ASPD|4BEXP|5ZMB|69AART|8RCR|aDUST
98	63521 11111	   	171.78	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1aVULN|2LWND|3RCR|4ERES|5AART|6DMG|79DUR|8ZMB
99	61422 31331	   	171.66	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	16aVULN|2DMG|3BEXP|4DUR|5ERES|7AART|8RCR|9ASPD
100	61112 53215	   	171.62	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1VULN|279DMG|3ASPD|4LHND|5ZMB|6AART|8CGEN|aRCR
101	61535 12321	   	171.47	ACR|2VULN|2DMG|1AART|2DUR	18VULN|28DMG|3BELT|4LWND|5RCR|6BEXP|78DUR|8BPWR|9AART|aMLV
102	61535 12322	   	171.47	ACR|2VULN|2DMG|1AART|2DUR	18VULN|28DMG|3BELT|4LWND|5RCR|6BEXP|78DUR|8BPWR|9AART|aLIT
103	61132 35114	 * 	171.44	4VULN|2AART|2CDMG|1DMG|2ASPD|1ZMB	178aVULN|2DMG|37ASPD|45AART|67CDMG|7BPWR|9ZMB
104	12243 26225	   	171.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CGEN|2BASICY|39DUR|4RCR|5CDMG|6AART|7DMG|8aVULN
105	61535 12323	   	171.37	ACR|2VULN|2DMG|1AART|2DUR	18VULN|28DMG|3BELT|4LWND|5RCR|6BEXP|78DUR|8BPWR|9AART|aDUST
106	61132 65313	   	171.32	DCR|2AART|2DMG|1VULN|2ASPD	1VULN|28DMG|3aASPD|45AART|6BASICY|7RCR|9BEXP
107	23635 34133	 * 	171.25	ACR|2VULN|1AART|3CDMG|1DMG	1DMSP|2aCGEN|3AART|4DMG|5RCR|67aCDMG|8aVULN|9BELT|aBPWR
108	43521 16331	   	171.14	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2LWND|3RCR|4ERES|5AART|6DMG|78aVULN|9ASPD
109	63521 13243	   	171.14	ACR|3DMG|1AART|1VULN|1ASPD	1VULN|2LWND|3RCR|4ERES|5AART|68aDMG|7RPLT|9ASPD
110	63521 14311	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	18aVULN|2LWND|3RCR|4ERES|5AART|6DMG|7MLV|9DUR
111	63521 16211	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	17aVULN|2LWND|3RCR|4ERES|5AART|6DMG|8CGEN|9DUR
112	63521 11361	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	189VULN|2LWND|3RCR|4ERES|5AART|6DMG|7DUR|aRPLT
113	63521 11362	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	189VULN|2LWND|3RCR|4ERES|5AART|6DMG|7DUR|aRMIN
114	63521 16131	   	171.04	ACR|3VULN|1AART|1DMG|1ASPD	17aVULN|2LWND|3RCR|4ERES|5AART|6DMG|8DUST|9ASPD
115	63521 11363	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	189VULN|2LWND|3RCR|4ERES|5AART|6DMG|7DUR|aMBVNT
116	22363 53142	 * 	170.87	DCR|4VULN|2DMG	1DMSP|2479VULN|3FEWX|59MGNLIT|6RCR|89DMG|9BPWR|aRCVC
117	61523 22133	   	170.85	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|24DMG|3BELT|5AART|6BEXP|78DUR|9RCR
118	51413 25133	   	170.81	DCR|3DMG|1AART|1VULN|2DUR	134BEXP|246DMG|46BPWR|56DUR|7RCR|8DUST|9VULN|aAART
119	61523 52133	   	170.75	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|24DMG|3BELT|5AART|6DUST|78DUR|9RCR
120	61563 21232	   	170.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	147VULN|2DMG|3BELT|5AART|6BEXP|8DUR|9RCR|aASPD
121	61563 22232	   	170.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	148VULN|2DMG|3BELT|5AART|6BEXP|7DUR|9RCR|aASPD
122	61136 13225	   	170.46	DCR|2VULN|2DMG|1AART|2ASPD	17VULN|25DMG|35ASPD|4AART|5BPWR|6RMIN|89LIT|aRCR
123	63562 13211	   	170.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	14VULN|2LWND|3RCR|5ZMB|6FEWX|7LHND|8DMG|9CDMG|aAART
124	63236 14121	   	170.22	DCR|4VULN|1AART|1ZMB	145aVULN|25LWND|3AART|5BPWR|6RCR|7CGEN|8ZMB|9LIT
125	63236 16121	   	170.12	DCR|4VULN|1AART|1ZMB	145aVULN|25LWND|3AART|5BPWR|6RCR|7NUKE|8ZMB|9LIT
126	61426 31331	   	170.11	DCR|3VULN|1AART|1DMG|2DUR	15aVULN|2DMG|3BEXP|45DUR|5BPWR|6TLV|7AART|8RCR|9CGEN
127	51543 11121	   	170.07	DCR|3DMG|2VULN|1AART	1BEXP|279DMG|3RPLT|46VULN|5LWND|8AART|aRCR
128	62141 21513	 * 	170.05	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	18VULN|2CGEN|38ASPD|48MLV|5RCR|6RMIN|7AART|8BPWR|9DMG|aCDMG
129	61426 31321	   	170.01	DCR|3VULN|1AART|1DMG|2DUR	15aVULN|2DMG|3BEXP|45DUR|5BPWR|6TLV|7AART|8RCR|9ERES
130	51316 34331	   	169.97	DCR|3DMG|2VULN|1ZMB	145BEXP|249DMG|3RCVC|49BPWR|6RCR|79VULN|89LIT|aZMB
131	63512 31211	   	169.94	ACR|3VULN|1AART|1DMG|1DUR	16aVULN|2LWND|3RCR|4DMG|5ERES|7AART|8CGEN|9DUR
132	63513 31211	   	169.94	ACR|3VULN|1AART|1DMG|1DUR	16aVULN|2LWND|3RCR|4DMG|5TLV|7AART|8CGEN|9DUR
133	63513 31431	   	169.94	ACR|3VULN|1AART|1DMG|1DUR	16aVULN|2LWND|3RCR|4DMG|5TLV|7AART|8DUR|9CGEN
134	61112 52153	   	169.88	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1VULN|2DMG|3ASPD|4LHND|5ZMB|67AART|8RCR|9RCVC|aCDMG
135	41165 21233	   	169.86	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|26DMG|3ASPD|49VULN|5BELT|7RCR|8AART|aRCVC
136	61115 21233	   	169.86	DCR|2VULN|2DMG|1AART|1ASPD	19VULN|26DMG|3ASPD|4LHND|5BELT|7RCR|8AART|aRCVC
137	24211 34134	   	169.85	DCR|2VULN|2DMG|1AART|1DUR	1DMSP|24DMG|345FEWX|4BPWR|6RCR|79VULN|8DUR|aAART
138	63512 31131	   	169.84	ACR|3VULN|1AART|1DMG|1ASPD	16aVULN|2LWND|3RCR|4DMG|5ERES|7AART|8DUST|9ASPD
139	63513 31421	   	169.84	ACR|3VULN|1AART|1DMG|1DUR	16aVULN|2LWND|3RCR|4DMG|5TLV|7AART|8DUR|9ERES
140	63523 41131	   	169.84	ACR|3VULN|1AART|1DMG|1ASPD	15aVULN|2LWND|3RCR|4ERES|6ASPD|7AART|8DUST|9DMG
141	63563 31111	   	169.84	ACR|3VULN|1AART|1DMG|1ASPD	146VULN|2LWND|3RCR|58DUST|7AART|9DMG|aASPD
142	66512 31131	   	169.84	ACR|3VULN|1AART|1DMG|1ASPD	16aVULN|2BEXP|3RCR|4DMG|5ERES|7AART|8DUST|9ASPD
143	61112 52531	   	169.82	DCR|2VULN|2AART|1DMG|1ZMB|1ASPD	1aVULN|2DMG|3ASPD|4LHND|5ZMB|67AART|8LWND|9RCR
144	23635 33531	   	169.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DMSP|2CGEN|3AART|48DMG|5RCR|6CDMG|7ZMB|9LWND|aVULN
145	23635 33511	   	169.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DMSP|2CGEN|3AART|48DMG|5RCR|6CDMG|7ZMB|9DUST|aVULN
146	23635 33613	   	169.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMSP|2CGEN|3AART|4DMG|5RCR|6CDMG|7ZMB|8aVULN|9ERES
147	61311 43421	   	169.58	ACR|2VULN|2DMG|1AART|1ASPD	18VULN|28DMG|3RCVC|4LWND|5RCR|6ASPD|78LHND|8BPWR|9AART|aRPLT
148	61311 43422	   	169.58	ACR|2VULN|2DMG|1AART|1ASPD	18VULN|28DMG|3RCVC|4LWND|5RCR|6ASPD|78LHND|8BPWR|9AART|aRMIN
149	61311 43423	   	169.48	ACR|2VULN|2DMG|1AART|1ASPD	18VULN|28DMG|3RCVC|4LWND|5RCR|6ASPD|78LHND|8BPWR|9AART|aMBVNT
150	24313 25125	   	169.47	DCR|3VULN|2DMG|1AART	1DMSP|24DMG|34BEXP|4BPWR|578VULN|6SNIHEL|9AART|aRCR
151	51213 25125	   	169.47	DCR|3VULN|2DMG|1AART	14BEXP|24DMG|3DMSP|4BPWR|578VULN|6SNIHEL|9AART|aRCR
152	22363 53141	   	169.47	DCR|4VULN|2DMG	1DMSP|2479VULN|3FEWX|59MGNLIT|6RCR|89DMG|9BPWR|aDUST
153	22363 53143	   	169.47	DCR|4VULN|2DMG	1DMSP|2479VULN|3FEWX|59MGNLIT|6RCR|89DMG|9BPWR|aLEGI
154	61132 44131	   	169.35	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1aVULN|2DMG|3ASPD|45AART|6DUR|7CGEN|8RCR|9LWND
155	24211 34333	   	169.21	DCR|3DMG|2VULN|1CDMG	1DMSP|249DMG|345FEWX|49BPWR|6RCR|79VULN|89LIT|aCDMG
156	24316 34333	   	169.21	DCR|3DMG|2VULN|1CDMG	1DMSP|249DMG|345BEXP|49BPWR|6RCR|79VULN|89LIT|aCDMG
157	51216 34333	   	169.21	DCR|3DMG|2VULN|1CDMG	145BEXP|249DMG|3DMSP|49BPWR|6RCR|79VULN|89LIT|aCDMG
158	61632 33331	   	169.15	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1aVULN|2DMG|3ERES|47AART|5DUR|6DUST|8RCR|9ASPD
159	24512 26123	   	169.14	ACR|3VULN|3DMG	1DMSP|259DMG|3RPLT|4RCR|6RMIN|79aVULN|89LWND|9BPWR
160	62132 52153	 * 	169.05	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1aVULN|2CGEN|3ASPD|4AART|5DUR|6FLTHEA|7BASICY|8DMG|9RCR
161	61135 13111	   	169.02	DCR|2AART|2DMG|1VULN|2ASPD	1VULN|27DMG|3aASPD|49AART|5MLV|6BEXP|8RCR
162	61136 24112	   	169.02	DCR|2AART|2DMG|1VULN|2ASPD	1VULN|25DMG|35ASPD|49AART|5BPWR|6BEXP|7CGEN|8RCR|aDUST
163	61112 53151	   	168.98	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	1VULN|27DMG|3aASPD|4LHND|5ZMB|6AART|8RCR|9RCVC
164	24231 34133	 * 	168.94	ACR|3DMG|1AART|3DUR|1CDMG	1DMSP|289DMG|3FEWX|489LHND|5RCR|6AART|789DUR|89BPWR|aCDMG
165	24231 34135	 * 	168.94	ACR|3DMG|1AART|3DUR|1FLTHEA	1DMSP|289DMG|3FEWX|489LHND|5RCR|6AART|789DUR|89BPWR|aFLTHEA
166	24331 64133	   	168.94	ACR|3DMG|1AART|3DUR|1CDMG	1DMSP|289DMG|3BEXP|489LHND|5RCR|6AART|789DUR|89BPWR|aCDMG
