0	Index      	 *	Score 	Summary	Detail	
1	41235 15231	 * 	193.61	DCR|3VULN|2AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|236VULN|47AART|5ZMB|8ASPD|9RCR|aDMG
15	11223 57141	   	186.45	ACR|2VULN|3CDMG|1DMG|2FLTHEA|1ZMB|1DUR	168CDMG|2DUR|3RCR|48FLTHEA|5MBVNT|78VULN|8BPWR|9DMG|aZMB
16	11223 17152	 * 	186.05	ACR|2VULN|1AART|2CDMG|2FLTHEA|1ZMB|1DUR	18CDMG|2DUR|3RCR|48FLTHEA|5MBVNT|6RCVC|78VULN|8BPWR|9ZMB|aAART
17	42132 26121	   	185.93	ACR|3VULN|3DMG|2DUR|1SELL	1aDUR|2RCR|38aVULN|4LHND|5LWND|6SELL|79aDMG|aBPWR
18	42133 66231	 * 	185.36	ACR|2VULN|2DMG|1AART|2DUR|1ASPD|1SELL	17DUR|2RCR|37VULN|4LHND|5MLV|67DMG|7BPWR|8SELL|9AART|aASPD
19	11221 16142	   	185.04	ACR|2VULN|1AART|2CDMG|1FLTHEA|2DUR|1ZMB	18CDMG|28DUR|3RCR|4FLTHEA|5DUST|6RCVC|78VULN|8BPWR|9ZMB|aAART
20	22122 13214	 * 	184.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LWND|2RCR|3aVULN|4ZMB|5LIT|6DUR|79DMG|8AART
21	22346 13214	   	184.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LWND|2RCR|3ZMB|4DUR|5aVULN|6LIT|79DMG|8AART
22	52122 13214	   	184.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LHND|2RCR|3aVULN|4ZMB|5LIT|6DUR|79DMG|8AART
23	42122 43214	   	184.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2RCR|3aVULN|4ZMB|5LIT|6LHND|79DMG|8AART
24	11242 63532	 * 	184.69	ACR|3DMG|3CDMG|1AART|3DUR	159CDMG|256DUR|3RCR|4RMIN|59aBPWR|79aDMG|8AART
25	15211 61332	 * 	184.53	ACR|3AART|2VULN|1DMG|2CDMG	1aCDMG|2aFEWX|3RCR|4MLV|579AART|6DMG|8aVULN|aBPWR
26	22114 31223	 * 	184.49	ACR|3VULN|2AART|1DMG|1DUR	1LWND|2RCR|37aVULN|4MGNLIT|5DUR|68AART|9DMG
27	52114 31223	   	184.49	ACR|3VULN|2AART|1DMG|1DUR	1LHND|2RCR|37aVULN|4MGNLIT|5DUR|68AART|9DMG
28	11223 44144	   	184.15	ACR|2VULN|1AART|2CDMG|2FLTHEA|1ZMB|1DUR	1aCDMG|2DUR|3RCR|4aFLTHEA|5MBVNT|6BEXP|7ZMB|8aVULN|9AART|aBPWR
29	13226 51332	 * 	184.11	DCR|3AART|2VULN|1DMG|2CDMG	1aCDMG|2aCGEN|3FEWX|4DMG|579AART|6RCR|8aVULN|aBPWR
30	13122 35636	   	183.55	DCR|3VULN|1AART|1DMG|2CDMG	17CDMG|27CGEN|3BEXP|4DMG|579VULN|6RCR|7BPWR|8AART|aRCVC
31	11223 23184	   	183.03	ACR|2VULN|1AART|2CDMG|1FLTHEA|2DUR|1ZMB	1aCDMG|2aDUR|3RCR|4FLTHEA|5MBVNT|6ZMB|7LEGI|8aVULN|9AART|aBPWR
32	22436 41233	 * 	182.88	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	14LWND|2RCR|34ASPD|4BPWR|5aVULN|6DMG|7DUR|8CDMG|9AART
33	11221 66142	   	182.43	ACR|2VULN|1AART|2CDMG|1FLTHEA|2DUR|1ZMB	18CDMG|28DUR|3RCR|4FLTHEA|56DUST|78VULN|8BPWR|9ZMB|aAART
34	22436 41211	   	182.28	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	14LWND|2RCR|34ASPD|4BPWR|59VULN|6DMG|7DUR|8CDMG|aAART
35	13122 35632	   	182.24	DCR|3VULN|1AART|1DMG|2CDMG	17CDMG|27CGEN|3BEXP|4DMG|579VULN|6RCR|7BPWR|8AART|aLWND
36	13122 35633	   	182.24	DCR|3VULN|1AART|1DMG|2CDMG	17CDMG|27CGEN|3BEXP|4DMG|579VULN|6RCR|7BPWR|8AART|aLHND
37	13122 35634	   	182.24	DCR|3VULN|1AART|1DMG|2CDMG	17CDMG|27CGEN|3BEXP|4DMG|579VULN|6RCR|7BPWR|8AART|aFEWX
38	13122 35613	   	182.14	DCR|3VULN|1AART|1DMG|2CDMG	17CDMG|27CGEN|3BEXP|4DMG|57aVULN|6RCR|7BPWR|8AART|9ERES
39	13122 35631	   	182.14	DCR|3VULN|1AART|1DMG|2CDMG	17CDMG|27CGEN|3BEXP|4DMG|579VULN|6RCR|7BPWR|8AART|aLSRHEA
40	13122 35635	   	182.14	DCR|3VULN|1AART|1DMG|2CDMG	17CDMG|27CGEN|3BEXP|4DMG|579VULN|6RCR|7BPWR|8AART|aDUST
41	61561 21333	   	182.04	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2RCVC|3ZMB|4CDMG|578VULN|6AART|9DMG|aRCR
42	11641 48451	 * 	181.86	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2DUR|3MBVNT|4aDMG|5AART|6ASPD|7ZMB|8RCR|9VULN
43	11641 48483	   	181.86	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2DUR|3MBVNT|49DMG|5AART|6ASPD|7ZMB|8RCR|aVULN
44	41235 25231	 * 	181.81	DCR|2AART|2VULN|1DMG|2ZMB|1ASPD|1DUR	1DUR|23VULN|47AART|56ZMB|8ASPD|9RCR|aDMG
45	41234 31533	   	181.78	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DUR|237VULN|4AART|5DMSP|68CDMG|9DMG|aRCR
46	12313 15115	 * 	181.71	DCR|3DMG|2VULN|2CDMG|2RCVC	19CDMG|25RCVC|3ERES|49aDMG|6RCR|7RPLT|89VULN|9BPWR
47	41414 12112	   	181.68	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|29VULN|3ASPD|4RCR|5ERES|6CDMG|7ZMB|8DMG|aAART
48	41416 12112	   	181.68	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|29VULN|3ASPD|4RCR|5TLV|6CDMG|7ZMB|8DMG|aAART
49	13122 35331	   	181.64	DCR|3VULN|1AART|1DMG|2CDMG	17CDMG|27CGEN|3BEXP|4DMG|57aVULN|6RCR|7BPWR|8BELT|9AART
50	41235 12235	 * 	181.49	DCR|4VULN|1AART|2DUR|1ZMB|1ASPD	17DUR|236aVULN|4AART|5ZMB|8ASPD|9RCR
51	11223 57147	 * 	181.49	ACR|2VULN|3CDMG|3FLTHEA|1DMG|1DUR	168CDMG|2DUR|3RCR|48aFLTHEA|5MBVNT|78VULN|8BPWR|9DMG
52	22133 66161	 * 	181.49	ACR|3DMG|2VULN|1AART	17LWND|2RCR|37VULN|4LHND|5CGEN|679DMG|7BPWR|8BEXP|aAART
53	22133 66361	   	181.39	ACR|3DMG|2VULN|1AART	17LWND|2RCR|37VULN|4LHND|5CGEN|679DMG|7BPWR|8DUST|aAART
54	11221 26313	   	181.34	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2DUR|3RCR|4FLTHEA|5DUST|6ZMB|7VULN|8AART|9DMG|aASPD
55	11223 27313	   	181.34	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2DUR|3RCR|4FLTHEA|5MBVNT|6ZMB|7VULN|8AART|9DMG|aASPD
56	42336 42113	 * 	181.12	ACR|3VULN|3ZMB|1DMG|2DUR	14DUR|2RCR|347ZMB|4BPWR|59aVULN|6DMG|8ERES
57	13122 35112	   	180.94	DCR|3VULN|1AART|1DMG|2CDMG	17CDMG|27CGEN|3BEXP|4DMG|579VULN|6RCR|7BPWR|8DUST|aAART
58	11223 67314	   	180.88	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1CDMG|2DUR|3RCR|4FLTHEA|5MBVNT|6TLV|7aVULN|8AART|9DMG
59	52122 13212	 * 	180.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LHND|2RCR|3VULN|4ZMB|5LIT|6DUR|79DMG|8AART|aCDMG
60	52346 13212	   	180.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LHND|2RCR|3ZMB|4DUR|5VULN|6LIT|79DMG|8AART|aCDMG
61	42122 43212	   	180.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2RCR|3VULN|4ZMB|5LIT|6LHND|79DMG|8AART|aCDMG
62	41234 31333	   	180.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	18DUR|237VULN|4AART|5DMSP|6CDMG|9DMG|aRCR
63	11223 57148	   	180.74	ACR|2VULN|3CDMG|1DMG|2FLTHEA|2DUR	168CDMG|2aDUR|3RCR|48FLTHEA|5MBVNT|78VULN|8BPWR|9DMG
64	15223 14844	   	180.69	ACR|2VULN|1AART|2CDMG|2FLTHEA|1ASPD|1DUR	1aCDMG|2FEWX|3RCR|4aFLTHEA|5MBVNT|6DUR|7ASPD|8AART|9aVULN|aBPWR
65	12143 51315	   	180.42	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	15CDMG|2RCVC|35FEWX|4RCR|5BPWR|6AART|78VULN|9ZMB|aDMG
66	12143 52262	 * 	180.42	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	15CDMG|2RCVC|35FEWX|4RCR|5BPWR|6AART|7ZMB|89DMG|aVULN
67	11223 67234	   	180.28	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1CDMG|2DUR|3RCR|4FLTHEA|5MBVNT|6TLV|7aVULN|8DMG|9AART
68	13126 51232	   	180.26	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2CGEN|3BEXP|4DMG|57AART|6RCR|8DUR|9aVULN
69	42313 16163	   	180.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2RCR|3ZMB|4RMIN|5BEXP|6CDMG|78DMG|9AART|aVULN
70	42126 11327	   	180.23	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1DUR|2RCR|3aVULN|4ZMB|5TLV|6aCDMG|7MBVNT|8ERES|9aDMG|aBPWR
71	15223 14144	   	180.09	ACR|2VULN|1AART|2CDMG|2FLTHEA|1ASPD|1DUR	1aCDMG|2FEWX|3RCR|4aFLTHEA|5MBVNT|6DUR|7ASPD|8aVULN|9AART|aBPWR
72	22122 13666	 * 	180.08	ACR|3DMG|2VULN|2ZMB|1DUR	19LWND|2RCR|3aVULN|49ZMB|5LIT|6DUR|789DMG|9BPWR
73	11223 74144	   	179.99	ACR|2VULN|1AART|2CDMG|2FLTHEA|1ASPD|1DUR	1aCDMG|2DUR|3RCR|4aFLTHEA|5MBVNT|6DUST|7ASPD|8aVULN|9AART|aBPWR
74	13122 32135	   	179.92	DCR|3DMG|2VULN|1CDMG|1ZMB	1CDMG|2CGEN|3BEXP|489DMG|5aVULN|6RCR|7ZMB
75	11225 32115	   	179.88	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1CDMG|2DUR|3RCR|4FLTHEA|5BELT|6DMG|79VULN|8RPLT|aAART
76	13126 56133	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2CGEN|3BEXP|4DMG|5AART|6RCR|7ASPD|8ZMB|9aVULN
77	12142 62315	   	179.72	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	16CDMG|2RCVC|3FEWX|4RCR|58VULN|7AART|9ZMB|aDMG
78	11223 27318	   	179.69	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|2DUR|1ZMB	1CDMG|2aDUR|3RCR|4FLTHEA|5MBVNT|6ZMB|7VULN|8AART|9DMG
79	12142 33161	   	179.44	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1aCDMG|2RCVC|3FEWX|4RCR|5aVULN|6ZMB|7DUR|8aDMG|9RMIN|aBPWR
80	12242 33161	   	179.44	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1aCDMG|2RCVC|3LHND|4RCR|5aVULN|6ZMB|7DUR|8aDMG|9RMIN|aBPWR
81	22224 24124	 * 	179.26	ACR|3DMG|3ZMB|1AART|1DUR	189LWND|2RCR|3FEWX|489ZMB|5ERES|6DUR|789DMG|89BPWR|aAART
82	52224 24123	   	179.26	ACR|3DMG|3ZMB|1AART|1DUR	189LHND|2RCR|3FEWX|489ZMB|5ERES|6DUR|789DMG|89BPWR|aAART
83	41411 33512	 * 	179.18	ACR|3VULN|2DMG|3DUR|1ASPD	189DUR|29aVULN|3ASPD|4RCR|5RCVC|6TLV|79DMG|9BPWR
84	11621 27744	 * 	178.83	DCR|2VULN|1AART|2CDMG|2FLTHEA|1ZMB|1DUR	1aCDMG|2DUR|3MBVNT|4aFLTHEA|5DUST|6ZMB|7aVULN|8RCR|9AART|aBPWR
85	22122 13224	   	178.63	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1LWND|2RCR|3aVULN|4ZMB|5LIT|6DUR|7DMG|89AART
86	22346 13224	   	178.63	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1LWND|2RCR|3ZMB|4DUR|5aVULN|6LIT|7DMG|89AART
87	52122 13213	 * 	178.63	ACR|2DMG|2AART|1VULN|1ZMB|1DUR	1LHND|2RCR|3VULN|4ZMB|5LIT|6DUR|79DMG|8aAART
88	52122 13224	   	178.63	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1LHND|2RCR|3aVULN|4ZMB|5LIT|6DUR|7DMG|89AART
89	52346 13213	   	178.63	ACR|2DMG|2AART|1VULN|1ZMB|1DUR	1LHND|2RCR|3ZMB|4DUR|5VULN|6LIT|79DMG|8aAART
90	42122 43213	   	178.63	ACR|2DMG|2AART|1VULN|1ZMB|1DUR	1DUR|2RCR|3VULN|4ZMB|5LIT|6LHND|79DMG|8aAART
91	42122 43224	   	178.63	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2RCR|3aVULN|4ZMB|5LIT|6LHND|7DMG|89AART
92	12242 33111	   	178.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2RCVC|3LHND|4RCR|59VULN|6ZMB|7DUR|8DMG|aAART
93	11211 12533	   	178.54	ACR|3VULN|1AART|2CDMG|2DUR	19CDMG|29DUR|3RCR|4MLV|5AART|6LWND|79aVULN|8RCVC|9BPWR
94	11211 12436	 * 	178.47	ACR|2AART|2VULN|3CDMG|2DUR	19aCDMG|29DUR|3RCR|4MLV|58AART|6LWND|79VULN|9BPWR
95	11261 12533	   	178.44	ACR|3VULN|1AART|2CDMG|2DUR	19CDMG|29DUR|3RCR|4TLV|5AART|6LWND|79aVULN|8RCVC|9BPWR
96	11261 12436	   	178.37	ACR|2AART|2VULN|3CDMG|2DUR	19aCDMG|29DUR|3RCR|4TLV|58AART|6LWND|79VULN|9BPWR
97	42133 66232	   	178.32	ACR|2VULN|2DMG|1AART|2DUR|1SELL	17DUR|2RCR|37VULN|4LHND|5MLV|67DMG|7BPWR|8SELL|9AART|aERES
98	42133 66233	   	178.32	ACR|2VULN|2DMG|1AART|2DUR|1SELL	17DUR|2RCR|37VULN|4LHND|5MLV|67DMG|7BPWR|8SELL|9AART|aCANHEL
99	42331 13425	 * 	178.21	ACR|1AART|1VULN|2CDMG|1DMG|2ZMB|2DUR	14DUR|2RCR|34ZMB|4BPWR|5LIT|6VULN|78CDMG|9AART|aDMG
100	15252 33161	   	178.13	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1aCDMG|2FEWX|3RCR|4DMSP|5aVULN|6ZMB|7DUR|8aDMG|9RMIN|aBPWR
101	15211 61336	   	178.01	ACR|3AART|2VULN|1DMG|1CDMG	1CDMG|2FEWX|3RCR|4MLV|579AART|6DMG|8aVULN
102	11223 57154	 * 	177.98	ACR|3VULN|3CDMG|2FLTHEA|1DUR|1ASPD	168CDMG|2DUR|3RCR|48FLTHEA|5MBVNT|789VULN|8BPWR|aASPD
103	11242 12111	   	177.94	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	15CDMG|25DUR|3RCR|4RMIN|5BPWR|69VULN|7LWND|8DMG|aAART
104	11161 11442	   	177.86	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1CDMG|2DUR|3LHND|4DMG|58AART|6LWND|7RCR|9aVULN
105	22125 13214	   	177.84	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCR|3aVULN|4ZMB|5FEWX|6LIT|79DMG|8AART
106	22222 32214	   	177.84	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCR|3FEWX|4ZMB|59DMG|6aVULN|7LIT|8AART
107	52125 13214	   	177.84	ACR|2VULN|2DMG|1AART|1ZMB	1LHND|2RCR|3aVULN|4ZMB|5FEWX|6LIT|79DMG|8AART
108	52222 32214	   	177.84	ACR|2VULN|2DMG|1AART|1ZMB	1LHND|2RCR|3FEWX|4ZMB|59DMG|6aVULN|7LIT|8AART
109	22336 43613	 * 	177.75	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	14LWND|2RCR|34ZMB|4BPWR|5aVULN|6DMG|7CDMG|8AART|9ERES
110	13226 51336	   	177.60	DCR|3AART|2VULN|1DMG|1CDMG	1CDMG|2CGEN|3FEWX|4DMG|579AART|6RCR|8aVULN
111	22135 33524	   	177.44	ACR|2VULN|2DMG|1AART|1ZMB	18LWND|2RCR|38VULN|4LHND|5MLV|6RPLT|78DMG|8BPWR|9AART|aZMB
112	21466 32133	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|2aVULN|3ASPD|4MLV|5CDMG|6RCR|7ZMB|8DMG|9AART
113	21126 32133	   	177.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|2aVULN|3TLV|4ASPD|5CDMG|6RCR|7ZMB|8DMG|9AART
114	21326 32133	   	177.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|2aVULN|3ERES|4ASPD|5CDMG|6RCR|7ZMB|8DMG|9AART
115	42151 33532	   	177.04	ACR|3VULN|2DMG|3DUR	18aDUR|2RCR|39aVULN|4CGEN|5RCVC|6TLV|7aDMG|aBPWR
116	13122 35336	   	176.99	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	17CDMG|27CGEN|3BEXP|4DMG|57VULN|6RCR|7BPWR|8BELT|9AART|aZMB
117	42161 33532	   	176.94	ACR|3VULN|2DMG|3DUR	18aDUR|2RCR|39aVULN|4ERES|5RCVC|6TLV|7aDMG|aBPWR
118	11211 61215	 * 	176.92	ACR|2AART|2DMG|1CDMG|2DUR|1ZMB	1CDMG|28DUR|3RCR|4MLV|57AART|6aDMG|9ZMB
119	12643 51211	 * 	176.85	ACR|2VULN|2AART|2CDMG|3DUR	15CDMG|2RCVC|358DUR|4RCR|5BPWR|6aAART|79VULN
120	13564 32112	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2CGEN|39VULN|4BEXP|5ASPD|6RCR|7ZMB|8DMG|aAART
121	21466 32111	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|29VULN|3ASPD|4MLV|5CDMG|6RCR|7ZMB|8DMG|aAART
122	11261 61215	   	176.82	ACR|2AART|2DMG|1CDMG|2DUR|1ZMB	1CDMG|28DUR|3RCR|4TLV|57AART|6aDMG|9ZMB
123	21126 32111	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|29VULN|3TLV|4ASPD|5CDMG|6RCR|7ZMB|8DMG|aAART
124	21326 32111	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LWND|29VULN|3ERES|4ASPD|5CDMG|6RCR|7ZMB|8DMG|aAART
125	22121 43663	   	176.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2RCR|3aVULN|4ZMB|5RCVC|6DMG|7CDMG|8AART|9CGEN
126	22336 43311	   	176.65	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	14LWND|2RCR|34ZMB|4BPWR|59VULN|6DMG|7CDMG|8BEXP|aAART
127	52336 43311	   	176.65	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	14LHND|2RCR|34ZMB|4BPWR|59VULN|6DMG|7CDMG|8BEXP|aAART
128	22121 43613	   	176.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2RCR|3aVULN|4ZMB|5RCVC|6DMG|7CDMG|8AART|9ERES
129	22336 43111	   	176.55	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	14LWND|2RCR|34ZMB|4BPWR|59VULN|6DMG|7CDMG|8DUST|aAART
130	52336 43111	   	176.55	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	14LHND|2RCR|34ZMB|4BPWR|59VULN|6DMG|7CDMG|8DUST|aAART
131	22115 43333	   	176.50	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|2RCR|38aVULN|4MGNLIT|5ZMB|6LIT|7AART|9DMG
132	22133 63215	   	176.50	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|2RCR|39aVULN|4LHND|5CGEN|6DMG|7AART|8ZMB
133	22135 63215	   	176.50	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|2RCR|39aVULN|4LHND|5MLV|6DMG|7AART|8ZMB
134	21226 21614	 * 	176.50	DCR|5VULN|1AART|1CDMG	1LWND|23567VULN|4ERES|8RCR|9CDMG|aAART
135	22136 63215	   	176.40	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|2RCR|39aVULN|4LHND|5ERES|6DMG|7AART|8ZMB
136	22362 43333	   	176.40	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|2RCR|3ZMB|4CANHEL|58aVULN|6LIT|7AART|9DMG
137	42336 15321	   	176.33	ACR|2VULN|1AART|1DMG|2ZMB|2DUR	14DUR|2RCR|34ZMB|4BPWR|57VULN|6LHND|8AART|9DUST|aDMG
138	13122 35241	   	176.29	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	17CDMG|27CGEN|3BEXP|4DMG|57VULN|6RCR|7BPWR|8ZMB|9ERES|aAART
139	13122 35542	   	176.29	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	17CDMG|27CGEN|3BEXP|4DMG|57VULN|6RCR|7BPWR|8CANHEL|9ZMB|aAART
140	11226 23512	   	176.22	ACR|2VULN|1AART|1FLTHEA|1CDMG|2DUR|1ZMB	1CDMG|29DUR|3RCR|4FLTHEA|5TLV|69MLV|7ZMB|89VULN|9BPWR|aAART
141	11211 22633	   	176.17	ACR|3VULN|2AART|1CDMG|1DUR	1CDMG|2DUR|3RCR|4MLV|59AART|6DUST|78aVULN
142	22224 24121	 * 	176.12	ACR|3DMG|3ZMB|1VULN|1DUR	189LWND|2RCR|3FEWX|489ZMB|5ERES|6DUR|789DMG|89BPWR|aVULN
143	11261 22633	   	176.07	ACR|3VULN|2AART|1CDMG|1DUR	1CDMG|2DUR|3RCR|4TLV|59AART|6DUST|78aVULN
144	21412 13214	   	175.91	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1LWND|2aVULN|3ASPD|4RCR|5LIT|6DUR|79DMG|8AART
145	51412 13214	   	175.91	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1LHND|2aVULN|3ASPD|4RCR|5LIT|6DUR|79DMG|8AART
146	22133 54315	   	175.90	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|2RCR|39aVULN|4LHND|5CGEN|6ZMB|7DMG|8AART
147	15211 12433	   	175.85	ACR|3VULN|2AART|2CDMG	19CDMG|29FEWX|3RCR|4MLV|58AART|6LWND|79aVULN|9BPWR
148	22436 43233	   	175.85	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	14LWND|2RCR|34ASPD|4BPWR|5aVULN|6DMG|7MBVNT|8CDMG|9AART
149	11242 13251	 * 	175.77	ACR|1AART|1VULN|1DMG|2CDMG|3DUR|1ZMB	15CDMG|257DUR|3RCR|4RMIN|5BPWR|6VULN|8ZMB|9AART|aDMG
150	15261 12433	   	175.75	ACR|3VULN|2AART|2CDMG	19CDMG|29FEWX|3RCR|4TLV|58AART|6LWND|79aVULN|9BPWR
151	11253 51315	   	175.66	ACR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	15CDMG|25DUR|3RCR|4DMSP|5BPWR|6AART|7VULN|8RCVC|9ZMB|aDMG
152	11253 52622	   	175.66	ACR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	15CDMG|25DUR|3RCR|4DMSP|5BPWR|6AART|7ZMB|8RCVC|9DMG|aVULN
153	41235 22231	   	175.65	DCR|2VULN|1AART|1DMG|2ZMB|2DUR|1ASPD	17DUR|23VULN|4AART|56ZMB|8ASPD|9RCR|aDMG
