0	Index      	 *	Score 	Summary	Detail	
1	44212 62132	 * 	196.47	DCR|3VULN|2DMG|3ZMB|2CDMG|1SELL	16aZMB|2SELL|35CDMG|45aVULN|5aBPWR|7aDMG|8RCVC|9RCR
49	33241 36412	   	180.20	ACR|3DMG|1AART|1VULN|1ZMB|1DUR|1SELL	1DUR|2ZMB|3RCR|4VULN|5BEXP|69aDMG|7SELL|8AART
50	33242 36412	   	180.10	ACR|3DMG|1AART|1VULN|1ZMB|1DUR|1SELL	1DUR|2ZMB|3RCR|4VULN|5DUST|69aDMG|7SELL|8AART
51	22333 16351	 * 	179.94	ACR|4VULN|1AART|1DMG|1DUR	1278VULN|3FEWX|4RCR|5DUR|6LHND|9DMG|aAART
52	22333 36351	   	179.94	ACR|4VULN|1AART|1DMG|1DUR	1278VULN|3FEWX|4RCR|5DUR|6LWND|9DMG|aAART
53	22333 26352	   	179.84	ACR|4VULN|1AART|1DMG|1DUR	1278VULN|3FEWX|4RCR|5DUR|6DUST|9DMG|aAART
54	22333 53356	   	179.82	ACR|4VULN|2DMG|2DUR	128aVULN|3aFEWX|4RCR|56DUR|7LWND|9aDMG|aBPWR
55	22133 53356	   	179.62	ACR|4VULN|2DMG|2DUR	128aVULN|3aDUST|4RCR|56DUR|7LWND|9aDMG|aBPWR
56	42243 33351	   	179.14	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ZMB|25DUST|3RCR|458VULN|5BPWR|6ASPD|7LWND|9DMG|aAART
57	24421 25121	   	179.06	DCR|3VULN|2DMG|1AART|1DUR|1SELL	137VULN|2SELL|4AART|5DUST|68DMG|9DUR|aRCR
58	46621 21113	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|2AART|3RCR|48VULN|5LIT|6aDMG|7BELT|9LHND
59	13513 23116	   	178.92	DCR|4VULN|1AART|1DMG|1DUR	1LIT|234aVULN|5DUR|6DMG|7AART|8RCR|9LHND
60	13513 23136	   	178.92	DCR|4VULN|1AART|1DMG|1DUR	1LIT|234aVULN|5DUR|6DMG|7AART|8RCR|9BELT
61	13513 23161	   	178.92	DCR|4VULN|1AART|1DMG|1DUR	1LIT|234aVULN|5DUR|6DMG|7AART|8RCR|9RCVC
62	22163 63351	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	128VULN|3DUST|4ZMB|5ASPD|6RCR|7LWND|9DMG|aAART
63	13513 23121	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|234VULN|5DUR|6DMG|7AART|8RCR|9CGEN|aCDMG
64	13513 23141	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|234VULN|5DUR|6DMG|7AART|8RCR|9CDMG|aDMSP
65	13513 23142	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|234VULN|5DUR|6DMG|7AART|8RCR|9CDMG|aCGEN
66	13513 23143	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|234VULN|5DUR|6DMG|7AART|8RCR|9CDMG|aFEWX
67	13513 23144	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|234VULN|5DUR|6DMG|7AART|8RCR|9CDMG|aLHND
68	13555 23121	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|235VULN|4DUR|6DMG|7AART|8RCR|9CGEN|aCDMG
69	33241 34411	   	178.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3RCR|4VULN|5BEXP|69DMG|7CDMG|8AART|aRMIN
70	33241 34422	   	178.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3RCR|4VULN|5BEXP|6aDMG|7CDMG|8AART|9CGEN
71	33221 34415	   	178.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3RCR|4LHND|5BEXP|69DMG|7CDMG|8AART|aVULN
72	33241 24412	   	178.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3RCR|4VULN|5BEXP|6RMIN|7CDMG|8AART|9aDMG
73	33222 34415	   	178.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3RCR|4LHND|5DUST|69DMG|7CDMG|8AART|aVULN
74	33242 24412	   	178.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3RCR|4VULN|5DUST|6RMIN|7CDMG|8AART|9aDMG
75	33242 34411	   	178.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3RCR|4VULN|5DUST|69DMG|7CDMG|8AART|aRMIN
76	33242 34422	   	178.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3RCR|4VULN|5DUST|6aDMG|7CDMG|8AART|9CGEN
77	23513 52423	 * 	177.97	DCR|3VULN|1AART|1DMG|2ASPD|1DUR	17aVULN|2DUR|3aLWND|4AART|5CGEN|6DMG|8aASPD|9RCR|aBPWR
78	22162 11356	   	177.87	DCR|4VULN|2DMG|1ZMB	128aVULN|3aDUST|4ZMB|5NUKE|6LWND|7RCR|9aDMG|aBPWR
79	33143 26412	   	177.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2ZMB|34VULN|5ERES|6RPLT|7AART|8RCR|9aDMG
80	33146 11262	 * 	177.60	DCR|4VULN|3ZMB|1DMG|1DUR	1DUR|259ZMB|3456VULN|5BPWR|7DMG|8RPLT|aRCR
81	34212 23636	   	177.59	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1DUR|2SELL|3BEXP|4RCR|5AART|69DMG|7CDMG|8VULN|aZMB
82	33243 61232	   	177.08	ACR|4VULN|1DMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3RCR|4678VULN|5RCVC|9ASPD|aDMG
83	23541 23136	   	176.95	DCR|2VULN|2DMG|1AART|2DUR	18VULN|28DUR|3LWND|4aDMG|58BEXP|6RCR|7AART|8BPWR|9ERES
84	32541 23136	   	176.95	DCR|2VULN|2DMG|1AART|2DUR	18DUR|28VULN|3LWND|4aDMG|58BEXP|6RCR|7AART|8BPWR|9ERES
85	21442 23153	   	176.85	DCR|2VULN|2DMG|1AART|2DUR	18VULN|28DUST|3BEXP|4aDMG|58DUR|6RCR|7AART|8BPWR|9RPLT
86	23542 23153	   	176.85	DCR|2VULN|2DMG|1AART|2DUR	18VULN|28DUR|3LWND|4aDMG|58DUST|6RCR|7AART|8BPWR|9RPLT
87	32542 23153	   	176.85	DCR|2VULN|2DMG|1AART|2DUR	18DUR|28VULN|3LWND|4aDMG|58DUST|6RCR|7AART|8BPWR|9RPLT
88	45243 32233	   	176.76	ACR|3VULN|1AART|2ZMB|2DUR|1ASPD	1aZMB|25BEXP|3RCR|45aVULN|5aBPWR|6ASPD|7CGEN|8AART|9aDUR
89	46223 33622	   	176.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ZMB|2AART|3CGEN|4LEGI|5aDMG|6VULN|7ASPD|8RCR|9CDMG
90	42243 32233	   	176.56	ACR|3VULN|1AART|2ZMB|2DUR|1ASPD	1aZMB|25DUST|3RCR|45aVULN|5aBPWR|6ASPD|7CGEN|8AART|9aDUR
91	23631 46311	   	176.47	ACR|3VULN|2DMG|3DUR|1ASPD	179VULN|237DUR|4RCR|5BELT|67DMG|7BPWR|8ASPD|aRCVC
92	23631 46312	   	176.47	ACR|3VULN|2DMG|3DUR|1ASPD	179VULN|237DUR|4RCR|5BELT|67DMG|7BPWR|8ASPD|aFEWX
93	23631 46313	   	176.47	ACR|3VULN|2DMG|3DUR|1ASPD	179VULN|237DUR|4RCR|5BELT|67DMG|7BPWR|8ASPD|aLHND
94	23631 46323	   	176.47	ACR|3VULN|2DMG|3DUR|1ASPD	17aVULN|237DUR|4RCR|5BELT|67DMG|7BPWR|8ASPD|9LIT
95	32631 46311	   	176.47	ACR|3VULN|2DMG|3DUR|1ASPD	137DUR|279VULN|4RCR|5BELT|67DMG|7BPWR|8ASPD|aRCVC
96	32631 46312	   	176.47	ACR|3VULN|2DMG|3DUR|1ASPD	137DUR|279VULN|4RCR|5BELT|67DMG|7BPWR|8ASPD|aFEWX
97	32631 46313	   	176.47	ACR|3VULN|2DMG|3DUR|1ASPD	137DUR|279VULN|4RCR|5BELT|67DMG|7BPWR|8ASPD|aLHND
98	32631 46323	   	176.47	ACR|3VULN|2DMG|3DUR|1ASPD	137DUR|27aVULN|4RCR|5BELT|67DMG|7BPWR|8ASPD|9LIT
99	22333 24414	 * 	176.38	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	12VULN|3FEWX|4RCR|5DUR|6DUST|7CDMG|8aAART|9DMG
100	23631 46231	   	176.37	ACR|3VULN|2DMG|3DUR|1ASPD	178VULN|237DUR|4RCR|5BELT|67DMG|7BPWR|9DUST|aASPD
101	32631 46231	   	176.37	ACR|3VULN|2DMG|3DUR|1ASPD	137DUR|278VULN|4RCR|5BELT|67DMG|7BPWR|9DUST|aASPD
102	23512 11212	   	176.35	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1VULN|2DUR|3LWND|4AART|5CDMG|6RCR|7ASPD|8RMIN|9aDMG
103	23512 11612	   	176.35	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1VULN|2DUR|3LWND|4AART|5CDMG|6RCR|7ASPD|8CGEN|9aDMG
104	32512 11212	   	176.35	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|2VULN|3LWND|4AART|5CDMG|6RCR|7ASPD|8RMIN|9aDMG
105	32512 11612	   	176.35	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|2VULN|3LWND|4AART|5CDMG|6RCR|7ASPD|8CGEN|9aDMG
106	22163 11351	   	176.32	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	128VULN|3DUST|4ZMB|5ASPD|6LWND|7RCR|9DMG|aAART
107	22163 51352	   	176.32	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	128VULN|3DUST|4ZMB|5ASPD|6BEXP|7RCR|9DMG|aAART
108	42143 11351	   	176.32	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ZMB|2DUST|348VULN|5ASPD|6LWND|7RCR|9DMG|aAART
109	23512 11582	   	176.25	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	19VULN|2DUR|3LWND|4AART|5CDMG|6RCR|7ASPD|8MBVNT|aDMG
110	32512 11582	   	176.25	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|29VULN|3LWND|4AART|5CDMG|6RCR|7ASPD|8MBVNT|aDMG
111	22163 62233	 * 	176.14	DCR|3VULN|1AART|2ZMB|2DUR|1ASPD	12aVULN|3DUST|4aZMB|5ASPD|6RCR|7CGEN|8AART|9aDUR|aBPWR
112	42143 62233	   	176.14	DCR|3VULN|1AART|2ZMB|2DUR|1ASPD	1aZMB|2DUST|34aVULN|5ASPD|6RCR|7CGEN|8AART|9aDUR|aBPWR
113	42243 26231	   	176.05	ACR|3VULN|1AART|1DMG|2ZMB	17ZMB|25DUST|3RCR|459VULN|5BPWR|6DMG|8RPLT|aAART
114	23623 32152	   	175.96	DCR|2VULN|2DMG|1AART|3DUR	1aVULN|235DUR|4LEGI|6aDMG|7AART|8RCR|9aBEXP|aBPWR
115	32623 32152	   	175.96	DCR|2VULN|2DMG|1AART|3DUR	135DUR|2aVULN|4LEGI|6aDMG|7AART|8RCR|9aBEXP|aBPWR
116	22214 32432	 * 	175.92	DCR|4VULN|2DMG|2ASPD	128aVULN|346CGEN|5aASPD|7aDMG|9RCR|aBPWR
117	22224 32432	   	175.92	DCR|4VULN|2DMG|2ASPD	128aVULN|36CGEN|4DMSP|5aASPD|7aDMG|9RCR|aBPWR
118	24424 11133	 * 	175.84	DCR|4VULN|1AART|2CDMG|1SELL	1358VULN|2SELL|4AART|5BPWR|69CDMG|7RCR|aMLV
119	13215 22631	 * 	175.82	DCR|4VULN|2DMG|1CDMG	13LIT|2457VULN|68DMG|9RCR|aCDMG
120	13514 22631	   	175.82	DCR|4VULN|2DMG|1CDMG	1LIT|2347VULN|5DMSP|68DMG|9RCR|aCDMG
121	13515 23631	   	175.82	DCR|4VULN|2DMG|1CDMG	1LIT|2345VULN|68DMG|7RCVC|9RCR|aCDMG
122	13516 22631	   	175.82	DCR|4VULN|2DMG|1CDMG	1LIT|2347VULN|5RCVC|68DMG|9RCR|aCDMG
123	46623 33222	   	175.80	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|27AART|3RCR|4VULN|5DUR|6NUKE|8LHND|9CDMG|aDMG
124	23623 32142	   	175.76	DCR|2VULN|2DMG|1AART|3DUR	1aVULN|235DUR|4LEGI|6aDMG|7AART|8RCR|9aDUST|aBPWR
125	32623 32142	   	175.76	DCR|2VULN|2DMG|1AART|3DUR	135DUR|2aVULN|4LEGI|6aDMG|7AART|8RCR|9aDUST|aBPWR
126	23512 16612	 * 	175.63	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1VULN|2DUR|3LWND|4AART|58CDMG|6RCR|7DUST|9aDMG
127	32512 16612	   	175.63	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUR|2VULN|3LWND|4AART|58CDMG|6RCR|7DUST|9aDMG
128	66122 52213	 * 	175.62	DCR|3VULN|1AART|3CDMG|1ZMB	17CGEN|2AART|347CDMG|567VULN|7BPWR|8LHND|9RCR|aZMB
129	22336 24412	   	175.58	ACR|2VULN|2DMG|1AART|1CDMG	12VULN|3FEWX|4RCR|5BEXP|6DUST|7CDMG|8AART|9aDMG
130	24421 25321	   	175.58	DCR|4VULN|1AART|1DMG|1DUR|1SELL	1378VULN|2SELL|4AART|5DUST|6DMG|9DUR|aRCR
131	22533 32265	   	175.35	DCR|5VULN|1DMG|1ZMB|1ASPD	1248aVULN|3LHND|5ZMB|6ASPD|7DMG|9RCR
132	46613 33212	   	175.33	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ZMB|2AART|3RCR|4MLV|5DMG|67VULN|8DUR|9ASPD|aBEXP
133	46613 33213	   	175.33	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ZMB|2AART|3RCR|4MLV|5DMG|67VULN|8DUR|9ASPD|aRCVC
134	23541 22331	   	175.25	DCR|2VULN|2DMG|1AART|2DUR	18VULN|28DUR|39LWND|47DMG|58BEXP|6RCR|8BPWR|aAART
135	32541 22331	   	175.25	DCR|2VULN|2DMG|1AART|2DUR	18DUR|28VULN|39LWND|47DMG|58BEXP|6RCR|8BPWR|aAART
136	42243 22263	 * 	175.23	ACR|2VULN|3ZMB|1AART|1DMG	19aZMB|25aDUST|3RCR|45VULN|5aBPWR|6DMG|7aCGEN|8AART
137	46613 33211	   	175.23	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ZMB|2AART|3RCR|4MLV|5DMG|67VULN|8DUR|9ASPD|aMBVNT
138	23541 23113	   	175.11	DCR|3VULN|1AART|1DMG|2DUR	18aVULN|28DUR|3LWND|4DMG|58BEXP|6RCR|7AART|8BPWR|9FEWX
139	23541 23152	   	175.11	DCR|3VULN|1AART|1DMG|2DUR	18aVULN|28DUR|3LWND|4DMG|58BEXP|6RCR|7AART|8BPWR|9RPLT
140	32541 23113	   	175.11	DCR|3VULN|1AART|1DMG|2DUR	18DUR|28aVULN|3LWND|4DMG|58BEXP|6RCR|7AART|8BPWR|9FEWX
141	32541 23152	   	175.11	DCR|3VULN|1AART|1DMG|2DUR	18DUR|28aVULN|3LWND|4DMG|58BEXP|6RCR|7AART|8BPWR|9RPLT
142	46621 21123	   	175.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3RCR|48VULN|5LIT|6DMG|7BELT|9CDMG|aMLV
143	46611 12322	   	175.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3RCR|4MLV|5LWND|6FEWX|78VULN|9CDMG|aDMG
144	46611 22322	   	175.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3RCR|4MLV|5LWND|6LHND|78VULN|9CDMG|aDMG
145	21442 22322	   	175.05	DCR|2VULN|2DMG|1AART|2DUR	18VULN|28DUST|39BEXP|47DMG|58DUR|6RCR|8BPWR|aAART
146	21641 22342	   	175.05	DCR|2VULN|2DMG|1AART|2DUR	18VULN|28DUST|39DUR|47DMG|58BEXP|6RCR|8BPWR|aAART
147	23446 22322	   	175.05	DCR|2VULN|2DMG|1AART|2DUR	18VULN|28DUR|39BEXP|47DMG|58DUST|6RCR|8BPWR|aAART
148	32446 22322	   	175.05	DCR|2VULN|2DMG|1AART|2DUR	18DUR|28VULN|39BEXP|47DMG|58DUST|6RCR|8BPWR|aAART
149	23541 23132	   	175.01	DCR|3VULN|1AART|1DMG|2DUR	18aVULN|28DUR|3LWND|4DMG|58BEXP|6RCR|7AART|8BPWR|9ERES
150	23541 23163	   	175.01	DCR|3VULN|1AART|1DMG|2DUR	18aVULN|28DUR|3LWND|4DMG|58BEXP|6RCR|7AART|8BPWR|9DUST
151	32541 23132	   	175.01	DCR|3VULN|1AART|1DMG|2DUR	18DUR|28aVULN|3LWND|4DMG|58BEXP|6RCR|7AART|8BPWR|9ERES
152	32541 23163	   	175.01	DCR|3VULN|1AART|1DMG|2DUR	18DUR|28aVULN|3LWND|4DMG|58BEXP|6RCR|7AART|8BPWR|9DUST
153	46613 31222	   	175.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2AART|3RCR|4MLV|5aDMG|6VULN|7LHND|8TLV|9CDMG
154	46621 21122	   	175.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3RCR|48VULN|5LIT|6DMG|7BELT|9CDMG|aERES
155	46621 22111	   	175.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3RCR|47VULN|5LIT|6DMG|8RCVC|9LEGI|aCDMG
156	46621 22212	   	175.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3RCR|47VULN|5LIT|6DMG|8TLV|9LHND|aCDMG
157	46621 22221	   	175.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3RCR|47VULN|5LIT|6DMG|8TLV|9CGEN|aCDMG
158	13515 22251	   	174.99	DCR|5VULN|2DMG	1LIT|23457VULN|68DMG|9RCR|aBELT
159	13515 22252	   	174.99	DCR|5VULN|2DMG	1LIT|23457VULN|68DMG|9RCR|aCGEN
160	21442 23133	   	174.91	DCR|3VULN|1AART|1DMG|2DUR	18aVULN|28DUST|3BEXP|4DMG|58DUR|6RCR|7AART|8BPWR|9LHND
161	23446 23133	   	174.91	DCR|3VULN|1AART|1DMG|2DUR	18aVULN|28DUR|3BEXP|4DMG|58DUST|6RCR|7AART|8BPWR|9LHND
162	23542 23113	   	174.91	DCR|3VULN|1AART|1DMG|2DUR	18aVULN|28DUR|3LWND|4DMG|58DUST|6RCR|7AART|8BPWR|9FEWX
163	32446 23133	   	174.91	DCR|3VULN|1AART|1DMG|2DUR	18DUR|28aVULN|3BEXP|4DMG|58DUST|6RCR|7AART|8BPWR|9LHND
