0	Index      	 *	Score 	Summary	Detail	
1	34324 16312	 * 	258.84	DCR|3VULN|2DMG|2CDMG|1MLV|1SELL	1TBNT|27aVULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|8MLV|9RMIN
17	22162 66412	 * 	249.97	DCR|DCR|1VULN|1DMG|1RPLT	1DMG|2BEXP|3DUST|4MBVNT|5MDPS|67RCR|8BBNT|9RPLT|aVULN
18	13112 26255	   	249.97	DCR|DCR|1VULN|2CDMG|1RPLT	15LIT|27CDMG|3LEGI|4VULN|6RPLT|8aRCR|9AME
19	31423 65444	   	249.23	DCR|2VULN|3ASPD|2DMG|1CDMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79DMG|89VULN|9BPWR|aCDMG
20	31423 68244	   	249.23	DCR|2VULN|3ASPD|2DMG|1CDMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79VULN|89DMG|9BPWR|aCDMG
21	31453 65444	   	249.13	DCR|2VULN|3ASPD|2DMG|1CDMG	1TBNT|2MBVNT|359ASPD|4DUST|6RCR|79DMG|89VULN|9BPWR|aCDMG
22	31453 68244	   	249.13	DCR|2VULN|3ASPD|2DMG|1CDMG	1TBNT|2MBVNT|359ASPD|4DUST|6RCR|79VULN|89DMG|9BPWR|aCDMG
23	34324 16332	 * 	248.78	DCR|2VULN|2DMG|2CDMG|1MLV|1ASPD|2SELL	1TBNT|27VULN|39SELL|47CDMG|57DMG|6RCR|7BPWR|8MLV|aASPD
24	41231 35531	   	248.57	DCR|DCR|1VULN|1DMG|1ZMB	1RCVC|2ZMB|3BELT|4DMG|5ERES|68RCR|7BEXP|9DUR|aVULN
25	41231 36531	   	248.47	DCR|DCR|1VULN|1DMG|1ZMB	1RCVC|2ZMB|3BELT|4DMG|5ERES|68RCR|7DUST|9DUR|aVULN
26	31684 41381	   	248.43	DCR|DCR|2VULN	1TBNT|2MBVNT|3LIT|48VULN|5DLOT|69RCR|7LWND|aLHND
27	31684 41382	   	248.43	DCR|DCR|2VULN	1TBNT|2MBVNT|3LIT|48VULN|5DLOT|69RCR|7LWND|aTLV
28	31684 41383	   	248.43	DCR|DCR|2VULN	1TBNT|2MBVNT|3LIT|48VULN|5DLOT|69RCR|7LWND|aBEXP
29	31684 41384	   	248.43	DCR|DCR|2VULN	1TBNT|2MBVNT|3LIT|48VULN|5DLOT|69RCR|7LWND|aAAC
30	34522 36131	   	248.43	DCR|DCR|2VULN	1TBNT|28VULN|3TLV|4AAC|5BASICY|6ERES|79RCR|aLHND
31	34522 36132	   	248.43	DCR|DCR|2VULN	1TBNT|28VULN|3TLV|4AAC|5BASICY|6ERES|79RCR|aBELT
32	63422 36131	   	248.43	DCR|DCR|2VULN	1TLV|2TBNT|38VULN|4AAC|5BASICY|6ERES|79RCR|aLHND
33	63422 36132	   	248.43	DCR|DCR|2VULN	1TLV|2TBNT|38VULN|4AAC|5BASICY|6ERES|79RCR|aBELT
34	34512 36131	   	248.33	DCR|DCR|2VULN	1TBNT|28VULN|3TLV|4NUKE|5BASICY|6ERES|79RCR|aLHND
35	34512 36132	   	248.33	DCR|DCR|2VULN	1TBNT|28VULN|3TLV|4NUKE|5BASICY|6ERES|79RCR|aBELT
36	63412 36131	   	248.33	DCR|DCR|2VULN	1TLV|2TBNT|38VULN|4NUKE|5BASICY|6ERES|79RCR|aLHND
37	63412 36132	   	248.33	DCR|DCR|2VULN	1TLV|2TBNT|38VULN|4NUKE|5BASICY|6ERES|79RCR|aBELT
38	34522 36133	   	248.33	DCR|DCR|2VULN	1TBNT|28VULN|3TLV|4AAC|5BASICY|6ERES|79RCR|aMULHEA
39	63422 36133	   	248.33	DCR|DCR|2VULN	1TLV|2TBNT|38VULN|4AAC|5BASICY|6ERES|79RCR|aMULHEA
40	34512 36133	   	248.23	DCR|DCR|2VULN	1TBNT|28VULN|3TLV|4NUKE|5BASICY|6ERES|79RCR|aMULHEA
41	63412 36133	   	248.23	DCR|DCR|2VULN	1TLV|2TBNT|38VULN|4NUKE|5BASICY|6ERES|79RCR|aMULHEA
42	34532 36131	   	248.18	DCR|DCR|2VULN|1ZMB	1TBNT|28VULN|3TLV|4ZMB|5BASICY|6ERES|79RCR|aLHND
43	34532 36132	   	248.18	DCR|DCR|2VULN|1ZMB	1TBNT|28VULN|3TLV|4ZMB|5BASICY|6ERES|79RCR|aBELT
44	63432 36131	   	248.18	DCR|DCR|2VULN|1ZMB	1TLV|2TBNT|38VULN|4ZMB|5BASICY|6ERES|79RCR|aLHND
45	63432 36132	   	248.18	DCR|DCR|2VULN|1ZMB	1TLV|2TBNT|38VULN|4ZMB|5BASICY|6ERES|79RCR|aBELT
46	34532 36133	   	248.08	DCR|DCR|2VULN|1ZMB	1TBNT|28VULN|3TLV|4ZMB|5BASICY|6ERES|79RCR|aMULHEA
47	63432 36133	   	248.08	DCR|DCR|2VULN|1ZMB	1TLV|2TBNT|38VULN|4ZMB|5BASICY|6ERES|79RCR|aMULHEA
48	31153 65442	 * 	247.59	DCR|3VULN|2DMG|2ASPD	1TBNT|2MBVNT|39FEWX|45ASPD|6RCR|79DMG|89aVULN|9BPWR
49	31153 68242	   	247.59	DCR|3VULN|2DMG|2ASPD	1TBNT|2MBVNT|39FEWX|45ASPD|6RCR|79aVULN|89DMG|9BPWR
50	22322 41443	 * 	246.90	DCR|3VULN|3DMG|1RPLT	19aDMG|2BEXP|369VULN|4BBNT|59LIT|7RPLT|8RCR|9BPWR
51	12351 31212	   	246.11	DCR|3VULN|2DMG|2DUR|1RPLT	1aLIT|2RPLT|3BELT|46DMG|56aVULN|6aBPWR|7aDUR|8MBVNT|9RCR
52	34324 16321	 * 	243.68	DCR|2VULN|2DMG|2CDMG|1MLV|1SELL	1TBNT|27VULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|8MLV|9DUR|aLHND
53	34324 16323	 * 	243.68	DCR|2VULN|2DMG|2CDMG|1MLV|1SELL	1TBNT|27VULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|8MLV|9DUR|aFEWX
54	22211 24552	   	242.38	DCR|DCR|1DMG|1ASPD|1CDMG|1RPLT|1SELL	1DMG|2BEXP|3RCVC|4CDMG|5BBNT|69RCR|7SELL|8RPLT|aASPD
55	32324 13552	   	242.28	DCR|DCR|1DMG|1ASPD|1CDMG|1RPLT|1SELL	1TBNT|2FEWX|3SELL|4CDMG|5DMG|69RCR|7AELOIC|8RPLT|aASPD
56	34324 16211	 * 	241.31	DCR|3VULN|2DMG|2CDMG|1SELL	1TBNT|27aVULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|89RMIN
57	34324 16112	 * 	241.21	DCR|3VULN|2DMG|2CDMG|1SELL	1TBNT|27aVULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|8AME|9RMIN
58	34324 16222	 * 	241.21	DCR|3VULN|2DMG|2CDMG|1SELL	1TBNT|27aVULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|8RMIN|9AME
59	21341 16362	   	240.98	DCR|DCR|2DMG|1MLV	17DMG|27TLV|37CGEN|4AAC|5BBNT|6aRCR|7BPWR|8MLV|9LIT
60	14131 13662	   	240.61	DCR|DCR|1VULN|1DMG	1LIT|2LHND|3LWND|4VULN|5AAC|6DMG|7CGEN|8aRCR|9FEWX
61	34324 16122	 * 	239.70	DCR|2VULN|2DMG|2CDMG|1ASPD|1SELL	1TBNT|27VULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|8AME|9DUR|aASPD
62	34652 41113	   	239.57	DCR|3VULN|2ASPD|1DMG|1AART	1TBNT|267VULN|36ASPD|4AART|5MBVNT|6BPWR|8BBNT|9DMG|aRCR
63	25632 11621	 * 	239.47	DCR|2VULN|2DMG|2MLV	1aDMG|2FLTHEA|3BBNT|4aMLV|5ERES|6AAC|7DUR|8aVULN|9RCR|aBPWR
64	22353 35334	   	239.47	DCR|2VULN|2DMG|2MLV	17DMG|2BEXP|37VULN|4BELT|57MLV|6DMSP|7BPWR|8ERES|9DUR|aRCR
65	12351 32553	   	239.46	DCR|3VULN|2DMG|1RPLT	1LIT|2RPLT|3BELT|46DMG|56aVULN|6BPWR|7BEXP|8DUR|9RCR
66	11263 34226	 * 	239.40	DCR|3VULN|1DMG|1MLV|1RPLT	14LIT|2BBNT|347VULN|4BPWR|5DUR|6MLV|8DMG|9RPLT|aRCR
67	12351 31213	   	239.36	DCR|3VULN|2DMG|1RPLT	1LIT|2RPLT|3BELT|46DMG|56aVULN|6BPWR|7DUR|8MBVNT|9RCR
68	22131 22455	 * 	238.81	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DMG|27BEXP|35DUST|48RCR|6CDMG|9ASPD|aVULN
69	12351 32552	   	238.40	DCR|2VULN|3DMG|2DUR|1RPLT	1aLIT|2RPLT|3BELT|46aDMG|56VULN|6aBPWR|7BEXP|8aDUR|9RCR
70	43244 31814	 * 	237.98	DCR|DCR|1VULN|1MLV	1RCVC|25CGEN|3BELT|4MBVNT|69RCR|7LIT|8VULN|aMLV
71	31684 42381	   	237.88	DCR|DCR|1VULN|1MLV	1TBNT|2MBVNT|3LIT|4VULN|5DLOT|69RCR|7TLV|8MLV|aLHND
72	31684 42382	   	237.88	DCR|DCR|1VULN|1MLV	1TBNT|2MBVNT|3LIT|4VULN|5DLOT|69RCR|7aTLV|8MLV
73	31684 42383	   	237.88	DCR|DCR|1VULN|1MLV	1TBNT|2MBVNT|3LIT|4VULN|5DLOT|69RCR|7TLV|8MLV|aDMSP
74	31382 48245	   	237.78	DCR|DCR|1VULN|1MLV	1TBNT|2MBVNT|3ERES|4CGEN|5MLV|6DUST|79RCR|8RMIN|aVULN
75	31684 42384	   	237.78	DCR|DCR|1VULN|1MLV	1TBNT|2MBVNT|3LIT|4VULN|5DLOT|69RCR|7TLV|8MLV|aFLTFST
76	31442 62328	   	237.78	DCR|2VULN|2DMG|2ASPD|1CDMG	1TBNT|2MBVNT|3aASPD|4RCVC|5aVULN|6RCR|7CDMG|8CGEN|9aDMG|aBPWR
77	31462 62328	   	237.78	DCR|2VULN|2DMG|2ASPD|1CDMG	1TBNT|2MBVNT|3aASPD|4DMSP|5aVULN|6RCR|7CDMG|8CGEN|9aDMG|aBPWR
78	13321 43325	 * 	237.58	ACR|DCR|1VULN|1MLV|2RPLT|1CDMG	1LIT|2CDMG|39RPLT|4ERES|5aRCR|6VULN|7MLV|8TLV
79	22213 46141	 * 	237.50	DCR|2DMG|1VULN|2MLV|3CDMG	17DMG|2BEXP|3RCVC|467CDMG|57MLV|7BPWR|8DUR|9RCR|aVULN
80	34324 11413	   	237.17	DCR|2VULN|2DMG|1MLV|1CDMG|1SELL	1TBNT|28VULN|3SELL|4CDMG|58DMG|6RCR|78SPLARM|8BPWR|9DUR|aMLV
81	22631 12814	   	236.65	DCR|DCR|1DMG|1MLV|1CDMG	1DMG|2BEXP|3MLV|4CDMG|5MBVNT|6TLV|7AIRHEA|8aRCR|9FEWX
82	22631 12824	   	236.65	DCR|DCR|1DMG|1MLV|1CDMG	1DMG|2BEXP|3MLV|4CDMG|5MBVNT|6TLV|7AIRHEA|8aRCR|9LHND
83	21311 24362	   	236.60	DCR|DCR|1DMG|1MLV|1CDMG|1SELL	1DMG|2TLV|3CGEN|4CDMG|5BBNT|6aRCR|7SELL|8MLV|9LIT
84	21314 24362	   	236.60	DCR|DCR|1DMG|1MLV|1CDMG|1SELL	1DMG|2TLV|3CGEN|4CDMG|5TBNT|6aRCR|7SELL|8MLV|9LIT
85	31812 62461	   	236.55	DCR|DCR|1DMG|1MLV|1CDMG	1TBNT|2MBVNT|3AME|4NUKE|5MLV|69RCR|7CDMG|8DMG|aFRZICY
86	31812 62464	   	236.55	DCR|DCR|1DMG|1MLV|1CDMG	1TBNT|2MBVNT|3AME|4NUKE|5MLV|69RCR|7CDMG|8DMG|aAAC
87	31417 14662	   	236.50	DCR|DCR|1DMG|1MLV|1ASPD|1SELL	1TBNT|2MBVNT|3ASPD|4SELL|5LWND|6CGEN|79RCR|8DMG|aMLV
88	31812 62463	   	236.45	DCR|DCR|1DMG|1MLV|1CDMG|1SELL	1TBNT|2MBVNT|3AME|4NUKE|5MLV|69RCR|7CDMG|8DMG|aSELL
89	31355 61323	   	235.80	DCR|DCR|1MLV|1CDMG|1AART|1RPLT	1TBNT|2MBVNT|3ERES|4DUST|5CDMG|6RPLT|7AART|8MLV|9aRCR
90	22211 24553	   	235.67	DCR|DCR|1DMG|1CDMG|1RPLT|1SELL	1DMG|2BEXP|3RCVC|4CDMG|5BBNT|69RCR|7SELL|8RPLT|aNUKE
91	31423 65441	   	235.58	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79DMG|89VULN|9BPWR|aBEXP
92	31423 65442	   	235.58	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79DMG|89VULN|9BPWR|aTLV
93	31423 65443	   	235.58	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79DMG|89VULN|9BPWR|aLWND
94	31423 68241	   	235.58	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79VULN|89DMG|9BPWR|aBEXP
95	31423 68242	   	235.58	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79VULN|89DMG|9BPWR|aTLV
96	31423 68243	   	235.58	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79VULN|89DMG|9BPWR|aLWND
97	32324 13553	   	235.57	DCR|DCR|1DMG|1CDMG|1RPLT|1SELL	1TBNT|2FEWX|3SELL|4CDMG|5DMG|69RCR|7AELOIC|8RPLT|aNUKE
98	31453 65441	   	235.48	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4DUST|6RCR|79DMG|89VULN|9BPWR|aBEXP
99	31453 65442	   	235.48	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4DUST|6RCR|79DMG|89VULN|9BPWR|aTLV
100	31453 65443	   	235.48	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4DUST|6RCR|79DMG|89VULN|9BPWR|aLWND
101	31423 65447	   	235.48	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79DMG|89VULN|9BPWR|aAME
102	31423 65448	   	235.48	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79DMG|89VULN|9BPWR|aMDPS
103	31423 68247	   	235.48	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79VULN|89DMG|9BPWR|aAME
104	31423 68248	   	235.48	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79VULN|89DMG|9BPWR|aMDPS
105	31453 68241	   	235.48	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4DUST|6RCR|79VULN|89DMG|9BPWR|aBEXP
106	31453 68242	   	235.48	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4DUST|6RCR|79VULN|89DMG|9BPWR|aTLV
107	31453 68243	   	235.48	DCR|2VULN|3ASPD|2DMG	1TBNT|2MBVNT|359ASPD|4DUST|6RCR|79VULN|89DMG|9BPWR|aLWND
108	34324 16311	 * 	235.38	DCR|2VULN|2DMG|2CDMG|1MLV|1SELL	1TBNT|27VULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|8MLV|9RMIN|aFEWX
109	34324 16313	 * 	235.38	DCR|2VULN|2DMG|2CDMG|1MLV|1SELL	1TBNT|27VULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|8MLV|9RMIN|aCGEN
110	34324 11412	   	235.29	DCR|2VULN|3DMG|1CDMG|1SELL	1TBNT|28VULN|3SELL|4CDMG|58aDMG|6RCR|78SPLARM|8BPWR|9DUR
111	34324 16331	 * 	235.18	DCR|2VULN|2DMG|2CDMG|1MLV|2SELL	1TBNT|27VULN|39SELL|47CDMG|57DMG|6RCR|7BPWR|8MLV|aLHND
112	34324 16333	 * 	235.18	DCR|2VULN|2DMG|2CDMG|1MLV|2SELL	1TBNT|27VULN|39SELL|47CDMG|57DMG|6RCR|7BPWR|8MLV|aFEWX
113	22211 11124	   	235.14	DCR|3VULN|2DMG|1CDMG	1aDMG|2aBEXP|3RCVC|4CDMG|5BBNT|6DUST|78aVULN|9RCR|aBPWR
114	22214 11124	   	235.14	DCR|3VULN|2DMG|1CDMG	1aDMG|2aBEXP|3RCVC|4CDMG|5TBNT|6DUST|78aVULN|9RCR|aBPWR
115	35253 11124	   	235.14	DCR|3VULN|2DMG|1CDMG	1TBNT|2RCVC|3aLHND|4aDMG|5CDMG|6DUST|78aVULN|9RCR|aBPWR
116	13111 53624	 * 	234.94	DCR|3VULN|3ASPD|1CDMG	17LIT|2CDMG|3LEGI|47aVULN|5MDPS|678ASPD|7BPWR|9RCR
117	12321 31212	   	234.56	DCR|3VULN|2ASPD|2DUR|1RPLT	1aLIT|2RPLT|3BELT|46ASPD|56aVULN|6aBPWR|7aDUR|8MBVNT|9RCR
118	46232 23432	   	233.96	DCR|DCR|1VULN|1ASPD|1ZMB	1RCVC|29LIT|3ASPD|4ZMB|5VULN|6CGEN|7aRCR|8TBNT
119	31241 57363	   	233.73	DCR|DCR|1DMG|2DUR|1CDMG|1ZMB	1TBNT|2MBVNT|3ZMB|4CDMG|58DUR|6NUKE|79RCR|aDMG
120	31214 83467	   	233.56	DCR|DCR|1VULN|1CDMG|1ZMB	1TBNT|2MBVNT|3ZMB|4NUKE|5ERES|69RCR|7DUST|8CDMG|aVULN
121	31214 88461	   	233.56	DCR|DCR|1VULN|1CDMG|1ZMB	1TBNT|2MBVNT|3ZMB|4NUKE|5ERES|69RCR|7VULN|8CDMG|aCANTOX
122	31214 88462	   	233.56	DCR|DCR|1VULN|1CDMG|1ZMB	1TBNT|2MBVNT|3ZMB|4NUKE|5ERES|69RCR|7VULN|8CDMG|aSNIFST
123	31214 88463	   	233.56	DCR|DCR|1VULN|1CDMG|2ZMB	1TBNT|2MBVNT|3aZMB|4NUKE|5ERES|69RCR|7VULN|8CDMG
124	31214 88464	   	233.56	DCR|DCR|1VULN|1CDMG|1ZMB	1TBNT|2MBVNT|3ZMB|4NUKE|5ERES|69RCR|7VULN|8CDMG|aDUST
125	31438 65443	   	233.55	DCR|2VULN|2DMG|2ASPD|1AART|1ZMB	1TBNT|2MBVNT|39ASPD|4RMIN|5ZMB|6RCR|79DMG|89VULN|9BPWR|aAART
126	12351 33552	   	233.53	DCR|2VULN|2DMG|1MLV|1RPLT	1LIT|2RPLT|3BELT|46DMG|56VULN|6BPWR|7LHND|8DUR|9RCR|aMLV
127	31153 63843	   	232.71	DCR|DCR|3ASPD|1AART	1TBNT|2MBVNT|3FEWX|459ASPD|6aRCR|7DMSP|8AART
128	31423 63843	   	232.71	DCR|DCR|3ASPD|1AART	1TBNT|2MBVNT|359ASPD|4FEWX|6aRCR|7DMSP|8AART
129	31483 62823	   	232.71	DCR|DCR|3ASPD|1AART	1TBNT|2MBVNT|379ASPD|4CGEN|5RMIN|6aRCR|8AART
130	31445 61254	   	232.44	DCR|2VULN|2DMG|2ASPD	1TBNT|2MBVNT|39ASPD|4RCVC|59DMG|6DUR|7LWND|89VULN|9BPWR|aRCR
131	13321 43355	   	232.39	ACR|DCR|1VULN|1MLV|1CDMG|1RPLT	1LIT|2CDMG|3RPLT|4ERES|5aRCR|6VULN|7MLV|89TLV
132	13321 43365	   	232.29	ACR|DCR|1VULN|1MLV|1CDMG|1RPLT	1LIT|2CDMG|3RPLT|49ERES|5aRCR|6VULN|7MLV|8TLV
133	32661 21124	   	232.00	DCR|3VULN|2ASPD|1CDMG	1TBNT|2aFEWX|3aASPD|4CDMG|5DUR|6RCVC|78aVULN|9RCR|aBPWR
134	24152 62213	 * 	231.92	DCR|2VULN|1DMG|2CDMG|1ASPD|1AART	1DMG|2LIT|3AART|4aVULN|58CDMG|6DUR|7RCR|9ASPD
135	34253 31242	 * 	231.51	DCR|4VULN|1AART|1RPLT	1TBNT|2689VULN|3CGEN|4AART|5RPLT|7DUR|aRCR
136	34324 16232	 * 	231.49	DCR|2VULN|2DMG|2CDMG|1ASPD|1SELL	1TBNT|27VULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|8RMIN|9FEWX|aASPD
137	25523 21413	   	231.25	DCR|3VULN|2DMG|1AART	18DMG|2FLTHEA|389VULN|48CGEN|5AART|6RCR|7RCVC|8BPWR|aBBNT
138	12351 32212	   	231.25	DCR|3VULN|2DMG|1RPLT	1aLIT|2RPLT|3BELT|46DMG|56aVULN|6aBPWR|7aBEXP|8MBVNT|9RCR
139	22322 41441	   	231.25	DCR|3VULN|2DMG|1RPLT	19DMG|2aBEXP|369VULN|4BBNT|59LIT|7RPLT|8RCR|9BPWR
140	22322 41442	   	231.25	DCR|3VULN|2DMG|1RPLT	19DMG|2BEXP|369VULN|4BBNT|59LIT|7RPLT|8RCR|9BPWR|aRCVC
141	21441 11161	   	231.17	DCR|2VULN|2DMG|2MLV	1aDMG|2TLV|3aMLV|4AAC|5BBNT|6RCR|7SPLARM|8LHND|9aVULN|aBPWR
142	21451 11161	   	231.17	DCR|2VULN|2DMG|2MLV	1aDMG|2TLV|3aMLV|4RMIN|5BBNT|6RCR|7SPLARM|8LHND|9aVULN|aBPWR
143	34324 16132	 * 	231.15	DCR|2VULN|2DMG|2CDMG|1ASPD|2SELL	1TBNT|27VULN|39SELL|47CDMG|57DMG|6RCR|7BPWR|8AME|aASPD
144	25523 21411	   	231.15	DCR|3VULN|2DMG|1AART	18DMG|2FLTHEA|389VULN|48CGEN|5AART|6RCR|7RCVC|8BPWR|aTSLFST
145	25523 21412	   	231.15	DCR|3VULN|2DMG|1AART	18DMG|2FLTHEA|389VULN|48CGEN|5AART|6RCR|7RCVC|8BPWR|aERES
146	22131 26453	 * 	231.11	ACR|DCR|2DMG|1ASPD|1CDMG|1RPLT	17DMG|2BEXP|35DUST|48RCR|6CDMG|9ASPD|aRPLT
147	12351 34212	   	231.05	DCR|3VULN|2DMG|1RPLT	1aLIT|2RPLT|3BELT|46DMG|56aVULN|6aBPWR|7aDUST|8MBVNT|9RCR
148	12351 32213	   	231.05	DCR|3VULN|2DMG|1RPLT	1LIT|2RPLT|3BELT|46DMG|56aVULN|6BPWR|7BEXP|8MBVNT|9RCR
149	31442 62884	   	231.00	DCR|3VULN|1DMG|1ASPD|1CDMG	1TBNT|2MBVNT|3ASPD|4RCVC|58aVULN|6RCR|7CDMG|9DMG
150	22353 63512	   	230.99	DCR|3VULN|1DMG|1MLV|1RPLT	1DMG|2BEXP|38aVULN|4BELT|5MLV|6RPLT|7RCR|9LWND
151	22353 63522	   	230.99	DCR|3VULN|1DMG|1MLV|1RPLT	1DMG|29BEXP|38aVULN|4BELT|5MLV|6RPLT|7RCR
152	12351 34213	   	230.95	DCR|3VULN|2DMG|1RPLT	1LIT|2RPLT|3BELT|46DMG|56aVULN|6BPWR|7DUST|8MBVNT|9RCR
153	22335 34322	   	230.95	DCR|3VULN|2DMG|1AART	1aDMG|2BEXP|37aVULN|4CANARM|5AART|6FLTHEA|8aVENFST|9RCR|aBPWR
154	22335 34422	   	230.95	DCR|3VULN|2DMG|1AART	1aDMG|2BEXP|37aVULN|4CANARM|5AART|6FLTHEA|8aSPLARM|9RCR|aBPWR
155	56321 23232	 * 	230.95	DCR|3VULN|3MLV	1MDPS|26aVULN|3LIT|4CGEN|568MLV|6BPWR|7LWND|9RCR
156	56361 23232	   	230.85	DCR|3VULN|3MLV	1MDPS|26aVULN|3LIT|4ERES|568MLV|6BPWR|7LWND|9RCR
157	31247 14662	   	230.09	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1TBNT|2MBVNT|3ZMB|4CDMG|5LWND|6CGEN|79RCR|8ASPD|aMLV
158	11261 61632	 * 	229.95	DCR|5VULN	14LIT|2BBNT|3456aVULN|4BPWR|7DUR|8TBNT|9RCR
159	22341 22352	   	229.74	DCR|2VULN|2DMG|1CDMG|1RPLT	17DMG|2BEXP|37VULN|457LWND|6RPLT|7BPWR|8DUR|9CDMG|aRCR
160	13632 41513	   	229.68	DCR|3VULN|1MLV|2DUR|1CDMG	1LIT|2CDMG|3ERES|46DUR|578VULN|9RCR|aMLV
161	11263 34513	   	229.49	DCR|3VULN|1DMG|1MLV|1ZMB	14LIT|2BBNT|347VULN|4BPWR|5DUR|6MLV|8ZMB|9DMG|aRCR
162	21412 51123	   	229.11	DCR|2VULN|2DMG|1MLV|1CDMG	1aDMG|2TLV|3MLV|4CDMG|5BEXP|6TBNT|78VULN|9RCR
