0	Index      	 *	Score 	Summary	Detail	
1	12215 84451	 * 	290.55	DCR|DCR|1VULN|2MLV|1ASPD|1CDMG|1RPLT	1CDMG|2TBNT|39MLV|4MBVNT|5RPLT|6aRCR|7ASPD|8VULN
23	35252 22131	   	273.75	DCR|DCR|1VULN|2ASPD|1MLV|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6aASPD|78RCR|9LHND
24	35252 22351	   	273.65	DCR|DCR|1VULN|2ASPD|1MLV|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6aASPD|79RCR|8DUST
25	12214 22454	 * 	272.76	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1CDMG|2TBNT|3MLV|4MBVNT|5aRCR|68VULN|7ASPD|9DUR
26	12214 22674	   	272.76	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1CDMG|2TBNT|3MLV|4MBVNT|5aRCR|69VULN|7ASPD|8DUR
27	11213 21122	   	271.59	DCR|DCR|2VULN|1CDMG|1RPLT|1SELL	1CDMG|2SELL|36VULN|47FEWX|5SNITOX|89RCR|aRPLT
28	22621 53441	   	271.59	DCR|DCR|2VULN|1ASPD|1RPLT|1SELL	1SELL|2MBVNT|3RPLT|4TBNT|5CGEN|6ASPD|78VULN|9aRCR
29	22625 13641	   	271.59	DCR|DCR|2VULN|1ASPD|1RPLT|1SELL	1SELL|2MBVNT|3RPLT|4TBNT|5RMIN|68VULN|7ASPD|9aRCR
30	22653 13641	   	271.59	DCR|DCR|2VULN|1ASPD|1RPLT|1SELL	1SELL|2MBVNT|3RPLT|4RMIN|5TBNT|68VULN|7ASPD|9aRCR
31	12518 12241	   	271.49	DCR|DCR|2VULN|1CDMG|1RPLT|1ZMB	1CDMG|2TBNT|3ZMB|4MBVNT|56VULN|7RPLT|8AME|9aRCR
32	35252 22113	   	270.95	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9FEWX|aRPLT
33	35252 22123	   	270.95	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9LIT|aRPLT
34	11213 41121	 * 	268.25	DCR|DCR|2VULN|2CDMG|1SELL	16CDMG|2SELL|3aVULN|47FEWX|5SNITOX|89RCR
35	11234 32536	 * 	268.15	DCR|DCR|2VULN|2CDMG|1SELL	17CDMG|2SELL|39VULN|4MDPS|5LIT|6LSRREG|8aRCR
36	35254 12112	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AME|2DMSP|3VULN|4AART|5DMG|6MLV|78RCR|9FEWX|aRCVC
37	35254 12121	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AME|2DMSP|3VULN|4AART|5DMG|6MLV|78RCR|9LIT|aRCVC
38	35254 12122	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AME|2DMSP|3VULN|4AART|5DMG|6MLV|78RCR|9LIT|aCGEN
39	35254 12132	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AME|2DMSP|3VULN|4AART|5DMG|6MLV|78RCR|9LHND|aRCVC
40	35254 12113	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1AART|1MSE	1AME|2DMSP|3VULN|4AART|5DMG|6MLV|78RCR|9FEWX|aMSE
41	35254 12133	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1AART|1MSE	1AME|2DMSP|3VULN|4AART|5DMG|6MLV|78RCR|9LHND|aMSE
42	12214 24467	 * 	266.42	ACR|DCR|2VULN|2MLV|1CDMG	1CDMG|2TBNT|38MLV|4MBVNT|5aRCR|69VULN|7LWND
43	12214 26467	   	266.42	ACR|DCR|2VULN|2MLV|1CDMG	1CDMG|2TBNT|38MLV|4MBVNT|5aRCR|69VULN|7LHND
44	32163 61121	 * 	266.31	DCR|DCR|2DMG|1VULN	1AME|26DMG|3TLV|4VENTOX|5RCVC|7DUR|89RCR|aVULN
45	61632 61121	   	266.31	DCR|DCR|2DMG|1VULN	1LSRHEA|2RCVC|3AME|46DMG|5TLV|7DUR|89RCR|aVULN
46	52163 61121	   	266.21	DCR|DCR|2DMG|1VULN	1ERES|26DMG|3AME|4VENTOX|5RCVC|7DUR|89RCR|aVULN
47	61232 61121	   	266.21	DCR|DCR|2DMG|1VULN	1LSRHEA|2RCVC|3ERES|46DMG|5AME|7DUR|89RCR|aVULN
48	61631 61121	   	266.21	DCR|DCR|2DMG|1VULN	1LSRHEA|2RCVC|3AME|46DMG|5ERES|7DUR|89RCR|aVULN
49	11546 33121	   	266.14	DCR|DCR|1VULN|1MLV|2DUR|1CDMG|1SELL	1CDMG|2SELL|34DUR|5MLV|6BLASTR|7ERES|89RCR|aVULN
50	12214 22474	   	264.46	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1CDMG|2TBNT|3MLV|4MBVNT|5aRCR|68VULN|7ASPD|9LWND
51	12214 24174	   	264.46	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1CDMG|2TBNT|3MLV|4MBVNT|5aRCR|69VULN|7LWND|8ASPD
52	12214 28174	   	264.36	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1CDMG|2TBNT|3MLV|4MBVNT|5aRCR|69VULN|7DUST|8ASPD
53	12215 84381	   	263.91	DCR|DCR|2MLV|1ASPD|1CDMG|1RPLT	1CDMG|2TBNT|39MLV|4MBVNT|5RPLT|6aRCR|7ASPD|8DUR
54	12453 15132	 * 	262.57	DCR|DCR|1VULN|2CDMG|1ASPD	14CDMG|2TBNT|345TLV|4BPWR|6VULN|79RCR|8ASPD|aDUR
55	11213 16536	   	261.93	DCR|DCR|2VULN|1CDMG|1SELL	1CDMG|2SELL|39VULN|4FEWX|5SNITOX|6LIT|7LHND|8aRCR
56	11213 21125	   	261.93	DCR|DCR|2VULN|1CDMG|1SELL	1CDMG|2SELL|36VULN|47FEWX|5SNITOX|89RCR|aAAC
57	11213 21126	   	261.93	DCR|DCR|2VULN|1CDMG|1SELL	1CDMG|2SELL|36VULN|47FEWX|5SNITOX|89RCR|aBEXP
58	11263 11121	   	261.93	DCR|DCR|2VULN|1CDMG|1SELL	1CDMG|2SELL|3aVULN|4VENTOX|5RCVC|67FEWX|89RCR
59	11213 14536	   	261.83	DCR|DCR|2VULN|1CDMG|1SELL	1CDMG|2SELL|39VULN|4FEWX|5SNITOX|6LIT|7DUST|8aRCR
60	11213 21123	   	261.83	DCR|DCR|2VULN|1CDMG|2SELL	1CDMG|2aSELL|36VULN|47FEWX|5SNITOX|89RCR
61	11234 23536	   	261.83	DCR|DCR|2VULN|1CDMG|1SELL	1CDMG|2SELL|39VULN|4MDPS|5LIT|6DMSP|7LSRHEA|8aRCR
62	35252 22112	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9aFEWX
63	35252 22114	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9FEWX|aTBNT
64	35252 22121	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9LIT|aRCVC
65	35252 22122	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9LIT|aCGEN
66	35252 22132	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9LHND|aFEWX
67	35252 22133	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9LHND|aAAC
68	35252 22134	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9LHND|aTBNT
69	35252 22161	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9TLV|aBEXP
70	35252 32111	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6AAC|78RCR|9FEWX|aASPD
71	35252 32116	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6AAC|78RCR|9FEWX|aCDMG
72	35252 32124	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6AAC|78RCR|9LIT|aCDMG
73	35252 32131	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6AAC|78RCR|9LHND|aASPD
74	35252 32136	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6AAC|78RCR|9LHND|aCDMG
75	12215 83148	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1CDMG|2TBNT|3MLV|4MBVNT|5RPLT|6aRCR|7FEWX|8MDPS|9VULN
76	35252 22115	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9FEWX|aDUST
77	35252 22116	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9FEWX|aMBVNT
78	35252 22125	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9LIT|aDUST
79	35252 22135	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9LHND|aDUST
80	35252 22136	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9LHND|aMBVNT
81	35252 22162	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9TLV|aLEGI
82	35252 22163	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9TLV|aDUST
83	35252 22352	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|79RCR|8DUST|aFEWX
84	35252 22353	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|79RCR|8DUST|aAAC
85	35252 32351	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6AAC|79RCR|8DUST|aASPD
86	25336 12126	   	261.15	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1SELL|2AART|3TLV|4CDMG|5LHND|6MLV|78RCR|9LIT|aVULN
87	25336 12142	   	261.15	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1SELL|2AART|3TLV|4CDMG|5LHND|6MLV|78RCR|9VULN|aRCVC
88	12215 81411	   	261.09	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1CDMG|2TBNT|3MLV|4MBVNT|5RPLT|6aRCR|7NUKE|8VULN|9AELOIC
89	11313 12126	   	261.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LHND|5AART|6MLV|78RCR|9LIT|aVULN
90	11313 12142	   	261.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LHND|5AART|6MLV|78RCR|9VULN|aRCVC
91	11313 12144	   	261.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LHND|5AART|6MLV|78RCR|9VULN|aTBNT
92	11313 12155	   	261.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LHND|5AART|6MLV|78RCR|9AAC|aVULN
93	11333 12126	   	261.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LWND|5AART|6MLV|78RCR|9LIT|aVULN
94	11333 12142	   	261.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LWND|5AART|6MLV|78RCR|9VULN|aRCVC
95	11333 12144	   	261.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LWND|5AART|6MLV|78RCR|9VULN|aTBNT
96	11333 12155	   	261.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LWND|5AART|6MLV|78RCR|9AAC|aVULN
97	25336 12143	   	261.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL|1MSE	1SELL|2AART|3TLV|4CDMG|5LHND|6MLV|78RCR|9VULN|aMSE
98	11313 12143	   	260.95	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL|1MSE	1CDMG|2SELL|3ERES|4LHND|5AART|6MLV|78RCR|9VULN|aMSE
99	11313 12145	   	260.95	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LHND|5AART|6MLV|78RCR|9VULN|aDUST
100	11313 12146	   	260.95	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LHND|5AART|6MLV|78RCR|9VULN|aMBVNT
101	11333 12143	   	260.95	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL|1MSE	1CDMG|2SELL|3ERES|4LWND|5AART|6MLV|78RCR|9VULN|aMSE
102	11333 12145	   	260.95	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LWND|5AART|6MLV|78RCR|9VULN|aDUST
103	11333 12146	   	260.95	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LWND|5AART|6MLV|78RCR|9VULN|aMBVNT
104	12211 77241	   	260.95	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT|1ZMB	1CDMG|2TBNT|3MLV|4MBVNT|5ZMB|6RPLT|7AELOIC|8VULN|9aRCR
