0	Index      	 *	Score 	Summary	Detail	
1	22423 42353	 * 	294.77	DCR|DCR|2VULN|1MLV|2DUR|1ASPD	1BEXP|25VULN|35DUR|4BBNT|5BPWR|6aRCR|7LIT|8ASPD|9MLV
22	21313 24233	   	273.95	DCR|DCR|3DMG|1VULN	145BEXP|245DMG|36RMIN|45BPWR|7DUST|89RCR|aVULN
23	21313 63233	   	273.95	DCR|DCR|3DMG|1VULN	145BEXP|245DMG|3RMIN|45BPWR|6CGEN|7AME|89RCR|aVULN
24	41337 21212	   	273.46	DCR|DCR|1VULN|2MLV|1DMG	1FEWX|2DMG|3VENICY|4MBVNT|5DUST|69RCR|7aMLV|8VULN
25	21112 22523	 * 	273.11	DCR|3VULN|3DMG|3CDMG|1RPLT	138BEXP|259DMG|489CDMG|689VULN|7RPLT|89BPWR|aRCR
26	22132 12243	   	270.28	DCR|DCR|2VULN|1CDMG	1BEXP|25VULN|3DLOT|4ERES|6CDMG|7MDPS|8aRCR|9DUR
27	42132 12243	   	270.28	DCR|DCR|2VULN|1CDMG	1FEWX|25VULN|3DLOT|4ERES|6CDMG|7MDPS|8aRCR|9DUR
28	22246 32612	   	268.69	DCR|DCR|2VULN|1DMG	14BEXP|26VULN|3LIT|5FEWX|7CGEN|8aRCR|9DMG
29	42242 32612	   	268.69	DCR|DCR|2VULN|1DMG	1FEWX|26VULN|3LIT|45BEXP|7CGEN|8aRCR|9DMG
30	42351 32612	   	268.69	DCR|DCR|2VULN|1DMG	1FEWX|26VULN|3BEXP|4RCVC|5LIT|7CGEN|8aRCR|9DMG
31	42223 61612	   	268.59	DCR|DCR|2VULN|1DMG	1FEWX|26VULN|3LIT|4DUST|57CGEN|8aRCR|9DMG
32	42225 32612	   	268.59	DCR|DCR|2VULN|1DMG	1FEWX|26VULN|3LIT|4DUST|5DMSP|7CGEN|8aRCR|9DMG
33	42361 12612	   	268.59	DCR|DCR|2VULN|1DMG	1FEWX|24VULN|3BEXP|5LIT|6AELOIC|7CGEN|8aRCR|9DMG
34	41113 36263	 * 	268.26	ACR|DCR|3DMG|1VULN|1CDMG|1RPLT	1FEWX|268DMG|3BEXP|4VULN|5aRCR|7CDMG|9RPLT
35	21413 36263	   	268.16	ACR|DCR|3DMG|1VULN|1CDMG|1RPLT	1BEXP|268DMG|3DUST|4VULN|5aRCR|7CDMG|9RPLT
36	51312 23211	   	267.76	DCR|DCR|2DMG|1VULN|1AART	1LHND|29DMG|3VENICY|4TLV|5LIT|6AART|7aRCR|8VULN
37	31356 21211	   	267.66	DCR|DCR|2DMG|1VULN|1AART	1AME|2LIT|3BASARM|4VULN|59DMG|6AART|7BEXP|8aRCR
38	31356 26211	   	267.66	DCR|DCR|2DMG|1VULN|1AART	1AME|2LIT|3BASARM|4VULN|59DMG|6AART|7FEWX|8aRCR
39	31356 22211	   	267.56	DCR|DCR|2DMG|1VULN|1AART	1AME|2LIT|3BASARM|4VULN|59DMG|6AART|7DUST|8aRCR
40	41331 25218	   	266.31	DCR|DCR|2DMG|1VULN	1FEWX|2aDMG|3VENICY|4MBVNT|5DUR|69RCR|7TLV|8VULN
41	41331 27218	   	266.31	DCR|DCR|2DMG|1VULN	1FEWX|2aDMG|3VENICY|4MBVNT|5DUR|69RCR|7RMIN|8VULN
42	21313 14234	   	266.30	DCR|DCR|3DMG|1MLV|1RPLT	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7CGEN|89RCR|aRPLT
43	21313 14236	   	266.30	DCR|DCR|3DMG|1MLV|1AART	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7CGEN|89RCR|aAART
44	21313 15234	   	266.30	DCR|DCR|3DMG|1MLV|1RPLT	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7TLV|89RCR|aRPLT
45	21313 15236	   	266.30	DCR|DCR|3DMG|1MLV|1AART	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7TLV|89RCR|aAART
46	52323 42253	   	266.26	DCR|DCR|2VULN|1MLV	1LHND|25VULN|35BEXP|4BBNT|5BPWR|6aRCR|7LIT|8AAC|9MLV
47	41331 21211	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2DMG|3VENICY|4MBVNT|5DUR|69RCR|7MLV|8VULN|aBEXP
48	41331 21214	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2DMG|3VENICY|4MBVNT|5DUR|69RCR|7MLV|8VULN|aBBNT
49	41331 21215	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2DMG|3VENICY|4MBVNT|5DUR|69RCR|7MLV|8VULN|aLHND
50	41331 21216	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2DMG|3VENICY|4MBVNT|5DUR|69RCR|7MLV|8VULN|aCGEN
51	41331 25212	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2DMG|3VENICY|4MBVNT|5DUR|69RCR|7TLV|8VULN|aMLV
52	41331 27212	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2DMG|3VENICY|4MBVNT|5DUR|69RCR|7RMIN|8VULN|aMLV
53	41331 26218	   	266.21	DCR|DCR|2DMG|1VULN	1FEWX|2aDMG|3VENICY|4MBVNT|5DUR|69RCR|7AME|8VULN
54	41332 18418	   	266.21	DCR|DCR|2DMG|1VULN	1FEWX|2aDMG|3VENICY|4MBVNT|5AME|6VULN|79RCR|8DUR
55	21313 13234	   	266.20	DCR|DCR|3DMG|1MLV|1RPLT	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7AME|89RCR|aRPLT
56	21313 13236	   	266.20	DCR|DCR|3DMG|1MLV|1AART	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7AME|89RCR|aAART
57	41331 21213	   	266.15	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1FEWX|2DMG|3VENICY|4MBVNT|5DUR|69RCR|7MLV|8VULN|aZMB
58	41331 21217	   	266.15	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2DMG|3VENICY|4MBVNT|5DUR|69RCR|7MLV|8VULN|aLSRREG
59	41331 26212	   	266.15	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2DMG|3VENICY|4MBVNT|5DUR|69RCR|7AME|8VULN|aMLV
60	41332 18412	   	266.15	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2DMG|3VENICY|4MBVNT|5AME|6VULN|79RCR|8DUR|aMLV
61	41336 18412	   	266.15	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2DMG|3VENICY|4MBVNT|5ERES|6VULN|79RCR|8DUR|aMLV
62	31352 23241	   	266.15	DCR|DCR|2VULN|1AART|1ZMB	1AME|2LIT|3BASARM|48VULN|5ZMB|6AART|7aRCR|9DUR
63	41113 43312	 * 	265.02	ACR|DCR|2DMG|1VULN|2ASPD|1RPLT|1SELL	18FEWX|28DMG|3BEXP|4VULN|5aRCR|6SELL|78ASPD|8BPWR|9RPLT
64	21313 14232	   	264.94	DCR|DCR|3DMG|1MLV	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7CGEN|89RCR|aDUR
65	21313 15232	   	264.94	DCR|DCR|3DMG|1MLV	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7TLV|89RCR|aDUR
66	21413 43312	 * 	264.92	ACR|DCR|2DMG|1VULN|2ASPD|1RPLT|1SELL	18BEXP|28DMG|3DUST|4VULN|5aRCR|6SELL|78ASPD|8BPWR|9RPLT
67	41413 43312	 * 	264.92	ACR|DCR|2DMG|1VULN|2ASPD|1RPLT|1SELL	18FEWX|28DMG|3DUST|4VULN|5aRCR|6SELL|78ASPD|8BPWR|9RPLT
68	21313 13232	   	264.84	DCR|DCR|3DMG|1MLV	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7AME|89RCR|aDUR
