0	Index      	 *	Score 	Summary	Detail	
1	23521 16251	 * 	269.09	ACR|DCR|3VULN|2ASPD	1MGNSTR|28RCR|35aVULN|47ASPD|6TBNT|9AELOIC
13	66333 31221	 * 	257.27	ACR|DCR|2VULN|2DMG	18RCR|24DMG|3TSLARM|5FEWX|6aVULN|7BEXP|9LWND
14	66333 31236	   	257.27	ACR|DCR|2VULN|2DMG	18RCR|24DMG|3TSLARM|5FEWX|6aVULN|7BEXP|9TBNT
15	66333 41231	   	257.27	ACR|DCR|2VULN|2DMG	18RCR|24DMG|3TSLARM|5FEWX|6LHND|7BEXP|9aVULN
16	66333 43221	   	257.27	ACR|DCR|2VULN|2DMG	18RCR|24DMG|3TSLARM|5FEWX|6LHND|7aVULN|9LWND
17	23321 61221	   	256.74	ACR|DCR|3VULN|1ASPD	1MGNSTR|28RCR|3FEWX|4ASPD|56aVULN|7BEXP|9LWND
18	23321 61236	   	256.74	ACR|DCR|3VULN|1ASPD	1MGNSTR|28RCR|3FEWX|4ASPD|56aVULN|7BEXP|9TBNT
19	23521 41221	   	256.74	ACR|DCR|3VULN|1ASPD	1MGNSTR|28RCR|35aVULN|4ASPD|6LHND|7BEXP|9LWND
20	23521 41236	   	256.74	ACR|DCR|3VULN|1ASPD	1MGNSTR|28RCR|35aVULN|4ASPD|6LHND|7BEXP|9TBNT
21	62321 61221	   	256.74	ACR|DCR|3VULN|1ASPD	18RCR|2LSRREG|3FEWX|4ASPD|56aVULN|7BEXP|9LWND
22	62321 61236	   	256.74	ACR|DCR|3VULN|1ASPD	18RCR|2LSRREG|3FEWX|4ASPD|56aVULN|7BEXP|9TBNT
23	62521 41221	   	256.74	ACR|DCR|3VULN|1ASPD	18RCR|2LSRREG|35aVULN|4ASPD|6LHND|7BEXP|9LWND
24	64321 61221	   	256.74	ACR|DCR|3VULN|1ASPD	18RCR|2BASARM|3FEWX|4ASPD|56aVULN|7BEXP|9LWND
25	65121 61221	   	256.74	ACR|DCR|3VULN|1ASPD	18RCR|2FEWX|3MSLTOX|4ASPD|56aVULN|7BEXP|9LWND
26	66213 62321	   	256.73	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT|1SELL	1aRCR|2DMG|3DUR|4CDMG|5LIT|6SELL|7RPLT|8VULN|9ASPD
27	23214 58341	   	256.64	ACR|DCR|3VULN|1CDMG	1MGNSTR|27RCR|3BELT|4CDMG|59aVULN|6MBVNT|8TBNT
28	23321 61264	   	256.64	ACR|DCR|3VULN|1ASPD	1MGNSTR|28RCR|3FEWX|4ASPD|56aVULN|7BEXP|9ERES
29	23521 15251	   	256.64	ACR|DCR|3VULN|1ASPD	1MGNSTR|28RCR|35aVULN|4ASPD|6TBNT|7RCVC|9AELOIC
30	63121 61221	   	256.64	ACR|DCR|3VULN|1ASPD	18RCR|2DUST|3MSLTOX|4ASPD|56aVULN|7FEWX|9LWND
31	63121 61236	   	256.64	ACR|DCR|3VULN|1ASPD	18RCR|2DUST|3MSLTOX|4ASPD|56aVULN|7FEWX|9TBNT
32	63121 65221	   	256.64	ACR|DCR|3VULN|1ASPD	18RCR|2DUST|3MSLTOX|4ASPD|56aVULN|7BEXP|9LWND
33	23321 61243	   	256.58	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	1MGNSTR|28RCR|3FEWX|4ASPD|56VULN|7BEXP|9AART|aCDMG
34	23521 41243	   	256.58	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	1MGNSTR|28RCR|35VULN|4ASPD|6LHND|7BEXP|9AART|aCDMG
35	62321 61243	   	256.58	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	18RCR|2LSRREG|3FEWX|4ASPD|56VULN|7BEXP|9AART|aCDMG
36	63121 61243	   	256.48	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	18RCR|2DUST|3MSLTOX|4ASPD|56VULN|7FEWX|9AART|aCDMG
37	21221 53525	   	255.85	DCR|DCR|1VULN|2AART|1RPLT	1MGNSTR|2CGEN|3BBNT|45AART|6RPLT|78RCR|9VULN|aDUR
38	66321 13221	   	254.54	ACR|DCR|2VULN|1DMG|2DUR	18RCR|2DMG|3TSLARM|4LHND|5aVULN|67DUR|9LWND
39	66321 13236	   	254.54	ACR|DCR|2VULN|1DMG|2DUR	18RCR|2DMG|3TSLARM|4LHND|5aVULN|67DUR|9TBNT
40	66235 13221	   	254.44	ACR|DCR|2VULN|1DMG|2DUR	18RCR|2DMG|36DUR|4DUST|5MULARM|7aVULN|9LWND
41	66235 11231	   	254.44	ACR|DCR|2VULN|1DMG|2DUR	18RCR|2DMG|36DUR|4DUST|5MULARM|7FEWX|9aVULN
42	22421 65122	 * 	254.37	DCR|DCR|1DMG|1MLV|1CDMG|1RPLT|1ZMB	1MGNSTR|2DUR|3MLV|4CDMG|5RPLT|6aRCR|7ZMB|8ERES|9DMG
43	23321 11221	   	254.03	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|3FEWX|47ASPD|5aVULN|6DUR|9LWND
44	23321 11236	   	254.03	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|3FEWX|47ASPD|5aVULN|6DUR|9TBNT
45	62321 11221	   	254.03	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|3FEWX|47ASPD|5aVULN|6DUR|9LWND
46	62321 11236	   	254.03	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|3FEWX|47ASPD|5aVULN|6DUR|9TBNT
47	64321 11221	   	254.03	ACR|DCR|2VULN|2ASPD	18RCR|2BASARM|3FEWX|47ASPD|5aVULN|6DUR|9LWND
48	64321 11236	   	254.03	ACR|DCR|2VULN|2ASPD	18RCR|2BASARM|3FEWX|47ASPD|5aVULN|6DUR|9TBNT
49	65121 11221	   	254.03	ACR|DCR|2VULN|2ASPD	18RCR|2FEWX|3MSLTOX|47ASPD|5aVULN|6DUR|9LWND
50	65121 11236	   	254.03	ACR|DCR|2VULN|2ASPD	18RCR|2FEWX|3MSLTOX|47ASPD|5aVULN|6DUR|9TBNT
51	23321 11264	   	253.93	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|3FEWX|47ASPD|5aVULN|6DUR|9ERES
52	62321 11264	   	253.93	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|3FEWX|47ASPD|5aVULN|6DUR|9ERES
53	63121 11221	   	253.93	ACR|DCR|2VULN|2ASPD	18RCR|2DUST|3MSLTOX|47ASPD|5aVULN|6DUR|9LWND
54	63121 11236	   	253.93	ACR|DCR|2VULN|2ASPD	18RCR|2DUST|3MSLTOX|47ASPD|5aVULN|6DUR|9TBNT
55	63121 11264	   	253.83	ACR|DCR|2VULN|2ASPD	18RCR|2DUST|3MSLTOX|47ASPD|5aVULN|6DUR|9ERES
56	66333 31243	   	252.51	ACR|DCR|2DMG|1VULN|1CDMG|1AART	18RCR|24DMG|3TSLARM|5FEWX|6VULN|7BEXP|9AART|aCDMG
57	23542 15113	   	251.39	ACR|DCR|3VULN	1MGNSTR|27RCR|39aVULN|4CGEN|5TLV|6DUR|8LIT
58	23321 61244	   	251.24	ACR|DCR|2VULN|1ASPD|1AART	1MGNSTR|28RCR|3FEWX|4ASPD|56VULN|7BEXP|9AART|aDUR
59	23523 43632	   	250.80	ACR|DCR|2VULN|1MLV|1ASPD	1MGNSTR|27RCR|38VULN|4ASPD|5TBNT|6RMIN|9LIT|aMLV
60	66432 21243	 * 	250.70	ACR|DCR|2DMG|2MLV|1CDMG|1AART	1aRCR|29DMG|39MLV|4CDMG|5LIT|69DUST|7AART|8MBVNT|9BPWR
61	23331 65231	   	250.46	ACR|DCR|2VULN|1MLV|1ASPD|1ZMB	1MGNSTR|28RCR|3FEWX|4ZMB|56VULN|7MDPS|9ASPD|aMLV
62	62331 65231	   	250.46	ACR|DCR|2VULN|1MLV|1ASPD|1ZMB	18RCR|2LSRREG|3FEWX|4ZMB|56VULN|7MDPS|9ASPD|aMLV
63	63131 65231	   	250.36	ACR|DCR|2VULN|1MLV|1ASPD|1ZMB	18RCR|2DUST|3MSLTOX|4ZMB|56VULN|7MDPS|9ASPD|aMLV
64	66321 13243	   	249.78	ACR|DCR|1VULN|1DMG|2DUR|1CDMG|1AART	18RCR|2DMG|3TSLARM|4LHND|5VULN|67DUR|9AART|aCDMG
65	23321 11243	   	249.27	ACR|DCR|1VULN|2ASPD|1CDMG|1AART	1MGNSTR|28RCR|3FEWX|47ASPD|5VULN|6DUR|9AART|aCDMG
66	62321 11243	   	249.27	ACR|DCR|1VULN|2ASPD|1CDMG|1AART	18RCR|2LSRREG|3FEWX|47ASPD|5VULN|6DUR|9AART|aCDMG
67	64321 11243	   	249.27	ACR|DCR|1VULN|2ASPD|1CDMG|1AART	18RCR|2BASARM|3FEWX|47ASPD|5VULN|6DUR|9AART|aCDMG
68	65121 11243	   	249.27	ACR|DCR|1VULN|2ASPD|1CDMG|1AART	18RCR|2FEWX|3MSLTOX|47ASPD|5VULN|6DUR|9AART|aCDMG
69	63121 11243	   	249.17	ACR|DCR|1VULN|2ASPD|1CDMG|1AART	18RCR|2DUST|3MSLTOX|47ASPD|5VULN|6DUR|9AART|aCDMG
70	66222 43221	   	247.99	ACR|DCR|2VULN|1DMG	18RCR|2DMG|3DUR|4RMIN|5TLV|6BASARM|7aVULN|9LWND
71	66222 62122	   	247.85	ACR|DCR|2VULN|1DMG|1SELL	16RCR|2DMG|3DUR|4RMIN|5TLV|7SELL|8BEXP|9aVULN
72	21221 53521	   	247.54	DCR|DCR|1VULN|2AART|1RPLT	1MGNSTR|2CGEN|3BBNT|45AART|6RPLT|78RCR|9VULN|aBEXP
73	21221 53522	   	247.54	DCR|DCR|1VULN|2AART|1RPLT	1MGNSTR|2aCGEN|3BBNT|45AART|6RPLT|78RCR|9VULN
74	21521 53521	   	247.54	DCR|DCR|1VULN|2AART|1RPLT	1MGNSTR|2CGEN|3TBNT|45AART|6RPLT|78RCR|9VULN|aBEXP
75	21521 53522	   	247.54	DCR|DCR|1VULN|2AART|1RPLT	1MGNSTR|2aCGEN|3TBNT|45AART|6RPLT|78RCR|9VULN
76	21221 53524	   	247.44	DCR|DCR|1VULN|2AART|1RPLT|1ZMB	1MGNSTR|2CGEN|3BBNT|45AART|6RPLT|78RCR|9VULN|aZMB
77	23521 22115	 * 	247.11	ACR|5VULN|2ASPD|1DMG	1MGNSTR|2RCR|3567aVULN|46ASPD|6BPWR|8DMG|9DUR
78	62521 22115	   	247.11	ACR|5VULN|2ASPD|1DMG	1RCR|2LSRREG|3567aVULN|46ASPD|6BPWR|8DMG|9DUR
79	23521 15232	   	246.92	ACR|DCR|2VULN|1ASPD|1CDMG	1MGNSTR|28RCR|35VULN|4ASPD|6TBNT|7aRCVC|9CDMG
80	23521 15233	   	246.92	ACR|DCR|2VULN|1ASPD|1CDMG	1MGNSTR|28RCR|35VULN|4ASPD|6TBNT|7RCVC|9CDMG|aCGEN
81	23521 15235	   	246.92	ACR|DCR|2VULN|1ASPD|1CDMG	1MGNSTR|28RCR|35VULN|4ASPD|6TBNT|7RCVC|9CDMG|aLWND
82	62521 15232	   	246.92	ACR|DCR|2VULN|1ASPD|1CDMG	18RCR|2LSRREG|35VULN|4ASPD|6TBNT|7aRCVC|9CDMG
83	62521 15233	   	246.92	ACR|DCR|2VULN|1ASPD|1CDMG	18RCR|2LSRREG|35VULN|4ASPD|6TBNT|7RCVC|9CDMG|aCGEN
84	23521 15231	   	246.82	ACR|DCR|2VULN|1ASPD|1CDMG	1MGNSTR|28RCR|35VULN|4ASPD|6TBNT|7RCVC|9CDMG|aMBVNT
85	23521 15234	   	246.82	ACR|DCR|2VULN|1ASPD|1CDMG	1MGNSTR|28RCR|35VULN|4ASPD|6TBNT|7RCVC|9CDMG|aLEGI
86	23521 15236	   	246.82	ACR|DCR|2VULN|1ASPD|1CDMG	1MGNSTR|28RCR|35VULN|4ASPD|6TBNT|7RCVC|9CDMG|aDUST
87	62521 15231	   	246.82	ACR|DCR|2VULN|1ASPD|1CDMG	18RCR|2LSRREG|35VULN|4ASPD|6TBNT|7RCVC|9CDMG|aMBVNT
88	23321 61256	   	246.68	ACR|DCR|2VULN|1ASPD|1CDMG|1SELL	1MGNSTR|28RCR|3FEWX|4ASPD|56VULN|7BEXP|9SELL|aCDMG
89	11613 32521	 * 	245.93	DCR|2VULN|2ASPD|1DMG|1MLV|1CDMG	1DUR|25ASPD|3MLV|49VULN|6LWND|7DMG|8CDMG|aRCR
90	11613 62521	   	245.83	DCR|2VULN|2ASPD|1DMG|1MLV|1CDMG	1DUR|25ASPD|3MLV|49VULN|6DUST|7DMG|8CDMG|aRCR
91	23321 31221	   	245.73	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|3FEWX|47ASPD|5aVULN|6LHND|9LWND
92	23321 31236	   	245.73	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|3FEWX|47ASPD|5aVULN|6LHND|9TBNT
93	23521 16211	   	245.73	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9BELT|aFEWX
94	23521 16212	   	245.73	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9BELT|aLSRICY
95	23521 16213	   	245.73	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9BELT|aLWND
96	23521 16214	   	245.73	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9BELT|aBEXP
97	23521 16241	   	245.73	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9LHND|aLSRICY
98	23521 16242	   	245.73	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9LHND|aAAC
99	23521 16261	   	245.73	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9LWND|aLSRICY
100	23521 16262	   	245.73	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9LWND|aAAC
101	62321 31221	   	245.73	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|3FEWX|47ASPD|5aVULN|6LHND|9LWND
102	62321 31236	   	245.73	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|3FEWX|47ASPD|5aVULN|6LHND|9TBNT
103	62521 16211	   	245.73	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|35VULN|47ASPD|6TBNT|9BELT|aFEWX
104	62521 16212	   	245.73	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|35VULN|47ASPD|6TBNT|9BELT|aLSRICY
105	62521 16213	   	245.73	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|35VULN|47ASPD|6TBNT|9BELT|aLWND
106	64321 31221	   	245.73	ACR|DCR|2VULN|2ASPD	18RCR|2BASARM|3FEWX|47ASPD|5aVULN|6LHND|9LWND
107	64321 31236	   	245.73	ACR|DCR|2VULN|2ASPD	18RCR|2BASARM|3FEWX|47ASPD|5aVULN|6LHND|9TBNT
108	65121 31221	   	245.73	ACR|DCR|2VULN|2ASPD	18RCR|2FEWX|3MSLTOX|47ASPD|5aVULN|6LHND|9LWND
109	65121 31236	   	245.73	ACR|DCR|2VULN|2ASPD	18RCR|2FEWX|3MSLTOX|47ASPD|5aVULN|6LHND|9TBNT
110	23551 51221	   	245.73	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|3aVULN|4FEWX|5BEXP|67ASPD|9LWND
111	23321 31264	   	245.63	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|3FEWX|47ASPD|5aVULN|6LHND|9ERES
112	23521 16215	   	245.63	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9BELT|aLEGI
113	23521 16216	   	245.63	ACR|DCR|2VULN|2ASPD|1MSE	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9BELT|aMSE
114	23521 16223	   	245.63	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9ERES|aBEXP
115	23521 16224	   	245.63	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9ERES|aBBNT
116	23521 16225	   	245.63	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9ERES|aLIT
117	23521 16226	   	245.63	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9ERES|aAAC
118	23521 16243	   	245.63	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9LHND|aDLOT
119	23521 16253	   	245.63	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9AELOIC|aBBNT
120	23521 16263	   	245.63	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9LWND|aDLOT
121	62321 31264	   	245.63	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|3FEWX|47ASPD|5aVULN|6LHND|9ERES
122	62521 16223	   	245.63	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|35VULN|47ASPD|6TBNT|9ERES|aBEXP
123	63121 31221	   	245.63	ACR|DCR|2VULN|2ASPD	18RCR|2DUST|3MSLTOX|47ASPD|5aVULN|6LHND|9LWND
124	63121 31236	   	245.63	ACR|DCR|2VULN|2ASPD	18RCR|2DUST|3MSLTOX|47ASPD|5aVULN|6LHND|9TBNT
125	23523 16251	   	245.63	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|3aVULN|47ASPD|5TBNT|6RCVC|9AELOIC
126	23521 16221	   	245.53	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9ERES|aVENFST
127	23521 16222	   	245.53	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9ERES|aAME
128	23521 16252	   	245.53	ACR|DCR|2VULN|2ASPD	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9AELOIC|aMDPS
129	62521 16221	   	245.53	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|35VULN|47ASPD|6TBNT|9ERES|aVENFST
130	62521 16222	   	245.53	ACR|DCR|2VULN|2ASPD	18RCR|2LSRREG|35VULN|47ASPD|6TBNT|9ERES|aAME
131	63121 31264	   	245.53	ACR|DCR|2VULN|2ASPD	18RCR|2DUST|3MSLTOX|47ASPD|5aVULN|6LHND|9ERES
132	23562 35232	 * 	245.43	ACR|DCR|2VULN|3CDMG	1MGNSTR|2aRCR|36VULN|479CDMG|5LEGI|8AELOIC
133	11335 12623	   	244.22	DCR|3VULN|2ASPD|2DUR|1AART|1RPLT	19DUR|29ASPD|359VULN|4TBNT|6RPLT|7AAC|8AART|9BPWR|aRCR
134	11613 11165	 * 	244.14	DCR|2VULN|2MLV|2ASPD|2DUR|1AART	1aDUR|25ASPD|3aMLV|4aVULN|6AAC|7AART|8RCR|9MBVNT|aBPWR
135	23321 61241	   	242.93	ACR|DCR|2VULN|1ASPD|1AART	1MGNSTR|28RCR|3FEWX|4ASPD|56VULN|7BEXP|9AART|aLWND
136	23521 41241	   	242.93	ACR|DCR|2VULN|1ASPD|1AART	1MGNSTR|28RCR|35VULN|4ASPD|6LHND|7BEXP|9AART|aLWND
137	62321 61241	   	242.93	ACR|DCR|2VULN|1ASPD|1AART	18RCR|2LSRREG|3FEWX|4ASPD|56VULN|7BEXP|9AART|aLWND
138	23331 61221	   	242.84	ACR|DCR|3VULN|1ZMB	1MGNSTR|28RCR|3FEWX|4ZMB|56aVULN|7BEXP|9LWND
139	23331 61236	   	242.84	ACR|DCR|3VULN|1ZMB	1MGNSTR|28RCR|3FEWX|4ZMB|56aVULN|7BEXP|9TBNT
140	23331 61264	   	242.84	ACR|DCR|3VULN|1ZMB	1MGNSTR|28RCR|3FEWX|4ZMB|56aVULN|7BEXP|9RMIN
141	23531 41221	   	242.84	ACR|DCR|3VULN|1ZMB	1MGNSTR|28RCR|35aVULN|4ZMB|6LHND|7BEXP|9LWND
142	23531 41236	   	242.84	ACR|DCR|3VULN|1ZMB	1MGNSTR|28RCR|35aVULN|4ZMB|6LHND|7BEXP|9TBNT
143	62331 61221	   	242.84	ACR|DCR|3VULN|1ZMB	18RCR|2LSRREG|3FEWX|4ZMB|56aVULN|7BEXP|9LWND
144	62331 61236	   	242.84	ACR|DCR|3VULN|1ZMB	18RCR|2LSRREG|3FEWX|4ZMB|56aVULN|7BEXP|9TBNT
145	62531 41221	   	242.84	ACR|DCR|3VULN|1ZMB	18RCR|2LSRREG|35aVULN|4ZMB|6LHND|7BEXP|9LWND
146	64331 61221	   	242.84	ACR|DCR|3VULN|1ZMB	18RCR|2BASARM|3FEWX|4ZMB|56aVULN|7BEXP|9LWND
147	65131 61221	   	242.84	ACR|DCR|3VULN|1ZMB	18RCR|2FEWX|3MSLTOX|4ZMB|56aVULN|7BEXP|9LWND
148	23214 58343	   	242.83	ACR|DCR|2VULN|1CDMG|1AART	1MGNSTR|27RCR|3BELT|4CDMG|59VULN|6MBVNT|8TBNT|aAART
149	23321 61242	   	242.83	ACR|DCR|2VULN|1ASPD|1AART|1MSE	1MGNSTR|28RCR|3FEWX|4ASPD|56VULN|7BEXP|9AART|aMSE
150	23321 61246	   	242.83	ACR|DCR|2VULN|1ASPD|1AART	1MGNSTR|28RCR|3FEWX|4ASPD|56VULN|7BEXP|9AART|aDUST
151	23521 41242	   	242.83	ACR|DCR|2VULN|1ASPD|1AART|1MSE	1MGNSTR|28RCR|35VULN|4ASPD|6LHND|7BEXP|9AART|aMSE
152	62321 61242	   	242.83	ACR|DCR|2VULN|1ASPD|1AART|1MSE	18RCR|2LSRREG|3FEWX|4ASPD|56VULN|7BEXP|9AART|aMSE
153	63121 61241	   	242.83	ACR|DCR|2VULN|1ASPD|1AART	18RCR|2DUST|3MSLTOX|4ASPD|56VULN|7FEWX|9AART|aLWND
154	23523 43261	 * 	242.75	ACR|DCR|3ASPD|1VULN|1CDMG	1MGNSTR|27RCR|3VULN|48aASPD|5TBNT|6RMIN|9CDMG
155	63131 61221	   	242.74	ACR|DCR|3VULN|1ZMB	18RCR|2DUST|3MSLTOX|4ZMB|56aVULN|7FEWX|9LWND
156	63131 61236	   	242.74	ACR|DCR|3VULN|1ZMB	18RCR|2DUST|3MSLTOX|4ZMB|56aVULN|7FEWX|9TBNT
157	23331 61254	   	242.74	ACR|DCR|3VULN|1ZMB	1MGNSTR|28RCR|3FEWX|4ZMB|56aVULN|7BEXP|9NUKE
158	23531 15251	   	242.74	ACR|DCR|3VULN|1ZMB	1MGNSTR|28RCR|35aVULN|4ZMB|6TBNT|7RCVC|9AELOIC
159	23531 45211	   	242.74	ACR|DCR|3VULN|1ZMB	1MGNSTR|28RCR|35aVULN|4ZMB|6LHND|7MDPS|9RCVC
160	63121 61242	   	242.73	ACR|DCR|2VULN|1ASPD|1AART|1MSE	18RCR|2DUST|3MSLTOX|4ASPD|56VULN|7FEWX|9AART|aMSE
161	23331 61243	   	242.69	ACR|DCR|2VULN|1CDMG|1AART|1ZMB	1MGNSTR|28RCR|3FEWX|4ZMB|56VULN|7BEXP|9AART|aCDMG
162	23531 41243	   	242.69	ACR|DCR|2VULN|1CDMG|1AART|1ZMB	1MGNSTR|28RCR|35VULN|4ZMB|6LHND|7BEXP|9AART|aCDMG
163	62331 61243	   	242.69	ACR|DCR|2VULN|1CDMG|1AART|1ZMB	18RCR|2LSRREG|3FEWX|4ZMB|56VULN|7BEXP|9AART|aCDMG
164	23331 65251	   	242.64	ACR|DCR|3VULN|1ZMB	1MGNSTR|28RCR|3FEWX|4ZMB|56aVULN|7MDPS|9AELOIC
165	63131 61243	   	242.59	ACR|DCR|2VULN|1CDMG|1AART|1ZMB	18RCR|2DUST|3MSLTOX|4ZMB|56VULN|7FEWX|9AART|aCDMG
166	23321 11244	   	242.17	ACR|DCR|1VULN|2ASPD|2DUR|1AART	1MGNSTR|28RCR|3FEWX|47ASPD|5VULN|6aDUR|9AART
167	62321 11244	   	242.17	ACR|DCR|1VULN|2ASPD|2DUR|1AART	18RCR|2LSRREG|3FEWX|47ASPD|5VULN|6aDUR|9AART
168	63121 11244	   	242.07	ACR|DCR|1VULN|2ASPD|2DUR|1AART	18RCR|2DUST|3MSLTOX|47ASPD|5VULN|6aDUR|9AART
169	23321 61231	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|28RCR|3FEWX|4ASPD|56VULN|7BEXP|9TBNT|aDUR
170	23521 41231	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|28RCR|35VULN|4ASPD|6LHND|7BEXP|9TBNT|aDUR
171	62321 61231	   	241.58	ACR|DCR|2VULN|1ASPD	18RCR|2LSRREG|3FEWX|4ASPD|56VULN|7BEXP|9TBNT|aDUR
172	62521 41231	   	241.58	ACR|DCR|2VULN|1ASPD	18RCR|2LSRREG|35VULN|4ASPD|6LHND|7BEXP|9TBNT|aDUR
173	64321 61231	   	241.58	ACR|DCR|2VULN|1ASPD	18RCR|2BASARM|3FEWX|4ASPD|56VULN|7BEXP|9TBNT|aDUR
174	65121 61231	   	241.58	ACR|DCR|2VULN|1ASPD	18RCR|2FEWX|3MSLTOX|4ASPD|56VULN|7BEXP|9TBNT|aDUR
175	22631 31221	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|2DUR|3RCVC|48RCR|5ASPD|6aVULN|7BEXP|9LWND
