0	Index      	 *	Score 	Summary	Detail	
1	53531 31531	 * 	285.92	DCR|DCR|2VULN|1DMG|1CDMG	1CDMG|26VULN|347CGEN|5DMG|8aRCR|9DUR
35	52533 33223	   	264.96	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2BBNT|3ERES|4ASPD|5RMIN|6aRCR|7BEXP|8DMG|9VULN
36	54533 31223	   	264.96	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2TBNT|3ERES|4ASPD|5RMIN|6aRCR|7LHND|8DMG|9VULN
37	54533 33223	   	264.96	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2TBNT|3ERES|4ASPD|5RMIN|6aRCR|7BEXP|8DMG|9VULN
38	52533 36223	   	264.86	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2BBNT|3ERES|4ASPD|5RMIN|6aRCR|7DUST|8DMG|9VULN
39	11433 14324	   	264.80	DCR|DCR|2DMG|1VULN|1AART	1AME|29DMG|3RMIN|4VULN|5AART|6aRCR|7SPLJET|8CGEN
40	53314 25112	   	264.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	1CDMG|2VULN|3LHND|4ASPD|5NUKE|6RCVC|78RCR|9ZMB|aDMG
41	11433 11624	   	264.70	DCR|DCR|2DMG|1VULN|1AART	1AME|28DMG|3RMIN|4VULN|5AART|6aRCR|7ERES|9MULHEA
42	12265 36321	 * 	263.84	ACR|DCR|2DMG|1VULN|2CDMG|1MLV	1AME|2MLV|36CDMG|4aRCR|5TLV|78DMG|9VULN
43	52123 34233	 * 	263.80	DCR|4VULN|2MLV|1DMG|1CDMG	1CDMG|2BBNT|359aVULN|45MLV|5BPWR|6RCR|7CGEN|8DMG
44	54123 34233	   	263.80	DCR|4VULN|2MLV|1DMG|1CDMG	1CDMG|2TBNT|359aVULN|45MLV|5BPWR|6RCR|7CGEN|8DMG
45	12261 36321	   	263.74	ACR|DCR|2DMG|1VULN|2CDMG|1MLV	1AME|2MLV|36CDMG|4aRCR|5ERES|78DMG|9VULN
46	52123 33233	   	263.70	DCR|4VULN|2MLV|1DMG|1CDMG	1CDMG|2BBNT|359aVULN|45MLV|5BPWR|6RCR|7AME|8DMG
47	54123 33233	   	263.70	DCR|4VULN|2MLV|1DMG|1CDMG	1CDMG|2TBNT|359aVULN|45MLV|5BPWR|6RCR|7AME|8DMG
48	11113 35133	   	263.51	DCR|DCR|1VULN|2ASPD|1DMG|1SELL	1AME|2DMG|3CGEN|49ASPD|5SELL|6VULN|78RCR|aLWND
49	11113 35136	   	263.51	DCR|DCR|1VULN|2ASPD|1DMG|1SELL	1AME|2DMG|3CGEN|49ASPD|5SELL|6VULN|78RCR|aTBNT
50	11413 35133	   	263.51	DCR|DCR|1VULN|2ASPD|1DMG|1SELL	1AME|2DMG|3RMIN|49ASPD|5SELL|6VULN|78RCR|aLWND
51	11413 35136	   	263.51	DCR|DCR|1VULN|2ASPD|1DMG|1SELL	1AME|2DMG|3RMIN|49ASPD|5SELL|6VULN|78RCR|aTBNT
52	11113 35132	   	263.41	DCR|DCR|1VULN|2ASPD|1DMG|1SELL	1AME|2DMG|3CGEN|49ASPD|5SELL|6VULN|78RCR|aERES
53	11113 35134	   	263.41	DCR|DCR|1VULN|2ASPD|1DMG|1SELL	1AME|2DMG|3CGEN|49ASPD|5SELL|6VULN|78RCR|aMDPS
54	11413 35132	   	263.41	DCR|DCR|1VULN|2ASPD|1DMG|1SELL	1AME|2DMG|3RMIN|49ASPD|5SELL|6VULN|78RCR|aERES
55	11413 35134	   	263.41	DCR|DCR|1VULN|2ASPD|1DMG|1SELL	1AME|2DMG|3RMIN|49ASPD|5SELL|6VULN|78RCR|aMDPS
56	14521 36323	   	263.02	DCR|DCR|2VULN|1AART|1RPLT	1AME|2RCVC|3MDPS|4AART|58VULN|6aRCR|7RMIN|9RPLT
57	53122 31233	   	262.96	DCR|DCR|1VULN|1ASPD|1CDMG|1AART	1CDMG|2VULN|3BEXP|4DUR|5LHND|6AAC|7AART|8aRCR|9ASPD
58	53325 31233	   	262.96	DCR|DCR|1VULN|1ASPD|1CDMG|1AART	1CDMG|2VULN|3LHND|4DUR|5FEWX|6AAC|7AART|8aRCR|9ASPD
59	13521 36323	   	262.92	DCR|DCR|2VULN|1AART|1RPLT	1AME|2AELOIC|3MDPS|4AART|58VULN|6aRCR|7RMIN|9RPLT
60	13521 36623	   	262.92	DCR|DCR|2VULN|1AART|1RPLT	18AME|28AELOIC|3MDPS|4AART|58VULN|6aRCR|7RMIN|8BPWR|9RPLT
61	52123 34234	 * 	262.23	DCR|3VULN|2DMG|2MLV|1CDMG	1CDMG|2BBNT|359VULN|45MLV|5BPWR|6RCR|7CGEN|8aDMG
62	52123 33234	   	262.13	DCR|3VULN|2DMG|2MLV|1CDMG	1CDMG|2BBNT|359VULN|45MLV|5BPWR|6RCR|7AME|8aDMG
63	54123 33234	   	262.13	DCR|3VULN|2DMG|2MLV|1CDMG	1CDMG|2TBNT|359VULN|45MLV|5BPWR|6RCR|7AME|8aDMG
64	12261 36521	 * 	261.76	ACR|DCR|2MLV|1VULN|2CDMG|1DMG	1AME|28MLV|36CDMG|4aRCR|5ERES|7DMG|9VULN
65	53411 31331	   	261.41	ACR|DCR|2VULN|1ASPD|1CDMG|1AART|1RPLT	1CDMG|26VULN|3BASARM|49RCR|5RPLT|7BLAICY|8ASPD|aAART
66	53146 31233	 * 	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	15CDMG|2VULN|3BEXP|4MDPS|6AAC|7AART|8aRCR|9ASPD
67	53346 31233	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	15CDMG|2VULN|3LHND|4MDPS|6AAC|7AART|8aRCR|9ASPD
68	53411 31333	   	260.06	ACR|DCR|2VULN|1ASPD|1CDMG|1RPLT	1CDMG|26VULN|3BASARM|49RCR|5RPLT|7BLAICY|8ASPD|aDUR
69	53114 15121	   	257.35	DCR|DCR|1VULN|2ASPD|1CDMG	1CDMG|2VULN|3BEXP|46ASPD|5NUKE|78RCR|9aCGEN
70	53314 15121	   	257.35	DCR|DCR|1VULN|2ASPD|1CDMG	1CDMG|2VULN|3LHND|46ASPD|5NUKE|78RCR|9aCGEN
71	53314 25132	   	257.35	DCR|DCR|1VULN|2ASPD|1CDMG	1CDMG|2VULN|3LHND|49ASPD|5NUKE|6RCVC|78RCR|aRMIN
72	53314 25133	   	257.35	DCR|DCR|1VULN|2ASPD|1CDMG	1CDMG|2VULN|3LHND|49ASPD|5NUKE|6RCVC|78RCR|aLIT
73	12261 46321	   	257.32	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	16AME|2MLV|3CDMG|4aRCR|5ERES|78DMG|9VULN
74	12261 56321	   	257.32	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	1AME|2MLV|3CDMG|4aRCR|56ERES|78DMG|9VULN
75	53114 15122	   	257.25	DCR|DCR|1VULN|2ASPD|1CDMG	1CDMG|2VULN|3BEXP|46ASPD|5NUKE|78RCR|9CGEN|aMDPS
76	53114 15123	   	257.25	DCR|DCR|1VULN|2ASPD|1CDMG	1CDMG|2VULN|3BEXP|46ASPD|5NUKE|78RCR|9CGEN|aDUST
77	53314 15122	   	257.25	DCR|DCR|1VULN|2ASPD|1CDMG	1CDMG|2VULN|3LHND|46ASPD|5NUKE|78RCR|9CGEN|aMDPS
78	53314 15123	   	257.25	DCR|DCR|1VULN|2ASPD|1CDMG	1CDMG|2VULN|3LHND|46ASPD|5NUKE|78RCR|9CGEN|aDUST
79	53114 15111	   	257.15	DCR|DCR|1VULN|2ASPD|1CDMG|1ZMB	1CDMG|2VULN|3BEXP|46ASPD|5NUKE|78RCR|9ZMB|aCGEN
80	53114 15113	   	257.15	DCR|DCR|1VULN|2ASPD|1CDMG|1ZMB	1CDMG|2VULN|3BEXP|46ASPD|5NUKE|78RCR|9ZMB|aSPLJET
81	53314 15111	   	257.15	DCR|DCR|1VULN|2ASPD|1CDMG|1ZMB	1CDMG|2VULN|3LHND|46ASPD|5NUKE|78RCR|9ZMB|aCGEN
82	53314 15113	   	257.15	DCR|DCR|1VULN|2ASPD|1CDMG|1ZMB	1CDMG|2VULN|3LHND|46ASPD|5NUKE|78RCR|9ZMB|aSPLJET
83	12131 14531	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2MLV|3CGEN|4VULN|5TLV|6LIT|7CDMG|8aRCR|9DUR
84	12431 14531	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2MLV|3RMIN|4VULN|5TLV|6LIT|7CDMG|8aRCR|9DUR
85	13223 43663	   	257.00	DCR|DCR|2VULN|1CDMG|1ZMB	1AME|2AELOIC|38VULN|4RCVC|5BLAICY|6ZMB|7aRCR|9CDMG
86	12135 14531	   	256.98	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2MLV|3CGEN|4VULN|5ERES|6LIT|7CDMG|8aRCR|9DUR
