0	Index      	 *	Score 	Summary	Detail	
1	32153 21358	 * 	286.02	DCR|DCR|2VULN|1DMG|1MLV	1LEGI|2TBNT|3LHND|4MLV|56VULN|7MBVNT|8aRCR|9DMG
33	22413 41131	   	261.51	DCR|DCR|1VULN|2ASPD|2DUR	14DUR|2LWND|3LIT|5LHND|6aRCR|79ASPD|8VULN
34	26113 41531	   	261.51	DCR|DCR|1VULN|2ASPD|2DUR	14DUR|2LIT|3VULN|5LHND|6aRCR|79ASPD|8FEWX
35	26513 41131	   	261.51	DCR|DCR|1VULN|2ASPD|2DUR	14DUR|2LIT|3BEXP|5LHND|6aRCR|79ASPD|8VULN
36	52322 24241	   	260.67	DCR|3VULN|3ASPD|1DMG|1AART|1RPLT	156ASPD|2RPLT|3AART|46aVULN|6BPWR|7DMG|8DLOT|9RCR
37	26162 12621	   	260.04	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2LIT|3VULN|4ASPD|56RMIN|7aRCR|8MLV|9LHND
38	26162 12631	   	260.04	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2LIT|3VULN|4ASPD|56RMIN|7aRCR|8MLV|9LWND
39	26162 22621	   	260.04	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2LIT|3VULN|4ASPD|5RMIN|6RCVC|7aRCR|8MLV|9LHND
40	26162 22631	   	260.04	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2LIT|3VULN|4ASPD|5RMIN|6RCVC|7aRCR|8MLV|9LWND
41	26121 22135	 * 	259.75	ACR|DCR|2VULN|1DMG|3DUR	189DUR|25LIT|35VULN|47RCR|5BPWR|6CGEN|aDMG
42	52321 26136	   	258.62	DCR|DCR|1VULN|2RPLT|1ASPD|1AART	1ASPD|2aRPLT|3AART|4VULN|5LWND|69RCR|7BELT|8LEGI
43	26121 22432	   	258.14	ACR|DCR|3VULN|2DUR	19DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|aBEXP
44	26121 22434	   	258.14	ACR|DCR|3VULN|2DUR	19DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|aLWND
45	26121 22436	   	258.14	ACR|DCR|3VULN|2DUR	19DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|aTLV
46	26121 16116	   	258.10	ACR|DCR|3VULN|2DUR|1SELL	17DUR|257LIT|357VULN|4aRCR|57BPWR|6SELL|8TBNT|9CGEN
47	11532 21358	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2CGEN|3MLV|4LWND|5VULN|6BBNT|7MBVNT|8aRCR|9DMG
48	26121 22431	   	258.04	ACR|DCR|3VULN|2DUR	19DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|aMBVNT
49	26121 22435	   	258.04	ACR|DCR|3VULN|2DUR	19DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|aDUST
50	26121 22234	   	257.85	ACR|DCR|2VULN|1DMG|1AART	1DUR|25LIT|35VULN|47RCR|5BPWR|6CGEN|8AART|9LWND|aDMG
51	26121 22244	   	257.85	ACR|DCR|2VULN|1DMG|1AART	1DUR|25LIT|35VULN|47RCR|5BPWR|6CGEN|8AART|9FEWX|aDMG
52	26121 22264	   	257.85	ACR|DCR|2VULN|1DMG|1AART	1DUR|25LIT|35VULN|47RCR|5BPWR|6CGEN|8AART|9LHND|aDMG
53	33662 18243	   	257.85	DCR|DCR|1VULN|1DMG|1MLV	1LEGI|2CGEN|3MBVNT|4MLV|5DMG|6BEXP|7aRCR|8VULN|9ERES
54	33662 38243	   	257.85	DCR|DCR|1VULN|1DMG|1MLV	1LEGI|2CGEN|3MBVNT|4MLV|5DMG|6LHND|7aRCR|8VULN|9ERES
55	22311 63532	   	257.75	ACR|DCR|1VULN|1DMG|1MLV|2DUR|1ASPD	16DUR|2LWND|3DMG|48RCR|5BBNT|7MLV|9ASPD|aVULN
56	53114 23533	   	257.63	DCR|2VULN|3ASPD|2DMG|1CDMG	12aASPD|3aVULN|4CDMG|5DUR|6RCR|79BELT|8aDMG|aBPWR
57	62321 26133	   	257.06	DCR|DCR|1VULN|1MLV|1AART|1RPLT|1ZMB	1ZMB|2RPLT|3AART|4VULN|5LWND|69RCR|7BELT|8LEGI|aMLV
58	24213 21318	   	256.83	DCR|DCR|2VULN	1DUR|2LHND|3TBNT|4AAC|56VULN|7MBVNT|8aRCR|9RMIN
59	21633 25338	   	256.73	DCR|DCR|2VULN	1DUR|2CGEN|3MBVNT|4TBNT|56VULN|7DUST|8aRCR|9AAC
60	32553 21318	   	256.73	DCR|DCR|2VULN	1LEGI|2TBNT|3AAC|4DUR|56VULN|7MBVNT|8aRCR|9RMIN
61	32613 21318	   	256.73	DCR|DCR|2VULN	1LEGI|2TBNT|3DUR|4AAC|56VULN|7MBVNT|8aRCR|9RMIN
62	33413 31376	   	256.63	DCR|DCR|2VULN	1LEGI|2CGEN|3MDPS|4BEXP|5aVULN|6DUR|7MBVNT|89RCR
63	53121 26133	   	256.31	DCR|DCR|1VULN|2ASPD|1AART	12ASPD|3VULN|48FEWX|5AART|6LIT|79RCR|aTLV
64	53121 26134	   	256.31	DCR|DCR|1VULN|2ASPD|1AART	12ASPD|3VULN|48FEWX|5AART|6LIT|79RCR|aBEXP
65	53121 26135	   	256.31	DCR|DCR|1VULN|2ASPD|1AART	12ASPD|3VULN|48FEWX|5AART|6LIT|79RCR|aAAC
66	53121 26131	   	256.21	DCR|DCR|1VULN|2ASPD|1AART	12ASPD|3VULN|48FEWX|5AART|6LIT|79RCR|aDUST
67	53121 26136	   	256.21	DCR|DCR|1VULN|2ASPD|1AART	12ASPD|3VULN|48FEWX|5AART|6LIT|79RCR|aMDPS
