0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34245 23113	4	 * 	289.35	橙4易伤3时间2伤害	1矿等24a时间3456易伤4序列升级78伤害9核
18	34242 61222	8	   	268.05	橙4易伤3时间1等级	15矿等246时间3468易伤46序列升级7基地爆炸9核a等级
19	34243 51132	6	   	267.95	橙4易伤3时间1等级	1矿等245时间3479易伤4序列升级6等级8核a金币生成
20	34263 61222	8	   	267.95	橙4易伤3时间1等级	1矿等256时间3468易伤6序列升级7基地爆炸9核a等级
21	34243 51131	6	   	267.85	橙4易伤3时间1等级	1矿等245时间3479易伤4序列升级6等级8核a掉矿
22	11241 33156	6	   	267.23	橙3易伤2伤害3攻速1暴击	129金币生成357易伤459攻速59序列升级6核89伤害a暴击
23	14221 53623	7	   	266.71	橙3易伤3时间2伤害	1金币生成26a时间378易伤4基地爆炸56伤害6序列升级9核
24	14243 23113	4	   	266.71	橙3易伤3时间2伤害	15金币生成24a时间346易伤4序列升级78伤害9核
25	34221 53623	7	   	266.71	橙3易伤3时间2伤害	1矿等26a时间378易伤4基地爆炸56伤害6序列升级9核
26	34242 23113	5	   	266.71	橙3易伤3时间2伤害	15矿等24a时间346易伤4序列升级78伤害9核
27	34262 63113	6	   	266.71	橙3易伤3时间2伤害	15矿等26a时间346易伤6序列升级78伤害9核
28	34263 23113	5	   	266.61	橙3易伤3时间2伤害	1矿等25a时间346易伤78伤害9核
29	52114 31324	4	   	265.45	橙4易伤3时间1暴击	17基地爆炸2额外掉落347时间5679易伤7序列升级8核a暴击
30	34243 21412	9	   	265.37	橙3易伤3时间1伤害1等级	1矿等245时间349易伤4序列升级6策反7伤害8核a等级
31	34243 31152	6	   	265.37	橙3易伤3时间1伤害1等级	1矿等245时间347易伤4序列升级6金币生成8核9伤害a等级
32	34243 31512	9	   	265.37	橙3易伤3时间1伤害1等级	1矿等245时间349易伤4序列升级6金币生成7伤害8核a等级
33	34243 51113	9	   	265.27	橙3易伤3时间1伤害1等级	1矿等245时间349易伤4序列升级6等级7伤害8挖尘a核
34	22114 31344	4	   	265.25	橙4易伤3时间1暴击	17挖尘2额外掉落347时间5679易伤7序列升级8核a暴击
35	15243 23136	4	 * 	264.83	橙5易伤2伤害	1金币生成24基地爆炸34569易伤4序列升级78伤害a核
36	32243 23136	4	   	264.83	橙5易伤2伤害	1矿等24基地爆炸34569易伤4序列升级78伤害a核
37	15263 23136	4	   	264.73	橙5易伤2伤害	1金币生成2基地爆炸34569易伤78伤害a核
38	32263 23136	4	   	264.73	橙5易伤2伤害	1矿等2基地爆炸34569易伤78伤害a核
39	14241 13331	10	   	264.49	橙3易伤2伤害2时间1攻速	1金币生成24时间347易伤4序列升级5基地爆炸6攻速8核9a伤害
40	34241 13331	10	   	264.49	橙3易伤2伤害2时间1攻速	1矿等24时间347易伤4序列升级5基地爆炸6攻速8核9a伤害
41	23344 33153	3	 * 	264.48	橙4易伤2时间3暴击	145挖尘2平台3459易伤459序列升级69时间789暴击a核
42	34242 62132	7	   	262.80	橙4易伤3时间1攻速	15矿等246时间3469易伤46序列升级7攻速8核a金币生成
43	52114 31321	4	   	262.80	橙4易伤3时间1攻速	17基地爆炸2额外掉落347时间5679易伤7序列升级8核a攻速
44	62114 31341	4	   	262.80	橙4易伤3时间1攻速	17敌人爆炸2额外掉落347时间5679易伤7序列升级8核a攻速
45	34243 21412	10	   	262.77	橙3易伤3时间1伤害1暴击	1矿等245时间349易伤4序列升级6策反7伤害8核a暴击
46	34243 31512	10	   	262.77	橙3易伤3时间1伤害1暴击	1矿等245时间349易伤4序列升级6金币生成7伤害8核a暴击
47	14241 13353	8	   	262.70	橙4易伤3时间1攻速	1金币生成24a时间3479易伤4序列升级5基地爆炸6攻速8核
48	14241 13623	7	   	262.70	橙4易伤3时间1攻速	1金币生成24a时间3478易伤4序列升级5基地爆炸6攻速9核
49	34241 13353	8	   	262.70	橙4易伤3时间1攻速	1矿等24a时间3479易伤4序列升级5基地爆炸6攻速8核
50	34241 13623	7	   	262.70	橙4易伤3时间1攻速	1矿等24a时间3478易伤4序列升级5基地爆炸6攻速9核
51	34242 62131	7	   	262.70	橙4易伤3时间1攻速	15矿等246时间3469易伤46序列升级7攻速8核a掉矿
52	34263 62132	7	   	262.70	橙4易伤3时间1攻速	1矿等256时间3469易伤6序列升级7攻速8核a金币生成
53	22114 31341	4	   	262.60	橙4易伤3时间1攻速	17挖尘2额外掉落347时间5679易伤7序列升级8核a攻速
54	34263 62131	7	   	262.60	橙4易伤3时间1攻速	1矿等256时间3469易伤6序列升级7攻速8核a掉矿
55	14221 53622	7	   	261.79	橙3易伤2伤害2时间	1金币生成26时间378易伤4基地爆炸56伤害6序列升级9核a雷电
56	14242 21261	10	   	261.79	橙3易伤2伤害2时间	1金币生成24时间348易伤4序列升级5矿等6雷电7a伤害9核
57	34221 53622	7	   	261.79	橙3易伤2伤害2时间	1矿等26时间378易伤4基地爆炸56伤害6序列升级9核a雷电
58	15243 23113	4	   	261.54	橙4易伤2伤害1时间	1金币生成24基地爆炸3456易伤4序列升级78伤害9核a时间
59	32243 23113	4	   	261.54	橙4易伤2伤害1时间	1矿等24基地爆炸3456易伤4序列升级78伤害9核a时间
60	34242 63233	8	   	261.46	橙4易伤3时间1全技能	15矿等246时间3468易伤46序列升级7最后敌人9核a全技能
61	15263 23113	4	   	261.44	橙4易伤2伤害1时间	1金币生成2基地爆炸3456易伤78伤害9核a时间
62	32263 23113	4	   	261.44	橙4易伤2伤害1时间	1矿等2基地爆炸3456易伤78伤害9核a时间
63	34265 23111	4	   	261.44	橙4易伤2伤害1时间	1矿等2时间3456易伤78伤害9核a敌人爆炸
64	34265 23112	4	   	261.44	橙4易伤2伤害1时间	1矿等2时间3456易伤78伤害9核a平台
65	34263 63233	8	   	261.36	橙4易伤3时间1全技能	1矿等256时间3468易伤6序列升级7最后敌人9核a全技能
66	33245 23113	4	   	261.34	橙4易伤2伤害1时间	1矿等24挖尘3456易伤4序列升级78伤害9核a时间
67	33265 23113	4	   	261.34	橙4易伤2伤害1时间	1矿等2挖尘3456易伤78伤害9核a时间
68	25652 31123	2	 * 	260.91	橙2易伤3时间2伤害2攻速	1挖尘26攻速38a时间47伤害56易伤6序列升级9核
69	25251 31623	3	   	260.91	橙2易伤3时间2伤害2攻速	1挖尘26攻速38易伤47伤害56a时间6序列升级9核
70	14241 13335	10	   	260.55	橙3易伤2时间1伤害1暴击1攻速	1金币生成24时间347易伤4序列升级5基地爆炸6攻速8核9伤害a暴击
71	34241 13335	10	   	260.55	橙3易伤2时间1伤害1暴击1攻速	1矿等24时间347易伤4序列升级5基地爆炸6攻速8核9伤害a暴击
72	34242 62122	7	   	260.23	橙3易伤3时间1伤害1攻速	15矿等246时间346易伤46序列升级7攻速8核9基地爆炸a伤害
73	14241 13331	9	   	260.13	橙3易伤3时间1伤害1攻速	1金币生成24a时间347易伤4序列升级5基地爆炸6攻速8核9伤害
74	14241 13341	8	   	260.13	橙3易伤3时间1伤害1攻速	1金币生成24a时间347易伤4序列升级5基地爆炸6攻速8核9伤害
75	34241 13331	9	   	260.13	橙3易伤3时间1伤害1攻速	1矿等24a时间347易伤4序列升级5基地爆炸6攻速8核9伤害
76	34241 13341	8	   	260.13	橙3易伤3时间1伤害1攻速	1矿等24a时间347易伤4序列升级5基地爆炸6攻速8核9伤害
77	34263 62122	7	   	260.13	橙3易伤3时间1伤害1攻速	1矿等256时间346易伤6序列升级7攻速8核9基地爆炸a伤害
78	34242 61133	6	   	260.11	橙4易伤3时间	15矿等246时间3469易伤46序列升级7策反8核a雷电
79	34242 26211	8	   	260.01	橙4易伤3时间	15矿等249时间347a易伤4序列升级6核8雷电
80	34243 21133	6	   	260.01	橙4易伤3时间	1矿等245时间3479易伤4序列升级6策反8核a雷电
81	34263 61133	6	   	260.01	橙4易伤3时间	1矿等256时间3469易伤6序列升级7策反8核a雷电
82	24241 53323	7	   	260.00	橙4易伤1伤害1等级1时间	1挖尘2基地爆炸3678易伤4等级5伤害9核a时间
83	34263 26211	8	   	259.91	橙4易伤3时间	1矿等259时间347a易伤6核8雷电
84	11241 24613	6	 * 	259.69	橙4易伤2时间2攻速	12金币生成3578易伤45攻速5序列升级6a时间9核
85	11241 32633	7	   	259.69	橙4易伤2时间2攻速	12金币生成3589易伤45攻速5序列升级6核7a时间
86	11241 33663	6	   	259.69	橙4易伤2时间2攻速	12金币生成3578易伤45攻速5序列升级6核9a时间
87	16241 32633	7	   	259.69	橙4易伤2时间2攻速	1金币生成2立即金币3589易伤45攻速5序列升级6核7a时间
