0	Index      	 *	Score 	Summary	Detail	
1	61325 33363	 * 	253.36	橙橙2易伤1全技能	1技能点2挖青3低血量敌人4额外掉落5全技能69核7a易伤8金币生成
27	23242 13366	   	227.25	橙橙1易伤1全技能	1敌人爆炸2基地爆炸3双倍秒伤4赏金塔5低血量敌人6全技能7赏金邻近8易伤9a核
28	32425 62322	 * 	226.72	橙2易伤3伤害1平台1时间	1防空对甲2基地爆炸37易伤49a伤害5时间6平台8核
29	34521 62322	   	226.72	橙2易伤3伤害1平台1时间	1防空对甲27易伤3最后敌人49a伤害5时间6平台8核
30	34611 42322	   	226.72	橙2易伤3伤害1平台1时间	1防空对甲27易伤3平台4最后敌人5时间69a伤害8核
31	35421 62322	   	226.72	橙2易伤3伤害1平台1时间	1防空对甲2低血量敌人37易伤49a伤害5时间6平台8核
32	31423 62322	   	226.62	橙2易伤3伤害1平台1时间	1防空对甲2时间37易伤49a伤害5挖尘6平台8核
33	11562 34211	 * 	226.44	橙橙1矿等1攻速1全技能	19基地爆炸2金币生成3雷电4攻速5矿等6全技能7a核8额外掉落
34	15225 12354	   	225.80	橙橙1易伤1时间	1基地爆炸2最后敌人3双倍秒伤4立即金币5加一6时间7a核8金币生成9易伤
35	15225 12634	   	225.80	橙橙1易伤1时间	1基地爆炸2最后敌人3双倍秒伤4立即金币5加一6时间7a核8易伤9随机矿
36	23436 31263	   	225.65	橙橙1易伤1时间1策反	1敌人爆炸2基地爆炸3最后敌人4雷电5时间6a核7技能点8策反9易伤
37	16356 32112	   	225.58	橙2易伤2伤害1矿等2时间	17基地爆炸26伤害39时间4技能点56易伤6序列升级8核a矿等
38	53311 44112	   	225.38	橙2易伤2伤害1矿等2时间	17伤害2技能点39时间46易伤5挖尘8核a矿等
39	34432 12433	   	224.66	橙2易伤1伤害1矿等1暴击1平台1时间	1防空对甲23易伤4伤害5平台6暴击7时间8敌人爆炸9矿等a核
40	34432 12633	   	224.66	橙2易伤1伤害1矿等1暴击1平台1时间	1防空对甲23易伤4伤害5平台6暴击7时间8最后敌人9矿等a核
41	21136 34613	   	223.74	橙3易伤2伤害1时间	1敌人爆炸26金币生成3最后敌人47伤害568易伤6序列升级9核a时间
42	16356 32131	   	223.54	橙3易伤2伤害1时间	17基地爆炸26伤害3时间4技能点569易伤6序列升级8核a挖青
43	16356 32133	   	223.54	橙3易伤2伤害1时间	17基地爆炸26伤害3时间4a技能点569易伤6序列升级8核
44	53316 34131	   	223.54	橙3易伤2伤害1时间	17伤害2技能点3时间459易伤6低血量敌人8核a双倍矿
45	53316 34132	   	223.54	橙3易伤2伤害1时间	17伤害2技能点3时间459易伤6低血量敌人8核a敌人爆炸
46	53326 34131	   	223.54	橙3易伤2伤害1时间	17伤害26技能点3时间4低血量敌人569易伤6序列升级8核a双倍矿
47	53326 34132	   	223.54	橙3易伤2伤害1时间	17伤害26技能点3时间4低血量敌人569易伤6序列升级8核a敌人爆炸
48	16356 31313	   	223.54	橙3易伤2伤害1时间	18基地爆炸26伤害3时间4技能点569易伤6序列升级7挖尘a核
49	53314 42313	   	223.54	橙3易伤2伤害1时间	18伤害2技能点3时间469易伤5低血量敌人7基地爆炸a核
50	53316 32313	   	223.54	橙3易伤2伤害1时间	18伤害2技能点3时间459易伤6低血量敌人7基地爆炸a核
51	53326 32313	   	223.54	橙3易伤2伤害1时间	18伤害26技能点3时间4低血量敌人569易伤6序列升级7基地爆炸a核
52	53326 42313	   	223.54	橙3易伤2伤害1时间	18伤害2技能点3时间4低血量敌人569易伤7基地爆炸a核
53	31441 62322	   	223.52	橙3易伤1矿等2时间1暴击	1防空对甲27时间356易伤4挖尘8核9暴击a矿等
54	53356 32132	   	223.49	橙3易伤1伤害1矿等1时间	1伤害26技能点3时间47基地爆炸569易伤6序列升级8核a矿等
55	53316 34133	   	223.44	橙3易伤2伤害1时间1挖怪	17伤害2技能点3时间459易伤6低血量敌人8核a挖怪
56	53326 34133	   	223.44	橙3易伤2伤害1时间1挖怪	17伤害26技能点3时间4低血量敌人569易伤6序列升级8核a挖怪
57	53314 41313	   	223.44	橙3易伤2伤害1时间	18伤害2技能点3时间469易伤5低血量敌人7挖尘a核
58	53316 31313	   	223.44	橙3易伤2伤害1时间	18伤害2技能点3时间459易伤6低血量敌人7挖尘a核
59	53326 31313	   	223.44	橙3易伤2伤害1时间	18伤害26技能点3时间4低血量敌人569易伤6序列升级7挖尘a核
60	53326 41313	   	223.44	橙3易伤2伤害1时间	18伤害2技能点3时间4低血量敌人569易伤7挖尘a核
