0	Index      	 *	Score 	Summary	Detail	
1	26122 33443	 * 	294.94	橙橙2易伤2暴击1矿等1攻速	18易伤2双倍秒伤3攻速4低血量敌人59暴击67核a矿等
28	26122 33451	   	271.10	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9等级a赏金塔
29	26122 33452	   	271.10	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9等级a立即金币
30	26122 33453	   	271.10	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9等级a双倍矿
31	26122 33461	   	271.10	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9基地爆炸a最后敌人
32	26122 33463	   	271.10	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9a基地爆炸
33	16142 33261	   	271.00	橙橙2易伤1暴击1攻速	1低血量敌人2双倍秒伤3攻速4a易伤5暴击67核8等级9狙击对黄
34	16334 33261	   	271.00	橙橙2易伤1暴击1攻速	1低血量敌人2双倍秒伤3暴击4a易伤5攻速67核8等级9狙击对黄
35	26122 33261	   	271.00	橙橙2易伤1暴击1攻速	1a易伤2双倍秒伤3攻速4低血量敌人5暴击67核8等级9狙击对黄
36	26122 33561	   	271.00	橙橙2易伤1暴击1攻速	1a易伤2双倍秒伤3攻速4低血量敌人5暴击67核8金币生成9狙击对黄
37	26314 33236	   	271.00	橙橙2易伤1暴击1攻速	1a易伤2双倍秒伤3暴击4挖尘5攻速67核89等级
38	26314 33411	   	271.00	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3暴击4挖尘5攻速67核9最后敌人a低血量敌人
39	26314 33412	   	271.00	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3暴击4挖尘5攻速67核9最后敌人a基地爆炸
40	16142 33412	   	271.00	橙橙2易伤1暴击1攻速1挖怪	1低血量敌人2双倍秒伤3攻速48易伤5暴击67核9最后敌人a挖怪
41	16142 33431	   	271.00	橙橙2易伤1暴击1攻速	1低血量敌人2双倍秒伤3攻速48易伤5暴击67核9掉矿a赏金塔
42	16142 33432	   	271.00	橙橙2易伤1暴击1攻速	1低血量敌人2双倍秒伤3攻速48易伤5暴击67核9掉矿a立即金币
43	16142 33433	   	271.00	橙橙2易伤1暴击1攻速	1低血量敌人2双倍秒伤3攻速48易伤5暴击67核9掉矿a双倍矿
44	16334 33412	   	271.00	橙橙2易伤1暴击1攻速1挖怪	1低血量敌人2双倍秒伤3暴击48易伤5攻速67核9最后敌人a挖怪
45	16334 33431	   	271.00	橙橙2易伤1暴击1攻速	1低血量敌人2双倍秒伤3暴击48易伤5攻速67核9掉矿a赏金塔
46	16334 33432	   	271.00	橙橙2易伤1暴击1攻速	1低血量敌人2双倍秒伤3暴击48易伤5攻速67核9掉矿a立即金币
47	16334 33433	   	271.00	橙橙2易伤1暴击1攻速	1低血量敌人2双倍秒伤3暴击48易伤5攻速67核9掉矿a双倍矿
48	26122 33412	   	271.00	橙橙2易伤1暴击1攻速1挖怪	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9最后敌人a挖怪
49	26122 33415	   	271.00	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9最后敌人a多重对甲
50	26122 33416	   	271.00	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9最后敌人a挖青
51	26122 33431	   	271.00	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9掉矿a赏金塔
52	26122 33432	   	271.00	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9掉矿a立即金币
53	26122 33433	   	271.00	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9掉矿a双倍矿
54	26122 33435	   	271.00	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9掉矿a敌人爆炸
55	26122 33462	   	271.00	橙橙2易伤1暴击1攻速1挖怪	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9基地爆炸a挖怪
56	26314 33413	   	270.90	橙橙2易伤1暴击1攻速1挖怪	18易伤2双倍秒伤3暴击4挖尘5攻速67核9最后敌人a挖怪
57	26314 33431	   	270.90	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3暴击4挖尘5攻速67核9掉矿a赏金塔
58	16142 33421	   	270.90	橙橙2易伤1暴击1攻速1挖怪	1低血量敌人2双倍秒伤3攻速48易伤5暴击67核9挖怪a最后敌人
59	16142 33422	   	270.90	橙橙2易伤1暴击1攻速1挖怪	1低血量敌人2双倍秒伤3攻速48易伤5暴击67核9挖怪a基地爆炸
60	16142 33423	   	270.90	橙橙2易伤1暴击1攻速2挖怪	1低血量敌人2双倍秒伤3攻速48易伤5暴击67核9a挖怪
61	16334 33421	   	270.90	橙橙2易伤1暴击1攻速1挖怪	1低血量敌人2双倍秒伤3暴击48易伤5攻速67核9挖怪a最后敌人
62	16334 33422	   	270.90	橙橙2易伤1暴击1攻速1挖怪	1低血量敌人2双倍秒伤3暴击48易伤5攻速67核9挖怪a基地爆炸
63	16334 33423	   	270.90	橙橙2易伤1暴击1攻速2挖怪	1低血量敌人2双倍秒伤3暴击48易伤5攻速67核9a挖怪
64	26122 33421	   	270.90	橙橙2易伤1暴击1攻速1挖怪	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9挖怪a最后敌人
65	26122 33422	   	270.90	橙橙2易伤1暴击1攻速1挖怪	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9挖怪a基地爆炸
66	26122 33423	   	270.90	橙橙2易伤1暴击1攻速2挖怪	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9a挖怪
67	26122 33424	   	270.90	橙橙2易伤1伤害1暴击1攻速1挖怪	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9挖怪a伤害
68	26122 33425	   	270.90	橙橙2易伤1暴击1攻速1挖怪	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9挖怪a多重对甲
69	26122 33426	   	270.90	橙橙2易伤1暴击1攻速1挖怪	18易伤2双倍秒伤3攻速4a低血量敌人5暴击67核9挖怪
70	26122 33434	   	270.90	橙橙2易伤1暴击1攻速1挖怪	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9掉矿a挖怪
71	26314 33261	   	270.90	橙橙2易伤1暴击1攻速	1a易伤2双倍秒伤3暴击4挖尘5攻速67核8等级9狙击对黄
72	34143 33622	 * 	270.80	橙橙2矿等1易伤1伤害	12最后敌人37矿等4赏金塔5伤害6a核8易伤9挖尘
73	26314 33421	   	270.80	橙橙2易伤1暴击1攻速1挖怪	18易伤2双倍秒伤3暴击4挖尘5攻速67核9挖怪a最后敌人
74	26314 33422	   	270.80	橙橙2易伤1暴击1攻速1挖怪	18易伤2双倍秒伤3暴击4挖尘5攻速67核9挖怪a基地爆炸
75	26314 33423	   	270.80	橙橙2易伤1暴击1攻速2挖怪	18易伤2双倍秒伤3暴击4挖尘5攻速67核9a挖怪
76	26314 33433	   	270.80	橙橙2易伤1暴击1攻速	18易伤2双倍秒伤3暴击4挖尘5攻速67核9掉矿a散射对喷气
77	26122 33534	   	264.96	橙橙1易伤1伤害1暴击1攻速	1易伤2双倍秒伤3攻速4低血量敌人5暴击67核8金币生成9等级a伤害
