0	Index      	 *	Score 	Summary	Detail	
1	21363 41314	 * 	284.50	橙橙2易伤1等级1矿等1时间	15易伤2最后敌人3等级4风暴减费67核8策反9矿等a时间
57	44133 41222	   	255.65	橙橙2易伤1矿等1核弹	1立即金币2矿等35易伤4低血量敌人67核8最后敌人9赏金塔a核弹
58	44133 41232	   	255.65	橙橙2易伤1矿等1核弹	1立即金币2矿等35易伤4低血量敌人67核8最后敌人9赏金邻近a核弹
59	42333 41341	   	255.34	橙橙2易伤1等级	1立即金币2双倍矿3a低血量敌人4等级5最后敌人67核89易伤
60	42333 41342	   	255.34	橙橙2易伤1等级	1立即金币2双倍矿3低血量敌人4等级5最后敌人67核89易伤a随机矿
61	42333 41343	   	255.34	橙橙2易伤1等级	1立即金币2双倍矿3低血量敌人4等级5最后敌人67核89易伤a雷电
62	44123 32212	   	255.31	橙3易伤1等级1伤害1矿等1时间1全技能	1立即金币2矿等359易伤4全技能6核7伤害8等级a时间
63	21363 41142	   	255.24	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9平台a低血量敌人
64	21363 41151	   	255.24	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9金币生成a雷电
65	21363 41322	   	255.24	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9雷电a基地爆炸
66	21363 41323	   	255.24	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9雷电a低血量敌人
67	21363 41324	   	255.24	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9雷电a敌人爆炸
68	21363 41421	   	255.24	橙橙2易伤1等级	15易伤28最后敌人3等级4风暴减费67核9双倍矿a金币生成
69	21363 41422	   	255.24	橙橙2易伤1等级	15易伤28最后敌人3等级4风暴减费67核9双倍矿a随机矿
70	21363 41423	   	255.24	橙橙2易伤1等级	15易伤28最后敌人3等级4风暴减费67核9双倍矿a雷电
71	21161 41315	   	255.24	橙橙2易伤1等级	18易伤2最后敌人3随机矿4风暴减费5立即金币67核9等级a金币生成
72	21161 41316	   	255.24	橙橙2易伤1等级	18易伤2最后敌人3随机矿4风暴减费5立即金币67核9等级a敌人爆炸
73	21363 41111	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9挖尘a敌人爆炸
74	21363 41112	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9挖尘a机枪对壮
75	21363 41116	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9挖尘a低血量敌人
76	21363 41121	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9加一a敌人爆炸
77	21363 41122	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9加一a机枪对壮
78	21363 41127	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9加一a基地爆炸
79	21363 41128	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8a随机技能9加一
80	21363 41131	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9散射对甲a平台
81	21363 41132	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9散射对甲a敌人爆炸
82	21363 41133	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9散射对甲a随机矿
83	21363 41135	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8a随机技能9散射对甲
84	21363 41141	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9平台a赏金邻近
85	21363 41143	   	255.14	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8随机技能9平台a挖怪
86	21363 41221	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8a低血量敌人9赏金塔
87	21363 41224	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9赏金塔a立即金币
88	21363 41226	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9赏金塔a基地爆炸
89	21363 41231	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8a低血量敌人9赏金邻近
90	21363 41234	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9赏金邻近a立即金币
91	21363 41236	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9赏金邻近a基地爆炸
92	21363 41251	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9挖尘a平台
93	21363 41253	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9挖尘a额外掉落
94	21363 41321	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9雷电a挖尘
95	21363 41325	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4a风暴减费67核8策反9雷电
96	21363 41333	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9赏金邻近a随机矿
97	21363 41334	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9赏金邻近a随机技能
98	21363 41335	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9赏金邻近a基地爆炸
99	21363 41336	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9赏金邻近a雷电
100	21363 41341	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9掉矿a低血量敌人
101	21363 41431	   	255.14	橙橙2易伤1等级	15易伤28最后敌人3等级4风暴减费67核9金币生成a挖尘
102	21363 41432	   	255.14	橙橙2易伤1等级	15易伤28最后敌人3等级4风暴减费67核9金币生成a雷电减费
103	21363 41433	   	255.14	橙橙2易伤1等级	15易伤28最后敌人3等级4风暴减费67核9金币生成a掉矿
104	21363 41511	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8双倍秒伤9基地爆炸a金币生成
105	21363 41521	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8双倍秒伤9立即金币a平台
106	21363 41523	   	255.14	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8双倍秒伤9a立即金币
107	21161 41311	   	255.14	橙橙2易伤1等级	18易伤2最后敌人3随机矿4风暴减费5立即金币67核9等级a挖尘
108	21161 41312	   	255.14	橙橙2易伤1等级	18易伤2最后敌人3随机矿4a风暴减费5立即金币67核9等级
109	21161 41313	   	255.14	橙橙2易伤1等级	18易伤2最后敌人3随机矿4风暴减费5立即金币67核9等级a掉矿
110	21161 41314	   	255.14	橙橙2易伤1等级1挖怪	18易伤2最后敌人3随机矿4风暴减费5立即金币67核9等级a挖怪
111	21363 41113	   	255.04	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9挖尘a狙击对黄
112	21363 41115	   	255.04	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9a挖尘
113	21363 41123	   	255.04	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9加一a狙击对黄
114	21363 41124	   	255.04	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9加一a技能点
115	21363 41126	   	255.04	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8随机技能9加一a挖尘
116	21363 41261	   	255.04	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9电塔对黄a毒气减费
117	21363 41262	   	255.04	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9电塔对黄a掉矿
118	21363 41263	   	255.04	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9电塔对黄a加一
119	21363 41332	   	255.04	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9赏金邻近a赏金塔
120	21363 41342	   	255.04	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9掉矿a赏金邻近
121	21363 41343	   	255.04	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8策反9掉矿a双倍秒伤
122	21363 41361	   	255.04	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8策反9挖怪a基地爆炸
123	21363 41362	   	255.04	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8策反9挖怪a平台
124	21363 41363	   	255.04	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8策反9挖怪a随机矿
125	21363 41531	   	254.94	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8双倍秒伤9挖怪a金币生成
126	21363 41533	   	254.94	橙橙2易伤1等级1伤害1挖怪	15易伤2最后敌人3等级4风暴减费67核8双倍秒伤9挖怪a伤害
127	21363 41611	   	254.94	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8挖怪9攻速a基地爆炸
128	21363 41612	   	254.94	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8挖怪9攻速a平台
129	21363 41613	   	254.94	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8挖怪9攻速a随机矿
130	21363 41621	   	254.94	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8挖怪9赏金塔a低血量敌人
131	21363 41622	   	254.94	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8挖怪9赏金塔a金币生成
132	21363 41623	   	254.94	橙橙2易伤1等级1挖怪	15易伤2a最后敌人3等级4风暴减费67核8挖怪9赏金塔
133	21363 41631	   	254.94	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8挖怪9赏金邻近a低血量敌人
134	21363 41632	   	254.94	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8挖怪9赏金邻近a金币生成
135	21363 41633	   	254.94	橙橙2易伤1等级1挖怪	15易伤2a最后敌人3等级4风暴减费67核8挖怪9赏金邻近
