0	Index      	 *	Score 	Summary	Detail	
1	16211 13615	 * 	274.38	橙橙1易伤1等级1全技能1暴击1雷电	1暴击2平台3全技能4等级5雷电6低血量敌人7易伤8a核9时间
27	11332 13563	   	249.53	橙橙2易伤1暴击	1暴击2低血量敌人3敌人爆炸4时间5a易伤6挖尘78核9烈焰减费
28	11332 23563	   	249.53	橙橙2易伤1暴击	1暴击2低血量敌人3敌人爆炸4时间5a易伤68核7挖尘9烈焰减费
29	13232 43563	   	249.53	橙橙2易伤1暴击	1暴击2挖尘3时间4基地爆炸5a易伤6最后敌人78核9烈焰减费
30	14222 43532	   	249.53	橙橙2易伤1暴击	1暴击2雷电减费3时间4挖尘5a易伤6低血量敌人78核9金币生成
31	14322 53523	   	249.53	橙橙2易伤1暴击	1暴击2雷电减费3敌人爆炸4挖尘5a易伤6时间78核9立即金币
32	14322 53532	   	249.53	橙橙2易伤1暴击	1暴击2雷电减费3敌人爆炸4挖尘5a易伤6时间78核9金币生成
33	14332 13523	   	249.53	橙橙2易伤1暴击	1暴击2雷电减费3敌人爆炸4时间5a易伤6挖尘78核9立即金币
34	14332 13532	   	249.53	橙橙2易伤1暴击	1暴击2雷电减费3敌人爆炸4时间5a易伤6挖尘78核9金币生成
35	14332 13552	   	249.53	橙橙2易伤1技能1暴击	1暴击2雷电减费3敌人爆炸4时间5a易伤6挖尘78核9技能
36	14332 23523	   	249.53	橙橙2易伤1暴击	1暴击2雷电减费3敌人爆炸4时间5a易伤68核7挖尘9立即金币
37	14332 23532	   	249.53	橙橙2易伤1暴击	1暴击2雷电减费3敌人爆炸4时间5a易伤68核7挖尘9金币生成
38	14332 23552	   	249.53	橙橙2易伤1技能1暴击	1暴击2雷电减费3敌人爆炸4时间5a易伤68核7挖尘9技能
39	14632 13532	   	249.53	橙橙2易伤1暴击	1暴击2雷电减费3低血量敌人4时间5a易伤6挖尘78核9金币生成
40	14632 23532	   	249.53	橙橙2易伤1暴击	1暴击2雷电减费3低血量敌人4时间5a易伤68核7挖尘9金币生成
41	22335 25523	   	249.53	橙橙2易伤1暴击	1暴雪减费2双倍秒伤3基地爆炸4时间5暴击68核7a易伤9立即金币
42	22335 25532	   	249.53	橙橙2易伤1暴击	1暴雪减费2双倍秒伤3基地爆炸4时间5暴击68核7a易伤9金币生成
43	43216 31324	 * 	249.09	橙橙2等级2全技能1矿等	1基地爆炸24等级36全技能5矿等7金币生成8a核9平台
44	53216 31324	   	249.09	橙橙2等级2全技能1矿等	1敌人爆炸24等级36全技能5矿等7金币生成8a核9平台
45	41616 13233	   	248.80	橙橙2易伤1伤害	1基地爆炸2赏金塔35易伤4伤害6挖尘7a核8技能点9寒冰对黄
46	51616 13233	   	248.80	橙橙2易伤1伤害	1敌人爆炸2赏金塔35易伤4伤害6挖尘7a核8技能点9寒冰对黄
47	12221 31636	 * 	247.60	橙橙1等级2攻速1暴击1雷电	1暴击2毒气减费37攻速4双倍物品5等级6金币生成89核a雷电
48	25221 31636	   	247.60	橙橙1等级2攻速1暴击1雷电	1暴雪减费2暴击37攻速4双倍物品5等级6金币生成89核a雷电
