0	Index      	 *	Score 	Summary	Detail	
1	12312 23351	 * 	268.69	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AAC	19RCR|2LSRICY|3CDMG|4DMG|5aVULN|6TLV|7AAC|8DUR
45	44223 47332	   	249.53	DCR|DCR|1VULN|1TLV|1DUR	1BOSS|2ASPD|3VULN|4MBVNT|5RMIN|6TLV|7AME|8aRCR|9DUR
46	63223 47332	   	249.53	DCR|DCR|1VULN|1TLV|1DUR	1ASPD|2LIT|3VULN|4MBVNT|5RMIN|6TLV|7AME|8aRCR|9DUR
47	63227 17332	   	249.53	DCR|DCR|1VULN|1TLV|1DUR	1ASPD|2LIT|3VULN|4MBVNT|5TLV|6CGEN|7AME|8aRCR|9DUR
48	12314 21351	   	249.42	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG	19RCR|2LSRICY|3CDMG|4DMG|5FEWX|6ASPD|7TLV|8DUR|aVULN
49	11436 23732	 * 	246.52	ACR|DCR|2DMG|1VULN|1TLV|1DUR	1aRCR|24DMG|34FEWX|4BPWR|5VULN|6LIT|7MBVNT|8TLV|9DUR
50	14136 23732	   	246.52	ACR|DCR|2DMG|1VULN|1TLV|1DUR	1aRCR|24FEWX|34DMG|4BPWR|5VULN|6LIT|7MBVNT|8TLV|9DUR
51	41154 21123	   	245.94	DCR|3VULN|3DMG|1TLV	1BOSS|2BBNT|389VULN|4TLV|589DMG|689ZMB|7RCR|89BPWR|aLHND
52	41154 21121	   	245.84	DCR|3VULN|3DMG|1TLV	1BOSS|2BBNT|389VULN|4TLV|589DMG|689ZMB|7RCR|89BPWR|aDUST
53	41154 21122	   	245.84	DCR|3VULN|3DMG|1TLV	1BOSS|2BBNT|389VULN|4TLV|589DMG|689ZMB|7RCR|89BPWR|aAEWIND
54	11133 13323	   	244.32	ACR|DCR|3DUR|2DMG|1VULN	19RCR|24DMG|345DUR|4BPWR|6CGEN|7LWND|8ZMB|aVULN
55	16133 13323	   	244.32	ACR|DCR|3DUR|2DMG|1VULN	19RCR|245DUR|34DMG|4BPWR|6CGEN|7LWND|8ZMB|aVULN
56	11133 35342	   	244.08	ACR|DCR|3DUR|2DMG|1MSLTOX|1MLV	19RCR|24DMG|345DUR|4BPWR|6MLV|7RCVC|8LIT|aMSLTOX
57	16133 35342	   	244.08	ACR|DCR|3DUR|2DMG|1MSLTOX|1MLV	19RCR|245DUR|34DMG|4BPWR|6MLV|7RCVC|8LIT|aMSLTOX
58	11133 22542	   	243.98	ACR|DCR|3DUR|2DMG|1MSLTOX|1MLV	19RCR|24DMG|345DUR|4BPWR|6BOSS|7AEWIND|8MLV|aMSLTOX
59	16133 22542	   	243.98	ACR|DCR|3DUR|2DMG|1MSLTOX|1MLV	19RCR|245DUR|34DMG|4BPWR|6BOSS|7AEWIND|8MLV|aMSLTOX
60	25263 47332	   	242.59	DCR|DCR|1VULN|1TLV|1AAC|1DUR	1AAC|2VULN|3TLV|4CGEN|5MBVNT|6ERES|7LIT|8aRCR|9DUR
61	32413 21344	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1DUST|2BBNT|3RCVC|4LIT|5VULN|6ZMB|79RCR|8TLV|aDUR
62	41213 21344	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1BOSS|2BBNT|3RMIN|4ERES|5VULN|6ZMB|79RCR|8TLV|aDUR
63	41213 21346	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1BOSS|2BBNT|3RMIN|4ERES|5VULN|6ZMB|79RCR|8TLV|aAAC
64	11131 65242	 * 	242.54	ACR|DCR|3DMG|2DUR|2AART	1aRCR|248DMG|34DUR|4BPWR|59AART|6RAT|7FEWX
65	32263 21344	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1DUST|2BBNT|3LIT|4AEFBLL|5VULN|6ZMB|79RCR|8TLV|aDUR
66	12312 23352	   	242.48	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG|1AAC	19RCR|2LSRICY|3CDMG|4DMG|5VULN|6TLV|7AAC|8DUR|aRCVC
67	12312 23356	   	242.48	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG|1AAC	19RCR|2LSRICY|3CDMG|4DMG|5VULN|6TLV|7AAC|8DUR|aRPLT
68	12314 53351	   	242.48	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG|1AAC	19RCR|2LSRICY|3CDMG|4DMG|5FEWX|6TLV|7AAC|8DUR|aVULN
69	13211 64216	   	242.48	ACR|DCR|1VULN|1TLV|1DMG|1AART|1CDMG	1aRCR|2CGEN|3CDMG|4TBNT|5FEWX|6AART|7DMG|8TLV|9VULN
70	12312 23353	   	242.38	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC|1CDMG	19RCR|2LSRICY|3CDMG|4DMG|5VULN|6TLV|7AAC|8DUR|aAEWIND
71	12312 23354	   	242.38	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG|1AAC	19RCR|2LSRICY|3CDMG|4DMG|5VULN|6TLV|7AAC|8DUR|aMSLREG
72	12312 23355	   	242.38	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC|1CDMG	19RCR|2LSRICY|3CDMG|4DMG|5VULN|6TLV|7AAC|8DUR|aAEFRZ
73	11416 61121	   	241.49	ACR|DCR|2VULN|1TLV|1DMG	19RCR|2DMG|36FEWX|4TLV|58VULN|7ZMB|aRPLT
74	11416 61122	   	241.49	ACR|DCR|2VULN|1TLV|1DMG	19RCR|2DMG|36FEWX|4TLV|58VULN|7ZMB|aRAT
75	11416 61123	   	241.49	ACR|DCR|2VULN|1TLV|1DMG	19RCR|2DMG|36FEWX|4TLV|58VULN|7aZMB
76	14116 61121	   	241.49	ACR|DCR|2VULN|1TLV|1DMG	19RCR|26FEWX|3DMG|4TLV|58VULN|7ZMB|aRPLT
77	14116 61122	   	241.49	ACR|DCR|2VULN|1TLV|1DMG	19RCR|26FEWX|3DMG|4TLV|58VULN|7ZMB|aRAT
78	14116 61123	   	241.49	ACR|DCR|2VULN|1TLV|1DMG	19RCR|26FEWX|3DMG|4TLV|58VULN|7aZMB
79	25642 32121	   	241.49	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1AAC|28VULN|37BEXP|49RCR|5DMG|6TLV|aRPLT
80	25642 32122	   	241.49	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1AAC|28VULN|37BEXP|49RCR|5DMG|6TLV|aRAT
81	25642 32123	   	241.49	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1AAC|28VULN|37BEXP|49RCR|5DMG|6TLV|aZMB
82	11133 35344	   	241.48	ACR|DCR|3DUR|2DMG|1MLV|1AART	19RCR|24DMG|345DUR|4BPWR|6MLV|7RCVC|8LIT|aAART
83	11416 41121	   	241.39	ACR|DCR|2VULN|1TLV|1DMG	19RCR|2DMG|3FEWX|4TLV|58VULN|6AEWIND|7ZMB|aRPLT
84	11416 41122	   	241.39	ACR|DCR|2VULN|1TLV|1DMG	19RCR|2DMG|3FEWX|4TLV|58VULN|6AEWIND|7ZMB|aRAT
85	11416 41123	   	241.39	ACR|DCR|2VULN|1TLV|1DMG	19RCR|2DMG|3FEWX|4TLV|58VULN|6AEWIND|7aZMB
86	14116 41121	   	241.39	ACR|DCR|2VULN|1TLV|1DMG	19RCR|2FEWX|3DMG|4TLV|58VULN|6AEWIND|7ZMB|aRPLT
87	14116 41122	   	241.39	ACR|DCR|2VULN|1TLV|1DMG	19RCR|2FEWX|3DMG|4TLV|58VULN|6AEWIND|7ZMB|aRAT
88	14116 41123	   	241.39	ACR|DCR|2VULN|1TLV|1DMG	19RCR|2FEWX|3DMG|4TLV|58VULN|6AEWIND|7aZMB
89	11133 22544	   	241.38	ACR|DCR|3DUR|2DMG|1MLV|1AART	19RCR|24DMG|345DUR|4BPWR|6BOSS|7AEWIND|8MLV|aAART
90	24234 51123	   	240.60	DCR|2VULN|3DMG|3TLV|1AAC	1AAC|289LIT|3aVULN|4BBNT|589DMG|689TLV|7RCR|89BPWR
91	16316 33322	 * 	240.33	ACR|4VULN|3DUR|2DMG|1AART	1RCR|249DUR|3TBNT|569aVULN|7AART|89DMG|9BPWR
92	11432 32224	   	239.81	ACR|DCR|2DMG|1VULN|1TLV	19RCR|24DMG|34FEWX|4BPWR|5AEFRZ|6CGEN|7ASPD|8VULN|aTLV
93	14132 32224	   	239.81	ACR|DCR|2DMG|1VULN|1TLV	19RCR|24FEWX|34DMG|4BPWR|5AEFRZ|6CGEN|7ASPD|8VULN|aTLV
94	44223 18332	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2ASPD|3VULN|4MBVNT|5RMIN|6CGEN|7MLV|8aRCR|9DUR
95	63223 18332	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1ASPD|2LIT|3VULN|4MBVNT|5RMIN|6CGEN|7MLV|8aRCR|9DUR
96	63224 28342	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1ASPD|25LIT|3VULN|4MBVNT|6BEXP|7MLV|8aRCR|9DUR
97	63224 58332	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1ASPD|25LIT|3VULN|4MBVNT|6FEWX|7MLV|8aRCR|9DUR
98	63224 88322	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1ASPD|25LIT|3VULN|4MBVNT|6DUR|7MLV|8aRCR|9BEXP
