0	Index      	 *	Score 	Summary	Detail	
1	62263 31151	 * 	271.85	DCR|DCR|1VULN|2DUR|1MLV|1AART|1CDMG	1aDUR|2MLV|3AETHUN|4VULN|5LHND|6CDMG|7AART|89RCR
16	31662 22522	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1ZMB|2BBNT|3CDMG|4DUR|5VULN|6RPLT|7MLV|89RCR|aFEWX
17	31662 22521	   	245.64	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1ZMB|2BBNT|3CDMG|4DUR|5VULN|6RPLT|7MLV|89RCR|aERES
18	13133 36312	   	245.12	DCR|4VULN|1TLV|1DMG|1CDMG	1DMSP|238aVULN|4DMG|5CDMG|6TLV|7MDPS|9RCR
19	53133 36312	   	245.12	DCR|4VULN|1TLV|1DMG|1CDMG	1RCVC|238aVULN|4DMG|5CDMG|6TLV|7MDPS|9RCR
20	13111 64512	   	245.12	DCR|4VULN|1TLV|2CDMG|2ASPD	1DMSP|238aVULN|4TLV|58CDMG|6MDPS|78ASPD|8BPWR|9RCR
21	13116 14316	   	243.56	ACR|DCR|3VULN|1TLV	1DMSP|23aVULN|4TLV|59RCR|6CGEN|7LWND|8BOSS
22	13116 21316	   	243.56	ACR|DCR|3VULN|1TLV	1DMSP|23aVULN|4TLV|59RCR|6LWND|7CGEN|8BOSS
23	13116 21416	   	243.56	ACR|DCR|3VULN|1TLV	1DMSP|23aVULN|4TLV|59RCR|6LWND|7CGEN|8LIT
24	53116 21316	   	243.56	ACR|DCR|3VULN|1TLV	1RCVC|23aVULN|4TLV|59RCR|6LWND|7CGEN|8BOSS
25	13133 36511	   	242.80	DCR|3VULN|2TLV|1DMG|2CDMG	1DMSP|238VULN|4DMG|58CDMG|68TLV|7MDPS|8BPWR|9RCR|aLIT
26	53133 36511	   	242.80	DCR|3VULN|2TLV|1DMG|2CDMG	1RCVC|238VULN|4DMG|58CDMG|68TLV|7MDPS|8BPWR|9RCR|aLIT
27	13233 36512	   	242.80	DCR|3VULN|2TLV|1DMG|2CDMG	13DMSP|28aVULN|4DMG|58CDMG|68TLV|7MDPS|8BPWR|9RCR
28	53233 36512	   	242.80	DCR|3VULN|2TLV|1DMG|2CDMG	1RCVC|28aVULN|3DMSP|4DMG|58CDMG|68TLV|7MDPS|8BPWR|9RCR
29	13332 63616	 * 	242.79	DCR|DCR|2VULN|1AAC	1DMSP|28VULN|3BOSS|4LHND|5LIT|69RCR|7CGEN|aAAC
30	13133 36513	   	242.70	DCR|3VULN|2TLV|1DMG|2CDMG	1DMSP|238VULN|4DMG|58CDMG|68TLV|7MDPS|8BPWR|9RCR|aERES
31	13133 36515	   	242.70	DCR|3VULN|2TLV|1DMG|2CDMG|1MSE	1DMSP|238VULN|4DMG|58CDMG|68TLV|7MDPS|8BPWR|9RCR|aMSE
32	53133 36513	   	242.70	DCR|3VULN|2TLV|1DMG|2CDMG	1RCVC|238VULN|4DMG|58CDMG|68TLV|7MDPS|8BPWR|9RCR|aERES
33	13312 63616	   	242.69	DCR|DCR|2VULN|1AAC	1DMSP|28VULN|3BOSS|4LEGI|5LIT|69RCR|7CGEN|aAAC
34	13111 51216	 * 	242.53	DCR|3VULN|2TLV|2DUR|1CDMG	1DMSP|23aVULN|4aTLV|5CDMG|6ERES|7aDUR|8RCR|9BELT|aBPWR
35	53111 51216	   	242.53	DCR|3VULN|2TLV|2DUR|1CDMG	1RCVC|23aVULN|4aTLV|5CDMG|6ERES|7aDUR|8RCR|9BELT|aBPWR
36	13654 13223	   	242.45	DCR|DCR|1VULN|1TLV|1CDMG|1SELL	1DMSP|2VULN|3SELL|4TLV|5RAT|68RCR|7CANTOX|9LWND|aCDMG
37	13654 13233	   	242.45	DCR|DCR|1VULN|1TLV|1CDMG|1SELL	1DMSP|2VULN|3SELL|4TLV|5RAT|68RCR|7CANTOX|9LHND|aCDMG
