0	Index      	 *	Score 	Summary	Detail	
1	23234 31522	 * 	251.25	DCR|DCR|1TLV|1DMG|1DUR|1AART	1ASPD|2LHND|3TLV|4DMG|5AART|6RPLT|7TBNT|89RCR|aDUR
23	23334 31521	   	226.90	DCR|DCR|1DMG|1MLV|1AART	1ASPD|2LHND|3MLV|4DMG|5AART|6RPLT|7TBNT|89RCR|aBBNT
24	23334 31526	   	226.90	DCR|DCR|1DMG|1MLV|1AART	1ASPD|2LHND|3MLV|4DMG|5AART|6RPLT|7TBNT|89RCR|aAEFBLL
25	22264 21141	   	226.48	DCR|3VULN|1TLV|1DUR|1AART	1ASPD|2DMSP|367VULN|4DUR|5AART|8AEFBLL|9TLV|aRCR
26	21264 21141	   	226.38	DCR|3VULN|1TLV|1DUR|1AART	1ASPD|2AEFRZ|367VULN|4DUR|5AART|8AEFBLL|9TLV|aRCR
27	23231 23445	   	226.36	DCR|2VULN|1TLV|1DMG|1MLV|1CDMG	1ASPD|2LHND|3TLV|4DMG|59VULN|6VENFST|7RCR|8MLV|aCDMG
28	13214 21141	   	225.95	DCR|3VULN|1TLV|1DMG|1AART|1AAC	1AAC|2DMG|367VULN|4CGEN|5AART|8AEFRZ|9TLV|aRCR
29	15234 21141	   	225.85	DCR|3VULN|1TLV|1DMG|1AART|1AAC	1AAC|2AME|367VULN|4DMG|5AART|8AEFBLL|9TLV|aRCR
30	52251 32313	   	225.85	DCR|3VULN|1TLV|1DMG|1CDMG	1AEFBLL|2BOSS|358VULN|4DMG|6MGNBOS|7CDMG|9RCR|aTLV
31	52251 52313	   	225.85	DCR|3VULN|1TLV|1DMG|1CDMG	1AEFBLL|2BOSS|358VULN|4DMG|6SPLREG|7CDMG|9RCR|aTLV
32	24214 21241	   	225.38	DCR|3VULN|2AART|1TLV|1AAC	1ASPD|2AAC|367VULN|4CGEN|58AART|9TLV|aRCR
33	66252 32332	   	225.38	DCR|DCR|1VULN|1MLV	1TBNT|2LHND|35FEWX|4MLV|69RCR|7ZMB|8ASPD|aVULN
34	22224 21241	   	225.28	DCR|3VULN|2AART|1TLV	1ASPD|2DMSP|367VULN|4DUST|58AART|9TLV|aRCR
35	52251 32312	 * 	225.23	DCR|4VULN|1DMG|2CDMG	1aAEFBLL|2BOSS|358aVULN|4DMG|6MGNBOS|7aCDMG|9RCR|aBPWR
36	52251 52312	   	225.23	DCR|4VULN|1DMG|2CDMG	1aAEFBLL|2BOSS|358aVULN|4DMG|6SPLREG|7aCDMG|9RCR|aBPWR
37	21224 21241	   	225.18	DCR|3VULN|2AART|1TLV	1ASPD|2AEFRZ|367VULN|4DUST|58AART|9TLV|aRCR
38	25224 21241	   	225.18	DCR|3VULN|2AART|1TLV	1ASPD|2AEPOI|367VULN|4DUST|58AART|9TLV|aRCR
39	25125 51213	   	224.05	DCR|DCR|2DUR|2ASPD|1CDMG	18ASPD|28AEPOI|3DLOT|4LIT|5CDMG|6RPLT|78DUR|8BPWR|9aRCR
40	22216 13435	   	223.33	DCR|DCR|1VULN|1DUR	1ASPD|2DMSP|3VULN|4TBNT|5RPLT|6LHND|7DUR|8BBNT|9aRCR
41	21216 13435	   	223.23	DCR|DCR|1VULN|1DUR	1ASPD|2AEFRZ|3VULN|4TBNT|5RPLT|6LHND|7DUR|8BBNT|9aRCR
42	13136 52114	 * 	223.19	DCR|2VULN|2DMG|2MLV|2AAC|1AART	13AAC|2aDMG|45MLV|6AART|7aDUST|8aVULN|9RCR|aBPWR
43	23231 23414	 * 	223.04	DCR|2VULN|2TLV|1DMG|1MLV	1ASPD|2LHND|39TLV|4DMG|5aVULN|6VENFST|7RCR|8MLV
44	52116 31143	   	222.80	DCR|DCR|1VULN|1DMG	1AEFBLL|2BOSS|3FEWX|4VULN|5DMG|6LWND|7ZMB|8aRCR|9LSRREG
45	52116 31153	   	222.80	DCR|DCR|1VULN|1DMG	1AEFBLL|2BOSS|3FEWX|4VULN|5DMG|6LWND|7ZMB|8aRCR|9VENICY
46	52151 31143	   	222.80	DCR|DCR|1VULN|1DMG	1AEFBLL|2BOSS|3FEWX|4DMG|5VULN|6LWND|7ZMB|8aRCR|9LSRREG
47	52151 31153	   	222.80	DCR|DCR|1VULN|1DMG	1AEFBLL|2BOSS|3FEWX|4DMG|5VULN|6LWND|7ZMB|8aRCR|9VENICY
48	52316 31143	   	222.70	DCR|DCR|1VULN|1DMG	1AEFBLL|2BOSS|3DUST|4VULN|5DMG|6LWND|7ZMB|8aRCR|9LSRREG
49	52316 31153	   	222.70	DCR|DCR|1VULN|1DMG	1AEFBLL|2BOSS|3DUST|4VULN|5DMG|6LWND|7ZMB|8aRCR|9VENICY
50	52351 31143	   	222.70	DCR|DCR|1VULN|1DMG	1AEFBLL|2BOSS|3DUST|4DMG|5VULN|6LWND|7ZMB|8aRCR|9LSRREG
51	52351 31153	   	222.70	DCR|DCR|1VULN|1DMG	1AEFBLL|2BOSS|3DUST|4DMG|5VULN|6LWND|7ZMB|8aRCR|9VENICY
52	13153 22257	 * 	222.05	DCR|DCR|2DMG|2AAC|1DUR	13AAC|24DMG|5DUR|6RPLT|7MBVNT|8RMIN|9aRCR
53	13153 22157	   	221.95	DCR|DCR|2DMG|2AAC|1DUR	13AAC|24DMG|5DUR|6RPLT|7MBVNT|8ERES|9aRCR
54	13153 22457	   	221.95	DCR|DCR|2DMG|2AAC|1DUR	13AAC|24DMG|5DUR|6RPLT|7MBVNT|8AME|9aRCR
55	61332 22633	   	221.49	DCR|3VULN|1TLV|1MLV|1CDMG	1TBNT|2RAT|3CDMG|4BEXP|59aVULN|6TLV|7RCR|8MLV
56	61342 22633	   	221.49	DCR|3VULN|1TLV|1MLV|1CDMG	1TBNT|2RAT|3CDMG|4FEWX|59aVULN|6TLV|7RCR|8MLV
57	13235 13231	 * 	221.40	DCR|2VULN|2DMG|1TLV|1AAC|1DUR	1AAC|24DMG|39VULN|5TSLFST|6DUR|7RCR|8LIT|aTLV
