0	Index      	 *	Score 	Summary	Detail	
1	22341 35163	 * 	249.10	DCR|DCR|2VULN|1DMG|1AAC	1ZMB|25VULN|3AAC|4DMG|6RMIN|7FRZARM|8SNITOX|9aRCR
25	23231 21333	 * 	230.73	DCR|DCR|1VULN|2MLV|1AAC	1ZMB|2TBNT|34MLV|5RPLT|6VULN|7aRCR|8AAC|9LIT
26	23231 21523	   	230.73	DCR|DCR|1VULN|2MLV|1AAC	1ZMB|2TBNT|34MLV|5RPLT|6VULN|7aRCR|8LIT|9AAC
27	24231 21333	   	230.73	DCR|DCR|1VULN|2MLV|1AAC	1ZMB|2BBNT|34MLV|5RPLT|6VULN|7aRCR|8AAC|9LIT
28	24231 21523	   	230.73	DCR|DCR|1VULN|2MLV|1AAC	1ZMB|2BBNT|34MLV|5RPLT|6VULN|7aRCR|8LIT|9AAC
29	21313 31154	   	230.14	DCR|DCR|1VULN|1DUR|1CDMG	1ZMB|2AEFBLL|3DUR|4CDMG|59DMSP|68RCR|7RCVC|aVULN
30	25352 21163	   	229.64	DCR|DCR|1VULN|1DMG	1ZMB|2AIRBOS|3ASPD|4AEFRZ|5DMG|6VULN|7CGEN|8CANARM|9aRCR
31	52515 13122	   	229.26	ACR|DCR|2VULN|1AAC|1CDMG	17RCR|2MDPS|35VULN|4RPLT|5BPWR|6ASPD|8BBNT|9CDMG|aAAC
32	22452 13123	   	229.04	DCR|DCR|2VULN	1ZMB|2aVULN|3RMIN|4BELT|5BEXP|6RAT|79RCR|8AME
33	22452 13623	   	229.04	DCR|DCR|2VULN	1ZMB|2aVULN|3RMIN|4BELT|5BEXP|6RAT|79RCR|8ERES
34	22455 23123	   	229.04	DCR|DCR|2VULN	1ZMB|2aVULN|3RMIN|4BELT|5RAT|6BEXP|79RCR|8AME
35	26255 23123	   	228.94	DCR|DCR|2VULN	1ZMB|2ERES|3aVULN|4BELT|5RAT|6BEXP|79RCR|8AME
36	51511 46321	   	228.72	ACR|3VULN|3DMG|3TLV	1RCR|2RPLT|379TLV|4MBVNT|579DMG|679VULN|79BPWR|8AETHUN|aLIT
37	51511 46322	   	228.72	ACR|3VULN|3DMG|3TLV	1RCR|2RPLT|379TLV|4MBVNT|579DMG|679VULN|79BPWR|8AETHUN|aBOSS
38	51511 46324	   	228.62	ACR|3VULN|3DMG|3TLV	1RCR|2RPLT|379TLV|4MBVNT|579DMG|679VULN|79BPWR|8AETHUN|aERES
39	11614 23583	   	228.54	DCR|DCR|1VULN|1TLV|1NUKE	1AEWIND|2AEPOI|3NUKE|4MBVNT|5MULARM|6VULN|7aRCR|8BLAICY|9TLV
40	11614 27173	   	228.54	DCR|DCR|1VULN|1TLV|1NUKE	1AEWIND|2AEPOI|3NUKE|4MBVNT|5MULARM|6VULN|7TLV|8CANARM|9aRCR
41	13614 23583	   	228.54	DCR|DCR|1VULN|1TLV|1NUKE	1AEWIND|2AEFRZ|3NUKE|4MBVNT|5MULARM|6VULN|7aRCR|8BLAICY|9TLV
42	13614 27173	   	228.54	DCR|DCR|1VULN|1TLV|1NUKE	1AEWIND|2AEFRZ|3NUKE|4MBVNT|5MULARM|6VULN|7TLV|8CANARM|9aRCR
43	36521 42231	   	228.44	DCR|2VULN|2DMG|1TLV|1DUR	1LHND|29DMG|3LIT|48VULN|5ASPD|6TLV|7RCR|aDUR
44	52515 13222	 * 	228.26	ACR|DCR|2VULN|1FLTARM|2AAC	17RCR|2MDPS|35VULN|4RPLT|5BPWR|6ASPD|89AAC|aFLTARM
45	52515 13231	   	228.26	ACR|DCR|2VULN|1TLV|1AAC	17RCR|2MDPS|35VULN|4RPLT|5BPWR|6ASPD|8AAC|9CGEN|aTLV
46	56331 53323	   	228.26	ACR|DCR|2VULN|2DUR	19RCR|2LHND|35DUR|4ASPD|6BELT|7RAT|8aVULN
47	52511 13242	   	228.16	ACR|DCR|2VULN|1FLTARM|1AAC	17RCR|2MDPS|39VULN|4RPLT|5AEFRZ|6ASPD|8AAC|aFLTARM
48	52515 13212	   	228.16	ACR|DCR|2VULN|1FLTARM|1AAC	17RCR|2MDPS|35VULN|4RPLT|5BPWR|6ASPD|8AAC|9AEBURN|aFLTARM
49	52515 13113	   	228.06	ACR|DCR|2VULN|2DUR	17RCR|2MDPS|35VULN|4RPLT|5BPWR|6ASPD|8BBNT|9aDUR
50	52515 13221	   	228.06	ACR|DCR|2VULN|2AAC	17RCR|2MDPS|35VULN|4RPLT|5BPWR|6ASPD|89AAC|aERES
51	52515 13223	   	228.06	ACR|DCR|2VULN|2AAC|1DUR	17RCR|2MDPS|35VULN|4RPLT|5BPWR|6ASPD|89AAC|aDUR
52	36333 56233	   	227.10	DCR|2VULN|1TLV|1DMG|1MSLTOX|1DUR	1LHND|2DMG|39VULN|4ASPD|5TLV|6MSLTOX|7ZMB|8RCR|aDUR
53	26432 31121	   	226.20	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|2ERES|3CDMG|4DMSP|5TLV|68RCR|7RCVC|9FEWX|aMLV
54	26432 31161	   	226.20	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|2ERES|3CDMG|4DMSP|5TLV|68RCR|7RCVC|9LHND|aMLV
55	15212 31121	   	226.10	DCR|DCR|1TLV|1MLV|1AAC|1CDMG	1AEWIND|2CDMG|3AAC|4ERES|5TLV|68RCR|7RCVC|9FEWX|aMLV
56	15212 31161	   	226.10	DCR|DCR|1TLV|1MLV|1CDMG|1AAC	1AEWIND|2CDMG|3AAC|4ERES|5TLV|68RCR|7RCVC|9LHND|aMLV
57	15243 31121	   	226.10	DCR|DCR|1TLV|1MLV|1AAC|1CDMG	1AEWIND|2CDMG|3AAC|4TLV|5ERES|68RCR|7RCVC|9FEWX|aMLV
58	15243 31161	   	226.10	DCR|DCR|1TLV|1MLV|1CDMG|1AAC	1AEWIND|2CDMG|3AAC|4TLV|5ERES|68RCR|7RCVC|9LHND|aMLV
59	21532 31121	   	226.10	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|2AEFBLL|3ERES|4CDMG|5TLV|68RCR|7RCVC|9FEWX|aMLV
60	21532 31161	   	226.10	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|2AEFBLL|3ERES|4CDMG|5TLV|68RCR|7RCVC|9LHND|aMLV
61	26412 31121	   	226.10	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|2ERES|3CDMG|4AEFBLL|5TLV|68RCR|7RCVC|9FEWX|aMLV
62	26412 31161	   	226.10	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|2ERES|3CDMG|4AEFBLL|5TLV|68RCR|7RCVC|9LHND|aMLV
63	26432 36121	   	226.10	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|27ERES|3CDMG|4DMSP|5TLV|68RCR|9FEWX|aMLV
64	26442 31121	   	226.10	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|24ERES|3CDMG|5TLV|68RCR|7RCVC|9FEWX|aMLV
65	26532 31121	   	226.10	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|23ERES|4CDMG|5TLV|68RCR|7RCVC|9FEWX|aMLV
66	26532 31161	   	226.10	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|23ERES|4CDMG|5TLV|68RCR|7RCVC|9LHND|aMLV
67	15212 36121	   	226.00	DCR|DCR|1TLV|1MLV|1AAC|1CDMG	1AEWIND|2CDMG|3AAC|47ERES|5TLV|68RCR|9FEWX|aMLV
68	15212 36161	   	226.00	DCR|DCR|1TLV|1MLV|1CDMG|1AAC	1AEWIND|2CDMG|3AAC|47ERES|5TLV|68RCR|9LHND|aMLV
69	15243 36121	   	226.00	DCR|DCR|1TLV|1MLV|1AAC|1CDMG	1AEWIND|2CDMG|3AAC|4TLV|57ERES|68RCR|9FEWX|aMLV
70	21532 36121	   	226.00	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|2AEFBLL|37ERES|4CDMG|5TLV|68RCR|9FEWX|aMLV
71	21532 36161	   	226.00	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|2AEFBLL|37ERES|4CDMG|5TLV|68RCR|9LHND|aMLV
72	26412 36121	   	226.00	DCR|DCR|1TLV|1MLV|1CDMG	1ZMB|27ERES|3CDMG|4AEFBLL|5TLV|68RCR|9FEWX|aMLV
73	36325 32412	 * 	225.95	DCR|3VULN|1FLTARM|1DMG|1DUR	1LHND|2DMG|37aVULN|4FEWX|5FLTARM|6ERES|8DUR|9RCR
74	51511 46423	 * 	225.91	ACR|2VULN|2DMG|2TLV|2MLV|1CDMG	1RCR|2RPLT|37TLV|4MBVNT|57DMG|67VULN|7BPWR|8CDMG|9aMLV
75	51611 46413	   	225.16	ACR|3VULN|2DMG|2MLV|1DUR|1CDMG	1RCR|2RPLT|37MLV|4MBVNT|57DMG|67aVULN|7BPWR|8CDMG|9DUR
76	11146 33125	   	224.75	DCR|DCR|1DMG|1AART|1CDMG	1AEWIND|2AEPOI|3DMG|4AART|5ERES|6aRCR|7CDMG|8ASPD|9AIRARM
77	13146 33125	   	224.75	DCR|DCR|1DMG|1AART|1CDMG	1AEWIND|2AEFRZ|3DMG|4AART|5ERES|6aRCR|7CDMG|8ASPD|9AIRARM
78	56332 33321	   	224.38	ACR|DCR|1VULN|2DUR|1MLV|2ASPD	19RCR|2LHND|36DUR|46ASPD|5BELT|6BPWR|7RAT|8VULN|aMLV
79	21313 31111	   	224.25	DCR|DCR|1TLV|1DUR|1CDMG	1ZMB|2AEFBLL|3DUR|4CDMG|5DMSP|68RCR|7RCVC|9RMIN|aTLV
80	21313 31131	   	224.25	DCR|DCR|1TLV|1DUR|1AAC|1CDMG	1ZMB|2AEFBLL|3DUR|4CDMG|5DMSP|68RCR|7RCVC|9AAC|aTLV
81	26432 31116	   	224.25	DCR|DCR|1TLV|1DUR|1CDMG	1ZMB|2ERES|3CDMG|4DMSP|5TLV|68RCR|7RCVC|9RMIN|aDUR
82	26432 31136	   	224.25	DCR|DCR|1TLV|1DUR|1AAC|1CDMG	1ZMB|2ERES|3CDMG|4DMSP|5TLV|68RCR|7RCVC|9AAC|aDUR
83	15212 31116	   	224.15	DCR|DCR|1TLV|1DUR|1AAC|1CDMG	1AEWIND|2CDMG|3AAC|4ERES|5TLV|68RCR|7RCVC|9RMIN|aDUR
84	15243 31116	   	224.15	DCR|DCR|1TLV|1DUR|1AAC|1CDMG	1AEWIND|2CDMG|3AAC|4TLV|5ERES|68RCR|7RCVC|9RMIN|aDUR
85	21532 31116	   	224.15	DCR|DCR|1TLV|1DUR|1CDMG	1ZMB|2AEFBLL|3ERES|4CDMG|5TLV|68RCR|7RCVC|9RMIN|aDUR
86	21532 31136	   	224.15	DCR|DCR|1TLV|1DUR|1AAC|1CDMG	1ZMB|2AEFBLL|3ERES|4CDMG|5TLV|68RCR|7RCVC|9AAC|aDUR
87	26412 31116	   	224.15	DCR|DCR|1TLV|1DUR|1CDMG	1ZMB|2ERES|3CDMG|4AEFBLL|5TLV|68RCR|7RCVC|9RMIN|aDUR
88	26412 31136	   	224.15	DCR|DCR|1TLV|1DUR|1AAC|1CDMG	1ZMB|2ERES|3CDMG|4AEFBLL|5TLV|68RCR|7RCVC|9AAC|aDUR
89	26532 31116	   	224.15	DCR|DCR|1TLV|1DUR|1CDMG	1ZMB|23ERES|4CDMG|5TLV|68RCR|7RCVC|9RMIN|aDUR
90	26532 31136	   	224.15	DCR|DCR|1TLV|1DUR|1AAC|1CDMG	1ZMB|23ERES|4CDMG|5TLV|68RCR|7RCVC|9AAC|aDUR
91	26432 31131	 * 	224.15	DCR|DCR|2TLV|1AAC|1CDMG	1ZMB|2ERES|3CDMG|4DMSP|5aTLV|68RCR|7RCVC|9AAC
92	26432 31132	   	224.15	DCR|DCR|1TLV|1CDMG|1AAC	1ZMB|2ERES|3CDMG|4DMSP|5TLV|68RCR|7RCVC|9AAC|aLIT
93	26432 31133	   	224.15	DCR|DCR|1TLV|1AAC|1CDMG|1MSE	1ZMB|2ERES|3CDMG|4DMSP|5TLV|68RCR|7RCVC|9AAC|aMSE
94	26432 31134	 * 	224.15	DCR|DCR|1TLV|2CDMG|1AAC	1ZMB|2ERES|3aCDMG|4DMSP|5TLV|68RCR|7RCVC|9AAC
95	26432 31135	   	224.15	DCR|DCR|1TLV|1AAC|1CDMG	1ZMB|2aERES|3CDMG|4DMSP|5TLV|68RCR|7RCVC|9AAC
96	15212 36116	   	224.05	DCR|DCR|1TLV|1DUR|1CDMG|1AAC	1AEWIND|2CDMG|3AAC|47ERES|5TLV|68RCR|9RMIN|aDUR
97	21532 36116	   	224.05	DCR|DCR|1TLV|1DUR|1CDMG	1ZMB|2AEFBLL|37ERES|4CDMG|5TLV|68RCR|9RMIN|aDUR
98	21532 36136	   	224.05	DCR|DCR|1TLV|1DUR|1CDMG|1AAC	1ZMB|2AEFBLL|37ERES|4CDMG|5TLV|68RCR|9AAC|aDUR
99	21532 31131	   	224.05	DCR|DCR|2TLV|1AAC|1CDMG	1ZMB|2AEFBLL|3ERES|4CDMG|5aTLV|68RCR|7RCVC|9AAC
100	21532 31132	   	224.05	DCR|DCR|1TLV|1CDMG|1AAC	1ZMB|2AEFBLL|3ERES|4CDMG|5TLV|68RCR|7RCVC|9AAC|aLIT
101	21532 31133	   	224.05	DCR|DCR|1TLV|1AAC|1CDMG|1MSE	1ZMB|2AEFBLL|3ERES|4CDMG|5TLV|68RCR|7RCVC|9AAC|aMSE
102	21532 31134	   	224.05	DCR|DCR|1TLV|2CDMG|1AAC	1ZMB|2AEFBLL|3ERES|4aCDMG|5TLV|68RCR|7RCVC|9AAC
103	21532 31135	   	224.05	DCR|DCR|1TLV|1AAC|1CDMG	1ZMB|2AEFBLL|3aERES|4CDMG|5TLV|68RCR|7RCVC|9AAC
104	26412 31131	   	224.05	DCR|DCR|2TLV|1AAC|1CDMG	1ZMB|2ERES|3CDMG|4AEFBLL|5aTLV|68RCR|7RCVC|9AAC
105	26412 31132	   	224.05	DCR|DCR|1TLV|1CDMG|1AAC	1ZMB|2ERES|3CDMG|4AEFBLL|5TLV|68RCR|7RCVC|9AAC|aLIT
106	26412 31133	   	224.05	DCR|DCR|1TLV|1AAC|1CDMG|1MSE	1ZMB|2ERES|3CDMG|4AEFBLL|5TLV|68RCR|7RCVC|9AAC|aMSE
107	26412 31134	   	224.05	DCR|DCR|1TLV|2CDMG|1AAC	1ZMB|2ERES|3aCDMG|4AEFBLL|5TLV|68RCR|7RCVC|9AAC
108	26412 31135	   	224.05	DCR|DCR|1TLV|1AAC|1CDMG	1ZMB|2aERES|3CDMG|4AEFBLL|5TLV|68RCR|7RCVC|9AAC
109	26432 36131	   	224.05	DCR|DCR|2TLV|1AAC|1CDMG	1ZMB|27ERES|3CDMG|4DMSP|5aTLV|68RCR|9AAC
110	26432 36132	   	224.05	DCR|DCR|1TLV|1CDMG|1AAC	1ZMB|27ERES|3CDMG|4DMSP|5TLV|68RCR|9AAC|aLIT
111	26432 36133	   	224.05	DCR|DCR|1TLV|1AAC|1CDMG|1MSE	1ZMB|27ERES|3CDMG|4DMSP|5TLV|68RCR|9AAC|aMSE
112	26442 31131	   	224.05	DCR|DCR|2TLV|1AAC|1CDMG	1ZMB|24ERES|3CDMG|5aTLV|68RCR|7RCVC|9AAC
113	26442 31132	   	224.05	DCR|DCR|1TLV|1CDMG|1AAC	1ZMB|24ERES|3CDMG|5TLV|68RCR|7RCVC|9AAC|aLIT
114	26442 31133	   	224.05	DCR|DCR|1TLV|1AAC|1CDMG|1MSE	1ZMB|24ERES|3CDMG|5TLV|68RCR|7RCVC|9AAC|aMSE
115	26532 31131	   	224.05	DCR|DCR|2TLV|1AAC|1CDMG	1ZMB|23ERES|4CDMG|5aTLV|68RCR|7RCVC|9AAC
116	26532 31132	   	224.05	DCR|DCR|1TLV|1CDMG|1AAC	1ZMB|23ERES|4CDMG|5TLV|68RCR|7RCVC|9AAC|aLIT
117	26532 31133	   	224.05	DCR|DCR|1TLV|1AAC|1CDMG|1MSE	1ZMB|23ERES|4CDMG|5TLV|68RCR|7RCVC|9AAC|aMSE
118	26532 31134	   	224.05	DCR|DCR|1TLV|2CDMG|1AAC	1ZMB|23ERES|4aCDMG|5TLV|68RCR|7RCVC|9AAC
119	26532 31135	   	224.05	DCR|DCR|1TLV|1AAC|1CDMG	1ZMB|23aERES|4CDMG|5TLV|68RCR|7RCVC|9AAC
120	21313 31145	   	224.00	DCR|DCR|1TLV|1DUR|1CDMG|1SELL	1ZMB|2AEFBLL|3DUR|4CDMG|5DMSP|68RCR|7RCVC|9SELL|aTLV
121	21532 36131	   	223.95	DCR|DCR|2TLV|1CDMG|1AAC	1ZMB|2AEFBLL|37ERES|4CDMG|5aTLV|68RCR|9AAC
122	21532 36132	   	223.95	DCR|DCR|1TLV|1CDMG|1AAC	1ZMB|2AEFBLL|37ERES|4CDMG|5TLV|68RCR|9AAC|aLIT
123	21532 36133	   	223.95	DCR|DCR|1TLV|1AAC|1CDMG|1MSE	1ZMB|2AEFBLL|37ERES|4CDMG|5TLV|68RCR|9AAC|aMSE
124	21532 36134	   	223.95	DCR|DCR|1TLV|2CDMG|1AAC	1ZMB|2AEFBLL|37ERES|4aCDMG|5TLV|68RCR|9AAC
125	21532 36135	   	223.95	DCR|DCR|1TLV|1CDMG|1AAC	1ZMB|2AEFBLL|37aERES|4CDMG|5TLV|68RCR|9AAC
126	26412 36131	   	223.95	DCR|DCR|2TLV|1CDMG|1AAC	1ZMB|27ERES|3CDMG|4AEFBLL|5aTLV|68RCR|9AAC
127	26412 36132	   	223.95	DCR|DCR|1TLV|1CDMG|1AAC	1ZMB|27ERES|3CDMG|4AEFBLL|5TLV|68RCR|9AAC|aLIT
128	26412 36133	   	223.95	DCR|DCR|1TLV|1AAC|1CDMG|1MSE	1ZMB|27ERES|3CDMG|4AEFBLL|5TLV|68RCR|9AAC|aMSE
129	22223 64251	 * 	223.70	DCR|2VULN|1FLTARM|1TLV|1AART|1CDMG	13ZMB|29VULN|4TLV|5CDMG|6AART|7CGEN|8FLTARM|aRCR
130	36355 33112	   	223.40	DCR|2VULN|3DMG|1TLV	1LHND|268DMG|37VULN|4TLV|5TBNT|9FEWX|aRCR
131	64433 32311	   	223.11	DCR|1VULN|1TLV|1DMG|1MSLTOX|1MLV|1DUR|1AART	1BBNT|2MLV|3DUR|4LHND|5TLV|6DMG|7MSLTOX|8AART|9RCR|aVULN
132	15222 31131	 * 	222.80	DCR|DCR|1VULN|2AAC|2CDMG	14AEWIND|24CDMG|35AAC|4BPWR|68RCR|7RCVC|9BOSS|aVULN
133	15222 31154	   	222.80	DCR|DCR|1VULN|2AAC|2CDMG	14AEWIND|24CDMG|35AAC|4BPWR|68RCR|7RCVC|9DMSP|aVULN
134	22342 35163	   	222.80	DCR|DCR|1VULN|1DMG|1AAC	1ZMB|2VULN|3AAC|4DMG|5AEWIND|6RMIN|7FRZARM|8SNITOX|9aRCR
135	22362 62163	   	222.80	DCR|DCR|1VULN|1DMG|1AAC	1ZMB|2VULN|3AAC|4VENTOX|5DMG|6RMIN|7AEWIND|8SNITOX|9aRCR
136	51611 46321	   	222.72	ACR|3VULN|3DMG|3MLV	1RCR|2RPLT|379MLV|4MBVNT|579DMG|679VULN|79BPWR|8AETHUN|aLIT
137	51611 46322	   	222.72	ACR|3VULN|3DMG|3MLV	1RCR|2RPLT|379MLV|4MBVNT|579DMG|679VULN|79BPWR|8AETHUN|aBOSS
138	51611 46324	   	222.62	ACR|3VULN|3DMG|3MLV	1RCR|2RPLT|379MLV|4MBVNT|579DMG|679VULN|79BPWR|8AETHUN|aERES
139	11114 76173	   	222.60	DCR|DCR|1VULN|1DMG	1AEWIND|2AEPOI|3DMG|4MBVNT|5RMIN|6VULN|7FRZARM|8SNITOX|9aRCR
140	11117 36173	   	222.60	DCR|DCR|1VULN|1DMG	1AEWIND|2AEPOI|3DMG|4MBVNT|5VULN|6RMIN|7FRZARM|8SNITOX|9aRCR
141	13114 76173	   	222.60	DCR|DCR|1VULN|1DMG	1AEWIND|2AEFRZ|3DMG|4MBVNT|5RMIN|6VULN|7FRZARM|8SNITOX|9aRCR
142	13117 36173	   	222.60	DCR|DCR|1VULN|1DMG	1AEWIND|2AEFRZ|3DMG|4MBVNT|5VULN|6RMIN|7FRZARM|8SNITOX|9aRCR
143	32122 32562	   	222.56	DCR|DCR|1VULN|1DMG|1SELL	1LHND|2RPLT|3BOSS|4AEPOI|5DUST|6SELL|78RCR|9DMG|aVULN
144	52515 13312	   	222.32	ACR|DCR|2VULN|2ASPD|1AAC	17RCR|2MDPS|35VULN|4RPLT|5BPWR|68ASPD|9LHND|aAAC
145	52515 13321	   	222.32	ACR|DCR|2VULN|1DUR|2ASPD	17RCR|2MDPS|35VULN|4RPLT|5BPWR|68ASPD|9BELT|aDUR
146	52515 13332	   	222.22	ACR|DCR|2VULN|2ASPD|1AAC	17RCR|2MDPS|35VULN|4RPLT|5BPWR|68ASPD|9DUST|aAAC
147	52511 13351	   	222.22	ACR|DCR|1VULN|1TLV|1DUR|2ASPD	17RCR|2MDPS|3VULN|4RPLT|5AEFRZ|68ASPD|9DUR|aTLV
148	52111 13442	 * 	222.02	ACR|DCR|2VULN|1DMG	17RCR|2MDPS|3LWND|4RPLT|5AEFBLL|6ASPD|8DMG|9aVULN
149	52341 63321	 * 	222.02	ACR|DCR|1VULN|1TLV|1DMG|1AAC	17RCR|2MDPS|3AEFRZ|4VULN|5DMG|6RPLT|8ASPD|9AAC|aTLV
150	52341 63331	   	222.02	ACR|DCR|1VULN|1TLV|1DMG	17RCR|2MDPS|3AEFRZ|4VULN|5DMG|6RPLT|8ASPD|9CGEN|aTLV
151	52511 13421	   	222.02	ACR|DCR|1VULN|1TLV|1DMG|1AAC	17RCR|2MDPS|3VULN|4RPLT|5AEFRZ|6ASPD|8DMG|9AAC|aTLV
152	52511 13431	   	222.02	ACR|DCR|1VULN|1TLV|1DMG	17RCR|2MDPS|3VULN|4RPLT|5AEFRZ|6ASPD|8DMG|9CGEN|aTLV
153	52341 63312	 * 	221.92	ACR|DCR|1VULN|1FLTARM|1DMG	17RCR|2MDPS|3AEFRZ|4VULN|5DMG|6RPLT|8ASPD|9AEBURN|aFLTARM
154	52511 13412	   	221.92	ACR|DCR|1VULN|1FLTARM|1DMG	17RCR|2MDPS|3VULN|4RPLT|5AEFRZ|6ASPD|8DMG|9AEBURN|aFLTARM
155	32233 32626	 * 	221.60	DCR|2VULN|2DMG|2DUR|1AART	1aLHND|25RPLT|37DUR|4aDMG|6RCR|8aVULN|9AART|aBPWR
156	42233 32626	   	221.60	DCR|2VULN|2DMG|2DUR|1AART	1aLWND|25RPLT|37DUR|4aDMG|6RCR|8aVULN|9AART|aBPWR
157	22353 11616	 * 	221.59	DCR|3VULN|1TLV|1MLV|1AART|1AAC	1ZMB|268VULN|3AAC|4BELT|5AART|7RCR|9MLV|aTLV
158	36523 42231	   	221.50	DCR|2VULN|2DMG|1TLV|1DUR	1LHND|29DMG|3LIT|48VULN|5ZMB|6TLV|7RCR|aDUR
159	36351 23152	   	221.40	DCR|2VULN|2DMG|1TLV|1AART	15LHND|29DMG|38VULN|4TLV|6AART|7AETHUN|aRCR
160	52516 33211	 * 	221.32	ACR|DCR|2VULN|1TLV|2AAC	17RCR|2MDPS|36VULN|4RPLT|58AAC|6BPWR|9LHND|aTLV
161	52516 33231	   	221.22	ACR|DCR|2VULN|1TLV|2AAC	17RCR|2MDPS|36VULN|4RPLT|58AAC|6BPWR|9DUST|aTLV
