0	Index      	 *	Score 	Summary	Detail	
1	24211 22142	 * 	249.40	DCR|2DMG|1VULN|2MLV|1FLTARM|1TLV|1DUR	16MLV|2TLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9DUR|aFLTARM
21	53141 44424	   	230.53	DCR|DCR|1VULN|2MLV	1LIT|26AEPOI|3MBVNT|46MLV|5BELT|6BPWR|78RCR|9AETHUN|aVULN
22	53141 44457	   	230.53	DCR|DCR|1VULN|2MLV	1LIT|26AEPOI|3MBVNT|46MLV|5BELT|6BPWR|78RCR|9MDPS|aVULN
23	31352 21426	   	230.14	DCR|DCR|1VULN|1CDMG|1AAC	1FEWX|2BEXP|3VULN|4LIT|5BELT|6SNIFST|7CDMG|89RCR|aAAC
24	31416 36213	 * 	228.94	DCR|DCR|1VULN|1TLV	15FEWX|2BEXP|3DUST|4AEPOI|6aRCR|7TLV|8RMIN|9VULN
25	44143 11333	   	228.64	DCR|DCR|1VULN|1TLV	1CGEN|2TLV|369AME|4ERES|5VULN|7MDPS|8aRCR
26	24342 31523	   	228.43	DCR|3VULN|1TLV|1MLV|1AART	1MLV|2TLV|3FEWX|45aVULN|6RCR|7AART|8ASPD|9DUST
27	24532 31316	 * 	227.91	DCR|3VULN|1TLV|1DMG|1MLV	1MLV|2TLV|3BEXP|4RPLT|5DUST|6RCR|7DMG|89aVULN
28	24241 31214	 * 	227.81	DCR|3VULN|1TLV|2CDMG|1MLV	1MLV|2TLV|3AEBURN|4RAT|59CDMG|678VULN|aRCR
29	24642 31331	   	226.65	DCR|2VULN|1TLV|1MLV|1DUR|1CDMG|1AAC|1MSE	1MLV|2TLV|3LWND|45VULN|6RCR|7DUR|8CDMG|9AAC|aMSE
30	24642 31332	   	226.65	DCR|2VULN|1TLV|1MLV|1DUR|1CDMG|1AAC	1MLV|2TLV|3LWND|45VULN|6RCR|7DUR|8CDMG|9AAC|aAEFRZ
31	24642 31333	   	226.65	DCR|2VULN|1TLV|1MLV|1DUR|1CDMG|1AAC	1MLV|2TLV|3LWND|45VULN|6RCR|7DUR|8CDMG|9AAC|aAME
32	24216 31234	   	225.90	DCR|DCR|1TLV|1MLV|1DUR	1MLV|2TLV|3AEBURN|4BELT|5DUR|6aRCR|7ERES|8AEFBLL|9BBNT
33	24342 32214	 * 	225.56	DCR|2VULN|1FLTARM|1TLV|1MLV|1DUR	1MLV|2TLV|3FEWX|45VULN|6RCR|7RAT|8DUR|9TBNT|aFLTARM
34	24642 31323	 * 	225.56	DCR|2VULN|2DUR|1TLV|1MLV|1CDMG	1MLV|2TLV|3LWND|45VULN|6RCR|79DUR|8CDMG|aBELT
35	24542 31333	   	225.46	DCR|2VULN|2DUR|1TLV|1MLV|1AART	1MLV|2TLV|3BEXP|45VULN|6RCR|7AART|8BASARM|9aDUR
36	24642 31321	   	225.46	DCR|2VULN|2DUR|1TLV|1MLV|1CDMG	1MLV|2TLV|3LWND|45VULN|6RCR|79DUR|8CDMG|aTBNT
37	24642 31322	   	225.46	DCR|2VULN|2DUR|1TLV|1MLV|1CDMG	1MLV|2TLV|3LWND|45VULN|6RCR|79DUR|8CDMG|aAEFRZ
38	21462 35233	   	225.30	DCR|2VULN|2MLV|1TLV|1DUR|1AART	13MLV|2MDPS|4DUR|57VULN|6RCR|8FEWX|9AART|aTLV
39	52141 54434	   	225.28	DCR|DCR|1VULN|1MLV	12LIT|3MBVNT|4MLV|5BELT|6AEPOI|78RCR|9ASPD|aVULN
40	53141 34434	   	225.28	DCR|DCR|1VULN|1MLV	16LIT|2AEPOI|3MBVNT|4MLV|5BELT|78RCR|9ASPD|aVULN
41	21462 35133	   	225.20	DCR|2VULN|2MLV|1TLV|1DUR|1AART	13MLV|2MDPS|4DUR|57VULN|6RCR|8DUST|9AART|aTLV
42	53141 54434	   	225.18	DCR|DCR|1VULN|1MLV	1LIT|26AEPOI|3MBVNT|4MLV|5BELT|78RCR|9ASPD|aVULN
43	53141 44448	 * 	224.74	DCR|DCR|2MLV|1TLV	1LIT|26AEPOI|3MBVNT|46MLV|5BELT|6BPWR|78RCR|9CGEN|aTLV
44	22461 33313	 * 	224.20	DCR|2VULN|2MLV|1FLTARM|1TLV	17MLV|2ZMB|3SPLARM|45VULN|6FLTARM|8RCVC|9TLV|aRCR
45	24211 22126	   	223.19	DCR|2DMG|1VULN|2MLV|1TLV|1AAC	16MLV|2TLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9RAT|aAAC
46	24211 22146	   	223.19	DCR|2DMG|1VULN|2MLV|1TLV|1DUR	16MLV|2TLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9DUR|aFEWX
47	24211 22141	   	223.09	DCR|2DMG|1VULN|2MLV|1TLV|1DUR	16MLV|2TLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9DUR|aMBVNT
48	24211 22143	   	223.09	DCR|2DMG|1VULN|2MLV|1TLV|1DUR	16MLV|2TLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9DUR|aAEWIND
49	24211 22145	   	223.09	DCR|2DMG|1VULN|2MLV|1TLV|1DUR	16MLV|2TLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9DUR|aDUST
50	25233 33534	 * 	222.89	DCR|DCR|2TLV|1MLV	1MLV|2BEXP|3BBNT|47BELT|5RMIN|69TLV|8aRCR
51	24342 36311	   	222.08	DCR|2VULN|2TLV|2MLV|1AART	19MLV|27TLV|3FEWX|45VULN|6RCR|8RMIN|aAART
52	31242 36432	 * 	222.04	DCR|4VULN|2TLV	139FEWX|2BEXP|459aVULN|6RCR|79TLV|8RMIN|9BPWR
53	21462 35331	   	221.98	DCR|2VULN|2TLV|2MLV|1DUR	13MLV|2MDPS|4DUR|57VULN|6RCR|89TLV|aRCVC
54	21462 35332	   	221.98	DCR|2VULN|2TLV|2MLV|1DUR	13MLV|2MDPS|4DUR|57VULN|6RCR|89TLV|aLIT
55	21462 35333	   	221.98	DCR|2VULN|2TLV|2MLV|1DUR	13MLV|2MDPS|4DUR|57VULN|6RCR|89TLV|aCGEN
56	24342 31123	   	221.59	DCR|3VULN|1TLV|1MLV|1AART	1MLV|2TLV|38FEWX|45aVULN|6RCR|7AART|9RCVC
57	24342 31131	   	221.59	DCR|3VULN|1TLV|1MLV|1AART	1MLV|2TLV|38FEWX|45aVULN|6RCR|7AART|9BELT
58	24342 31623	   	221.59	DCR|3VULN|1TLV|1MLV|1AART	1MLV|2TLV|3FEWX|45aVULN|6RCR|7AART|89RCVC
59	24342 31631	   	221.59	DCR|3VULN|1TLV|1MLV|1AART	1MLV|2TLV|3FEWX|45aVULN|6RCR|7AART|8RCVC|9BELT
60	24342 32161	   	221.59	DCR|3VULN|1TLV|1MLV|1CDMG	1MLV|2TLV|3FEWX|45aVULN|6RCR|7RAT|8DMSP|9CDMG
61	24342 33112	   	221.59	DCR|3VULN|1TLV|1MLV|1AAC	1MLV|2TLV|38FEWX|459VULN|6RCR|7LWND|aAAC
62	24342 33115	   	221.59	DCR|3VULN|1TLV|1MLV|1CDMG	1MLV|2TLV|38FEWX|459VULN|6RCR|7LWND|aCDMG
63	24342 33212	   	221.59	DCR|3VULN|1TLV|1MLV|1AAC	1MLV|2TLV|3FEWX|459VULN|6RCR|78LWND|aAAC
64	24342 33215	   	221.59	DCR|3VULN|1TLV|1MLV|1CDMG	1MLV|2TLV|3FEWX|459VULN|6RCR|78LWND|aCDMG
65	24342 34111	   	221.59	DCR|3VULN|1TLV|1MLV|1DUR	1MLV|2TLV|38FEWX|459VULN|6RCR|7DUR|aRPLT
66	24642 32212	   	221.59	DCR|3VULN|1TLV|1MLV|1AAC	1MLV|2TLV|3LWND|459VULN|6RCR|7DMSP|8LHND|aAAC
67	24342 31223	   	221.49	DCR|3VULN|1TLV|1MLV|1AART	1MLV|2TLV|3FEWX|45aVULN|6RCR|7AART|8AEBURN|9RCVC
68	24342 31231	   	221.49	DCR|3VULN|1TLV|1MLV|1AART	1MLV|2TLV|3FEWX|45aVULN|6RCR|7AART|8AEBURN|9BELT
69	24342 31323	   	221.49	DCR|3VULN|1TLV|1MLV|1AART	1MLV|2TLV|3FEWX|45aVULN|6RCR|7AART|8AEFRZ|9RCVC
70	24342 31331	   	221.49	DCR|3VULN|1TLV|1MLV|1AART	1MLV|2TLV|3FEWX|45aVULN|6RCR|7AART|8AEFRZ|9BELT
71	24342 33412	   	221.49	DCR|3VULN|1TLV|1MLV|1AAC	1MLV|2TLV|3FEWX|459VULN|6RCR|7LWND|8AEBURN|aAAC
72	24342 34113	   	221.49	DCR|3VULN|1TLV|1MLV|1DUR	1MLV|2TLV|38FEWX|459VULN|6RCR|7DUR|aERES
73	24542 31123	   	221.49	DCR|3VULN|1TLV|1MLV|1AART	1MLV|2TLV|3BEXP|45aVULN|6RCR|7AART|8FEWX|9ERES
74	24542 31133	   	221.49	DCR|3VULN|1TLV|1MLV|1AART	1MLV|2TLV|3BEXP|45aVULN|6RCR|7AART|8FEWX|9AME
75	15132 61521	   	221.30	DCR|2VULN|2DMG|1TLV|1CDMG	1MDPS|29VULN|3BEXP|4BBNT|59ERES|6TLV|7CDMG|89DMG|9BPWR|aRCR
76	61226 16323	 * 	221.22	ACR|DCR|1VULN|2AART|1TLV	1RAT|2BEXP|3LHND|47RCR|5TLV|68AART|9ERES|aVULN
77	63226 16323	   	221.12	ACR|DCR|1VULN|2AART|1TLV	1RAT|2DUST|3LHND|47RCR|5TLV|68AART|9ERES|aVULN
78	24211 22165	   	220.55	DCR|2DMG|1VULN|2MLV|1TLV|1NUKE	16MLV|2TLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9CGEN|aNUKE
79	24342 31113	   	220.04	DCR|2VULN|1TLV|1MLV|1DUR|1AART	1MLV|2TLV|38FEWX|45VULN|6RCR|7AART|9DUR|aASPD
80	24342 31512	   	220.04	DCR|2VULN|1TLV|1MLV|1AART|1AAC	1MLV|2TLV|3FEWX|45VULN|6RCR|7AART|8ASPD|9ZMB|aAAC
81	24342 31613	   	220.04	DCR|2VULN|1TLV|1MLV|1DUR|1AART	1MLV|2TLV|3FEWX|45VULN|6RCR|7AART|8RCVC|9DUR|aASPD
82	24342 31213	   	219.94	DCR|2VULN|1TLV|1MLV|1DUR|1AART	1MLV|2TLV|3FEWX|45VULN|6RCR|7AART|8AEBURN|9DUR|aASPD
83	24342 31313	   	219.94	DCR|2VULN|1TLV|1MLV|1DUR|1AART	1MLV|2TLV|3FEWX|45VULN|6RCR|7AART|8AEFRZ|9DUR|aASPD
84	24211 26512	   	219.88	DCR|2DMG|2TLV|1VULN|2MLV	16MLV|27TLV|3AEBURN|4BELT|56DMG|6BPWR|8RCR|9VULN|aLIT
85	24211 22114	   	219.88	DCR|2DMG|2TLV|1VULN|2MLV	16MLV|2aTLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9BEXP
86	24211 26511	   	219.78	DCR|2DMG|2TLV|1VULN|2MLV	16MLV|27TLV|3AEBURN|4BELT|56DMG|6BPWR|8RCR|9VULN|aDUST
87	24211 26513	   	219.78	DCR|2DMG|2TLV|1VULN|2MLV|1MSE	16MLV|27TLV|3AEBURN|4BELT|56DMG|6BPWR|8RCR|9VULN|aMSE
88	24211 22154	   	219.78	DCR|2DMG|2TLV|1VULN|2MLV	16MLV|2aTLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9DUST
89	25361 36232	   	219.52	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1MLV|2BEXP|3MGNSTR|4DMG|5aVULN|6DUR|7TLV|8RCVC|9RCR
90	24342 33323	   	219.42	DCR|2VULN|1TLV|2CDMG|1MLV|1DUR	1MLV|2TLV|3FEWX|45VULN|6RCR|7LWND|8aCDMG|9DUR
91	24342 33351	   	219.42	DCR|2VULN|1TLV|1DMG|1MLV|1CDMG|1MSE	1MLV|2TLV|3FEWX|45VULN|6RCR|7LWND|8CDMG|9DMG|aMSE
92	24342 33352	   	219.42	DCR|2VULN|1TLV|1DMG|1MLV|1CDMG	1MLV|2TLV|3FEWX|45VULN|6RCR|7LWND|8CDMG|9DMG|aAEFRZ
93	24342 33353	   	219.42	DCR|2VULN|1TLV|1DMG|1MLV|1CDMG	1MLV|2TLV|3FEWX|45VULN|6RCR|7LWND|8CDMG|9DMG|aAME
94	24542 33323	   	219.42	DCR|2VULN|1TLV|2CDMG|1MLV|1DUR	1MLV|2TLV|3BEXP|45VULN|6RCR|7LWND|8aCDMG|9DUR
95	24342 12236	   	219.42	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1MLV|2TLV|3FEWX|45VULN|6AME|7BOSS|8DMG|9DUR|aRCR
96	13341 21214	   	219.42	DCR|1VULN|1FLTARM|1TLV|1DMG|1MLV|1AART	1MDPS|2LIT|3VULN|4AART|5TLV|6FLTARM|7MLV|8LHND|9DMG|aRCR
