0	Index      	 *	Score 	Summary	Detail	
1	21431 43314	 * 	258.70	DCR|DCR|2FLTARM|2DUR|1AART|1SELL	19DUR|2DUST|39FLTARM|49FEWX|5SELL|6aRCR|7AART|8LEGI|9BPWR
52	22623 34124	   	233.28	DCR|DCR|2TLV|2DUR	14DUR|2AETHUN|34TLV|4BPWR|5AEFBLL|6aRCR|7BASARM|8BEXP|9FEWX
53	26324 13113	 * 	232.97	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1AART	1DUR|24AME|34VULN|4BPWR|5TLV|6DUST|7DMG|8AART|9MLV|aRCR
54	26323 26363	 * 	232.46	DCR|4VULN|1DMG|1DUR|1AAC	1DUR|24AME|3467VULN|4BPWR|5AEFRZ|8DMG|9RCR|aAAC
55	11661 22134	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	1MGNSTR|2AME|3LHND|4MLV|5RMIN|6VULN|7RCVC|8DUR|9aRCR
56	11162 12134	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1MGNSTR|2AME|3DUST|4MLV|5VULN|6CGEN|7RCVC|8DUR|9aRCR
57	36131 62134	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1DMSP|2VULN|3CGEN|4MLV|5BEXP|6AME|7TSLARM|8DUR|9aRCR
58	32135 62134	   	231.89	DCR|DCR|1VULN|1MLV|1DUR	1DMSP|2DUST|3CGEN|4MLV|5VULN|6AME|7TSLARM|8DUR|9aRCR
59	22231 42425	   	231.85	DCR|DCR|1VULN|1MLV|1DUR|1SELL	1DUR|2AETHUN|3VENTOX|4FEWX|5SELL|68RCR|7VULN|9LWND|aMLV
60	22261 42411	   	231.85	DCR|DCR|1VULN|1MLV|1DUR|1SELL	1DUR|2AETHUN|3VENTOX|4LHND|5SELL|68RCR|7VULN|9DMSP|aMLV
61	32252 62134	   	231.79	DCR|DCR|1VULN|1MLV|1DUR	1DMSP|2DUST|3VULN|4AETHUN|5AEPOI|6MLV|7TSLARM|8DUR|9aRCR
62	32253 62134	   	231.79	DCR|DCR|1VULN|1MLV|1DUR	1DMSP|2DUST|3VULN|4AETHUN|5AEFRZ|6MLV|7TSLARM|8DUR|9aRCR
63	32335 62134	   	231.79	DCR|DCR|1VULN|1MLV|1DUR	1DMSP|2DUST|3ERES|4MLV|5VULN|6AME|7TSLARM|8DUR|9aRCR
64	22231 42415	   	231.75	DCR|DCR|1VULN|1MLV|1DUR|1SELL	1DUR|2AETHUN|3VENTOX|4FEWX|5SELL|68RCR|7VULN|9LEGI|aMLV
65	22231 42435	   	231.75	DCR|DCR|1VULN|1MLV|1DUR|1SELL	1DUR|2AETHUN|3VENTOX|4FEWX|5SELL|68RCR|7VULN|9DUST|aMLV
66	22231 42451	   	231.75	DCR|DCR|1VULN|1MLV|1DUR|1SELL	1DUR|2AETHUN|3VENTOX|4FEWX|5SELL|68RCR|7VULN|9AEPOI|aMLV
67	22622 33634	 * 	231.63	DCR|2VULN|3DUR|2TLV|1CDMG	148DUR|2AETHUN|34TLV|4BPWR|5AEWIND|6RCR|7aVULN|9CDMG
68	22623 33634	   	231.63	DCR|2VULN|3DUR|2TLV|1CDMG	148DUR|2AETHUN|34TLV|4BPWR|5AEFBLL|6RCR|7aVULN|9CDMG
69	35423 63122	 * 	230.79	ACR|DCR|2VULN|1DMG|1MLV	1DMSP|2RAT|38RCR|4FRZFST|5MLV|6DMG|7LHND|9aVULN
70	32212 36613	   	229.94	DCR|DCR|1VULN|1DUR|1CDMG	1DMSP|2DUST|3VULN|4LHND|5AETHUN|6BBNT|79RCR|8CDMG|aDUR
71	32212 36616	   	229.94	DCR|DCR|1VULN|1CDMG|1AAC	1DMSP|2DUST|3VULN|4LHND|5AETHUN|6BBNT|79RCR|8CDMG|aAAC
72	32251 33623	   	229.94	DCR|DCR|1VULN|1AART|1CDMG	1DMSP|2DUST|3VULN|4AETHUN|5MDPS|69RCR|7RPLT|8CDMG|aAART
73	41533 61313	 * 	229.92	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1RAT|2DMG|39DUR|45VULN|6TLV|7CDMG|8MDPS|aRCR
74	22231 42422	   	229.89	DCR|DCR|1VULN|1DUR|1AART|1SELL	1DUR|2AETHUN|3VENTOX|4FEWX|5SELL|68RCR|7VULN|9LWND|aAART
75	35351 24321	   	229.84	DCR|DCR|1VULN|1DMG	1DMSP|2RAT|3DMG|4RMIN|5ASPD|67RCR|8DUST|9VULN|aCGEN
76	41151 24321	   	229.84	DCR|DCR|1VULN|1DMG	1RAT|2DMG|3RCVC|4RMIN|5ASPD|67RCR|8DUST|9VULN|aCGEN
77	15121 42412	   	229.79	DCR|DCR|1VULN|1AART|1AAC|1SELL	1MGNSTR|2DMSP|3AEFBLL|4TBNT|5SELL|68RCR|7VULN|9AART|aAAC
78	22231 42412	   	229.79	DCR|DCR|1VULN|1DUR|1AART|1SELL	1DUR|2AETHUN|3VENTOX|4FEWX|5SELL|68RCR|7VULN|9LEGI|aAART
79	33411 42412	   	229.79	DCR|DCR|1VULN|1AART|1AAC|1SELL	1DMSP|2MSLREG|3TBNT|4RCVC|5SELL|68RCR|7VULN|9AART|aAAC
80	35351 24322	   	229.74	DCR|DCR|1VULN|1DMG|1SELL	1DMSP|2RAT|3DMG|4RMIN|5ASPD|67RCR|8DUST|9VULN|aSELL
81	35351 24323	   	229.74	DCR|DCR|1VULN|1DMG	1DMSP|2RAT|3DMG|4RMIN|5ASPD|67RCR|8DUST|9VULN|aCANARM
82	41151 24322	   	229.74	DCR|DCR|1VULN|1DMG|1SELL	1RAT|2DMG|3RCVC|4RMIN|5ASPD|67RCR|8DUST|9VULN|aSELL
83	41151 24323	   	229.74	DCR|DCR|1VULN|1DMG	1RAT|2DMG|3RCVC|4RMIN|5ASPD|67RCR|8DUST|9VULN|aCANARM
84	33121 42412	   	229.69	DCR|DCR|1VULN|1AART|1AAC|1SELL	1DMSP|2MSLREG|3AEFBLL|4TBNT|5SELL|68RCR|7VULN|9AART|aAAC
85	33121 42462	   	229.69	DCR|DCR|1VULN|1DUR|1AART|1SELL	1DMSP|2MSLREG|3AEFBLL|4TBNT|5SELL|68RCR|7VULN|9DUR|aAART
86	26232 36211	   	229.69	DCR|DCR|2DUR|1TLV	1aDUR|2AME|3TLV|4ASPD|5AEWIND|69RCR|7MBVNT|8DLOT
87	26233 36211	   	229.69	DCR|DCR|2DUR|1TLV	1aDUR|2AME|3TLV|4ASPD|5AEFBLL|69RCR|7MBVNT|8DLOT
88	41311 35445	   	229.64	DCR|DCR|1VULN|1DMG	1RAT|2DMG|3ASPD|4VULN|5DUST|6MBVNT|7LSRHEA|8aRCR|9FEWX
89	36226 16223	   	229.49	DCR|5VULN|1DUR|1AAC	1DMSP|23456VULN|4BPWR|7DUR|8RCR|9ZMB|aAAC
90	22325 31643	   	229.04	DCR|DCR|1VULN|2DUR	14DUR|2AETHUN|34ZMB|4BPWR|5FEWX|6RPLT|7VULN|8aRCR|9CGEN
91	23334 33643	   	229.04	DCR|DCR|1VULN|2DUR	15DUR|2FEWX|3ZMB|4VULN|6RPLT|7LHND|8aRCR|9CGEN
92	36211 31424	 * 	228.94	DCR|DCR|2VULN	1DMSP|23VULN|4FEWX|5BEXP|6MULARM|7LHND|8aRCR|9ERES
93	21334 33643	   	228.94	DCR|DCR|1VULN|2DUR	15DUR|2DUST|3ZMB|4VULN|6RPLT|7LHND|8aRCR|9CGEN
94	32211 31563	   	228.84	DCR|DCR|2VULN	1DMSP|2DUST|38VULN|4LHND|5MDPS|6aRCR|7ERES|9RAT
95	32261 31563	   	228.84	DCR|DCR|2VULN	1DMSP|2DUST|38VULN|4LWND|5MDPS|6aRCR|7ERES|9RAT
96	32211 32616	   	228.80	DCR|DCR|2VULN|1SELL	1DMSP|27DUST|37VULN|47LHND|5MDPS|6aRCR|7BPWR|8SELL|9FEWX
97	32211 32626	   	228.80	DCR|DCR|2VULN|1SELL	1DMSP|27DUST|37VULN|47LHND|5MDPS|6aRCR|7BPWR|8SELL|9LWND
98	32261 32616	   	228.80	DCR|DCR|2VULN|1SELL	1DMSP|27DUST|37VULN|47LWND|5MDPS|6aRCR|7BPWR|8SELL|9FEWX
99	32251 31563	   	228.74	DCR|DCR|2VULN	1DMSP|2DUST|38VULN|4AETHUN|5MDPS|6aRCR|7ERES|9RAT
