0	Index      	 *	Score 	Summary	Detail	
1	55232 42333	 * 	268.69	DCR|DCR|2VULN|1TLV|1DUR	1AEWIND|29VULN|3ERES|4AEBURN|5RAT|6DUR|78RCR|aTLV
22	41226 12334	 * 	244.64	DCR|DCR|1VULN|2DUR|1MLV	1RCVC|24RAT|34DUR|4BPWR|5AME|6LWND|78RCR|9VULN|aMLV
23	22242 35231	 * 	244.31	DCR|DCR|1TLV|1DMG|1DUR|1AART	1DUR|2BEXP|3BBNT|4LIT|5AART|6LHND|7DMG|8TLV|9aRCR
24	22413 15632	   	243.15	DCR|DCR|1VULN|1DMG|1DUR|1AART|1SELL	1DUR|2BEXP|3ASPD|4AART|5BASHEA|6SELL|7DMG|8VULN|9aRCR
25	52232 62333	   	242.59	DCR|DCR|2VULN|1AAC	1AEWIND|2RMIN|39VULN|4AEBURN|5RAT|6FEWX|78RCR|aAAC
26	55232 42331	   	242.49	DCR|DCR|2VULN|1DUR	1AEWIND|29VULN|3ERES|4AEBURN|5RAT|6DUR|78RCR|aRMIN
27	24361 32163	 * 	242.08	DCR|3VULN|1TLV|1MLV|1DUR|1AART	1DUR|2MLV|3ASPD|48aVULN|5SPLREG|6TLV|7RCR|9AART
28	61321 13433	   	241.81	ACR|DCR|2VULN|1TLV|1CDMG	1LHND|2MSLREG|3ASPD|4MBVNT|5aRCR|6TLV|78VULN|9CDMG
29	66321 13433	   	241.81	ACR|DCR|2VULN|1TLV|1CDMG	1LHND|2FLTHEA|3ASPD|4MBVNT|5aRCR|6TLV|78VULN|9CDMG
30	24361 32411	 * 	240.82	DCR|2FLTARM|1VULN|2MLV|1TLV|1DUR	1DUR|29MLV|3ASPD|4VULN|59SPLREG|6TLV|7RCR|89FLTARM|9BPWR|aRAT
31	24361 32412	   	240.82	DCR|2FLTARM|1VULN|2MLV|1TLV|1DUR	1DUR|29MLV|3ASPD|4VULN|59SPLREG|6TLV|7RCR|89FLTARM|9BPWR|aLHND
32	24361 32413	   	240.82	DCR|2FLTARM|1VULN|2MLV|1TLV|1DUR	1DUR|29MLV|3ASPD|4VULN|59SPLREG|6TLV|7RCR|89FLTARM|9BPWR|aBEXP
33	41226 12332	 * 	240.49	DCR|DCR|3DUR|1VULN	1RCVC|24RAT|34aDUR|4BPWR|5AME|6LWND|78RCR|9VULN
34	41226 52332	   	240.49	DCR|DCR|3DUR|1VULN	1RCVC|24RAT|34aDUR|4BPWR|5AME|6LHND|78RCR|9VULN
35	41226 62332	   	240.49	DCR|DCR|3DUR|1VULN	1RCVC|24RAT|34aDUR|4BPWR|5AME|6FEWX|78RCR|9VULN
36	25616 32332	   	240.39	DCR|DCR|3DUR|1VULN	13aDUR|26RAT|4BEXP|5AME|78RCR|9VULN
37	41224 62332	   	240.39	DCR|DCR|3DUR|1VULN	1RCVC|24RAT|34aDUR|4BPWR|5DUST|6AME|78RCR|9VULN
38	25613 62332	   	240.29	DCR|DCR|3DUR|1VULN	13aDUR|2RAT|4BEXP|5AEBURN|6AME|78RCR|9VULN
39	25616 22332	   	240.29	DCR|DCR|3DUR|1VULN	13aDUR|2RAT|4BEXP|5AME|6AEFBLL|78RCR|9VULN
40	24363 62131	   	240.11	DCR|2VULN|1FLTARM|1DMG|1MLV|1DUR|1AAC	1DUR|2MLV|3ASPD|48VULN|5DMG|6FLTARM|7RCR|9BEXP|aAAC
