0	Index      	 *	Score 	Summary	Detail	
1	25163 23114	 * 	275.83	DCR|DCR|2VULN|1TLV|1AAC	1DMSP|25VULN|3ASPD|4AETHUN|6RPLT|78RCR|9TLV|aAAC
60	53521 62312	   	249.63	DCR|DCR|2VULN|1CDMG	1BBNT|2FEWX|35VULN|4LWND|6ASPD|7CDMG|89RCR|aLHND
61	53521 62313	   	249.63	DCR|DCR|2VULN|1CDMG	1BBNT|2FEWX|35VULN|4LWND|6ASPD|7CDMG|89RCR|aRCVC
62	53531 62311	   	249.63	DCR|DCR|2VULN|1CDMG	1BBNT|2FEWX|35VULN|4BEXP|6ASPD|7CDMG|89RCR|aBOSS
63	53531 62312	   	249.63	DCR|DCR|2VULN|1CDMG	1BBNT|2FEWX|35VULN|4BEXP|6ASPD|7CDMG|89RCR|aLHND
64	53531 62313	   	249.63	DCR|DCR|2VULN|1CDMG	1BBNT|2FEWX|35VULN|4BEXP|6ASPD|7CDMG|89RCR|aRCVC
65	25163 23121	   	249.53	DCR|DCR|2VULN|1DUR	1DMSP|25VULN|3ASPD|4AETHUN|6RPLT|78RCR|9SNIFST|aDUR
66	25163 23131	   	249.53	DCR|DCR|2VULN|1AAC	1DMSP|25VULN|3ASPD|4AETHUN|6RPLT|78RCR|9TBNT|aAAC
67	25163 23162	   	249.53	DCR|DCR|2VULN|1CDMG	1DMSP|25VULN|3ASPD|4AETHUN|6RPLT|78RCR|9MDPS|aCDMG
68	36331 36241	   	249.52	ACR|DCR|2VULN|2MLV|1TLV	19RCR|27LHND|3RPLT|4BELT|57MLV|67VULN|7BPWR|8FEWX|aTLV
69	31331 36242	   	249.42	ACR|DCR|2VULN|2MLV|2DUR	19RCR|27DUR|3RPLT|4BELT|57MLV|67VULN|7BPWR|8FEWX|aRAT
70	31331 36246	   	249.42	ACR|DCR|2VULN|2MLV|2DUR	19RCR|27DUR|3RPLT|4BELT|57MLV|67VULN|7BPWR|8FEWX|aVENTOX
71	31331 36542	   	249.42	ACR|DCR|2VULN|2MLV|2DUR	19RCR|27DUR|3RPLT|4BELT|57MLV|67VULN|7BPWR|8BEXP|aRAT
72	31331 36243	   	249.32	ACR|DCR|2VULN|2MLV|2DUR	19RCR|27DUR|3RPLT|4BELT|57MLV|67VULN|7BPWR|8FEWX|aTBNT
73	31331 36244	   	249.32	ACR|DCR|2VULN|2MLV|2DUR	19RCR|27DUR|3RPLT|4BELT|57MLV|67VULN|7BPWR|8FEWX|aMBVNT
74	31331 36543	   	249.32	ACR|DCR|2VULN|2MLV|2DUR	19RCR|27DUR|3RPLT|4BELT|57MLV|67VULN|7BPWR|8BEXP|aTBNT
75	52116 12213	 * 	249.00	DCR|DCR|2VULN|2CDMG	1BBNT|2aCDMG|3LIT|4MBVNT|5TBNT|6aCGEN|78RCR|9aVULN|aBPWR
76	52116 74213	   	248.80	DCR|DCR|2VULN|2CDMG	1BBNT|2aCDMG|3LIT|4MBVNT|5TBNT|68RCR|7aERES|9aVULN|aBPWR
77	52118 12213	   	248.80	DCR|DCR|2VULN|2CDMG	1BBNT|2aCDMG|3LIT|4MBVNT|5aAME|6TBNT|78RCR|9aVULN|aBPWR
78	31333 36541	   	247.53	ACR|DCR|2VULN|2DUR|1TLV	19RCR|27DUR|3RPLT|4BELT|57ERES|67VULN|7BPWR|8BEXP|aTLV
79	33241 54332	   	247.16	ACR|DCR|2VULN|2TLV|1MLV	19RCR|2CGEN|35TLV|4ERES|68VULN|7MLV|aDUST
80	35312 13253	   	247.16	ACR|DCR|3VULN|1MSLTOX|1DUR	19RCR|26aVULN|3RPLT|4MSLTOX|5ERES|7CGEN|8DUR
81	35312 14353	   	247.16	ACR|DCR|3VULN|1MSLTOX|1DUR	19RCR|26aVULN|3RPLT|4MSLTOX|5ERES|7DUR|8CGEN
82	35312 34253	   	247.16	ACR|DCR|3VULN|1MSLTOX|1DUR	19RCR|27aVULN|3RPLT|4MSLTOX|5ERES|6CGEN|8DUR
83	35312 13152	   	247.16	ACR|DCR|3VULN|1MSLTOX|1DUR	19RCR|268VULN|3RPLT|4MSLTOX|5ERES|7CGEN|aDUR
84	35312 34152	   	247.16	ACR|DCR|3VULN|1MSLTOX|1DUR	19RCR|278VULN|3RPLT|4MSLTOX|5ERES|6CGEN|aDUR
85	35421 21333	   	246.61	ACR|DCR|3VULN|1MLV|1AART	19RCR|257VULN|3MLV|46FEWX|8CGEN|aAART
86	22366 11123	 * 	246.54	DCR|2VULN|2FLTARM|2MLV|1TLV	1DMSP|2RPLT|3aFLTARM|4aMLV|5TLV|6SNIFST|7RMIN|8aVULN|9RCR|aBPWR
