0	Index      	 *	Score 	Summary	Detail	
1	62212 31625	 * 	277.41	橙橙2易伤1伤害1暴击	15等级27易伤3暴击4伤害6双倍秒伤8寒冰对黄9a核
22	62214 61123	   	260.87	橙橙1易伤1伤害1暴击1平台	1等级2易伤3暴击4伤害5基地爆炸6技能点7a核8平台9激光减费
23	22315 33225	   	260.84	橙橙2易伤1矿等1策反1卖塔	1策反23易伤4最后敌人5挖尘6矿等7卖塔8寒冰对甲9a核
24	22345 33225	   	260.84	橙橙2易伤1矿等1策反1卖塔	1策反23易伤4低血量敌人5挖尘6矿等7卖塔8寒冰对甲9a核
25	34523 63123	   	260.34	紫橙3易伤1攻速1全技能	1激光对绿268易伤3低血量敌人4攻速5a核7全技能9最后敌人
26	22152 65213	 * 	258.70	橙橙2矿等1易伤1策反	1策反2易伤3时间4基础对甲5挖青67矿等8赏金邻近9a核
27	33423 16613	   	258.55	橙橙2易伤2时间	1激光对绿2基地爆炸3双倍物品4低血量敌人58时间6a易伤79核
28	34216 33643	 * 	258.08	橙3易伤3伤害1矿等1平台	18激光对绿268易伤3加一458伤害7平台8序列升级9矿等a核
29	33411 53226	   	257.25	橙橙2易伤1暴击	1激光对绿2基地爆炸3双倍物品4暴击5敌人爆炸6a核78易伤9掉矿
30	22232 61225	   	257.10	橙橙2易伤1暴击1策反	1策反27易伤3暴击4挖尘5掉矿6最后敌人8寒冰对甲9a核
31	22235 21225	   	257.10	橙橙2易伤1暴击1策反	1策反27易伤3暴击4挖尘5低血量敌人6技能点8寒冰对甲9a核
32	22235 61225	   	257.10	橙橙2易伤1暴击1策反	1策反27易伤3暴击4挖尘5低血量敌人6掉矿8寒冰对甲9a核
33	22234 61225	   	257.00	橙橙2易伤1暴击1策反	1策反27易伤3暴击4挖尘5挖青6掉矿8寒冰对甲9a核
34	36231 11525	   	253.10	橙橙1易伤1暴击1攻速	1激光对绿2暴击3攻速4挖尘5立即金币6易伤7金币生成8时间9a核
35	36221 12425	   	253.00	橙橙1易伤1暴击1攻速	1激光对绿2暴击3攻速4金币生成5掉矿6易伤7时间8技能点9a核
36	62153 11213	   	252.10	橙橙2易伤	1等级26易伤3时间4加农对毒5技能7低血量敌人8赏金邻近9a核
37	33423 16512	   	252.00	橙橙2易伤	1激光对绿2基地爆炸3双倍物品4低血量敌人5时间68易伤79核a敌人爆炸
38	62153 12213	   	252.00	橙橙2易伤	1等级26易伤3时间4加农对毒5技能7挖青8赏金邻近9a核
39	62153 13213	   	252.00	橙橙2易伤	1等级26易伤3时间4加农对毒5技能7挖尘8赏金邻近9a核
40	22516 11113	   	251.96	橙橙2易伤1策反	1策反29易伤3赏金塔4金币生成5激光对冰6时间7低血量敌人8a核
41	22516 14113	   	251.96	橙橙2易伤1策反	1策反29易伤3赏金塔4金币生成5激光对冰6时间7基地爆炸8a核
42	33423 16511	   	251.90	橙橙2易伤1策反	1激光对绿2基地爆炸3双倍物品4低血量敌人5时间68易伤79核a策反
43	22153 11213	   	251.86	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5金币生成7低血量敌人8赏金邻近9a核
44	22154 11213	   	251.86	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5等级7低血量敌人8赏金邻近9a核
45	22314 32333	   	251.86	橙橙2易伤1策反	1策反23易伤4最后敌人5金币生成6a核7赏金邻近8导弹对绿9时间
46	22344 32333	   	251.86	橙橙2易伤1策反	1策反23易伤4低血量敌人5金币生成6a核7赏金邻近8导弹对绿9时间
47	23133 21113	   	251.86	橙橙2易伤1策反	1策反2随机矿3机枪对壮4时间5赏金邻近69易伤7低血量敌人8a核
48	23133 24113	   	251.86	橙橙2易伤1策反	1策反2随机矿3机枪对壮4时间5赏金邻近69易伤7基地爆炸8a核
49	23142 11113	   	251.86	橙橙2易伤1策反	1策反2随机矿3机枪对壮4赏金邻近59易伤6时间7低血量敌人8a核
50	23142 14113	   	251.86	橙橙2易伤1策反	1策反2随机矿3机枪对壮4赏金邻近59易伤6时间7基地爆炸8a核
51	23516 21113	   	251.86	橙橙2易伤1策反	1策反2随机矿3赏金邻近4时间5电塔对黄69易伤7低血量敌人8a核
52	23516 24113	   	251.86	橙橙2易伤1策反	1策反2随机矿3赏金邻近4时间5电塔对黄69易伤7基地爆炸8a核
53	23566 11113	   	251.86	橙橙2易伤1策反	1策反2随机矿3赏金邻近49易伤5喷火对黄6时间7低血量敌人8a核
54	33126 31113	   	251.86	橙橙2易伤1策反	1激光对绿2基地爆炸3金币生成4赏金塔5时间69易伤7策反8a核
55	22153 12213	   	251.76	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5金币生成7挖青8赏金邻近9a核
56	22153 13213	   	251.76	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5金币生成7挖尘8赏金邻近9a核
57	22154 12213	   	251.76	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5等级7挖青8赏金邻近9a核
58	22154 13213	   	251.76	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5等级7挖尘8赏金邻近9a核
59	62214 11325	   	251.21	橙橙1易伤1伤害1暴击	1等级2易伤3暴击4伤害5基地爆炸6散射对绿7挖青8立即金币9a核
60	62232 13525	   	251.01	橙橙1易伤1伤害1暴击	1等级2易伤3暴击4挖尘5掉矿6爆破对壮7技能点8伤害9a核
61	26111 15213	 * 	250.49	橙橙2矿等1易伤1策反	1策反27矿等3电塔对黄4敌人爆炸5低血量敌人6易伤8赏金邻近9a核
62	42341 15213	 * 	250.39	橙橙2矿等1易伤1策反	1立即金币2策反3爆破对壮47矿等5双倍秒伤6易伤8赏金邻近9a核
63	26151 15213	 * 	250.15	橙橙2矿等1易伤2策反	14策反27矿等3电塔对黄5双倍秒伤6易伤8赏金邻近9a核
64	22262 32463	   	248.77	橙橙1易伤1暴击1平台1策反	1策反2易伤3暴击4加农对甲5平台69核7挖尘8机枪对壮a时间
65	34513 62222	   	248.61	紫橙2易伤1伤害1暴击	1激光对绿26易伤3低血量敌人4伤害58核7赏金邻近9雷电a暴击
66	23121 15525	   	248.53	橙橙1易伤1矿等1暴击1策反	1策反2随机矿3机枪对壮4矿等5基地爆炸6金币生成7暴击8易伤9a核
