0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14115 12362	7	 * 	289.30	DCR|3VULN|3DMG|2DUR|3LIT	178VULN|267LIT|3FEWX|48DUR|578DMG|78BPWR|9RPLT|aRCR
18	12633 13135	8	 * 	279.33	DCR|5VULN|2DUR|2ASPD	15689VULN|2RCVC|3RMIN|49ASPD|79DUR|9BPWR|aRCR
19	14321 54231	6	 * 	277.57	DCR|4VULN|3LIT|2TLV|1DUR|1CDMG	1358VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|9CDMG|aDUR
20	14321 54231	5	   	277.57	DCR|4VULN|3LIT|2TLV|1DUR|1CDMG	1358VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|9CDMG|aDUR
21	24241 12251	5	   	276.41	DCR|3VULN|3DMG|1DUR|1CDMG	1LIT|2CDMG|357VULN|49aDMG|6RCR|8DUR
22	51232 65131	6	   	276.02	DCR|4VULN|2DMG|2DUR|1NUKE	18DMG|2BEXP|38DUR|468aVULN|5NUKE|7DLOT|8BPWR|9RCR
23	52242 22312	8	 * 	275.41	DCR|3VULN|3DMG|3CDMG|1ASPD	178DMG|2ZMB|378VULN|4DLOT|578CDMG|6LEGI|78BPWR|9RCR|aASPD
24	13254 36333	1	   	274.15	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	136VULN|2ASPD|4LWND|56DMG|6BPWR|7AART|8aDUR|9RCR
25	11222 22441	1	   	273.39	DCR|4VULN|2DUR|1DMG|2LIT	1349VULN|2CGEN|59DUR|6TBNT|79LIT|8RCR|9BPWR|aDMG
26	11222 42441	1	   	273.39	DCR|4VULN|2DUR|1DMG|2LIT	1349VULN|2CGEN|59DUR|6BBNT|79LIT|8RCR|9BPWR|aDMG
27	16222 22441	2	   	273.39	DCR|4VULN|2DUR|1DMG|2LIT	1349VULN|2CGEN|59DUR|6TBNT|79LIT|8RCR|9BPWR|aDMG
28	14432 63231	4	   	273.12	DCR|5VULN|2AART|2LIT|1CDMG	1469aVULN|24LIT|35AART|4BPWR|7RCR|8CDMG
29	14436 33231	4	   	273.12	DCR|5VULN|2AART|2LIT|1CDMG	1459aVULN|24LIT|36AART|4BPWR|7RCR|8CDMG
30	52242 22342	10	   	272.71	DCR|3VULN|3DMG|3CDMG	178DMG|2ZMB|378VULN|4DLOT|578CDMG|6LEGI|78BPWR|9LIT|aRCR
31	52242 22343	9	   	272.71	DCR|3VULN|3DMG|3CDMG	178DMG|2ZMB|378VULN|4DLOT|578CDMG|6LEGI|78BPWR|9LIT|aRCR
32	13264 32222	1	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	1367VULN|2ASPD|4DUR|56DMG|6BPWR|89CGEN|aRCR
33	13264 32252	1	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	1367VULN|2ASPD|4DUR|56DMG|6BPWR|8CGEN|9LHND|aRCR
34	13264 32212	1	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1367VULN|2ASPD|4DUR|56DMG|6BPWR|8CGEN|9DUST|aRCR
35	13264 32512	1	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1367VULN|2ASPD|4DUR|56DMG|6BPWR|8ERES|9DUST|aRCR
36	53426 13123	10	 * 	272.11	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	1DMG|2aCDMG|3BEXP|4DUST|5aDUR|6TLV|7RCR|89aVULN|aBPWR
37	53526 13123	10	   	272.11	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	1DMG|2aCDMG|3FEWX|4DUST|5aDUR|6TLV|7RCR|89aVULN|aBPWR
38	11253 14832	10	 * 	271.76	DCR|4VULN|3DUR|1DMG	148aVULN|28LHND|368DUR|5MBVNT|7RCR|8BPWR|9DMG
39	11253 14522	9	 * 	271.66	DCR|4VULN|3DUR|2CDMG	149aVULN|2LHND|36aDUR|5MBVNT|7RCR|8aCDMG|aBPWR
40	11253 14552	8	   	271.66	DCR|4VULN|3DUR|2CDMG	149aVULN|2LHND|36aDUR|5MBVNT|7RCR|8aCDMG|aBPWR
41	22421 12353	10	   	271.45	DCR|3VULN|2DMG|2DUR|1AART	1LIT|25DUR|3AART|459VULN|5BPWR|6RPLT|7RCR|8aDMG
42	13264 42312	1	   	271.01	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1367VULN|2ASPD|4DUR|5DMG|8TLV|9DUST|aRCR
43	12234 13313	7	 * 	270.99	DCR|5VULN|3DUR|1SELL	13469VULN|2RCVC|579DUR|8SELL|9BPWR|aRCR
44	52222 46147	1	   	270.93	DCR|2VULN|3DMG|2DUR|2LIT|1CDMG	18aDMG|28LWND|3aVULN|4CDMG|5MBVNT|6RCR|78LIT|8aBPWR|9aDUR
45	51232 64133	6	   	270.92	DCR|3VULN|2DMG|2DUR|2AART|1NUKE	18DMG|2BEXP|38DUR|468VULN|5NUKE|7aAART|8BPWR|9RCR
46	12236 63135	9	   	270.58	DCR|5VULN|1TLV|1DUR|1ASPD	13489VULN|2RCVC|5TLV|6ASPD|7DUR|aRCR
47	12266 13135	9	   	270.58	DCR|5VULN|1TLV|1DUR|1ASPD	13689VULN|2RCVC|4TLV|5ASPD|7DUR|aRCR
48	51231 64131	6	 * 	269.87	DCR|3VULN|2DMG|2ASPD|1DUR|1AART	18DMG|28BEXP|3DUR|46aVULN|58ASPD|7AART|8BPWR|9RCR
49	12236 63432	5	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1347VULN|2RCVC|5TLV|6DMG|8AART|9DUR|aRCR
50	12236 65132	5	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1348VULN|2RCVC|5TLV|6DMG|7AART|9DUR|aRCR
51	51216 53123	10	   	269.59	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1aDMG|2BEXP|3aDUR|4LHND|5TLV|6SELL|7RCR|89aVULN|aBPWR
52	11222 22442	1	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	1349VULN|2CGEN|59DUR|6TBNT|79LIT|8RCR|9BPWR|aTLV
53	11222 42442	1	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	1349VULN|2CGEN|59DUR|6BBNT|79LIT|8RCR|9BPWR|aTLV
54	16222 22442	2	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	1349VULN|2CGEN|59DUR|6TBNT|79LIT|8RCR|9BPWR|aTLV
55	43222 13123	10	   	268.90	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1LHND|2aDMG|3DUR|4CDMG|5aBEXP|6TLV|7RCR|89aVULN|aBPWR
56	13226 12253	1	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	137VULN|2ASPD|4LIT|5CDMG|6RCR|8aDUR|9DMG
57	13226 12261	1	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	137VULN|2ASPD|4LIT|5CDMG|6RCR|89DUR|aDMG
58	12236 51113	10	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	134VULN|2RCVC|5TLV|6CDMG|79DMG|8DUR|aRCR
59	12264 51113	10	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	135VULN|2RCVC|4TLV|6CDMG|79DMG|8DUR|aRCR
60	53223 21156	5	   	268.41	DCR|2VULN|3DUR|2DMG|2LIT|1CDMG	1aDMG|2CDMG|3RPLT|4aLIT|5aVULN|6RCR|789DUR|aBPWR
61	14432 32611	6	 * 	268.40	DCR|4VULN|2DUR|3LIT|1AART	147aVULN|24aLIT|3AART|47aBPWR|57LWND|67LHND|8RCR|9aDUR
62	56333 13112	9	   	268.26	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD|1SELL	1DMG|2SELL|3CDMG|4568VULN|7DUR|9ASPD|aRCR
63	11253 44137	7	   	268.20	DCR|4VULN|2DUR|1DMG|1AART	1478VULN|28LHND|38DUR|5MBVNT|6AART|8BPWR|9RCR|aDMG
64	12236 16312	6	 * 	268.20	DCR|4VULN|2DUR|2TLV|1AART	1347VULN|2RCVC|57TLV|67DUR|7BPWR|8ZMB|9AART|aRCR
65	12236 16412	6	   	268.20	DCR|4VULN|2DUR|2TLV|1AART	1347VULN|2RCVC|57TLV|67DUR|7BPWR|8MLV|9AART|aRCR
66	12236 16512	6	   	268.20	DCR|4VULN|2DUR|2TLV|1AART	1347VULN|2RCVC|57TLV|67DUR|7BPWR|8RMIN|9AART|aRCR
67	12236 56312	5	   	268.20	DCR|4VULN|2DUR|2TLV|1AART	1347VULN|2RCVC|57TLV|67DUR|7BPWR|8ZMB|9AART|aRCR
68	12264 16312	6	   	268.20	DCR|4VULN|2DUR|2TLV|1AART	1357VULN|2RCVC|47TLV|67DUR|7BPWR|8ZMB|9AART|aRCR
69	13253 44137	7	   	268.20	DCR|4VULN|2DUR|1DMG|1AART	1478VULN|28LWND|38DUR|5MBVNT|6AART|8BPWR|9RCR|aDMG
70	11253 44131	7	   	267.67	DCR|5VULN|2DUR|1AART	1478aVULN|28LHND|38DUR|5MBVNT|6AART|8BPWR|9RCR
71	13253 44131	7	   	267.67	DCR|5VULN|2DUR|1AART	1478aVULN|28LWND|38DUR|5MBVNT|6AART|8BPWR|9RCR
72	14321 54233	6	 * 	267.63	DCR|4VULN|3LIT|2TLV|2CDMG	1358VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|9aCDMG
73	14321 54233	5	   	267.63	DCR|4VULN|3LIT|2TLV|2CDMG	1358VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|9aCDMG
74	22421 12352	9	   	267.51	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1LIT|25DUR|3AART|459VULN|5BPWR|6RPLT|7RCR|8DMG|aCDMG
75	14353 12252	3	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	137VULN|23LIT|3BPWR|49DMG|5CDMG|6RCR|8DUR|aLWND
76	14353 12253	3	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	137VULN|23LIT|3BPWR|49DMG|5CDMG|6RCR|8DUR|aBEXP
77	24221 21544	10	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	1aLIT|2CDMG|35aVULN|4DUR|6LHND|7MBVNT|8aDMG|9RCR|aBPWR
78	24221 21547	9	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	1aLIT|2CDMG|35aVULN|4DUR|6LHND|7MBVNT|8aDMG|9RCR|aBPWR
79	24221 21884	10	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	1aLIT|2CDMG|35aVULN|4DUR|6LHND|7MBVNT|8RCR|9aDMG|aBPWR
80	24261 11544	10	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	1aLIT|2CDMG|35aVULN|4LHND|6DUR|7MBVNT|8aDMG|9RCR|aBPWR
81	13264 33333	1	   	267.23	DCR|3VULN|2DMG|2AART|1DUR|1ASPD	136VULN|2ASPD|4DUR|56DMG|6BPWR|7DUST|8aAART|9RCR
82	14321 54211	6	 * 	267.21	DCR|5VULN|3LIT|2TLV	13589VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|aLWND
83	14321 54211	5	   	267.21	DCR|5VULN|3LIT|2TLV	13589VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|aLWND
84	14321 54213	5	   	267.21	DCR|5VULN|3LIT|2TLV	13589VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|aLHND
85	14321 54213	6	   	267.21	DCR|5VULN|3LIT|2TLV	13589VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|aLHND
86	14331 62241	3	 * 	267.21	DCR|5VULN|3LIT|2CDMG	1347aVULN|23aLIT|3aBPWR|56RCVC|8aCDMG|9RCR
87	14333 62241	3	   	267.21	DCR|5VULN|3LIT|2CDMG	1347aVULN|23aLIT|3aBPWR|5DMSP|6RCVC|8aCDMG|9RCR
88	52242 52232	8	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	17DMG|27ZMB|389VULN|4DLOT|5CDMG|67DUR|7BPWR|aRCR
89	11325 12663	7	   	267.11	DCR|3VULN|3DMG|2LIT|1CDMG	178VULN|278LHND|3BEXP|46LIT|578DMG|78BPWR|9RCR|aCDMG
90	14321 54212	5	   	267.11	DCR|5VULN|3LIT|2TLV|1NUKE	13589VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|aNUKE
91	14321 54212	6	   	267.11	DCR|5VULN|3LIT|2TLV|1NUKE	13589VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|aNUKE
92	13233 46316	9	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	168aVULN|2LWND|3aDUR|4CDMG|5CGEN|7aLIT|9RCR|aBPWR
93	12263 23135	10	   	266.84	DCR|4VULN|2DUR|2TLV	1389VULN|2RCVC|48TLV|5LIT|6LHND|78DUR|8BPWR|aRCR
94	12263 43135	10	   	266.84	DCR|4VULN|2DUR|2TLV	1389VULN|2RCVC|48TLV|5LIT|6FEWX|78DUR|8BPWR|aRCR
95	14353 12351	3	   	266.81	DCR|3VULN|3DMG|2LIT|1CDMG	137VULN|23LIT|3BPWR|49aDMG|5CDMG|6RCR|8LHND
96	12226 14621	5	 * 	266.60	DCR|4VULN|2DMG|2ASPD	138aVULN|2RCVC|49CGEN|58ASPD|68DMG|7RCR|8BPWR
97	14422 63231	4	   	266.47	DCR|5VULN|2AART|1CDMG	1469aVULN|2LIT|35AART|7RCR|8CDMG
98	14426 33231	4	   	266.47	DCR|5VULN|2AART|1CDMG	1459aVULN|2LIT|36AART|7RCR|8CDMG
99	13214 32636	1	   	266.40	DCR|4VULN|2DMG|2ASPD	1379VULN|26ASPD|4LEGI|56DMG|6BPWR|8BELT|aRCR
100	13264 31152	1	   	266.15	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	136VULN|2ASPD|4DUR|56DMG|6BPWR|7RCVC|8LWND|9TLV|aRCR
101	13264 31352	1	   	266.15	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	136VULN|2ASPD|4DUR|56DMG|6BPWR|7RCVC|8TLV|9LHND|aRCR
102	12664 32312	2	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	167VULN|2RCVC|3ASPD|4DUR|56DMG|6BPWR|8TLV|9DUST|aRCR
103	13264 31312	1	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	136VULN|2ASPD|4DUR|56DMG|6BPWR|7RCVC|8TLV|9DUST|aRCR
104	51126 23242	2	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	19DMG|2BEXP|3TLV|467VULN|5ASPD|8DUR|aRCR
105	51231 63342	7	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	19DMG|2BEXP|3DUR|468VULN|5ASPD|7TLV|aRCR
106	52126 23242	1	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	19DMG|2LWND|3TLV|467VULN|5ASPD|8DUR|aRCR
107	42542 13123	10	   	265.90	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1LHND|2aDUR|3CDMG|4DMG|5aBEXP|6TLV|7RCR|89aVULN|aBPWR
108	15231 52623	4	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	157aVULN|2FEWX|3DUR|4CDMG|6DMG|8RCR|9LIT
109	13214 54131	1	   	265.75	DCR|4VULN|2DMG|1ASPD|1AART	138aVULN|2ASPD|4LEGI|58DMG|68DUST|7AART|8BPWR|9RCR
110	12236 51133	10	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	134VULN|2RCVC|5TLV|6CDMG|7DMG|89DUR|aRCR
111	12264 51133	10	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	135VULN|2RCVC|4TLV|6CDMG|7DMG|89DUR|aRCR
112	14323 51114	10	 * 	265.55	DCR|4VULN|2DMG|3LIT	137aVULN|237LIT|37aBPWR|4RPLT|57LWND|6RCR|8aDMG|9aZMB
113	42232 23642	6	   	265.35	DCR|4VULN|3DUR|1CDMG	1aLHND|23aDUR|4DUST|5CDMG|6RCR|789aVULN|aBPWR
114	52242 22232	8	   	265.15	DCR|4VULN|2DMG|2CDMG	17DMG|2ZMB|3789VULN|4DLOT|57CDMG|6LEGI|7BPWR|aRCR
115	52242 24332	8	   	265.15	DCR|4VULN|2DMG|2CDMG	18DMG|2ZMB|3789VULN|4DLOT|58CDMG|6LEGI|8BPWR|aRCR
116	22421 12253	10	   	264.87	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1LIT|25DUR|3AART|459VULN|5BPWR|6RPLT|7RCR|8ASPD|aDMG
117	21421 32615	5	   	264.78	DCR|3VULN|3DUR|2LIT|1ASPD|1AART	17LIT|25LWND|3AART|457VULN|57BPWR|679DUR|8RCR|aASPD
118	12232 12623	10	   	264.69	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1348VULN|2RCVC|5ASPD|6DUR|7CDMG|9TLV|aRCR
119	14432 63233	4	   	264.58	DCR|4VULN|2AART|2LIT|1CDMG|1ASPD	1469VULN|24LIT|35AART|4BPWR|7RCR|8CDMG|aASPD
120	14436 33233	4	   	264.58	DCR|4VULN|2AART|2LIT|1CDMG|1ASPD	1459VULN|24LIT|36AART|4BPWR|7RCR|8CDMG|aASPD
121	13264 35222	1	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	136VULN|2ASPD|47DUR|56DMG|6BPWR|89CGEN|aRCR
122	11232 23642	6	   	264.48	DCR|4VULN|2DUR|3CDMG	189aVULN|2LHND|3aDUR|47aCDMG|5LEGI|6RCR|aBPWR
123	13264 43331	1	   	264.42	DCR|4VULN|1DMG|1DUR|1ASPD|1AART	136aVULN|2ASPD|4DUR|5DMG|7DUST|8AART|9RCR
124	52222 34542	1	   	264.41	DCR|3VULN|3DMG|3CDMG	16aDMG|2LWND|38aVULN|46aCDMG|5MBVNT|6aBPWR|7RMIN|9RCR
125	52242 22313	8	   	264.41	DCR|3VULN|3DMG|3CDMG	178DMG|2ZMB|378VULN|4DLOT|578CDMG|6LEGI|78BPWR|9RCR|aRCVC
126	52242 22314	8	   	264.41	DCR|3VULN|3DMG|3CDMG	178DMG|2ZMB|378VULN|4DLOT|578CDMG|6LEGI|78BPWR|9RCR|aLHND
127	52242 22316	8	   	264.41	DCR|3VULN|3DMG|3CDMG	178DMG|2ZMB|378VULN|4DLOT|578CDMG|6LEGI|78BPWR|9RCR|aDMSP
128	55222 34542	2	   	264.41	DCR|3VULN|3DMG|3CDMG	16aDMG|2LWND|38aVULN|46aCDMG|5MBVNT|6aBPWR|7RMIN|9RCR
129	13264 35212	1	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	136VULN|2ASPD|47DUR|56DMG|6BPWR|8CGEN|9DUST|aRCR
130	52222 33542	1	   	264.31	DCR|3VULN|3DMG|3CDMG|1NUKE	16aDMG|2LWND|38aVULN|46aCDMG|5MBVNT|6aBPWR|7NUKE|9RCR
131	55222 33542	2	   	264.31	DCR|3VULN|3DMG|3CDMG|1NUKE	16aDMG|2LWND|38aVULN|46aCDMG|5MBVNT|6aBPWR|7NUKE|9RCR
132	52242 22315	8	   	264.16	DCR|3VULN|3DMG|3CDMG|1SELL	178DMG|2ZMB|378VULN|4DLOT|578CDMG|6LEGI|78BPWR|9RCR|aSELL
133	14323 51433	10	   	264.12	DCR|4VULN|3LIT|1DMG|1DUR	1378VULN|237LIT|378BPWR|4RPLT|578LWND|6RCR|9DUR|aDMG
134	14323 51131	9	   	264.02	DCR|4VULN|3LIT|1DMG|1DUR	137aVULN|237LIT|37BPWR|4RPLT|57LWND|6RCR|8DMG|9DUR
135	14326 51131	9	   	264.02	DCR|4VULN|3LIT|1DMG|1DUR	137aVULN|237LIT|37BPWR|4RPLT|57BEXP|6RCR|8DMG|9DUR
136	13214 35352	1	 * 	263.94	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	13VULN|26ASPD|4LEGI|56DMG|6BPWR|78DUR|9TLV|aRCR
137	14433 12353	10	   	263.42	DCR|3VULN|2DMG|1DUR|2LIT|1AART	149VULN|24LIT|3AART|4BPWR|5DUR|6RPLT|7RCR|8aDMG
138	11222 31314	1	 * 	263.39	DCR|5VULN|1DMG|1DUR	1348aVULN|2CGEN|5DUR|6BEXP|7RCR|9DMG
139	11265 21314	1	   	263.39	DCR|5VULN|1DMG|1DUR	1368aVULN|2CGEN|4DUR|5FEWX|7RCR|9DMG
140	16222 31314	2	   	263.39	DCR|5VULN|1DMG|1DUR	1348aVULN|2CGEN|5DUR|6BEXP|7RCR|9DMG
141	11263 21314	1	   	263.29	DCR|5VULN|1DMG|1DUR	1368aVULN|2CGEN|4DUR|5DUST|7RCR|9DMG
142	14343 43232	10	   	263.29	DCR|5VULN|3LIT|1DUR	1359aVULN|236LIT|3BPWR|4FEWX|7RCR|8DUR
143	16263 21314	2	   	263.29	DCR|5VULN|1DMG|1DUR	1368aVULN|2CGEN|4DUR|5DUST|7RCR|9DMG
144	14422 32611	6	   	263.29	DCR|4VULN|2DUR|2LIT|1AART	147aVULN|2aLIT|3AART|57LWND|67LHND|7aBPWR|8RCR|9aDUR
145	15252 14131	6	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	18aVULN|28FEWX|36DUR|4ZMB|58DMG|7AART|8BPWR|9RCR
146	53213 14112	6	   	263.21	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	18DMG|2CDMG|3RPLT|468DUR|58VULN|7AART|8BPWR|9RCVC|aRCR
147	51232 54131	5	   	263.14	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	18DMG|2BEXP|38DUR|48aVULN|5NUKE|6DMSP|7AART|8BPWR|9RCR
148	51232 64132	6	   	263.14	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	18DMG|2BEXP|38DUR|468VULN|5NUKE|7AART|8BPWR|9RCR|aFEWX
149	51321 64131	2	   	263.14	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	18DMG|25BEXP|3NUKE|48aVULN|68DUR|7AART|8BPWR|9RCR
150	14422 32633	5	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	147aVULN|29LIT|3AART|57LWND|67DUR|7BPWR|8RCR
151	22426 32613	6	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	17LIT|29DUR|3AART|467aVULN|57LWND|7BPWR|8RCR
152	51232 65133	6	   	263.04	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	18DMG|2BEXP|38DUR|468VULN|5NUKE|7DLOT|8BPWR|9RCR|aAART
153	13233 13324	10	 * 	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	189VULN|2LWND|38aDUR|4CDMG|5CGEN|68TLV|7RCR|8BPWR
154	13233 13325	9	   	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	189VULN|2LWND|38aDUR|4CDMG|5CGEN|68TLV|7RCR|8BPWR
155	13233 13331	8	   	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	18aVULN|2LWND|389DUR|4CDMG|5CGEN|68TLV|7RCR|8BPWR
156	13233 13345	8	   	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	189VULN|2LWND|38aDUR|4CDMG|5CGEN|68TLV|7RCR|8BPWR
157	13233 13351	9	   	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	18aVULN|2LWND|389DUR|4CDMG|5CGEN|68TLV|7RCR|8BPWR
158	11253 14831	9	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	148VULN|28LHND|368DUR|5MBVNT|7RCR|8BPWR|9DMG|aCDMG
159	11253 14836	10	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	148VULN|28LHND|368DUR|5MBVNT|7RCR|8BPWR|9DMG|aCDMG
160	11253 14871	8	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	148VULN|28LHND|368DUR|5MBVNT|7RCR|8BPWR|9DMG|aCDMG
161	14315 31623	7	 * 	262.59	DCR|3VULN|2ASPD|3LIT|1DMG|1DUR	138VULN|238LIT|38BPWR|4LWND|5DMG|6RMIN|78ASPD|9DUR|aRCR
162	12212 62241	4	   	262.10	DCR|5VULN|2CDMG|2LIT	1357aVULN|26RCVC|4aLIT|8aCDMG|9RCR|aBPWR
163	12222 62241	3	   	262.10	DCR|5VULN|2CDMG|2LIT	1347aVULN|26RCVC|5aLIT|8aCDMG|9RCR|aBPWR
164	12232 62241	4	   	262.10	DCR|5VULN|2CDMG|2LIT	1347aVULN|26RCVC|5aLIT|8aCDMG|9RCR|aBPWR
165	26232 62241	3	   	262.10	DCR|5VULN|2CDMG|2LIT	1aLIT|2DMSP|3457aVULN|6RCVC|8aCDMG|9RCR|aBPWR
166	14321 51432	10	   	262.00	DCR|5VULN|1DMG|2LIT	1358aVULN|23LIT|3BPWR|4RPLT|6RCR|7MBVNT|9DMG
