0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41235 21331	7	 * 	297.95	DCR|4VULN|2DMG|2TLV|2DUR	1267VULN|27BPWR|37TLV|4RMIN|57DMG|89DUR|aRCR
40	24322 33421	8	   	273.44	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1DMSP|27DUR|3ZMB|47VULN|567DMG|7BPWR|8CDMG|9RCR|aTLV
41	24322 33461	9	   	273.44	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1DMSP|27DUR|3ZMB|47VULN|567DMG|7BPWR|8CDMG|9RCR|aTLV
42	42223 43216	7	   	273.43	DCR|4VULN|3DUR|2TLV	149aVULN|2RCVC|35TLV|69aERES|79aDUR|8RCR|9aBPWR
43	41223 11151	10	 * 	273.19	DCR|4VULN|3DUR|3TLV|1SELL	1247VULN|27BPWR|357TLV|678DUR|9SELL|aRCR
44	41223 16131	10	   	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	124VULN|2BPWR|35TLV|6aDUR|7CDMG|8DMG|9RCR
45	41222 34222	9	 * 	272.57	DCR|3VULN|3DUR|1TLV|1DMG	124VULN|2BPWR|3TLV|589DUR|6LIT|7DMG|aRCR
46	41221 35213	10	   	272.49	DCR|4VULN|2DMG|1TLV|1CDMG	1248VULN|2BPWR|3TLV|5CGEN|6RCR|7aDMG|9CDMG
47	41222 35633	8	   	272.36	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	1249VULN|2BPWR|3TLV|5DUR|68LIT|7RCR|aDMG
48	41222 23311	9	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1246VULN|2BPWR|3TLV|57DUR|8MLV|9DMG|aRCR
49	41235 23131	7	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1268VULN|2BPWR|3TLV|4RMIN|5DMG|79DUR|aRCR
50	41235 26131	6	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1268VULN|2BPWR|3TLV|4RMIN|5DMG|79DUR|aRCR
51	41222 24131	10	   	271.84	DCR|4VULN|2DUR|1TLV|1DMG|1SELL	1246VULN|2BPWR|3TLV|5aDUR|7SELL|8DMG|9RCR
52	24322 33111	9	   	271.70	DCR|3VULN|3DMG|3DUR	1DMSP|279DUR|3ZMB|479VULN|567DMG|79BPWR|89CGEN|aRCR
53	41221 35135	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	124aVULN|2BPWR|3TLV|5CGEN|6RCR|7DMG|8DUR|9CDMG
54	41221 35212	10	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1248VULN|2BPWR|3TLV|5CGEN|6RCR|7DMG|9CDMG|aDUR
55	41221 35213	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1248VULN|2BPWR|3TLV|5CGEN|6RCR|7DMG|9CDMG|aDUR
56	41222 26132	10	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1246VULN|2BPWR|3TLV|5DUR|7CDMG|8DMG|9RCR|aFEWX
57	41222 26132	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1246VULN|2BPWR|3TLV|5DUR|7CDMG|8DMG|9RCR|aLWND
58	41222 26133	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1246VULN|2BPWR|3TLV|5DUR|7CDMG|8DMG|9RCR|aFEWX
59	41222 26134	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1246VULN|2BPWR|3TLV|5DUR|7CDMG|8DMG|9RCR|aBEXP
60	41222 26135	10	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1246VULN|2BPWR|3TLV|5DUR|7CDMG|8DMG|9RCR|aLHND
61	41222 26135	9	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1246VULN|2BPWR|3TLV|5DUR|7CDMG|8DMG|9RCR|aBBNT
62	41222 26136	9	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1246VULN|2BPWR|3TLV|5DUR|7CDMG|8DMG|9RCR|aERES
63	41222 24121	8	   	270.91	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1246VULN|2BPWR|3TLV|5DUR|7SELL|8DMG|9CDMG|aRCR
64	41222 24136	10	   	270.91	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1246VULN|2BPWR|3TLV|5DUR|7SELL|8DMG|9RCR|aCDMG
65	41222 24411	9	   	270.91	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1246VULN|2BPWR|3TLV|5DUR|7SELL|8CDMG|9DMG|aRCR
66	41221 31216	7	   	270.57	DCR|5VULN|2DUR|1TLV	1248aVULN|2aBPWR|3TLV|5aCGEN|6RCR|7RCVC|9aDUR
67	41323 51226	7	   	270.17	DCR|4VULN|2TLV|2ASPD|1DUR	1247VULN|27BPWR|3ZMB|57TLV|67ASPD|8LIT|9DUR|aRCR
68	41152 35131	2	   	269.99	DCR|4VULN|2DUR|1TLV|1NUKE	125aVULN|25BPWR|3NUKE|45DUR|6AART|7LIT|8TLV|9RCR
69	41212 35211	9	 * 	269.79	DCR|3VULN|3DMG|1TLV|2ASPD	129VULN|29BPWR|3TLV|49FEWX|567DMG|89ASPD|aRCR
70	41262 35211	9	   	269.79	DCR|3VULN|3DMG|1TLV|2ASPD	129VULN|29BPWR|3TLV|49BEXP|567DMG|89ASPD|aRCR
71	41242 35211	9	   	269.59	DCR|3VULN|3DMG|1TLV|2ASPD	129VULN|29BPWR|3TLV|49DUST|567DMG|89ASPD|aRCR
72	41222 22535	9	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	1246aVULN|2BPWR|3TLV|5DUR|7BEXP|8RCR|9CDMG
73	41323 51351	7	 * 	269.30	DCR|4VULN|2TLV|3ASPD|1DUR	1247VULN|27BPWR|3ZMB|57TLV|679ASPD|8DUR|aRCR
74	52121 24252	9	 * 	269.10	DCR|2VULN|2DMG|2DUR|2CDMG|2ASPD|2LIT	17CDMG|29ASPD|37LIT|4ZMB|59DUR|67DMG|79BPWR|89VULN|aRCR
75	41152 35132	2	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG|1NUKE	125VULN|25BPWR|3NUKE|45DUR|6AART|7LIT|8TLV|9RCR|aDMG
76	41235 22331	6	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	126VULN|2BPWR|3TLV|4RMIN|57DMG|89DUR|aRCR
77	41235 26331	7	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	126VULN|2BPWR|3TLV|4RMIN|57DMG|89DUR|aRCR
78	42222 21232	7	   	268.61	DCR|4VULN|2TLV|2DUR	1467VULN|2RCVC|37TLV|57DUR|7BPWR|8LIT|9RPLT|aRCR
79	42222 21361	9	   	268.61	DCR|4VULN|2TLV|2DUR	1467VULN|2RCVC|37TLV|57DUR|7BPWR|8MLV|9ASPD|aRCR
80	42222 21116	8	   	268.61	DCR|4VULN|2TLV|2DUR	1467VULN|2RCVC|37TLV|57DUR|7BPWR|8FEWX|9RCR|aLIT
81	42222 21116	7	   	268.61	DCR|4VULN|2TLV|2DUR	1467VULN|2RCVC|37TLV|57DUR|7BPWR|8FEWX|9RCR|aLIT
82	42222 21216	8	   	268.61	DCR|4VULN|2TLV|2DUR	1467VULN|2RCVC|37TLV|57DUR|7BPWR|8LHND|9RCR|aLIT
83	42222 21416	7	   	268.61	DCR|4VULN|2TLV|2DUR	1467VULN|2RCVC|37TLV|57DUR|7BPWR|8LWND|9RCR|aLIT
84	42222 21616	7	   	268.61	DCR|4VULN|2TLV|2DUR	1467VULN|2RCVC|37TLV|57DUR|7BPWR|8BEXP|9RCR|aLIT
85	42222 21416	8	   	268.51	DCR|4VULN|2TLV|2DUR	1467VULN|2RCVC|37TLV|57DUR|7BPWR|8DUST|9RCR|aLIT
86	41222 35431	7	   	268.41	DCR|4VULN|2TLV|2DUR	1249VULN|2BPWR|3aTLV|58DUR|6LIT|7RCR
87	41223 43214	7	   	268.41	DCR|4VULN|2TLV|2DUR	1249VULN|29BPWR|35TLV|69ERES|79DUR|8RCR|aASPD
