0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63313 62141	6	 * 	289.87	DCR|4VULN|2DMG|2DUR|1TLV	178aVULN|25DUR|37DMG|47CGEN|6RCR|7BPWR|9TLV
26	31131 41551	5	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	135DUR|29LHND|4CDMG|69aVULN|7RCR|89DMG|9BPWR
27	33231 41551	5	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	125DUR|39LWND|4CDMG|69aVULN|7RCR|89DMG|9BPWR
28	63311 32414	10	   	269.24	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	18VULN|2DUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|9AART|aCDMG
29	63311 32414	9	   	269.24	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	18VULN|2DUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|9AART|aCDMG
30	63313 62126	6	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|25DUR|37DMG|47CGEN|6RCR|7BPWR|9RMIN|aTLV
31	63313 62142	6	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|25DUR|37DMG|47CGEN|6RCR|7BPWR|9TLV|aBEXP
32	63331 25134	8	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	169VULN|2DUR|3aDMG|4CDMG|5FEWX|7RCR|8TLV
33	32511 35421	8	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	18DUR|2RMIN|389VULN|4CGEN|5LIT|68TLV|7RCR|8BPWR|aDMG
34	62211 35421	8	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	189VULN|2RMIN|38DUR|4CGEN|5LIT|68TLV|7RCR|8BPWR|aDMG
35	33433 54322	2	   	267.51	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	123DUR|4TLV|567VULN|8AART|9CDMG|aRCR
36	33633 54322	3	   	267.51	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	123DUR|4TLV|567VULN|8AART|9CDMG|aRCR
37	63613 53222	9	 * 	267.43	DCR|5VULN|2DMG|1DUR	1567aVULN|2DUR|3BELT|4aCGEN|8RCR|9aDMG|aBPWR
38	63331 15121	10	   	266.83	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1aVULN|2DUR|36aDMG|4CDMG|5FEWX|7RCR|8aTLV|9MBVNT|aBPWR
39	63333 65121	10	   	266.83	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1aVULN|2DUR|35aDMG|4CDMG|6FEWX|7RCR|8aTLV|9MBVNT|aBPWR
40	14213 55123	7	 * 	266.26	DCR|3VULN|2DMG|1TLV|2CDMG	1ASPD|28CDMG|3LHND|4LWND|58DMG|6TLV|78aVULN|8BPWR|9RCR
41	23114 52111	2	 * 	265.78	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|27CGEN|3567VULN|47TLV|7BPWR|8DMG|9RCR|aDUR
42	23314 52111	3	   	265.78	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|27CGEN|3567VULN|47TLV|7BPWR|8DMG|9RCR|aDUR
43	26114 52111	1	   	265.78	DCR|4VULN|2TLV|1DMG|1DUR	1RPLT|27CGEN|3567VULN|47TLV|7BPWR|8DMG|9RCR|aDUR
44	31123 21245	10	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	13aDUR|2LHND|4BELT|5aDMG|69aVULN|7AART|8RCR|aBPWR
45	32222 22662	4	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	137DUR|2RMIN|4LHND|57aVULN|67DMG|7BPWR|8AART|9RCR
46	32222 22662	3	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	137DUR|2RMIN|4LHND|57aVULN|67DMG|7BPWR|8AART|9RCR
47	32232 22662	3	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	137DUR|2RMIN|4LWND|57aVULN|67DMG|7BPWR|8AART|9RCR
48	32242 22662	4	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	137DUR|2RMIN|4LWND|57aVULN|67DMG|7BPWR|8AART|9RCR
49	32262 22662	4	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	137DUR|2RMIN|4BEXP|57aVULN|67DMG|7BPWR|8AART|9RCR
50	33223 21245	10	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	12aDUR|3LWND|4BELT|5aDMG|69aVULN|7AART|8RCR|aBPWR
51	35223 21245	10	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	12aDUR|2aBPWR|3LWND|4BELT|5aDMG|69aVULN|7AART|8RCR
52	63131 13346	4	 * 	265.25	DCR|4VULN|3DUR|1TLV	1459VULN|23aDUR|6RCVC|7RCR|8TLV
53	63331 25135	8	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	169VULN|2aDUR|3DMG|4CDMG|5FEWX|7RCR|8TLV
54	25221 25153	10	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1RPLT|2DMG|358DUR|467VULN|9TLV|aRCR
55	63131 72361	6	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	147VULN|237DUR|5MBVNT|6RCR|7BPWR|8DMG|9TLV|aCGEN
56	63131 72362	6	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	147VULN|237DUR|5MBVNT|6RCR|7BPWR|8DMG|9TLV|aRPLT
57	63131 72344	6	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	147VULN|237DUR|5MBVNT|6RCR|7BPWR|8DMG|9ERES|aTLV
58	65232 22412	1	 * 	264.13	DCR|5VULN|2DUR|3LIT	13479VULN|257LIT|6RCR|7aBPWR|8aDUR
59	66232 22412	2	   	264.13	DCR|5VULN|2DUR|3LIT	13479VULN|257LIT|6RCR|7aBPWR|8aDUR
60	63131 74112	10	   	264.05	DCR|3VULN|3DUR|2DMG	14aVULN|23aDUR|5MBVNT|6RCR|7ASPD|8BEXP|9aDMG|aBPWR
61	63131 74212	10	   	263.95	DCR|3VULN|3DUR|2DMG	14aVULN|23aDUR|5MBVNT|6RCR|7ASPD|8DUST|9aDMG|aBPWR
62	63311 32413	10	   	263.90	DCR|2VULN|2DMG|2TLV|1DUR|1AART	18VULN|2DUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|9AART|aASPD
63	63313 62121	6	   	263.67	DCR|4VULN|2DMG|2DUR	178aVULN|25DUR|37DMG|47CGEN|6RCR|7BPWR|9RMIN
64	63611 53222	9	   	263.67	DCR|4VULN|2DMG|2DUR	167aVULN|25DUR|3BELT|4aCGEN|8RCR|9aDMG|aBPWR
65	25225 25211	8	   	263.47	DCR|4VULN|2DMG|2DUR	1RPLT|28DMG|3aDUR|4567VULN|9RCR
66	63363 62121	6	   	263.47	DCR|4VULN|2DMG|2DUR	178aVULN|25DUR|37DMG|47ERES|6RCR|7BPWR|9RMIN
67	25323 52511	5	   	263.47	DCR|4VULN|2DMG|2DUR	1RPLT|25DMG|3467VULN|8aDUR|9RCR
68	63363 62133	6	   	263.37	DCR|4VULN|2DMG|2DUR	178aVULN|25DUR|37DMG|47ERES|6RCR|7BPWR|9TBNT
69	63332 12542	10	   	263.28	DCR|2VULN|3DMG|2DUR|2ASPD|1CDMG	19VULN|29DUR|367DMG|4CDMG|5DUST|89ASPD|9BPWR|aRCR
70	63322 16133	9	   	262.55	DCR|3VULN|2DMG|1TLV|1DUR	17aVULN|2DUR|37DMG|4LWND|5LIT|67FEWX|7BPWR|8TLV|9RCR
71	63311 32621	8	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	189VULN|2DUR|3aDMG|4CGEN|5LIT|6TLV|7RCR
72	63131 72263	6	   	262.17	DCR|3VULN|3DUR|1TLV|1AART	147VULN|237DUR|5MBVNT|6RCR|7BPWR|8ASPD|9TLV|aAART
73	63311 32412	9	   	262.14	DCR|2VULN|2DMG|2TLV|1DUR|2LIT|1AART	18VULN|2DUR|38DMG|4CGEN|5aLIT|68TLV|7RCR|8BPWR|9AART
74	63311 32441	9	   	261.59	DCR|2VULN|3DMG|2TLV|1DUR	18VULN|2DUR|38aDMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|9DMSP
75	33343 54332	3	   	261.37	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	124DUR|3DMG|567VULN|8AART|9CDMG|aRCR
76	33343 55232	3	   	261.37	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	124DUR|3DMG|568VULN|7AART|9CDMG|aRCR
77	63311 32453	8	   	260.79	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	18VULN|2DUR|38DMG|4CGEN|5aLIT|68TLV|7RCR|8BPWR|9ASPD
78	63131 12764	9	   	260.59	DCR|3VULN|3DUR|2TLV	14aVULN|23aDUR|5MBVNT|6DUST|7LIT|8aTLV|9RCR|aBPWR
79	63131 72264	6	   	260.59	DCR|3VULN|3DUR|2TLV	147VULN|237DUR|5MBVNT|6RCR|7BPWR|8ASPD|9aTLV
80	63311 32435	10	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	18VULN|2aDUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|9LWND
81	63311 32463	10	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	18VULN|2aDUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|9LHND
82	63311 32423	10	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	18VULN|2aDUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|9DUST
83	63131 13345	4	   	260.33	DCR|4VULN|2DUR|1TLV	1459VULN|23DUR|6RCVC|7RCR|8TLV|aASPD
84	63133 22144	7	   	260.33	DCR|4VULN|2DUR|1TLV	1489VULN|23DUR|5BEXP|6LIT|7RCR|aTLV
