0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24316 26112	10	 * 	267.83	DCR|3VULN|2DMG|2TLV|1CDMG	18ERES|24DMG|389VULN|5LIT|6CDMG|78TLV|8BPWR|aRCR
59	54312 23323	8	   	243.61	DCR|2VULN|3DMG|1TLV|2LIT	1MLV|245DMG|3aVULN|69LIT|7TLV|8RCR
60	54312 23332	10	   	243.61	DCR|2VULN|3DMG|1TLV|2LIT	1MLV|245DMG|3aVULN|69LIT|7TLV|8RCR
61	54312 23333	9	   	243.61	DCR|2VULN|3DMG|1TLV|2LIT	1MLV|245DMG|3aVULN|69LIT|7TLV|8RCR
62	53313 52112	10	 * 	243.52	DCR|4VULN|1DMG|2CDMG	18MLV|2CGEN|3589VULN|4DMG|6LIT|78CDMG|8BPWR|aRCR
63	53362 52112	10	   	243.52	DCR|4VULN|1DMG|2CDMG	18MLV|2CGEN|3489VULN|5DMG|6LIT|78CDMG|8BPWR|aRCR
64	24312 23332	10	   	243.51	DCR|2VULN|3DMG|1TLV|2LIT	1ERES|245DMG|3aVULN|69LIT|7TLV|8RCR
65	24312 24532	10	   	243.51	DCR|2VULN|3DMG|1TLV|2LIT	1ERES|245DMG|3aVULN|69LIT|7RCR|8TLV
66	23313 52112	10	   	243.32	DCR|4VULN|1DMG|2CDMG	18ERES|2CGEN|3589VULN|4DMG|6LIT|78CDMG|8BPWR|aRCR
67	55212 32511	10	 * 	242.93	DCR|2VULN|2TLV|2DUR|1DMG	17MLV|2LWND|37DUR|4aTLV|5DMG|67VULN|7BPWR|8ASPD|9RCR
68	24312 35531	10	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1ERES|245DMG|3aVULN|6RCR|7BELT|8CDMG|9TLV
69	24312 35532	9	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1ERES|245DMG|3aVULN|6RCR|7BELT|8CDMG|9TLV
70	24315 53323	3	   	241.73	DCR|3VULN|2TLV|1DMG|1CDMG	1ERES|2DMG|359VULN|4BBNT|6aTLV|7RCR|8CDMG
71	54312 21612	10	   	241.69	DCR|2VULN|3DMG|2DUR	1MLV|245DMG|38VULN|6LIT|7aDUR|9RCR
72	24312 21612	10	   	241.59	DCR|2VULN|3DMG|2DUR	1ERES|245DMG|38VULN|6LIT|7aDUR|9RCR
73	24333 12154	4	   	241.59	DCR|2VULN|3DMG|2DUR	1ERES|268DMG|3aVULN|4ASPD|57DUR|9RCR
74	23313 53525	5	   	240.94	DCR|4VULN|2DMG	17ERES|2CGEN|3579VULN|47DMG|6BELT|7BPWR|8LIT|aRCR
75	54312 36111	9	   	240.89	DCR|3VULN|3DMG|1CDMG	1MLV|245DMG|379VULN|6RCR|8BEXP|aCDMG
76	24316 31353	8	   	240.84	DCR|4VULN|2DMG	1ERES|24DMG|369aVULN|5LIT|7RCR|8LWND
77	54312 21612	9	   	240.75	DCR|2VULN|3DMG|1DUR|1CDMG	1MLV|245DMG|38VULN|6LIT|7DUR|9RCR|aCDMG
78	24315 33124	4	   	240.69	DCR|3VULN|3DMG|1CDMG	1ERES|24aDMG|367VULN|5CDMG|8TBNT|9RCR
79	54213 21143	2	 * 	240.67	DCR|2VULN|2DMG|3ASPD|1DUR|1CDMG	1aMLV|25DMG|35aASPD|4RMIN|5aBPWR|6RCR|7CDMG|8DUR|9aVULN
80	24312 21612	9	   	240.65	DCR|2VULN|3DMG|1DUR|1CDMG	1ERES|245DMG|38VULN|6LIT|7DUR|9RCR|aCDMG
81	54312 36131	7	   	240.65	DCR|3VULN|3DMG|1CDMG|1SELL	1MLV|245DMG|379VULN|6RCR|8SELL|aCDMG
82	24311 36513	5	 * 	240.52	DCR|2VULN|3DUR|2DMG|1AART	1ERES|24DMG|39VULN|56aDUR|7RCR|8AART
83	24316 31312	7	 * 	240.48	DCR|2VULN|3DMG|2CDMG|1AART	1aERES|24aDMG|36VULN|5LIT|7RCR|8aCDMG|9AART|aBPWR
84	24213 21143	2	   	240.47	DCR|2VULN|2DMG|3ASPD|1DUR|1CDMG	1aERES|25DMG|35aASPD|4RMIN|5aBPWR|6RCR|7CDMG|8DUR|9aVULN
85	53312 52112	10	 * 	240.06	DCR|3VULN|2DMG|2CDMG	18MLV|2CGEN|389VULN|45DMG|6LIT|78CDMG|8BPWR|aRCR
86	23312 52112	10	   	239.86	DCR|3VULN|2DMG|2CDMG	18ERES|2CGEN|389VULN|45DMG|6LIT|78CDMG|8BPWR|aRCR
87	24132 14143	5	   	239.78	DCR|2VULN|2DMG|2DUR|1CDMG	1ERES|2aDMG|35ZMB|4CDMG|6RCR|7aDUR|8ASPD|9aVULN|aBPWR
88	24133 63143	7	   	239.68	DCR|2VULN|2DMG|2DUR|1CDMG	17ERES|2aDMG|3ZMB|4CDMG|5aDUR|6RCR|8ASPD|9aVULN|aBPWR
89	55212 32134	7	   	239.67	DCR|2VULN|3DUR|1TLV|1DMG	17MLV|2LWND|37aDUR|4TLV|5DMG|67VULN|7BPWR|8DLOT|9RCR
90	23111 53412	1	   	239.37	DCR|2VULN|3DUR|1TLV|1DMG	1ERES|259DUR|3DMG|4BBNT|6TLV|7RCR|8aVULN
91	23113 43412	1	   	239.37	DCR|2VULN|3DUR|1TLV|1DMG	1ERES|269DUR|3DMG|4BBNT|5TLV|7RCR|8aVULN
92	23131 53412	1	   	239.37	DCR|2VULN|3DUR|1TLV|1DMG	1ERES|259DUR|3DMG|4TBNT|6TLV|7RCR|8aVULN
93	23133 43412	1	   	239.37	DCR|2VULN|3DUR|1TLV|1DMG	1ERES|269DUR|3DMG|4TBNT|5TLV|7RCR|8aVULN
94	25162 12226	10	 * 	238.93	DCR|4VULN|2TLV|1AART	19ERES|2LWND|3BELT|4AART|579aVULN|69TLV|8RCR|9BPWR
95	21442 16121	10	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1ERES|2BEXP|3DUR|45DMG|6TLV|7AART|8RCR|9aVULN
96	21442 16121	9	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1ERES|2BEXP|3DUR|45DMG|6TLV|7AART|8RCR|9aVULN
97	24511 16121	10	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1ERES|24DMG|3BEXP|5DUR|6TLV|7AART|8RCR|9aVULN
98	24511 16121	9	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1ERES|24DMG|3BEXP|5DUR|6TLV|7AART|8RCR|9aVULN
99	24312 32354	10	   	238.31	DCR|2VULN|3DMG|1TLV|1AART	1ERES|245DMG|3aVULN|6RCR|7BEXP|8AART|9TLV
100	24312 33354	10	   	238.31	DCR|2VULN|3DMG|1TLV|1AART	1ERES|245DMG|3aVULN|6RCR|7LWND|8AART|9TLV
101	11611 14533	2	 * 	238.26	DCR|3VULN|3DUR|1DMG	18FEWX|28LWND|39aVULN|4DMG|578DUR|6RCR|8BPWR
102	25162 12222	9	   	237.94	DCR|3VULN|2TLV|1DMG|1AART	19ERES|2LWND|3BELT|4AART|579VULN|69TLV|8RCR|9BPWR|aDMG
