0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41132 13426	1	 * 	270.37	DCR|5VULN|2DUR|1TLV	1348aVULN|24aDUST|4aBPWR|5TLV|6LHND|7aDUR|9RCR
98	42313 24224	9	   	245.00	DCR|2VULN|3DMG|1TLV|1DUR	1aVULN|2RMIN|3DUR|4FEWX|578DMG|6RCR|9TLV
99	42313 24224	8	   	245.00	DCR|2VULN|3DMG|1TLV|1DUR	1aVULN|2RMIN|3DUR|4FEWX|578DMG|6RCR|9TLV
100	42333 24224	8	   	245.00	DCR|2VULN|3DMG|1TLV|1DUR	1aVULN|2RMIN|3DUR|4BEXP|578DMG|6RCR|9TLV
101	42333 24224	9	   	245.00	DCR|2VULN|3DMG|1TLV|1DUR	1aVULN|2RMIN|3DUR|4BEXP|578DMG|6RCR|9TLV
102	42333 24252	10	   	245.00	DCR|2VULN|3DMG|1TLV|1DUR	19VULN|2RMIN|3DUR|4BEXP|578DMG|6RCR|aTLV
103	42323 24152	10	   	244.90	DCR|2VULN|3DMG|1TLV|1DUR	18VULN|2RMIN|3DUR|4DUST|579DMG|6RCR|aTLV
104	42323 24224	8	   	244.90	DCR|2VULN|3DMG|1TLV|1DUR	1aVULN|2RMIN|3DUR|4DUST|578DMG|6RCR|9TLV
105	42323 24224	9	   	244.90	DCR|2VULN|3DMG|1TLV|1DUR	1aVULN|2RMIN|3DUR|4DUST|578DMG|6RCR|9TLV
106	45132 42211	1	   	244.86	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24FEWX|4BPWR|5TLV|6RCR|7CGEN|8LIT|9DUR|aDMG
107	45132 43113	1	   	244.86	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24FEWX|4BPWR|5TLV|6RCR|7DUR|8RCVC|9LIT|aDMG
108	46132 42211	1	   	244.86	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24BEXP|4BPWR|5TLV|6RCR|7CGEN|8LIT|9DUR|aDMG
109	46132 42211	2	   	244.86	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24BEXP|4BPWR|5TLV|6RCR|7CGEN|8LIT|9DUR|aDMG
110	46132 43113	1	   	244.86	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24BEXP|4BPWR|5TLV|6RCR|7DUR|8RCVC|9LIT|aDMG
111	46132 43113	2	   	244.86	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24BEXP|4BPWR|5TLV|6RCR|7DUR|8RCVC|9LIT|aDMG
112	41163 23423	1	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1368VULN|2DUST|4FEWX|5DMG|7DUR|9RCR|aCDMG
113	42113 23423	1	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1368VULN|2LEGI|4FEWX|5DMG|7DUR|9RCR|aCDMG
114	41132 42211	1	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24DUST|4BPWR|5TLV|6RCR|7CGEN|8LIT|9DUR|aDMG
115	41132 43113	1	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24DUST|4BPWR|5TLV|6RCR|7DUR|8RCVC|9LIT|aDMG
116	41135 42322	1	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24DUST|4BPWR|5ASPD|6RMIN|7TLV|8DUR|9RCR|aDMG
117	45132 42211	2	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24DUST|4BPWR|5TLV|6RCR|7CGEN|8LIT|9DUR|aDMG
118	45132 43113	2	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24DUST|4BPWR|5TLV|6RCR|7DUR|8RCVC|9LIT|aDMG
119	41132 43241	1	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24DUST|4BPWR|5TLV|6RCR|7DUR|8LIT|9ERES|aDMG
120	41132 44111	1	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	134VULN|24DUST|4BPWR|5TLV|6RCR|7LIT|8ERES|9DUR|aDMG
121	42152 61322	1	 * 	244.43	DCR|3VULN|2TLV|1DMG|1DUR	136VULN|2LEGI|4RCVC|56TLV|6BPWR|7DUST|8DUR|9RCR|aDMG
122	15314 31121	3	   	244.42	DCR|3VULN|2DUR|1TLV|1CDMG	1ERES|23DUR|4CDMG|568VULN|7DLOT|9RCR|aTLV
123	24221 13322	8	   	244.30	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	1LHND|28LIT|3TLV|4ZMB|58DMG|6DUR|78VULN|8BPWR|9TBNT|aRCR
124	44331 38334	8	 * 	244.22	DCR|4VULN|2TLV|2LIT	1689VULN|28LIT|3BEXP|4MBVNT|5FEWX|78TLV|8BPWR|aRCR
125	41131 13426	1	   	244.16	DCR|5VULN|2DUR	1348aVULN|24aDUST|4aBPWR|5MLV|6LHND|7aDUR|9RCR
126	42342 12226	3	 * 	244.13	DCR|2VULN|2DMG|2DUR|1TLV	1aVULN|2RMIN|3aDUR|4TLV|5LHND|6aDMG|7RCVC|8DMSP|9RCR|aBPWR
127	42342 12326	3	   	244.13	DCR|2VULN|2DMG|2DUR|1TLV	1aVULN|2RMIN|3aDUR|4TLV|58LHND|6aDMG|7RCVC|9RCR|aBPWR
128	43313 53513	6	   	244.07	DCR|2VULN|2DUR|1TLV|1DMG|1AART|1SELL	18VULN|2SELL|35DUR|4AART|6RCR|7TLV|9LIT|aDMG
129	43331 42321	3	 * 	243.96	DCR|3VULN|3DUR|1TLV|1SELL	156VULN|2SELL|349DUR|7TLV|8RCVC|aRCR
130	43431 42321	2	 * 	243.96	DCR|3VULN|3DUR|1TLV|1SELL	156VULN|2SELL|349DUR|7TLV|8RCVC|aRCR
131	42313 22162	8	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	19VULN|2RMIN|38DUR|4FEWX|5aDMG|6RCR|7TLV
132	42313 23122	9	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	18VULN|2RMIN|37DUR|4FEWX|5aDMG|6RCR|9TLV
133	42313 23154	10	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	18VULN|2RMIN|37DUR|4FEWX|59DMG|6RCR|aTLV
134	42313 24122	10	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	18VULN|2RMIN|3aDUR|4FEWX|57DMG|6RCR|9TLV
135	42313 24125	9	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	18VULN|2RMIN|3aDUR|4FEWX|57DMG|6RCR|9TLV
136	42333 22162	8	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	19VULN|2RMIN|38DUR|4BEXP|5aDMG|6RCR|7TLV
137	42333 23154	10	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	18VULN|2RMIN|37DUR|4BEXP|59DMG|6RCR|aTLV
138	42343 23222	3	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	16VULN|2RMIN|37DUR|4TLV|5aDMG|8BEXP|9RCR
139	42354 23222	3	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	16VULN|2RMIN|37DUR|4aDMG|5TLV|8BEXP|9RCR
140	42323 22162	8	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	19VULN|2RMIN|38DUR|4DUST|5aDMG|6RCR|7TLV
141	42323 23154	10	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	18VULN|2RMIN|37DUR|4DUST|59DMG|6RCR|aTLV
142	42366 11222	8	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	15VULN|2RMIN|34DUR|6TLV|7LEGI|8aDMG|9RCR
143	42366 21222	8	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	15VULN|2RMIN|34DUR|6DUST|7TLV|8aDMG|9RCR
144	42313 24116	10	   	243.69	DCR|3VULN|3DMG|1DUR	18aVULN|2RMIN|3DUR|49aFEWX|57aDMG|6RCR|aBPWR
145	42333 24136	10	   	243.69	DCR|3VULN|3DMG|1DUR	18aVULN|2RMIN|3DUR|49aBEXP|57aDMG|6RCR|aBPWR
146	42313 21156	10	   	243.69	DCR|3VULN|3DMG|1DUR	18aVULN|27RMIN|3DUR|4aFEWX|59aDMG|6RCR|aBPWR
147	42333 21156	10	   	243.69	DCR|3VULN|3DMG|1DUR	18aVULN|27RMIN|3DUR|4aBEXP|59aDMG|6RCR|aBPWR
148	42313 24153	10	   	243.49	DCR|3VULN|3DMG|1DUR	18aVULN|2RMIN|3DUR|4FEWX|579DMG|6RCR
149	42333 24153	10	   	243.49	DCR|3VULN|3DMG|1DUR	18aVULN|2RMIN|3DUR|4BEXP|579DMG|6RCR
150	42333 24253	10	   	243.49	DCR|3VULN|3DMG|1DUR	19aVULN|2RMIN|3DUR|4BEXP|578DMG|6RCR
151	42323 21152	10	   	243.49	DCR|3VULN|3DMG|1DUR	18aVULN|27RMIN|3DUR|4aDUST|59aDMG|6RCR|aBPWR
152	42323 24153	10	   	243.39	DCR|3VULN|3DMG|1DUR	18aVULN|2RMIN|3DUR|4DUST|579DMG|6RCR
153	42313 24123	9	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	18VULN|2RMIN|3DUR|4FEWX|57DMG|6RCR|9TLV|aCDMG
154	42333 22251	9	 * 	242.69	DCR|2VULN|2TLV|2DUR|1DMG|1SELL	19VULN|2RMIN|39DUR|4BEXP|5DMG|6RCR|79TLV|8SELL|9BPWR|aLIT
155	42333 22251	10	 * 	242.69	DCR|2VULN|2TLV|2DUR|1DMG|1SELL	19VULN|2RMIN|39DUR|4BEXP|5DMG|6RCR|79TLV|8SELL|9BPWR|aASPD
156	42333 22252	10	 * 	242.69	DCR|2VULN|2TLV|2DUR|1DMG|1SELL	19VULN|2RMIN|39DUR|4BEXP|5DMG|6RCR|79TLV|8SELL|9BPWR|aLIT
157	42313 23116	10	   	242.62	DCR|3VULN|2DMG|2DUR	18aVULN|2RMIN|37DUR|49aFEWX|5aDMG|6RCR|aBPWR
158	42333 23136	10	   	242.62	DCR|3VULN|2DMG|2DUR	18aVULN|2RMIN|37DUR|49aBEXP|5aDMG|6RCR|aBPWR
159	42323 22251	10	 * 	242.59	DCR|2VULN|2TLV|2DUR|1DMG|1SELL	19VULN|2RMIN|39DUR|4DUST|5DMG|6RCR|79TLV|8SELL|9BPWR|aASPD
160	42323 22251	9	 * 	242.59	DCR|2VULN|2TLV|2DUR|1DMG|1SELL	19VULN|2RMIN|39DUR|4DUST|5DMG|6RCR|79TLV|8SELL|9BPWR|aLIT
161	42323 22252	10	 * 	242.59	DCR|2VULN|2TLV|2DUR|1DMG|1SELL	19VULN|2RMIN|39DUR|4DUST|5DMG|6RCR|79TLV|8SELL|9BPWR|aLIT
162	42313 23155	9	   	242.42	DCR|3VULN|2DMG|2DUR	18aVULN|2RMIN|37DUR|4FEWX|59DMG|6RCR
163	42313 23155	10	   	242.42	DCR|3VULN|2DMG|2DUR	18aVULN|2RMIN|37DUR|4FEWX|59DMG|6RCR
164	42313 24115	8	   	242.42	DCR|3VULN|2DMG|2DUR	18aVULN|2RMIN|39DUR|4FEWX|57DMG|6RCR
165	42333 23155	9	   	242.42	DCR|3VULN|2DMG|2DUR	18aVULN|2RMIN|37DUR|4BEXP|59DMG|6RCR
166	42333 23155	10	   	242.42	DCR|3VULN|2DMG|2DUR	18aVULN|2RMIN|37DUR|4BEXP|59DMG|6RCR
167	42333 24115	8	   	242.42	DCR|3VULN|2DMG|2DUR	18aVULN|2RMIN|39DUR|4BEXP|57DMG|6RCR
168	42323 23155	10	   	242.32	DCR|3VULN|2DMG|2DUR	18aVULN|2RMIN|37DUR|4DUST|59DMG|6RCR
169	42323 23155	9	   	242.32	DCR|3VULN|2DMG|2DUR	18aVULN|2RMIN|37DUR|4DUST|59DMG|6RCR
170	42323 24115	8	   	242.32	DCR|3VULN|2DMG|2DUR	18aVULN|2RMIN|39DUR|4DUST|57DMG|6RCR
