0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22632 13262	9	 * 	291.45	DCR|5VULN|3DMG|2LIT|1AART	14679VULN|2ZMB|39LIT|569DMG|69BPWR|8AART|aRCR
57	21622 13366	7	   	263.35	DCR|4VULN|3DMG|2LIT	167aVULN|24CGEN|3aLIT|56aDMG|6aBPWR|8RCR|9BBNT
58	21632 13355	7	   	263.25	DCR|4VULN|3DMG|2LIT	1679VULN|2CGEN|34LIT|56aDMG|6BPWR|8RCR
59	36211 13344	7	 * 	263.15	ACR|5VULN|3DUR|2DMG	1RCR|2RMIN|3478aVULN|58FEWX|68aDUR|8aBPWR|9aDMG
60	36212 13344	7	   	262.95	ACR|5VULN|3DUR|2DMG	1RCR|2RMIN|3478aVULN|58DUST|68aDUR|8aBPWR|9aDMG
61	31252 23344	1	   	262.80	ACR|5VULN|3DUR|2DMG|1SELL	1RCR|2467aVULN|34aDUR|4aBPWR|5RPLT|8SELL|9aDMG
62	31661 13413	10	   	262.78	ACR|4VULN|3DUR|1TLV|1DMG|1AART	1RCR|267DUR|3DMG|47ERES|5678VULN|67BPWR|9AART|aTLV
63	26311 31515	1	   	262.54	DCR|4VULN|2DMG|1DUR|1CDMG	1358VULN|2RPLT|35BPWR|45DMG|6DUST|7CDMG|9DUR|aRCR
64	24643 13222	8	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	129VULN|37DMG|4RPLT|5TLV|6RCR|8ASPD|aDUR
65	26643 13222	8	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	129VULN|2BPWR|37DMG|4RPLT|5TLV|6RCR|8ASPD|aDUR
66	21433 11241	10	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	157VULN|2CGEN|3LWND|45TLV|5BPWR|6RCR|8aDMG|9DUR
67	21433 11244	8	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	157VULN|2CGEN|3LWND|45TLV|5BPWR|6RCR|89DMG|aDUR
68	23553 42231	7	 * 	261.78	DCR|4VULN|2DUR|1TLV|1AART	157aVULN|2LHND|3FEWX|45DUR|5BPWR|6AART|8RCR|9TLV
69	24663 12311	10	 * 	261.75	DCR|3VULN|3DMG|1TLV	127VULN|368DMG|4ASPD|5TLV|9RMIN|aRCR
70	24663 12312	9	   	261.75	DCR|3VULN|3DMG|1TLV	127VULN|368DMG|4ASPD|5TLV|9RMIN|aRCR
71	26663 12311	10	   	261.75	DCR|3VULN|3DMG|1TLV	127VULN|2BPWR|368DMG|4ASPD|5TLV|9RMIN|aRCR
72	26663 12312	9	   	261.75	DCR|3VULN|3DMG|1TLV	127VULN|2BPWR|368DMG|4ASPD|5TLV|9RMIN|aRCR
