0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32251 42326	7	 * 	280.01	DCR|3VULN|3DMG|3DUR	1RMIN|2RCVC|389VULN|489DMG|5LWND|6ASPD|789DUR|89BPWR|aRCR
23	42424 11212	5	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	15RPLT|27LIT|367DUR|47VULN|7BPWR|8DMG|9TLV|aRCR
24	42426 11212	4	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RPLT|27LIT|367DUR|47VULN|5RCVC|7BPWR|8DMG|9TLV|aRCR
25	43523 11212	1	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RPLT|27VULN|37LIT|4DMSP|567DUR|7BPWR|8DMG|9TLV|aRCR
26	42421 31242	4	   	253.12	DCR|3VULN|3DUR|1DMG|2LIT	1RPLT|27LIT|357DUR|467VULN|7BPWR|8DMG|9ZMB|aRCR
27	42423 31242	5	   	253.12	DCR|3VULN|3DUR|1DMG|2LIT	1RPLT|27LIT|357DUR|467VULN|7BPWR|8DMG|9ZMB|aRCR
28	35133 63411	9	   	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|235DUR|469VULN|79TLV|8RCR|9BPWR|aLWND
29	35133 63412	9	   	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|235DUR|469VULN|79TLV|8RCR|9BPWR|aMLV
30	35133 63413	9	   	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|235DUR|469VULN|79TLV|8RCR|9BPWR|aLHND
31	35133 63413	10	   	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|235DUR|469VULN|79TLV|8RCR|9BPWR|aBELT
32	35135 12322	9	   	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|23aDUR|48aVULN|5ERES|6RCR|7CGEN|9aTLV|aBPWR
33	35433 23411	9	   	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|256DUR|349VULN|79TLV|8RCR|9BPWR|aLWND
34	35433 23412	9	   	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|256DUR|349VULN|79TLV|8RCR|9BPWR|aMLV
35	35433 23413	9	   	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|256DUR|349VULN|79TLV|8RCR|9BPWR|aLHND
36	35433 23413	10	   	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|256DUR|349VULN|79TLV|8RCR|9BPWR|aBELT
37	31116 32341	5	 * 	252.33	DCR|3VULN|3DUR|3TLV|1SELL	1RMIN|2RPLT|3SELL|49aDUR|5CGEN|6RCR|79aTLV|89aVULN|9aBPWR
38	35133 63411	10	   	252.28	DCR|3VULN|3DUR|2TLV	1RMIN|235DUR|469VULN|79TLV|8RCR|9BPWR|aERES
39	35433 23411	10	   	252.28	DCR|3VULN|3DUR|2TLV	1RMIN|256DUR|349VULN|79TLV|8RCR|9BPWR|aERES
40	31111 34441	4	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1RMIN|2RPLT|3SELL|49aDUR|5ERES|6RCR|79aVULN|89aTLV|9aBPWR
41	31131 31441	4	 * 	252.23	DCR|3VULN|3DUR|3TLV|1SELL	1RMIN|2RPLT|3SELL|49aVULN|5ERES|6RCR|79aDUR|89aTLV|9aBPWR
42	62231 11641	7	   	252.18	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	1NUKE|2RCVC|379VULN|4AART|59DUR|6RCR|89DMG|9BPWR|aMLV
43	62231 11642	7	   	252.18	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	1NUKE|2RCVC|379VULN|4AART|59DUR|6RCR|89DMG|9BPWR|aBEXP
44	62231 11643	7	   	252.18	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	1NUKE|2RCVC|379VULN|4AART|59DUR|6RCR|89DMG|9BPWR|aCGEN
45	35236 61123	5	 * 	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1RMIN|27DUR|3aTLV|4BELT|57VULN|67DMG|7BPWR|8TBNT|9RCR
46	64332 11513	9	   	252.08	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	1NUKE|2aDMG|3RMIN|4AART|57aVULN|6RCR|8aDUR|9LEGI|aBPWR
47	35463 22323	7	 * 	251.70	ACR|5VULN|3DUR|1TLV	1RMIN|289DUR|35789VULN|4RCR|689LWND|89BPWR|aTLV
48	43123 43262	8	   	251.51	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	1RPLT|29LWND|379VULN|4TLV|5DMG|6RCR|89LIT|9BPWR|aDUR
49	34223 56213	8	   	251.20	DCR|3VULN|2DMG|1DUR|2LIT	1RMIN|28DMG|38LIT|4ASPD|5CGEN|678VULN|8BPWR|9DUR|aRCR
50	35234 63381	1	 * 	250.92	DCR|3VULN|3DMG|3ASPD	1RMIN|258ASPD|358DMG|4MBVNT|58BPWR|68aVULN|7BBNT|9RCR
51	66222 83244	1	 * 	250.92	DCR|2VULN|3DUR|2DMG|2CDMG|1NUKE	1NUKE|2aCDMG|36DMG|46aDUR|5MBVNT|6aBPWR|7RCR|8aVULN|9BBNT
