0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55122 31711	1	 * 	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	17CDMG|2aDMG|3BBNT|4MBVNT|579VULN|67DUR|7BPWR|8RCR
24	62221 13522	3	 * 	261.57	DCR|2VULN|2DMG|2ASPD|2CDMG|1DUR	1ZMB|2aDMG|35VULN|4DUR|6aCDMG|7LIT|8aASPD|9RCR|aBPWR
25	53313 12512	8	 * 	260.98	DCR|2VULN|2DMG|2DUR|3CDMG	14aCDMG|25DUR|3aVULN|6LIT|7LHND|8RCR|9aDMG|aBPWR
26	41331 13164	10	 * 	260.33	DCR|4VULN|2DUR|1CDMG	1CGEN|24DUR|3LIT|578aVULN|6RCR|9CDMG
27	41351 11122	8	 * 	260.01	DCR|4VULN|3DUR	15CGEN|27aDUR|3LIT|4589VULN|5BPWR|6RCR
28	41351 13622	7	   	260.01	DCR|4VULN|3DUR	15CGEN|28aDUR|3LIT|4579VULN|5BPWR|6RCR
29	13324 34433	1	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1LHND|2TBNT|359aVULN|4DMG|6DUR|7RCR|8TLV
30	23324 34433	1	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1LWND|2TBNT|359aVULN|4DMG|6DUR|7RCR|8TLV
31	23324 36233	1	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1LWND|2TBNT|358aVULN|4DMG|6DUR|7TLV|9RCR
32	41331 13122	8	   	259.91	DCR|4VULN|3DUR	1CGEN|24aDUR|3LIT|5789VULN|6RCR
33	62211 22351	10	 * 	258.68	DCR|3VULN|3DUR|1DMG|1AART	1ZMB|2DMG|38aVULN|4AART|569DUR|7RCR
34	53335 44161	10	 * 	258.44	DCR|4VULN|2DUR|2CDMG	19CDMG|26DUR|3689VULN|4LEGI|5MBVNT|69BPWR|79CGEN|aRCR
35	33121 55432	1	 * 	258.28	DCR|2VULN|3DUR|1DMG|2CDMG|1TLV|1SELL	1SELL|23aDUR|4TLV|5aCDMG|6MLV|7DMG|8RCR|9aVULN|aBPWR
36	55122 11711	1	 * 	258.07	DCR|3VULN|3DMG|2CDMG	17CDMG|27aDMG|3BBNT|4MBVNT|579VULN|6LEGI|7BPWR|8RCR
37	65211 62231	8	   	258.01	DCR|4VULN|1TLV|1DUR|1AART	1ZMB|2TLV|3689VULN|4AART|5DUR|7RCR|aLIT
38	53313 16132	9	   	257.23	DCR|3VULN|3DUR|2CDMG	14CDMG|257DUR|389VULN|6LIT|aRCR
39	53353 33132	9	   	257.23	DCR|3VULN|3DUR|2CDMG	16CDMG|245DUR|389VULN|7LIT|aRCR
40	51311 51316	6	 * 	256.96	DCR|3VULN|2DMG|3CDMG	148CDMG|2DUST|38aVULN|5RMIN|6RCR|78DMG|8BPWR|9LIT
41	51311 52316	7	   	256.96	DCR|3VULN|2DMG|3CDMG	148CDMG|2DUST|38aVULN|5RMIN|6RCR|78DMG|8BPWR|9LIT
42	62211 32331	8	   	256.77	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|389VULN|4AART|5DUR|7RCR|aLIT
43	62211 32531	7	   	256.77	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|389VULN|4AART|5DUR|7RCR|aLIT
44	36622 31711	1	 * 	256.76	DCR|3VULN|2DUR|2ASPD|1DMG|1SELL	1SELL|2TBNT|37ASPD|4MBVNT|579VULN|67DUR|7BPWR|8RCR|aDMG
45	62211 62352	10	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ZMB|2DMG|368VULN|4AART|59DUR|7RCR|aASPD
46	62214 51132	10	   	255.84	DCR|3VULN|3DMG|2AART	16aZMB|27aDMG|39aVULN|45AART|8RCR|aBPWR
47	55122 31712	1	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	17CDMG|2DMG|3BBNT|4MBVNT|579VULN|67DUR|7BPWR|8RCR|aBEXP
48	55122 31713	1	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	17CDMG|2DMG|3BBNT|4MBVNT|579VULN|67DUR|7BPWR|8RCR|aCGEN
49	62211 62343	8	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1ZMB|2DMG|368VULN|4AART|5DUR|7RCR|9CDMG|aASPD
50	62211 62313	10	   	255.43	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1ZMB|2DMG|368VULN|4AART|5DUR|7RCR|9TLV|aLIT
51	65211 22235	8	   	255.29	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1ZMB|2TLV|389VULN|4AART|56DUR|7RCR|aCDMG
52	53311 14612	10	   	255.16	DCR|3VULN|3DUR|3CDMG	147CDMG|267DUR|379VULN|5RMIN|7BPWR|8RPLT|aRCR
53	61323 22216	3	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	1ZMB|27DUR|3LIT|4DMG|56aVULN|8RCR|9ASPD
54	61363 22216	4	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	1ZMB|27DUR|3LIT|4DMG|56aVULN|8RCR|9ASPD
55	61423 22216	2	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	1ZMB|27DUR|3LIT|4DMG|56aVULN|8RCR|9ASPD
56	62223 22216	3	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	1ZMB|2DMG|36aVULN|47DUR|5LIT|8RCR|9ASPD
57	53333 14225	10	   	255.06	DCR|3VULN|3DUR|3CDMG	158CDMG|268DUR|378VULN|4LEGI|8BPWR|9CGEN|aRCR
58	53333 14231	8	   	255.06	DCR|3VULN|3DUR|3CDMG	158CDMG|268DUR|378VULN|4LEGI|8BPWR|9RCR|aLWND
59	53333 14236	8	   	255.06	DCR|3VULN|3DUR|3CDMG	158CDMG|268DUR|378VULN|4LEGI|8BPWR|9RCR|aRCVC
60	53333 14234	8	   	254.96	DCR|3VULN|3DUR|3CDMG	158CDMG|268DUR|378VULN|4LEGI|8BPWR|9RCR|aTBNT
61	23324 35533	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|2TBNT|35aVULN|47DMG|6DUR|8TLV|9RCR
62	23324 36533	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|2TBNT|35aVULN|48DMG|6DUR|7TLV|9RCR
63	53354 21312	6	   	254.94	DCR|2VULN|2DMG|2DUR|2CDMG	1aCDMG|24DUR|3aVULN|5LIT|68BEXP|7RCR|9aDMG|aBPWR
64	53533 12512	8	   	254.94	DCR|2VULN|2DMG|2DUR|2CDMG	1aCDMG|25DUR|3DMSP|4aVULN|6LIT|7LHND|8RCR|9aDMG|aBPWR
65	51331 32232	8	   	254.92	DCR|3VULN|3DUR|3CDMG|1SELL	18aCDMG|2DUST|38aVULN|4LEGI|58aDUR|6RPLT|7RCR|8aBPWR|9SELL
66	62241 32132	3	   	254.85	DCR|4VULN|2DMG|1AART	1aZMB|2aDMG|349aVULN|5BBNT|6AART|7TBNT|8RCR|aBPWR
67	62241 32132	4	   	254.85	DCR|4VULN|2DMG|1AART	1aZMB|2aDMG|349aVULN|5BBNT|6AART|7TBNT|8RCR|aBPWR
68	62241 43132	3	   	254.85	DCR|4VULN|2DMG|1AART	1aZMB|2aDMG|349aVULN|5BBNT|6TBNT|7AART|8RCR|aBPWR
69	62241 43132	4	   	254.85	DCR|4VULN|2DMG|1AART	1aZMB|2aDMG|349aVULN|5BBNT|6TBNT|7AART|8RCR|aBPWR
70	62211 62351	9	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	1ZMB|2DMG|368VULN|4AART|59DUR|7RCR|aLIT
71	62211 22331	8	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	1ZMB|2DMG|389VULN|4AART|56DUR|7RCR|aLIT
72	62211 22531	7	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	1ZMB|2DMG|389VULN|4AART|56DUR|7RCR|aLIT
73	56211 53111	9	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1CDMG|2ERES|389aVULN|4TLV|5RMIN|6RCR|7DUR
74	62211 62321	8	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|368aVULN|4AART|5DUR|7RCR|9LWND
75	62211 62333	8	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|3689VULN|4AART|5DUR|7RCR|aLHND
76	62211 62361	8	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|368aVULN|4AART|5DUR|7RCR|9BEXP
77	62211 62521	7	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|368aVULN|4AART|5DUR|7RCR|9LWND
78	62211 62533	7	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|3689VULN|4AART|5DUR|7RCR|aLHND
79	62212 41136	4	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|3679VULN|4AART|5LHND|8DUR|aRCR
80	62243 11136	6	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|3479VULN|5AART|6LHND|8DUR|aRCR
81	62243 12251	9	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|348aVULN|5AART|6LHND|7RCR|9DUR
82	62211 32312	9	   	253.46	DCR|2VULN|3DMG|1TLV|1DUR|1AART	1ZMB|26aDMG|38VULN|4AART|5DUR|7RCR|9TLV
83	62211 62332	8	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|3689VULN|4AART|5DUR|7RCR|aTBNT
84	62211 62335	8	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|3689VULN|4AART|5DUR|7RCR|aMBVNT
85	62211 62336	8	   	253.41	DCR|4VULN|1DMG|1DUR|1NUKE|1AART	1ZMB|2DMG|3689VULN|4AART|5DUR|7RCR|aNUKE
86	62211 62341	9	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|368aVULN|4AART|5DUR|7RCR|9MBVNT
87	62211 62532	7	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|3689VULN|4AART|5DUR|7RCR|aTBNT
88	63211 62336	8	   	253.41	DCR|4VULN|1DMG|1DUR|1NUKE|1AART	1ZMB|2NUKE|3689VULN|4AART|5DUR|7RCR|aDMG
89	41353 13122	8	   	253.23	DCR|4VULN|2DUR|2LIT	1CGEN|2aDUR|35LIT|4789VULN|6RCR
90	62211 32314	10	   	252.39	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1ZMB|26DMG|38VULN|4AART|5aDUR|7RCR|9TLV
91	62211 22312	9	   	252.39	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1ZMB|2aDMG|38VULN|4AART|56DUR|7RCR|9TLV
92	61323 23264	3	   	252.16	DCR|4VULN|1DMG|1DUR	1ZMB|2DUR|3LIT|4DMG|569aVULN|7LHND|8RCR
93	62223 23264	3	   	252.16	DCR|4VULN|1DMG|1DUR	1ZMB|2DMG|369aVULN|4DUR|5LIT|7LHND|8RCR
94	41113 23264	2	   	252.16	DCR|4VULN|1DMG|1DUR	1CGEN|2DUR|3LWND|469aVULN|5LIT|7DMG|8RCR
95	61113 23264	2	   	252.16	DCR|4VULN|1DMG|1DUR	1ZMB|2DUR|3LWND|469aVULN|5LIT|7DMG|8RCR
96	23325 34433	1	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1LWND|2TBNT|39aVULN|4DMG|56DUR|7RCR|8TLV
97	23324 36633	1	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1LWND|2TBNT|35aVULN|4DMG|68DUR|7TLV|9RCR
98	23325 36233	1	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1LWND|2TBNT|38aVULN|4DMG|56DUR|7TLV|9RCR
99	53323 14341	9	   	251.95	DCR|3VULN|2DUR|2CDMG|1TLV	15CDMG|26DUR|37aVULN|4LWND|8RCR|9TLV
100	53335 44111	10	   	251.92	DCR|4VULN|2DUR|1CDMG	1CDMG|26DUR|3689VULN|4LEGI|5MBVNT|6BPWR|7CGEN|aRCR
101	53333 14341	9	   	251.85	DCR|3VULN|2DUR|2CDMG|1TLV	15CDMG|26DUR|37aVULN|4LEGI|8RCR|9TLV
102	53335 43111	10	   	251.82	DCR|4VULN|2DUR|1CDMG	1CDMG|26DUR|3689VULN|4LEGI|5MBVNT|6BPWR|7ERES|aRCR
103	41351 13112	10	   	251.73	DCR|5VULN|1DUR	15CGEN|2DUR|3LIT|4578aVULN|5BPWR|6RCR|9LHND
104	41351 13121	8	   	251.73	DCR|5VULN|1DUR	15CGEN|2DUR|3LIT|45789VULN|5BPWR|6RCR|aZMB
105	41351 13122	10	   	251.73	DCR|5VULN|1DUR	15CGEN|2DUR|3LIT|4578aVULN|5BPWR|6RCR|9LWND
106	41351 13126	8	   	251.73	DCR|5VULN|1DUR	15CGEN|2DUR|3LIT|45789VULN|5BPWR|6RCR|aFEWX
107	41351 13132	10	   	251.73	DCR|5VULN|1DUR	15CGEN|2DUR|3LIT|4578aVULN|5BPWR|6RCR|9BEXP
108	11118 13361	8	   	251.70	DCR|4VULN|3DUR	19LHND|2MBVNT|3RPLT|4789VULN|569DUR|9BPWR|aRCR
109	21114 27461	5	   	251.70	DCR|4VULN|3DUR	19LWND|2MBVNT|3RPLT|4569VULN|789DUR|9BPWR|aRCR
110	41351 13122	8	   	251.63	DCR|5VULN|1DUR	15CGEN|2DUR|3LIT|45789VULN|5BPWR|6RCR|aDUST
111	41351 13152	10	   	251.63	DCR|5VULN|1DUR	15CGEN|2DUR|3LIT|4578aVULN|5BPWR|6RCR|9DUST
112	53323 14251	9	   	251.60	DCR|3VULN|2DUR|3CDMG|1AART	158CDMG|26DUR|378VULN|48LWND|8BPWR|9RCR|aAART
113	51313 14133	7	   	251.50	DCR|3VULN|2DUR|3CDMG|1AART	147CDMG|2DUST|379VULN|57DUR|6AART|7BPWR|8LHND|aRCR
114	51313 14225	8	   	251.50	DCR|3VULN|2DUR|3CDMG|1AART	147CDMG|2DUST|379VULN|57DUR|6AART|7BPWR|8CGEN|aRCR
115	51313 14333	7	   	251.50	DCR|3VULN|2DUR|3CDMG|1AART	147CDMG|2DUST|379VULN|57DUR|6AART|7BPWR|8LWND|aRCR
116	51313 14533	8	   	251.50	DCR|3VULN|2DUR|3CDMG|1AART	147CDMG|2DUST|379VULN|57DUR|6AART|7BPWR|8LWND|aRCR
117	41351 13125	8	   	251.49	DCR|5VULN|1DUR|1SELL	15CGEN|2DUR|3LIT|45789VULN|5BPWR|6RCR|aSELL
118	51313 14325	8	   	251.40	DCR|3VULN|2DUR|3CDMG|1AART	147CDMG|2DUST|379VULN|57DUR|6AART|7BPWR|8ERES|aRCR
119	33361 25351	8	   	251.11	DCR|4VULN|3DUR|2SELL	13SELL|2LEGI|4789VULN|579DUR|679DUST|79BPWR|aRCR
120	26361 32263	5	   	251.03	DCR|2VULN|2DMG|2DUR|1TLV	1LWND|24DMG|3LIT|59VULN|6TLV|7aDUR|8RCR
121	51343 11612	3	   	250.92	DCR|3VULN|2DMG|2CDMG	1aCDMG|2DUST|35aVULN|4LIT|68LWND|7RCR|9aDMG|aBPWR
122	53533 16132	9	   	250.92	DCR|3VULN|3DUR|1CDMG	1CDMG|257DUR|3DMSP|489VULN|6LIT|aRCR
123	41331 11154	8	   	250.92	DCR|3VULN|3DUR|1CDMG	1CGEN|247DUR|3LIT|589VULN|6RCR|aCDMG
124	53131 26225	2	   	250.92	DCR|3VULN|3DUR|1CDMG	1CDMG|234DUR|578VULN|6FEWX|9LIT|aRCR
125	53321 11154	10	   	250.92	DCR|3VULN|3DUR|1CDMG	1CDMG|256DUR|39aVULN|4LWND|7LIT|8RCR
126	53321 11155	9	   	250.92	DCR|3VULN|3DUR|1CDMG	1CDMG|256DUR|39aVULN|4LWND|7LIT|8RCR
127	62211 62341	8	   	250.84	DCR|3VULN|1DMG|2CDMG|1DUR|1AART	1ZMB|2DMG|368VULN|4AART|5DUR|7RCR|9aCDMG
128	51343 11512	3	   	250.82	DCR|3VULN|2DMG|2CDMG	1aCDMG|28DUST|35aVULN|4LIT|6LWND|7RCR|9aDMG|aBPWR
129	53331 11154	10	   	250.82	DCR|3VULN|3DUR|1CDMG	1CDMG|256DUR|39aVULN|4LEGI|7LIT|8RCR
130	53331 11155	9	   	250.82	DCR|3VULN|3DUR|1CDMG	1CDMG|256DUR|39aVULN|4LEGI|7LIT|8RCR
131	55122 11714	1	   	250.72	DCR|3VULN|2DMG|2CDMG	17CDMG|27DMG|3BBNT|4MBVNT|579VULN|6LEGI|7BPWR|8RCR|aLIT
132	62223 66332	3	 * 	250.69	DCR|3VULN|2ASPD|1DMG|1DUR|1SELL	1aZMB|2DMG|37aVULN|4DUR|5LIT|6RCR|8SELL|9aASPD|aBPWR
133	56223 13513	8	 * 	250.48	DCR|2VULN|3DUR|1DMG|2CDMG	17CDMG|2ERES|37VULN|4LIT|5CGEN|67aDUR|7BPWR|8RCR|9DMG
134	11435 24746	9	 * 	250.27	DCR|3VULN|3DUR|2ASPD	19LHND|2MBVNT|39ASPD|456DUR|79aVULN|8RCR|9BPWR
135	53314 51132	6	 * 	250.02	DCR|2VULN|3CDMG|2ASPD|1DMG|1DUR	14aCDMG|2DUR|3aVULN|5LIT|6RCR|7RMIN|8DMG|9aASPD|aBPWR
136	65211 22231	8	   	249.95	DCR|3VULN|2DUR|1TLV|1AART	1ZMB|2TLV|389VULN|4AART|56DUR|7RCR|aLIT
137	65211 22531	7	   	249.95	DCR|3VULN|2DUR|1TLV|1AART	1ZMB|2TLV|389VULN|4AART|56DUR|7RCR|aLIT
138	36622 31712	1	   	249.93	DCR|3VULN|3DUR|2ASPD|1SELL	1SELL|2TBNT|37ASPD|4MBVNT|579VULN|67aDUR|7BPWR|8RCR
139	54233 33722	8	   	249.85	DCR|2VULN|2DUR|3CDMG|1DMG|2LIT	12aCDMG|3MBVNT|4aVULN|57DUR|6DMG|8aLIT|9RCR|aBPWR
140	65211 62221	8	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1ZMB|2TLV|368aVULN|4AART|5DUR|7RCR|9LHND
141	65211 62233	8	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1ZMB|2TLV|3689VULN|4AART|5DUR|7RCR|aLHND
142	65211 62232	8	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1ZMB|2TLV|3689VULN|4AART|5DUR|7RCR|aTBNT
143	22365 22261	5	   	249.58	DCR|3VULN|2TLV|1DMG|1DUR	1LWND|26TLV|3LIT|4DMG|569VULN|6BPWR|7DUR|8RCR|aCGEN
144	22365 22262	5	   	249.58	DCR|3VULN|2TLV|1DMG|1DUR	1LWND|26TLV|3LIT|4DMG|569VULN|6BPWR|7DUR|8RCR|aRMIN
145	22365 23263	5	   	249.58	DCR|3VULN|1DMG|2TLV|1DUR	1LWND|26TLV|3LIT|4DMG|569VULN|6BPWR|7FEWX|8RCR|aDUR
146	66122 31711	1	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	17ZMB|2CDMG|3BBNT|4MBVNT|579VULN|67DUR|7BPWR|8RCR|aDMG
147	62211 32356	10	   	249.36	DCR|2VULN|3DUR|2DMG|1AART	1ZMB|26DMG|38VULN|4AART|59aDUR|7RCR
148	16321 51353	1	   	249.32	DCR|3VULN|3DUR|1DMG	168LHND|23BEXP|48aDUR|568VULN|68BPWR|7RCR|9DMG
149	16321 11353	1	   	249.22	DCR|3VULN|3DUR|1DMG	18LHND|23BEXP|48aDUR|568VULN|7RCR|8BPWR|9DMG
150	16342 11353	1	   	249.22	DCR|3VULN|3DUR|1DMG	18LHND|23BEXP|468VULN|58aDUR|7RCR|8BPWR|9DMG
151	53533 34122	9	   	249.12	DCR|3VULN|3DUR|2CDMG	17CDMG|259DUR|3DMSP|478VULN|67ZMB|7BPWR|aRCR
152	53533 34122	8	   	249.12	DCR|3VULN|3DUR|2CDMG	17CDMG|259DUR|3DMSP|478VULN|67ZMB|7BPWR|aRCR
153	14621 11353	3	   	249.02	DCR|3VULN|3DUR|1DMG	18LHND|23DUST|48aDUR|568VULN|7RCR|8BPWR|9DMG
154	53621 13112	6	   	249.02	DCR|3VULN|1DUR|1TLV|1CDMG|1AART	1CDMG|2DUR|3BELT|4TLV|56aVULN|7LIT|8AART|9RCR
155	51331 32264	9	   	248.92	DCR|3VULN|3DUR|2CDMG	18CDMG|2DUST|389VULN|4LEGI|58aDUR|6RPLT|7RCR|8BPWR
156	15312 32365	2	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2ASPD|349VULN|5RPLT|6TLV|7DUR|8DMG|aRCR
157	16312 32365	2	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2DMG|349VULN|5RPLT|6TLV|7DUR|8ASPD|aRCR
158	62211 32321	8	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|38aVULN|4AART|5DUR|7RCR|9LWND
159	62211 32333	8	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|389VULN|4AART|5DUR|7RCR|aLHND
160	62211 32361	8	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|38aVULN|4AART|5DUR|7RCR|9BEXP
161	62211 32521	7	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|38aVULN|4AART|5DUR|7RCR|9LWND
162	62211 32533	7	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|389VULN|4AART|5DUR|7RCR|aLHND
163	62211 32561	7	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|38aVULN|4AART|5DUR|7RCR|9BEXP
164	62211 62312	8	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|2aDMG|368VULN|4AART|5DUR|7RCR|9MLV
165	62211 62332	9	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|2aDMG|368VULN|4AART|5DUR|7RCR|9RMIN
166	62211 62352	8	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|2aDMG|368VULN|4AART|5DUR|7RCR|9CGEN
167	62211 62512	7	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|2aDMG|368VULN|4AART|5DUR|7RCR|9MLV
168	62243 12212	9	   	248.46	DCR|3VULN|2DMG|1TLV|1AART	1ZMB|2aDMG|348VULN|5AART|6LHND|7RCR|9TLV
169	62253 62212	9	   	248.46	DCR|3VULN|2DMG|1TLV|1AART	1ZMB|2aDMG|368VULN|4LWND|5AART|7RCR|9TLV
170	41351 13351	10	   	248.45	DCR|4VULN|1TLV|1DUR	15CGEN|2DUR|3LIT|4579VULN|5BPWR|6RCR|8MLV|aTLV
171	53642 31123	9	 * 	248.42	DCR|2VULN|3DUR|3CDMG|1DMG	15aCDMG|245DUR|3BELT|5aBPWR|6DMG|7aVULN|8RCR|9aLHND
172	62211 32332	8	   	248.36	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|389VULN|4AART|5DUR|7RCR|aTBNT
173	62211 32335	8	   	248.36	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|389VULN|4AART|5DUR|7RCR|aMBVNT
174	62211 32336	8	   	248.36	DCR|3VULN|2DMG|1DUR|1NUKE|1AART	1ZMB|26DMG|389VULN|4AART|5DUR|7RCR|aNUKE
175	62211 32341	9	   	248.36	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|38aVULN|4AART|5DUR|7RCR|9MBVNT
176	62211 32532	7	   	248.36	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|389VULN|4AART|5DUR|7RCR|aTBNT
177	62211 32535	7	   	248.36	DCR|3VULN|2DMG|1DUR|1AART	1ZMB|26DMG|389VULN|4AART|5DUR|7RCR|aMBVNT
178	62211 32536	7	   	248.36	DCR|3VULN|2DMG|1DUR|1NUKE|1AART	1ZMB|26DMG|389VULN|4AART|5DUR|7RCR|aNUKE
