0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22221 63463	10	 * 	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1BELT|289DUR|3FEWX|48VULN|5CDMG|6TLV|78DMG|8BPWR|aRCR
98	15523 34332	3	   	243.15	DCR|2VULN|2TLV|1DMG|1DUR|1CDMG|1AART	1LHND|2AART|34TLV|57VULN|6DUR|8RCR|9CDMG|aDMG
99	24313 21623	10	   	243.05	DCR|4VULN|1TLV|1CDMG	1BELT|2456VULN|34ERES|4BPWR|7RCR|8LIT|9TLV|aCDMG
100	24323 21623	10	   	243.05	DCR|4VULN|1TLV|1CDMG	1BELT|2456VULN|3ERES|7RCR|8LIT|9TLV|aCDMG
101	32121 61254	1	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1DUST|2FEWX|37VULN|49DMG|5TLV|6RCR|8CDMG|aDUR
102	61123 32541	10	   	242.64	DCR|3VULN|2TLV|1DUR|1AART	17CGEN|2AART|37TLV|4ZMB|5ASPD|67aVULN|7BPWR|8RCR|9DUR
103	21116 11316	9	 * 	242.62	DCR|3VULN|2DMG|2DUR	1BELT|2RCVC|3aDUR|46aVULN|5ZMB|7RCR|8CGEN|9aDMG|aBPWR
104	21116 11416	9	   	242.62	DCR|3VULN|2DMG|2DUR	1BELT|2RCVC|3aDUR|46aVULN|5ZMB|7RCR|8MLV|9aDMG|aBPWR
105	22421 11412	2	   	242.62	DCR|3VULN|2DMG|2DUR	1BELT|2aDUR|38aVULN|4LHND|5BEXP|6RPLT|7RCR|9aDMG|aBPWR
106	22422 61412	2	   	242.62	DCR|3VULN|2DMG|2DUR	1BELT|2aDUR|38aVULN|4LHND|5RPLT|6FEWX|7RCR|9aDMG|aBPWR
107	24136 11316	9	   	242.62	DCR|3VULN|2DMG|2DUR	1BELT|26aVULN|3DMSP|4aDUR|5ZMB|7RCR|8CGEN|9aDMG|aBPWR
108	22422 21412	2	   	242.52	DCR|3VULN|2DMG|2DUR	1BELT|2aDUR|38aVULN|4LHND|5RPLT|6DUST|7RCR|9aDMG|aBPWR
109	22451 11412	2	   	242.52	DCR|3VULN|2DMG|2DUR	1BELT|2aDUR|38aVULN|4DUST|5FEWX|6RPLT|7RCR|9aDMG|aBPWR
110	22122 11412	3	   	242.52	DCR|3VULN|2DMG|2DUR	1BELT|2aDUR|3LEGI|4BEXP|5RPLT|68aVULN|7RCR|9aDMG|aBPWR
111	22123 11412	3	   	242.52	DCR|3VULN|2DMG|2DUR	1BELT|2aDUR|3LEGI|4BEXP|58aVULN|6RPLT|7RCR|9aDMG|aBPWR
112	22142 11412	4	   	242.52	DCR|3VULN|2DMG|2DUR	1BELT|2aDUR|3LEGI|4BEXP|5RPLT|68aVULN|7RCR|9aDMG|aBPWR
113	22143 11412	4	   	242.52	DCR|3VULN|2DMG|2DUR	1BELT|2aDUR|3LEGI|4BEXP|58aVULN|6RPLT|7RCR|9aDMG|aBPWR
114	21116 11516	9	   	242.52	DCR|3VULN|2DMG|2DUR	1BELT|2RCVC|3aDUR|46aVULN|5ZMB|7RCR|8ERES|9aDMG|aBPWR
115	41123 32541	10	   	242.44	DCR|3VULN|2TLV|1DUR|1AART	17ERES|2AART|37TLV|4ZMB|5ASPD|67aVULN|7BPWR|8RCR|9DUR
116	22152 11412	3	   	242.42	DCR|3VULN|2DMG|2DUR	1BELT|2aDUR|3LEGI|4DUST|5RPLT|68aVULN|7RCR|9aDMG|aBPWR
117	22153 11412	3	   	242.42	DCR|3VULN|2DMG|2DUR	1BELT|2aDUR|3LEGI|4DUST|58aVULN|6RPLT|7RCR|9aDMG|aBPWR
118	24232 51412	3	   	242.42	DCR|3VULN|2DMG|2DUR	1BELT|28aVULN|3DUST|4LEGI|5RPLT|6aDUR|7RCR|9aDMG|aBPWR
119	21421 61232	10	 * 	242.30	DCR|3VULN|3DMG|2LIT	1BELT|2RCVC|3RMIN|4aLIT|58aVULN|67aDMG|9RCR|aBPWR
120	21521 61232	10	   	242.20	DCR|3VULN|3DMG|2LIT|1NUKE	1BELT|2RCVC|3NUKE|4aLIT|58aVULN|67aDMG|9RCR|aBPWR
121	14211 41362	10	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|2CGEN|3aDMG|467VULN|5CDMG|8DUR|9RCR
122	63211 41362	10	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1CGEN|2LHND|3aDMG|467VULN|5CDMG|8DUR|9RCR
123	12211 41362	10	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|2ERES|3aDMG|467VULN|5CDMG|8DUR|9RCR
124	43211 41362	10	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1ERES|2LHND|3aDMG|467VULN|5CDMG|8DUR|9RCR
125	32411 41362	10	   	241.29	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|2ERES|3aDMG|467VULN|5CDMG|8DUR|9RCR
126	24313 21561	7	 * 	241.15	DCR|4VULN|1TLV|1DMG	1BELT|2456VULN|34ERES|4BPWR|7RCR|8TLV|9DMG|aRMIN
127	24313 21562	7	   	241.15	DCR|4VULN|1TLV|1DMG	1BELT|2456VULN|34ERES|4BPWR|7RCR|8TLV|9DMG|aCGEN
128	24323 21561	7	   	241.15	DCR|4VULN|1TLV|1DMG	1BELT|2456VULN|3ERES|7RCR|8TLV|9DMG|aRMIN
129	24323 21562	7	   	241.15	DCR|4VULN|1TLV|1DMG	1BELT|2456VULN|3ERES|7RCR|8TLV|9DMG|aCGEN
130	24313 21563	7	   	241.05	DCR|4VULN|1TLV|1DMG	1BELT|2456VULN|34ERES|4BPWR|7RCR|8TLV|9DMG|aTBNT
131	24323 21563	7	   	241.05	DCR|4VULN|1TLV|1DMG	1BELT|2456VULN|3ERES|7RCR|8TLV|9DMG|aTBNT
