0	Index      	 *	Score 	Summary	Detail	
1	11435 37212	 * 	263.66	ACR|3VULN|3ASPD|2DMG|1AART|1BEXP	17aASPD|27DMG|3AART|4RCR|5MBVNT|678VULN|7BPWR|9BEXP
23	11435 37242	   	239.56	ACR|3VULN|2ASPD|2DMG|1AART	17ASPD|27DMG|3AART|4RCR|5MBVNT|678VULN|7BPWR|9AAC|aAIRHEL
24	11435 37244	   	239.56	ACR|3VULN|2ASPD|2DMG|1AART	17ASPD|27DMG|3AART|4RCR|5MBVNT|678VULN|7BPWR|9AAC|aMDPS
25	11435 37122	   	238.61	ACR|3ASPD|2VULN|2DMG|1AART	17aASPD|27DMG|3AART|4RCR|5MBVNT|67VULN|7BPWR|8DMSP|9RCVC
26	35213 42431	   	237.86	ACR|3VULN|1BASARM|2ASPD|2CDMG	17aVULN|2RMIN|3RCVC|4RCR|5aCDMG|6AEFBLL|8BASARM|9aASPD|aBPWR
27	11433 33452	 * 	237.10	ACR|3DMG|2VULN|2ASPD|1AART	19ASPD|279DMG|3AART|4RCR|5FEWX|6aVULN|89CGEN|9BPWR
28	11433 35612	   	237.10	ACR|3ASPD|2VULN|2DMG|1AART	18aASPD|28DMG|3AART|4RCR|5FEWX|69VULN|78LHND|8BPWR
29	11432 33452	   	237.00	ACR|3DMG|2VULN|2ASPD|1AART	19ASPD|279DMG|3AART|4RCR|5DUST|6aVULN|89CGEN|9BPWR
30	11432 23351	   	236.90	ACR|3ASPD|2VULN|2DMG|1AART	179ASPD|29DMG|3AART|4RCR|5DUST|6ERES|89VULN|9BPWR|aLIT
31	11432 23353	   	236.90	ACR|3ASPD|2VULN|2DMG|1AART	179ASPD|29DMG|3AART|4RCR|5DUST|6ERES|89VULN|9BPWR|aDUR
32	11433 33652	   	236.90	ACR|3DMG|2VULN|2ASPD|1AART	19ASPD|279DMG|3AART|4RCR|5FEWX|6aVULN|89TLV|9BPWR
33	11432 23355	   	236.80	ACR|3ASPD|2VULN|2DMG|1AART	179ASPD|29DMG|3AART|4RCR|5aDUST|6ERES|89VULN|9BPWR
34	11432 33652	   	236.80	ACR|3DMG|2VULN|2ASPD|1AART	19ASPD|279DMG|3AART|4RCR|5DUST|6aVULN|89TLV|9BPWR
35	11435 37131	   	236.80	ACR|2VULN|2ASPD|2DMG|2AART	17ASPD|27DMG|3aAART|4RCR|5MBVNT|67VULN|7BPWR|8DMSP|9RMIN
36	11435 37331	   	236.80	ACR|2VULN|2ASPD|2DMG|2AART	17ASPD|27DMG|3aAART|4RCR|5MBVNT|67VULN|7BPWR|8DUR|9CGEN
37	11435 37341	   	236.80	ACR|2VULN|2ASPD|2DMG|2AART	17ASPD|27DMG|3aAART|4RCR|5MBVNT|67VULN|7BPWR|8DUR|9MLV
38	12213 71518	   	236.07	ACR|3VULN|2ASPD|2DMG|1AART	18ASPD|289VULN|3RCVC|4RCR|5MBVNT|6AAC|78DMG|8BPWR|aAART
39	12213 41556	   	234.40	ACR|2VULN|2ASPD|2DMG|1AART|1CDMG	1aASPD|2aVULN|3RCVC|4RCR|5MBVNT|6CDMG|7AART|8CGEN|9aDMG|aBPWR
