0	Index      	 *	Score 	Summary	Detail	
1	14434 45442	 * 	264.60	ACR|2BASARM|3DMG|2VULN|1BEXP|1AART	1RCR|279DMG|3MBVNT|4AART|5CGEN|69VULN|89BASARM|9BPWR|aBEXP
42	14124 32263	   	236.26	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|238DMG|4ASPD|5DUST|6BASARM|7DUR|9BEXP|aZMB
43	14124 33225	   	236.26	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|238DMG|4ASPD|5DUST|6BASARM|7FEWX|9LHND|aBEXP
44	14124 33236	   	236.26	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|238DMG|4ASPD|5DUST|6BASARM|7FEWX|9CGEN|aBEXP
45	14124 33263	   	236.26	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|238DMG|4ASPD|5DUST|6BASARM|7FEWX|9BEXP|aZMB
46	14124 34232	   	236.26	ACR|3DMG|1BASARM|1ASPD|1AART	1RCR|238DMG|4ASPD|5DUST|6BASARM|7LWND|9AART|aFEWX
47	12442 46427	 * 	236.16	ACR|3ASPD|1BASARM|2VULN|1AART	1RCR|27TLV|3MBVNT|47aASPD|5AART|67VULN|7BPWR|8BASARM|9ZMB
48	12442 46434	   	236.16	ACR|3ASPD|1BASARM|2VULN|1AART	1RCR|27TLV|3MBVNT|47aASPD|5AART|67VULN|7BPWR|8BASARM|9LIT
49	14124 21226	   	236.16	ACR|3DMG|1BASARM|1ASPD|1CDMG	1RCR|237DMG|4ASPD|5DUST|6CDMG|8AME|9LIT|aBASARM
50	14124 32261	   	236.16	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|238DMG|4ASPD|5DUST|6BASARM|7DUR|9BEXP|aAME
51	14124 32262	   	236.16	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|238DMG|4ASPD|5DUST|6BASARM|7DUR|9BEXP|aMDPS
52	14124 33261	   	236.16	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|238DMG|4ASPD|5DUST|6BASARM|7FEWX|9BEXP|aAME
53	14124 33262	   	236.16	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|238DMG|4ASPD|5DUST|6BASARM|7FEWX|9BEXP|aMDPS
54	14124 34231	   	236.16	ACR|3DMG|1BASARM|1ASPD|1AART	1RCR|238DMG|4ASPD|5DUST|6BASARM|7LWND|9AART|aMDPS
55	14124 34233	   	236.16	ACR|3DMG|1BASARM|1ASPD|1AART	1RCR|238DMG|4ASPD|5DUST|6BASARM|7LWND|9AART|aAME
56	11216 32322	 * 	235.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1RCR|29LIT|3ASPD|4NUKE|59DMG|69BEXP|7DLOT|8DMSP|9BPWR|aBASARM
57	15442 22447	   	235.29	ACR|2BASARM|2ASPD|1DMG|1AART	1RCR|29CGEN|3MBVNT|49ASPD|5AART|6MLV|7TLV|89BASARM|9BPWR|aDMG
58	12442 28447	   	235.19	ACR|2BASARM|2ASPD|1DMG|1AART	1RCR|29TLV|3MBVNT|49ASPD|5AART|6MLV|7CGEN|89BASARM|9BPWR|aDMG
59	15442 32447	   	235.19	ACR|2BASARM|2ASPD|1DMG|1AART	1RCR|29CGEN|3MBVNT|49ASPD|5AART|6ERES|7TLV|89BASARM|9BPWR|aDMG
60	12442 38447	   	235.09	ACR|2BASARM|2ASPD|1DMG|1AART	1RCR|29TLV|3MBVNT|49ASPD|5AART|6ERES|7CGEN|89BASARM|9BPWR|aDMG
61	14253 33216	 * 	235.05	ACR|1BASARM|2DMG|2AART|1BEXP	1RCR|2aDMG|35DUR|4AAC|6BASARM|79AART|8BEXP
62	14231 63333	   	234.95	ACR|1BASARM|2DMG|2AART|1BEXP	1RCR|2aDMG|3DUR|49AART|5DUST|6BEXP|7BASARM|8AAC
