0	Index      	 *	Score 	Summary	Detail	
1	21141 25131	 * 	208.44	ACR|3DMG|3VULN|2BEXP|1AART	1RPLT|289VULN|39BEXP|479DMG|5RCR|6BELT|9BPWR|aAART
35	64221 25133	   	179.75	ACR|3DMG|3VULN|1CDMG	19DUST|2RPLT|379DMG|489VULN|5RCR|6BELT|9BPWR|aCDMG
36	21141 36133	   	179.13	ACR|2DMG|3VULN|2BEXP	1RPLT|27aVULN|39BEXP|4aDMG|5RCR|6RCVC|8aFEWX|aBPWR
37	21141 23131	   	179.13	ACR|2DMG|3VULN|2BEXP	17RPLT|289VULN|39BEXP|49DMG|5RCR|6BELT|9BPWR|aLWND
38	21141 23133	   	179.13	ACR|2DMG|3VULN|2BEXP	17RPLT|289VULN|39BEXP|49DMG|5RCR|6BELT|9BPWR|aDMSP
39	21141 23135	   	179.13	ACR|2DMG|3VULN|2BEXP	17RPLT|289VULN|39BEXP|49DMG|5RCR|6BELT|9BPWR|aDUR
40	21141 26131	   	179.13	ACR|2DMG|3VULN|2BEXP	1RPLT|289VULN|39BEXP|49DMG|5RCR|6BELT|7RCVC|9BPWR|aLWND
41	21141 26133	   	179.13	ACR|2DMG|3VULN|2BEXP	1RPLT|289VULN|39BEXP|49DMG|5RCR|6BELT|7RCVC|9BPWR|aDMSP
42	21141 26135	   	179.13	ACR|2DMG|3VULN|2BEXP	1RPLT|289VULN|39BEXP|49DMG|5RCR|6BELT|7RCVC|9BPWR|aDUR
43	21541 36323	   	179.13	ACR|2DMG|3VULN|2BEXP	1RPLT|27aVULN|3DUR|4aDMG|5RCR|6RCVC|8DMSP|9aBEXP|aBPWR
44	21141 23132	   	179.03	ACR|2DMG|3VULN|2BEXP	17RPLT|289VULN|39BEXP|49DMG|5RCR|6BELT|9BPWR|aAEMAG
45	21141 23134	   	179.03	ACR|2DMG|3VULN|2BEXP	17RPLT|289VULN|39BEXP|49DMG|5RCR|6BELT|9BPWR|aERES
46	21141 26132	   	179.03	ACR|2DMG|3VULN|2BEXP	1RPLT|289VULN|39BEXP|49DMG|5RCR|6BELT|7RCVC|9BPWR|aAEMAG
47	21141 26134	   	179.03	ACR|2DMG|3VULN|2BEXP	1RPLT|289VULN|39BEXP|49DMG|5RCR|6BELT|7RCVC|9BPWR|aERES
48	24131 31156	 * 	178.57	ACR|3BEXP|2DMG|1ASPD	1RPLT|27FEWX|37aBEXP|47DMG|5RCR|6RCVC|7BPWR|8BELT|9ASPD
