0	Index      	 *	Score 	Summary	Detail	
1	22341 46233	 * 	263.90	ACR|1BASARM|2DMG|2VULN|2BEXP|1BASICY|1SELL	1RCR|2DUR|3aBEXP|4SELL|5LIT|6BASICY|7aVULN|8BASARM|9aDMG|aBPWR
16	26322 53143	   	237.90	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	1RCR|2ERES|39VULN|4BEXP|5FEWX|69ASPD|7DUST|89DMG|9BPWR|aCDMG
17	22341 46231	   	237.23	ACR|1BASARM|2DMG|1VULN|1BASICY|1BEXP|1SELL	1RCR|2DUR|3BEXP|4SELL|5LIT|6BASICY|7VULN|8BASARM|9aDMG
18	22322 53141	 * 	237.19	ACR|2ASPD|2DMG|2VULN|2BEXP	1RCR|2DUR|39BEXP|4TLV|5FEWX|69ASPD|7aVULN|89DMG|9BPWR
19	23322 53141	   	237.09	ACR|2ASPD|2DMG|2VULN|2BEXP	1RCR|2DUST|39BEXP|4TLV|5FEWX|69ASPD|7aVULN|89DMG|9BPWR
20	23326 53141	   	237.09	ACR|2ASPD|2DMG|2VULN|2BEXP	1RCR|2DUST|39BEXP|4TLV|5LWND|69ASPD|7aVULN|89DMG|9BPWR
21	21411 42631	 * 	237.04	ACR|2VULN|1BASARM|2DMG|1AART	1RCR|2RMIN|38VULN|45DMG|6MLV|7AART|9BASARM|aDUR
22	21411 42632	   	237.04	ACR|2VULN|1BASARM|2DMG|1AART	1RCR|2RMIN|38VULN|45DMG|6MLV|7AART|9BASARM|aLHND
23	21411 42633	   	237.04	ACR|2VULN|1BASARM|2DMG|1AART	1RCR|2RMIN|38VULN|45DMG|6MLV|7AART|9BASARM|aZMB
24	21411 52631	   	236.94	ACR|2VULN|1BASARM|2DMG|1AART	1RCR|2RMIN|38VULN|45DMG|6TLV|7AART|9BASARM|aDUR
25	21411 52632	   	236.94	ACR|2VULN|1BASARM|2DMG|1AART	1RCR|2RMIN|38VULN|45DMG|6TLV|7AART|9BASARM|aLHND
26	21411 52633	   	236.94	ACR|2VULN|1BASARM|2DMG|1AART	1RCR|2RMIN|38VULN|45DMG|6TLV|7AART|9BASARM|aZMB
27	24311 41124	 * 	235.46	ACR|3VULN|2ASPD|2DMG|1CDMG	1RCR|29CGEN|379VULN|45DMG|6MLV|89ASPD|9BPWR|aCDMG
28	24311 51124	   	235.36	ACR|3VULN|2ASPD|2DMG|1CDMG	1RCR|29CGEN|379VULN|45DMG|6TLV|89ASPD|9BPWR|aCDMG
29	22356 53313	 * 	235.31	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1RCR|2DUR|39BEXP|4MLV|5AART|6FEWX|7VULN|8DMG|aBASARM
30	26311 41124	   	235.26	ACR|3VULN|2ASPD|2DMG|1CDMG	1RCR|29ERES|379VULN|45DMG|6MLV|89ASPD|9BPWR|aCDMG
31	22326 53313	   	235.21	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1RCR|2DUR|39BEXP|4TLV|5AART|6FEWX|7VULN|8DMG|aBASARM
32	22626 53313	   	235.21	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1RCR|2DUR|3TLV|49BEXP|5AART|6FEWX|7VULN|8DMG|aBASARM
33	26311 51124	   	235.16	ACR|3VULN|2DMG|2ASPD|1CDMG	1RCR|29ERES|379VULN|45DMG|6TLV|89ASPD|9BPWR|aCDMG
34	23322 53144	 * 	234.72	ACR|3BEXP|2ASPD|2DMG|1VULN	1RCR|2DUST|39aBEXP|4TLV|5FEWX|69ASPD|7VULN|89DMG|9BPWR
