0	Index      	 *	Score 	Summary	Detail	
1	45263 21213	 * 	220.68	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1RCVC|2RCR|3CGEN|4AAC|5DMG|6AME|7CDMG|8VULN|9BEXP|aBASARM
27	22262 41312	   	205.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2CGEN|3LWND|4RMIN|5RCR|6DMG|7AART|8ASPD|9TLV|aBASARM
28	22262 41332	   	205.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2CGEN|3LWND|4RMIN|5RCR|6DMG|7AART|8ASPD|9ERES|aBASARM
29	22162 41312	   	205.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2CGEN|3DUST|4RMIN|5RCR|6DMG|7AART|8ASPD|9TLV|aBASARM
30	22162 41332	   	205.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2CGEN|3DUST|4RMIN|5RCR|6DMG|7AART|8ASPD|9ERES|aBASARM
31	26262 41312	   	205.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2ERES|3LWND|4RMIN|5RCR|6DMG|7AART|8ASPD|9TLV|aBASARM
32	26162 41312	   	205.59	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2ERES|3DUST|4RMIN|5RCR|6DMG|7AART|8ASPD|9TLV|aBASARM
33	23622 43413	 * 	205.20	ACR|1BASARM|2VULN|1DMG|1BEXP|1CDMG	18VULN|2BEXP|38MLV|4ERES|5RCR|6DMG|78ZMB|8BPWR|9CDMG|aBASARM
34	23622 43113	   	205.00	ACR|1BASARM|2VULN|1DMG|1BEXP|1CDMG	18VULN|2BEXP|3MLV|4ERES|5RCR|6DMG|7ZMB|9CDMG|aBASARM
35	62112 61212	   	204.86	ACR|1BASARM|2AART|1VULN|1CDMG	1BELT|2CGEN|38AART|4RCR|5FEWX|6LIT|7BASARM|9CDMG|aVULN
36	62115 61212	   	204.86	ACR|1BASARM|2AART|1VULN|1CDMG	1BELT|2CGEN|38AART|4RCR|5DUR|6LIT|7BASARM|9CDMG|aVULN
37	23232 42162	 * 	204.77	ACR|3VULN|1BASARM|1DMG|1BEXP|1AAC	168VULN|2BEXP|3DMG|4FEWX|5RCR|7AAC|9MLV|aBASARM
38	62111 13143	   	204.76	ACR|1BASARM|1VULN|1AART|2AAC|1BEXP	1BELT|2CGEN|3AART|4RCR|56AAC|7RCVC|8VULN|9BEXP|aBASARM
39	61112 61212	   	204.76	ACR|1BASARM|2AART|1VULN|1CDMG	1BELT|2AME|38AART|4RCR|5FEWX|6LIT|7BASARM|9CDMG|aVULN
40	61115 61212	   	204.76	ACR|1BASARM|2AART|1VULN|1CDMG	1BELT|2AME|38AART|4RCR|5DUR|6LIT|7BASARM|9CDMG|aVULN
41	61111 13143	   	204.66	ACR|1BASARM|1VULN|1AART|2AAC|1BEXP	1BELT|2AME|3AART|4RCR|56AAC|7RCVC|8VULN|9BEXP|aBASARM
42	42625 24441	   	203.93	ACR|1BASARM|1VULN|1DMG|1AART|1AAC	1RCVC|2RPLT|3MBVNT|4RCR|5AART|6AAC|7TLV|8VULN|9BASARM|aDMG
43	62111 41632	   	203.86	ACR|3DMG|2VULN|1AART|1AAC	1BELT|279CGEN|3AART|4RCR|5AAC|679DMG|79BPWR|89VULN|aLWND
44	62111 41633	   	203.76	ACR|3DMG|2VULN|1AART|1AAC	1BELT|279CGEN|3AART|4RCR|5AAC|679DMG|79BPWR|89VULN|aERES
45	62111 41241	   	203.66	ACR|3DMG|2VULN|1AART|1AAC	1BELT|27CGEN|3AART|4RCR|5AAC|678DMG|7BPWR|9aVULN
46	61111 41632	   	203.56	ACR|3DMG|2VULN|1AART|1AAC	1BELT|279AME|3AART|4RCR|5AAC|679DMG|79BPWR|89VULN|aLWND
47	61111 41241	   	203.46	ACR|3DMG|2VULN|1AART|1AAC	1BELT|27AME|3AART|4RCR|5AAC|678DMG|7BPWR|9aVULN
48	61111 41633	   	203.46	ACR|3DMG|2VULN|1AART|1AAC	1BELT|279AME|3AART|4RCR|5AAC|679DMG|79BPWR|89VULN|aERES
49	45233 22143	 * 	202.66	ACR|1BASARM|2DMG|1VULN	1RCVC|2RCR|3CGEN|4RMIN|57DMG|6AME|8LWND|9BASARM|aVULN
50	61111 63263	   	202.62	ACR|1BASARM|2AART|1VULN|1AAC	1BELT|2AME|36AART|4RCR|5AAC|7RCVC|8FEWX|9VULN|aBASARM
51	45133 22143	   	202.56	ACR|1BASARM|2DMG|1VULN	1RCVC|2RCR|3ERES|4RMIN|57DMG|6AME|8LWND|9BASARM|aVULN
52	62111 16143	   	202.56	ACR|1BASARM|1VULN|1AART|2AAC|1BEXP	17BELT|2CGEN|3AART|4RCR|56AAC|8VULN|9BEXP|aBASARM
53	61111 12363	   	202.46	ACR|1BASARM|1AART|1VULN|2AAC|1BEXP	1BELT|2AME|3AART|4RCR|56AAC|7BEXP|8LHND|9VULN|aBASARM
54	61111 16143	   	202.46	ACR|1BASARM|1VULN|1AART|2AAC|1BEXP	17BELT|2AME|3AART|4RCR|56AAC|8VULN|9BEXP|aBASARM
55	61111 32443	   	202.36	ACR|1BASARM|1VULN|1AART|2AAC|1BEXP	1BELT|27AME|3AART|4RCR|58AAC|6VULN|9BEXP|aBASARM
56	23232 46413	 * 	202.35	ACR|2VULN|3BEXP|2DMG|1CDMG	16VULN|278BEXP|39DMG|4FEWX|5RCR|aCDMG
57	45251 11321	 * 	202.14	ACR|2VULN|1ASPD|1DMG|1BASICY|1BEXP	1RCVC|2RCR|3CGEN|49VULN|5BEXP|6BASICY|7DMG|8LIT|aASPD
58	61114 11263	   	202.03	ACR|1BASARM|1AART|1VULN|1DMG|1AAC	1BELT|27AME|3AART|4RCR|57ZMB|6AAC|7BPWR|8DMG|9VULN|aBASARM
59	45223 14312	   	202.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1RCVC|2RCR|3CGEN|4BEXP|5ZMB|6MDPS|7ASPD|8DMG|9DUR|aBASARM
60	24312 35152	   	201.45	ACR|1BASARM|1VULN|2BEXP|1AART|1AAC	1VULN|2TLV|3CGEN|4LHND|5RCR|6AART|78BEXP|9AAC|aBASARM
61	26312 35152	   	201.45	ACR|1BASARM|1VULN|2BEXP|1AART|1AAC	1VULN|2ERES|3CGEN|4LHND|5RCR|6AART|78BEXP|9AAC|aBASARM
62	23122 42245	 * 	201.30	ACR|3ASPD|2VULN|2BEXP|1AAC	16VULN|2aBEXP|3DUST|489ASPD|5RCR|7AAC
63	45251 11123	   	200.94	ACR|1VULN|2BEXP|1DMG|1BASICY|1AART	1RCVC|2RCR|3CGEN|4VULN|58BEXP|6BASICY|7DMG|9DUR|aAART
64	62113 66223	 * 	200.90	ACR|3VULN|1BASARM|1AART|1AAC	1BELT|27CGEN|3AART|4RCR|579VULN|67LIT|7BPWR|8AAC|aBASARM
65	61113 65223	   	200.60	ACR|3VULN|1BASARM|1AART|1AAC	1BELT|2AME|3AART|4RCR|579VULN|6LIT|8AAC|aBASARM
66	42624 48132	   	200.26	ACR|1BASARM|2VULN|1ASPD|1CDMG	1RCVC|2RPLT|3MBVNT|4RCR|5CDMG|68VULN|7ASPD|9TLV|aBASARM
67	45233 21263	   	200.20	ACR|1BASARM|1VULN|1DMG|1CDMG	19RCVC|2RCR|3CGEN|4RMIN|5DMG|6AME|7CDMG|8VULN|aBASARM
68	23232 42145	 * 	199.97	ACR|3VULN|2DMG|1ASPD|1BEXP|1AAC	168VULN|2BEXP|3aDMG|4FEWX|5RCR|7AAC|9ASPD
69	23522 42142	 * 	199.97	ACR|3VULN|2ASPD|1DMG|1BEXP|1AAC	168VULN|2BEXP|3FEWX|49ASPD|5RCR|7AAC|aDMG
70	23122 42142	   	199.87	ACR|3VULN|2ASPD|1DMG|1BEXP|1AAC	168VULN|2BEXP|3DUST|49ASPD|5RCR|7AAC|aDMG
71	45251 11313	 * 	199.67	ACR|2VULN|2DMG|1BASICY|1BEXP	1RCVC|2RCR|3CGEN|4aVULN|5BEXP|6BASICY|7aDMG|8LIT|9aAEFBLL|aBPWR
72	23522 42211	   	199.39	ACR|2VULN|2ASPD|2BEXP|1CDMG|1AAC	16VULN|2aBEXP|3FEWX|48ASPD|5RCR|7AAC|9CDMG
73	24312 35622	   	199.37	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1VULN|2TLV|3CGEN|49LHND|5RCR|6AART|7BEXP|8DMG|aBASARM
74	26312 35622	   	199.37	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1VULN|2ERES|3CGEN|49LHND|5RCR|6AART|7BEXP|8DMG|aBASARM
75	23122 42211	   	199.29	ACR|2VULN|2ASPD|2BEXP|1CDMG|1AAC	16VULN|2aBEXP|3DUST|48ASPD|5RCR|7AAC|9CDMG
76	23232 42235	 * 	198.81	ACR|2VULN|2DMG|1ASPD|2AAC|1BEXP	16VULN|2BEXP|3aDMG|4FEWX|5RCR|79AAC|8ASPD
77	62112 61216	   	198.75	ACR|1BASARM|2AART|1BEXP|1CDMG	1BELT|2CGEN|38AART|4RCR|5FEWX|6LIT|7BASARM|9CDMG|aBEXP
78	45252 11113	   	198.73	ACR|2VULN|1DMG|1BASICY|1AART|1BEXP	1RCVC|2RCR|3CGEN|49VULN|5DUR|6BASICY|7DMG|8BEXP|aAART
79	61112 61216	   	198.65	ACR|1BASARM|2AART|1BEXP|1CDMG	1BELT|2AME|38AART|4RCR|5FEWX|6LIT|7BASARM|9CDMG|aBEXP
80	45131 21353	   	198.63	ACR|1BASARM|1VULN|1ASPD|1CDMG	1RCVC|2RCR|3ERES|4RMIN|5CDMG|6CGEN|7AEFBLL|8VULN|9ASPD|aBASARM
81	45131 23353	   	198.63	ACR|1BASARM|1VULN|1ASPD|1CDMG	1RCVC|2RCR|37ERES|4RMIN|5CDMG|6CGEN|8VULN|9ASPD|aBASARM
82	62112 61251	 * 	198.54	ACR|3AART|1BASARM|1CDMG	1BELT|2CGEN|389AART|4RCR|5FEWX|6LIT|7BASARM|aCDMG
83	62112 61252	   	198.54	ACR|3AART|1BASARM|1BEXP	1BELT|2CGEN|389AART|4RCR|5FEWX|6LIT|7BASARM|aBEXP
84	45133 21243	   	198.53	ACR|1BASARM|1VULN|1DMG|1CDMG	1RCVC|2RCR|39ERES|4RMIN|5DMG|6AME|7CDMG|8VULN|aBASARM
85	61112 61251	   	198.44	ACR|3AART|1BASARM|1CDMG	1BELT|2AME|389AART|4RCR|5FEWX|6LIT|7BASARM|aCDMG
86	61112 61252	   	198.44	ACR|3AART|1BASARM|1BEXP	1BELT|2AME|389AART|4RCR|5FEWX|6LIT|7BASARM|aBEXP
87	61112 61242	   	198.42	ACR|1BASARM|2AART|1VULN|1AAC	1BELT|2AME|38AART|4RCR|5FEWX|6LIT|7BASARM|9AAC|aVULN
88	23622 41222	   	198.37	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1VULN|2BEXP|3MLV|4ERES|5RCR|6DMG|7AART|89LHND|aBASARM
89	61111 33533	   	198.32	ACR|1BASARM|2AART|1VULN|1AAC	1BELT|29AME|38AART|4RCR|5AAC|6VULN|7LIT|aBASARM
90	61111 42632	   	197.81	ACR|1BASARM|1AART|1DMG|1CDMG|1AAC	1BELT|2AME|3AART|4RCR|5AAC|6DMG|7MDPS|8CGEN|9CDMG|aBASARM
91	62111 42232	   	197.81	ACR|1BASARM|1AART|1DMG|1CDMG|1AAC	1BELT|2CGEN|3AART|4RCR|5AAC|6DMG|7MDPS|8ERES|9CDMG|aBASARM
92	61111 42232	   	197.71	ACR|1BASARM|1AART|1DMG|1CDMG|1AAC	1BELT|2AME|3AART|4RCR|5AAC|6DMG|7MDPS|8ERES|9CDMG|aBASARM
93	23122 46412	 * 	197.38	ACR|2VULN|3BEXP|1ASPD|1DMG|1AAC	16VULN|278BEXP|3DUST|4ASPD|5RCR|9DMG|aAAC
94	23622 14622	   	197.37	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2BEXP|3MLV|4ERES|5RCR|69LHND|7ASPD|8AART|aBASARM
95	23622 41343	 * 	197.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1AART	1VULN|29aBEXP|3MLV|4ERES|5RCR|6DMG|7AART|8ASPD
96	62113 22136	 * 	196.91	ACR|3AART|2VULN|1DMG	1BELT|2CGEN|378AART|4RCR|59VULN|6LWND|aDMG
97	13622 22121	 * 	196.71	ACR|2BASARM|2VULN|2BEXP	1DUST|2aBEXP|3MLV|4ERES|5RCR|6aVULN|7MDPS|8ZMB|9aBASARM|aBPWR
98	42625 24443	   	196.52	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC	1RCVC|2RPLT|3MBVNT|4RCR|5AART|6AAC|7TLV|8VULN|9BASARM|aBEXP
99	62111 34233	   	196.32	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC	17BELT|2CGEN|3AART|4RCR|5AAC|6VULN|8BEXP|9RCVC|aBASARM
100	62111 36233	   	196.32	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC	1BELT|27CGEN|3AART|4RCR|5AAC|6VULN|8BEXP|9RCVC|aBASARM
101	61111 34233	   	196.22	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC	17BELT|2AME|3AART|4RCR|5AAC|6VULN|8BEXP|9RCVC|aBASARM
102	61111 32233	   	196.12	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC	1BELT|27AME|3AART|4RCR|5AAC|6VULN|8BEXP|9RCVC|aBASARM
103	45251 11113	   	195.45	ACR|3BEXP|1VULN|1DMG|1BASICY	1RCVC|2RCR|3CGEN|4VULN|589BEXP|6BASICY|7DMG|aTLV
104	45251 11112	   	195.31	ACR|3BEXP|1VULN|1DMG|1BASICY|1SELL	1RCVC|2RCR|3CGEN|4VULN|589BEXP|6BASICY|7DMG|aSELL
105	45251 11323	 * 	195.12	ACR|2VULN|2BEXP|1DMG|1BASICY	1RCVC|2RCR|3aCGEN|49VULN|5aBEXP|6BASICY|7DMG|8aLIT|aBPWR
106	23232 46115	 * 	195.09	ACR|2VULN|2DMG|2BEXP|1AART	16VULN|27BEXP|3aDMG|4FEWX|5RCR|8RPLT|9AART
107	62111 34263	   	194.62	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC	17BELT|2CGEN|3AART|4RCR|5AAC|6VULN|8BEXP|9AEMAG|aBASARM
108	62111 36263	   	194.62	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC	1BELT|27CGEN|3AART|4RCR|5AAC|6VULN|8BEXP|9AEMAG|aBASARM
109	62111 12461	 * 	194.53	ACR|1BASARM|3AAC|1AART|1BEXP	1BELT|2CGEN|3AART|4RCR|568AAC|7BEXP|9BASARM|aRCVC
110	61111 34263	   	194.52	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC	17BELT|2AME|3AART|4RCR|5AAC|6VULN|8BEXP|9AEFBLL|aBASARM
111	61111 52263	   	194.52	ACR|1BASARM|1AART|1VULN|1BEXP|1AAC	1BELT|27AME|3AART|4RCR|5AAC|6LHND|8BEXP|9VULN|aBASARM
112	62111 31533	   	194.50	ACR|1BASARM|2VULN|1AART|1AAC	1BELT|28CGEN|3AART|4RCR|5AAC|68VULN|78FEWX|8BPWR|9RCVC|aBASARM
113	61111 12461	   	194.43	ACR|1BASARM|3AAC|1AART|1BEXP	1BELT|2AME|3AART|4RCR|568AAC|7BEXP|9BASARM|aRCVC
114	61111 32263	   	194.42	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC	1BELT|27AME|3AART|4RCR|5AAC|6VULN|8BEXP|9AEFBLL|aBASARM
115	61111 31533	   	194.30	ACR|1BASARM|2VULN|1AART|1AAC	1BELT|28AME|3AART|4RCR|5AAC|68VULN|78FEWX|8BPWR|9RCVC|aBASARM
116	62111 31133	   	194.30	ACR|1BASARM|2VULN|1AART|1AAC	1BELT|2CGEN|3AART|4RCR|5AAC|68VULN|7FEWX|9RCVC|aBASARM
117	61111 31133	   	194.20	ACR|1BASARM|2VULN|1AART|1AAC	1BELT|2AME|3AART|4RCR|5AAC|68VULN|7FEWX|9RCVC|aBASARM
118	61111 56133	   	194.20	ACR|1BASARM|2VULN|1AART|1AAC	1BELT|2AME|3AART|4RCR|5AAC|6LHND|78VULN|9RCVC|aBASARM
119	62113 22165	   	193.93	ACR|3AART|1VULN|1DMG|1BEXP	1BELT|2CGEN|378AART|4RCR|5VULN|6LWND|9DMG|aBEXP
120	45221 33143	   	193.88	ACR|1BASARM|2BEXP|1VULN	16RCVC|2RCR|3CGEN|45BEXP|7AME|8LWND|9BASARM|aVULN
121	61113 22165	   	193.83	ACR|3AART|1VULN|1DMG|1BEXP	1BELT|2AME|378AART|4RCR|5VULN|6LWND|9DMG|aBEXP
122	45121 33143	   	193.78	ACR|1BASARM|2BEXP|1VULN	16RCVC|2RCR|3ERES|45BEXP|7AME|8LWND|9BASARM|aVULN
123	62115 61312	 * 	193.64	ACR|1BASARM|2ASPD|1AART	1BELT|2CGEN|3AART|4RCR|5DUR|6LIT|7BASARM|8ZMB|9aASPD
124	23622 46133	   	193.56	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|27BEXP|3MLV|4ERES|5RCR|6DMG|8RPLT|9FEWX|aBASARM
125	61112 61612	   	193.54	ACR|1BASARM|2ASPD|1AART	1BELT|2AME|3AART|4RCR|5FEWX|6LIT|7BASARM|8CGEN|9aASPD
126	61115 61312	   	193.54	ACR|1BASARM|2ASPD|1AART	1BELT|2AME|3AART|4RCR|5DUR|6LIT|7BASARM|8ZMB|9aASPD
127	62112 25362	   	193.54	ACR|1BASARM|2ASPD|1AART	1BELT|2CGEN|3AART|4RCR|5FEWX|6LWND|7aASPD|8MDPS|9BASARM
128	62112 61112	   	193.54	ACR|1BASARM|2ASPD|1AART	1BELT|2CGEN|3AART|4RCR|5FEWX|6LIT|7BASARM|8TLV|9aASPD
129	62115 61112	   	193.54	ACR|1BASARM|2ASPD|1AART	1BELT|2CGEN|3AART|4RCR|5DUR|6LIT|7BASARM|8TLV|9aASPD
130	61112 25362	   	193.44	ACR|1BASARM|2ASPD|1AART	1BELT|2AME|3AART|4RCR|5FEWX|6LWND|7aASPD|8MDPS|9BASARM
131	61112 61112	   	193.44	ACR|1BASARM|2ASPD|1AART	1BELT|2AME|3AART|4RCR|5FEWX|6LIT|7BASARM|8TLV|9aASPD
132	61115 61112	   	193.44	ACR|1BASARM|2ASPD|1AART	1BELT|2AME|3AART|4RCR|5DUR|6LIT|7BASARM|8TLV|9aASPD
133	23622 43513	   	193.37	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2BEXP|38MLV|4ERES|5RCR|6DMG|7ZMB|9CDMG|aBASARM
134	62111 12462	   	193.22	ACR|1BASARM|3AAC|1AART|1BEXP	1BELT|2CGEN|3AART|4RCR|568AAC|7BEXP|9BASARM|aDUR
135	61111 12462	   	193.12	ACR|1BASARM|3AAC|1AART|1BEXP	1BELT|2AME|3AART|4RCR|568AAC|7BEXP|9BASARM|aDUR
136	62111 12463	   	193.12	ACR|1BASARM|3AAC|1AART|1BEXP	1BELT|2CGEN|3AART|4RCR|568AAC|7BEXP|9BASARM|aNUKE
137	22262 41512	   	193.03	ACR|1BASARM|1VULN|1DMG|1AART|1AAC	1VULN|2CGEN|3LWND|4RMIN|5RCR|6DMG|7AART|8AAC|9TLV|aBASARM
138	22262 41532	   	193.03	ACR|1BASARM|1VULN|1DMG|1AART|1AAC	1VULN|2CGEN|3LWND|4RMIN|5RCR|6DMG|7AART|8AAC|9ERES|aBASARM
139	61111 12463	   	193.02	ACR|1BASARM|3AAC|1AART|1BEXP	1BELT|2AME|3AART|4RCR|568AAC|7BEXP|9BASARM|aNUKE
140	22162 41512	   	192.93	ACR|1BASARM|1VULN|1DMG|1AART|1AAC	1VULN|2CGEN|3DUST|4RMIN|5RCR|6DMG|7AART|8AAC|9TLV|aBASARM
141	22162 41532	   	192.93	ACR|1BASARM|1VULN|1DMG|1AART|1AAC	1VULN|2CGEN|3DUST|4RMIN|5RCR|6DMG|7AART|8AAC|9ERES|aBASARM
142	45311 11532	   	192.91	ACR|1BASARM|1VULN|2AAC|1BEXP	1RCVC|2RCR|3ZMB|4FEWX|5BEXP|6MLV|79AAC|8VULN|aBASARM
143	62111 31563	   	192.80	ACR|1BASARM|2VULN|1AART|1AAC	1BELT|28CGEN|3AART|4RCR|5AAC|68VULN|78FEWX|8BPWR|9AEMAG|aBASARM
144	61111 31563	   	192.60	ACR|1BASARM|2VULN|1AART|1AAC	1BELT|28AME|3AART|4RCR|5AAC|68VULN|78FEWX|8BPWR|9AEFBLL|aBASARM
145	61111 33223	   	192.60	ACR|1BASARM|2VULN|1AART|1AAC	18BELT|2AME|3AART|4RCR|5AAC|69VULN|7LIT|aBASARM
146	61111 56123	   	192.60	ACR|1BASARM|2VULN|1AART|1AAC	1BELT|2AME|3AART|4RCR|5AAC|6LHND|78VULN|9DUR|aBASARM
147	62111 31163	   	192.60	ACR|1BASARM|2VULN|1AART|1AAC	1BELT|2CGEN|3AART|4RCR|5AAC|68VULN|7FEWX|9AEMAG|aBASARM
148	61111 31163	   	192.50	ACR|1BASARM|2VULN|1AART|1AAC	1BELT|2AME|3AART|4RCR|5AAC|68VULN|7FEWX|9AEFBLL|aBASARM
149	61113 64223	   	192.50	ACR|1BASARM|2VULN|1AART|1AAC	1BELT|2AME|3AART|4RCR|59VULN|6LIT|7AEMAG|8AAC|aBASARM
150	61113 65233	   	192.50	ACR|2VULN|1BASARM|1AART|1AAC	1BELT|29AME|3AART|4RCR|57VULN|6LIT|8AAC|aBASARM
151	62113 22543	   	192.11	ACR|2VULN|2AART|1DMG|1BEXP	1BELT|2CGEN|37AART|4RCR|59VULN|6LWND|8BEXP|aDMG
152	61113 22543	   	192.01	ACR|2VULN|2AART|1DMG|1BEXP	1BELT|2AME|37AART|4RCR|59VULN|6LWND|8BEXP|aDMG
153	23522 42221	 * 	191.95	ACR|3VULN|2ASPD|2BEXP|1AAC	16aVULN|2aBEXP|3FEWX|48ASPD|5RCR|7AAC|9aLIT|aBPWR
154	23122 42221	   	191.85	ACR|3VULN|2ASPD|2BEXP|1AAC	16aVULN|2aBEXP|3DUST|48ASPD|5RCR|7AAC|9aLIT|aBPWR
155	23122 42144	   	191.65	ACR|3VULN|2ASPD|2BEXP|1AAC	168VULN|2aBEXP|3DUST|49ASPD|5RCR|7AAC
156	23122 54215	 * 	191.62	ACR|3ASPD|3BEXP|1VULN	1VULN|29aBEXP|3DUST|478ASPD|5RCR|6ZMB
157	62112 61232	 * 	191.51	ACR|1BASARM|2AART|1ASPD	1BELT|2CGEN|38AART|4RCR|5FEWX|6LIT|7BASARM|9DUR|aASPD
