0	Index      	 *	Score 	Summary	Detail	
1	21335 51143	 * 	218.78	ACR|3DMG|2VULN|2BEXP|2CDMG	123DMG|3aBPWR|4RCVC|5RCR|6aBEXP|7aCDMG|8AAC|9aVULN
50	26223 56132	 * 	194.65	ACR|2VULN|2DMG|2AART|1CDMG	18DMG|2DUST|38ERES|4CDMG|5RCR|6DUR|78VULN|8BPWR|9aAART
51	23463 36331	 * 	194.61	DCR|1BASARM|2ASPD|2DMG|2CDMG	16DMG|29ASPD|3DUR|4BASARM|59AIRHEL|7VENTOX|89CDMG|9BPWR|aRCR
52	21335 36122	   	193.97	ACR|3DMG|2VULN|2BEXP	123DMG|3BPWR|4RCVC|5RCR|6DUST|78BEXP|9aVULN
53	21335 53122	   	193.97	ACR|3DMG|2VULN|2BEXP	123DMG|3BPWR|4RCVC|5RCR|68BEXP|7MBVNT|9aVULN
54	21335 52143	   	193.92	ACR|3DMG|2VULN|2BEXP|1SELL	123DMG|3aBPWR|4RCVC|5RCR|6aBEXP|7RMIN|8SELL|9aVULN
55	23234 35612	 * 	193.23	DCR|3ASPD|3DMG|2VULN	146DMG|259ASPD|35MLV|59BPWR|79VULN|89ZMB|aRCR
56	26223 26135	 * 	192.96	ACR|3VULN|2DMG|1AART|1CDMG	18DMG|2DUST|38ERES|4CDMG|5RCR|6FEWX|78aVULN|8BPWR|9AART
57	21335 43425	 * 	192.17	ACR|3DMG|2ASPD|1VULN	123DMG|3BPWR|4RCVC|5RCR|6FEWX|7MBVNT|8VULN|9aASPD
58	21335 63425	   	192.17	ACR|3DMG|2ASPD|1VULN	123DMG|3BPWR|4RCVC|5RCR|6LHND|7MBVNT|8VULN|9aASPD
59	41434 23124	 * 	192.12	ACR|3VULN|3DMG|1CDMG	18aLHND|2LWND|38aVULN|4AME|5RCR|6CDMG|78aDMG|8aBPWR|9MBVNT
60	21335 33425	   	192.07	ACR|3DMG|2ASPD|1VULN	123DMG|3BPWR|4RCVC|5RCR|6DUST|7MBVNT|8VULN|9aASPD
61	23126 13535	   	192.06	DCR|3DMG|2VULN|2ASPD|1BEXP	158DMG|28ASPD|3RCVC|4BEXP|6ERES|78VULN|8BPWR|9CGEN|aRCR
62	21335 36114	 * 	191.70	ACR|3DMG|3BEXP|1VULN	123DMG|3BPWR|4RCVC|5RCR|6DUST|789BEXP|aVULN
63	21335 53111	   	191.70	ACR|3DMG|3BEXP|1VULN	123DMG|3BPWR|4RCVC|5RCR|689BEXP|7MBVNT|aVULN
64	21335 53128	   	191.70	ACR|3DMG|3BEXP|1VULN	123DMG|3BPWR|4RCVC|5RCR|68aBEXP|7MBVNT|9VULN
65	21353 26235	   	190.82	DCR|2VULN|3DMG|2ASPD|1CDMG	123DMG|3BPWR|48ASPD|57VULN|6CDMG|9ERES|aRCR
66	21335 41143	   	190.30	ACR|3DMG|2VULN|2CDMG	123DMG|3aBPWR|4RCVC|5RCR|6aFEWX|7aCDMG|8AAC|9aVULN
67	21335 63417	   	190.30	ACR|3DMG|2VULN|2CDMG	123DMG|3aBPWR|4RCVC|5RCR|6aLHND|7MBVNT|8aVULN|9aCDMG
68	21335 31143	   	190.10	ACR|3DMG|2VULN|2CDMG	123DMG|3aBPWR|4RCVC|5RCR|6aDUST|7aCDMG|8AAC|9aVULN
69	42532 23521	   	189.72	ACR|2ASPD|1VULN|1DMG|1CDMG|1AART	1LHND|2VULN|3aFEWX|4RCR|59ASPD|6CDMG|7DMG|8AART
70	42532 23522	   	189.72	ACR|2ASPD|1VULN|1DMG|1CDMG|1AART	1aLHND|2VULN|3FEWX|4RCR|59ASPD|6CDMG|7DMG|8AART
71	21335 43444	   	189.51	ACR|3DMG|1VULN|1ASPD|1AART	123DMG|3BPWR|4RCVC|5RCR|6FEWX|7MBVNT|8VULN|9AART|aASPD
72	21335 33444	   	189.41	ACR|3DMG|1VULN|1ASPD|1AART	123DMG|3BPWR|4RCVC|5RCR|6DUST|7MBVNT|8VULN|9AART|aASPD
73	16152 35132	   	189.39	ACR|3DMG|2ASPD|1VULN	1CGEN|2FEWX|3DUR|48ASPD|5RCR|679DMG|aVULN
74	21335 13135	   	189.36	ACR|3DMG|1VULN|1ASPD|1AART|1SELL	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8SELL|9AART|aASPD
75	51634 16111	 * 	189.29	ACR|3ASPD|2DMG|1VULN	19TLV|29DMG|3MBVNT|46MLV|5RCR|7VULN|89aASPD|9BPWR
76	21335 51533	 * 	189.19	ACR|3DMG|2AART|1BEXP|1CDMG	123DMG|3BPWR|4RCVC|5RCR|6BEXP|7CDMG|8ERES|9aAART
77	12133 44153	   	189.07	ACR|2ASPD|2DMG|1VULN|1AAC	18CGEN|26ERES|3RCVC|4RCR|58DMG|78ASPD|8BPWR|9AAC|aVULN
