0	Index      	 *	Score 	Summary	Detail	
1	66213 22423	 * 	281.87	DCR|2LIT|3VULN|1MLV|2CDMG	1MLV|2BEXP|37CDMG|468VULN|5aLIT|9RCR
109	66213 31325	   	254.53	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG|1DUR	17MLV|2BEXP|3CDMG|4VULN|5LIT|6DUR|8RCR|9aDMG
110	66233 21325	   	254.53	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG|1DUR	17MLV|2BEXP|3CDMG|4DUR|5LIT|6VULN|8RCR|9aDMG
111	13111 62453	   	254.44	DCR|1LIT|2VULN|2DMG|1MLV	1TLV|2CGEN|3LIT|4ERES|5MLV|67DMG|8aVULN|9RCR
112	16213 21344	   	254.38	DCR|3VULN|1LIT|1MLV|1CDMG|1DUR	1TLV|2BEXP|3CDMG|46aVULN|5LIT|7DUR|8RCR|9MLV
113	66213 21334	   	254.38	DCR|3VULN|1LIT|1MLV|1CDMG|1DUR	1MLV|2BEXP|3CDMG|46aVULN|5LIT|7DUR|8RCR|9TLV
114	64124 22131	   	253.31	DCR|2LIT|2VULN|1MLV|1CDMG	1MLV|2BASHEA|34VULN|5aLIT|6CDMG|7FEWX|8TLV|9RCR
115	64123 42131	   	253.31	DCR|2LIT|2VULN|1MLV|1CDMG	1MLV|2BASHEA|34VULN|5CDMG|6CGEN|7LHND|8aLIT|9RCR
116	33331 25361	   	253.25	DCR|3LIT|1VULN|1MLV|1CDMG	1LWND|2BEXP|3MLV|479LIT|5CDMG|6VULN|8RCR|aZMB
117	33336 53361	   	253.25	DCR|3LIT|1VULN|1MLV|1CDMG	1LWND|2BEXP|3MLV|459LIT|6VULN|7CDMG|8RCR|aZMB
118	64123 11131	   	253.21	DCR|2LIT|2VULN|1MLV|1CDMG	1MLV|2BASHEA|34VULN|5CDMG|6LEGI|7TLV|8aLIT|9RCR
119	64123 31131	   	253.21	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1MLV|2BASHEA|34VULN|5CDMG|6DUR|7TLV|8aLIT|9RCR
120	64123 52131	   	253.21	DCR|2LIT|2VULN|1MLV|1CDMG	1MLV|2BASHEA|34VULN|5CDMG|6ERES|7LHND|8aLIT|9RCR
121	64124 21131	   	253.21	DCR|2LIT|2VULN|1MLV|1CDMG	1MLV|2BASHEA|34VULN|5aLIT|6CDMG|7DUST|8TLV|9RCR
122	64123 12131	   	253.11	DCR|2LIT|2VULN|1MLV|1CDMG	1MLV|2BASHEA|34VULN|5CDMG|6LEGI|7ERES|8aLIT|9RCR
123	64123 32131	   	253.11	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1MLV|2BASHEA|34VULN|5CDMG|6DUR|7ERES|8aLIT|9RCR
124	63121 23653	   	252.91	DCR|2LIT|2DMG|1VULN|1MLV	1MLV|2CGEN|3aLIT|4VULN|5LSRHEA|69DMG|7TLV|8RCR
125	33331 25364	 * 	252.62	DCR|3LIT|1VULN|1MLV|2CDMG	1LWND|2BEXP|3MLV|479LIT|5aCDMG|6VULN|8RCR
126	64124 22132	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1MLV|2BASHEA|34aVULN|5LIT|6CDMG|7FEWX|8TLV|9RCR
127	64123 42132	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1MLV|2BASHEA|34aVULN|5CDMG|6CGEN|7LHND|8LIT|9RCR
128	64123 11132	   	252.48	DCR|3VULN|1LIT|1MLV|1CDMG	1MLV|2BASHEA|34aVULN|5CDMG|6LEGI|7TLV|8LIT|9RCR
129	64123 31132	   	252.48	DCR|3VULN|1LIT|1MLV|1CDMG|1DUR	1MLV|2BASHEA|34aVULN|5CDMG|6DUR|7TLV|8LIT|9RCR
130	64123 52132	   	252.48	DCR|3VULN|1LIT|1MLV|1CDMG	1MLV|2BASHEA|34aVULN|5CDMG|6ERES|7LHND|8LIT|9RCR
131	64124 21132	   	252.48	DCR|3VULN|1LIT|1MLV|1CDMG	1MLV|2BASHEA|34aVULN|5LIT|6CDMG|7DUST|8TLV|9RCR
132	63121 33344	   	252.47	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1MLV|2CGEN|39LIT|4VULN|5LSRHEA|6RCR|7ASPD|8DUR|aDMG
133	33333 53334	   	252.41	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2BEXP|3MLV|4LIT|5RCVC|6aVULN|7CDMG|8RCR|9DMG
134	64123 12132	   	252.38	DCR|3VULN|1LIT|1MLV|1CDMG	1MLV|2BASHEA|34aVULN|5CDMG|6LEGI|7ERES|8LIT|9RCR
135	64123 32132	   	252.38	DCR|3VULN|1LIT|1MLV|1CDMG|1DUR	1MLV|2BASHEA|34aVULN|5CDMG|6DUR|7ERES|8LIT|9RCR
136	63121 34325	   	252.37	DCR|2MLV|1LIT|2VULN|1DMG	19MLV|2CGEN|3LIT|48VULN|5LSRHEA|6RCR|7BELT|aDMG
137	16213 21345	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1TLV|2BEXP|3CDMG|46VULN|5LIT|7DUR|8RCR|9MLV|aDMG
138	66631 21321	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2BEXP|36VULN|4LIT|5CDMG|7DUR|8RCR|9DMG|aLWND
139	66631 21322	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2BEXP|36VULN|4LIT|5CDMG|7DUR|8RCR|9DMG|aRCVC
140	66631 21323	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2BEXP|36VULN|4LIT|5CDMG|7DUR|8RCR|9DMG|aFEWX
141	66213 11324	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2BEXP|3CDMG|4aVULN|5LIT|6RCVC|7DUR|8RCR|9DMG
142	66213 21321	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2BEXP|3CDMG|46VULN|5LIT|7DUR|8RCR|9DMG|aLWND
143	66213 21322	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2BEXP|3CDMG|46VULN|5LIT|7DUR|8RCR|9DMG|aRCVC
144	66213 21323	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2BEXP|3CDMG|46VULN|5LIT|7DUR|8RCR|9DMG|aFEWX
145	66213 21326	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2BEXP|3CDMG|46VULN|5LIT|7DUR|8RCR|9DMG|aCGEN
146	66213 21335	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1MLV|2BEXP|3CDMG|46VULN|5LIT|7DUR|8RCR|9TLV|aDMG
147	64326 22232	   	251.99	DCR|1LIT|2VULN|1MLV|1AART|1ASPD	1MLV|2BASHEA|3BEXP|49VULN|5LIT|6RCR|7ASPD|8NUKE|aAART
