0	Index      	 *	Score 	Summary	Detail	
1	15331 21324	 * 	307.89	DCR|2LIT|4VULN|2MLV	19LIT|2346VULN|59ERES|79MLV|8RPLT|9BPWR|aRCR
48	13323 14355	 * 	286.03	ACR|3LIT|2VULN|1MLV|2ASPD|1DMG	17aLIT|2RCR|3aVULN|4DMG|5MLV|6RMIN|8aASPD|9RPLT|aBPWR
49	13323 23455	   	285.84	ACR|2LIT|2MLV|3VULN|1DMG|2DUR	1aLIT|2RCR|37aVULN|4DMG|56MLV|8aDUR|9RPLT|aBPWR
50	13323 23655	   	285.84	ACR|2LIT|2MLV|3VULN|1DMG	1aLIT|2RCR|37aVULN|4DMG|56MLV|8aDUST|9RPLT|aBPWR
51	13323 24155	   	285.84	ACR|2LIT|2MLV|3VULN|1DMG	1aLIT|2RCR|38aVULN|4DMG|56MLV|7aDUST|9RPLT|aBPWR
52	13323 23346	   	285.84	ACR|2LIT|2MLV|3VULN|1DMG	18LIT|2RCR|37aVULN|4DMG|56MLV|9LWND
53	61253 44438	   	285.73	DCR|2MLV|3VULN|1LIT|2CDMG	1RCVC|2MBVNT|38CDMG|4LHND|589VULN|6RCR|78MLV|8BPWR|aLIT
54	13323 23545	 * 	285.55	ACR|3MLV|4VULN|1LIT|1DMG	1LIT|2RCR|379aVULN|4DMG|568MLV
55	11312 36335	 * 	284.64	DCR|3LIT|2VULN|1MLV|1ASPD|2ZMB	18aLIT|2ASPD|38VULN|4DUR|5LWND|68ZMB|7RCR|8BPWR|9MLV
56	42141 25411	   	284.51	DCR|2LIT|2FLTARM|2VULN|1DMG	1DMG|2aLIT|3FEWX|4TLV|5aFLTARM|6LHND|7MBVNT|8aVULN|9RCR|aBPWR
57	42121 23411	   	284.41	DCR|2LIT|2FLTARM|2VULN|1DMG	1DMG|2aLIT|3FEWX|4ERES|5aFLTARM|6LHND|7MBVNT|8aVULN|9RCR|aBPWR
58	42621 23411	   	284.31	DCR|2LIT|2FLTARM|2VULN|1DMG	1DMG|2aLIT|3DUST|4ERES|5aFLTARM|6LHND|7MBVNT|8aVULN|9RCR|aBPWR
59	11234 44231	   	284.19	DCR|3VULN|1LIT|1MLV|2ASPD|1CDMG	1LIT|2aASPD|3CGEN|478VULN|5CDMG|6RCR|9MLV
60	11324 44231	   	284.09	DCR|3VULN|1LIT|1MLV|2ASPD|1CDMG	1LIT|2aASPD|378VULN|4ERES|5CDMG|6RCR|9MLV
61	32334 44231	   	284.09	DCR|3VULN|1LIT|1MLV|2ASPD|1CDMG	1ERES|2LIT|378VULN|4CDMG|5aASPD|6RCR|9MLV
62	22511 36311	   	283.23	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1TLV|27LIT|3DMG|4LWND|5FLTARM|6VULN|8ASPD|9MLV|aRCR
63	42411 36311	   	283.23	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1DMG|27LIT|3TLV|4LWND|5FLTARM|6VULN|8ASPD|9MLV|aRCR
64	43121 36361	   	283.23	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1DMG|2LWND|3MLV|47LIT|5FLTARM|6VULN|8ASPD|9TLV|aRCR
65	45223 22311	   	283.23	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1DMG|2FLTARM|3ASPD|4RMIN|5LHND|68LIT|7VULN|9MLV|aRCR
66	42521 36311	   	283.13	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1DMG|27LIT|3LWND|4ERES|5FLTARM|6VULN|8ASPD|9MLV|aRCR
67	43321 36311	   	283.13	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1DMG|2LWND|3ERES|47LIT|5FLTARM|6VULN|8ASPD|9MLV|aRCR
68	43621 36311	   	283.13	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1DMG|2LWND|37LIT|4ERES|5FLTARM|6VULN|8ASPD|9MLV|aRCR
69	45231 26111	   	283.13	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1DMG|2FLTARM|3ASPD|4VULN|5DUST|67LIT|8CGEN|9MLV|aRCR
70	45325 22311	   	283.13	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1DMG|2FLTARM|3LHND|4VULN|5ASPD|68LIT|7ERES|9MLV|aRCR
71	45121 33141	   	282.74	DCR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	1DMG|2FLTARM|34VULN|5TLV|6CDMG|7RCR|8BEXP|9aLIT
72	42312 36331	   	282.13	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|2ZMB	18DMG|2LIT|38VULN|4DUR|5LWND|68ZMB|7RCR|8BPWR|9MLV|aCDMG
73	43121 33222	 * 	281.98	DCR|2MLV|1LIT|2VULN|1FLTARM|1DMG	1DMG|2LWND|3aMLV|4LIT|5FLTARM|67VULN|8DUR|9RCR
74	41126 14331	   	281.97	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|2BEXP|3MLV|45LIT|6AART|78aVULN|9RCR
75	13356 22326	   	281.96	ACR|3LIT|3VULN|1MLV|1DMG	156LIT|2RCR|359VULN|4BELT|5BPWR|7BEXP|8DMG|aMLV
76	45122 13222	   	281.55	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DMG|2FLTARM|34VULN|5ZMB|6BEXP|7LIT|8DUR|9RCR|aMLV
77	45153 23222	   	281.55	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DMG|2FLTARM|37VULN|4LHND|5ZMB|6LIT|8DUR|9RCR|aMLV
78	45323 23222	   	281.55	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DMG|2FLTARM|3LHND|47VULN|5ZMB|6LIT|8DUR|9RCR|aMLV
79	45122 63222	   	281.45	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DMG|2FLTARM|34VULN|5ZMB|6DUST|7LIT|8DUR|9RCR|aMLV
80	46533 31323	 * 	281.25	DCR|2LIT|3VULN|2DMG|2ZMB|1SELL	1aDMG|25ZMB|3AART|49aVULN|6SELL|7RCR|8aLIT|aBPWR
81	11312 36331	   	281.00	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD|2ZMB	18LIT|2ASPD|38VULN|4DUR|5LWND|68ZMB|7RCR|8BPWR|9MLV|aCDMG
82	15331 13124	   	280.85	DCR|2LIT|3VULN|1MLV|1ASPD	18LIT|234VULN|5ERES|6RCR|7RCVC|9ASPD|aMLV
83	63312 23366	   	280.82	DCR|3LIT|2VULN|1MLV|2CDMG	1RCVC|29VULN|3RMIN|4MLV|5BELT|69aLIT|7RCR|89CDMG|9BPWR
84	15331 15124	   	280.75	DCR|2LIT|3VULN|1MLV|1ASPD	18LIT|234VULN|57ERES|6RCR|9ASPD|aMLV
85	15331 12355	   	280.48	DCR|2LIT|4VULN|2ASPD	1aLIT|234aVULN|5ERES|6RCR|7DUR|8aASPD|9RPLT|aBPWR
86	43121 55411	 * 	280.42	DCR|1LIT|2FLTARM|2VULN|1MLV|1DMG	1DMG|2aLWND|3MLV|4LIT|5aFLTARM|6DUR|7MBVNT|8aVULN|9RCR|aBPWR
87	42334 21411	   	280.17	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|28LIT|379VULN|4LHND|5CGEN|6MLV|aRCR
88	15331 55321	   	280.07	DCR|2LIT|3VULN|1MLV|1DMG	18LIT|234VULN|5ERES|6DMG|7FEWX|9MLV|aRCR
89	16323 51411	   	280.07	DCR|2LIT|3VULN|1MLV|1DMG	18LIT|2DUST|379VULN|4DMG|5MLV|6CGEN|aRCR
90	16324 21411	   	280.07	DCR|2LIT|3VULN|1MLV|1DMG	18LIT|2DUST|379VULN|4DMG|5CGEN|6MLV|aRCR
91	42313 51411	   	280.07	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|28LIT|379VULN|4DUR|5MLV|6CGEN|aRCR
92	42314 21411	   	280.07	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|28LIT|379VULN|4DUR|5CGEN|6MLV|aRCR
93	42323 21411	   	280.07	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|28LIT|379VULN|4ERES|5LHND|6MLV|aRCR
94	42335 21411	   	280.07	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|28LIT|379VULN|4LHND|5ERES|6MLV|aRCR
95	42346 13211	   	280.07	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|25LIT|379VULN|4TLV|6DUR|8MLV|aRCR
96	15241 23263	 * 	280.00	DCR|3LIT|3MLV|2VULN	15aLIT|27VULN|3CGEN|458MLV|5BPWR|6FEWX|9RCR
97	15331 53161	   	279.97	DCR|2LIT|3VULN|1MLV|1DMG	17LIT|234VULN|5ERES|6DMG|8MLV|9DUST|aRCR
98	15323 55211	   	279.97	DCR|2LIT|3VULN|1MLV|1DMG	16LIT|239VULN|4DMG|5LEGI|7ERES|8MLV|aRCR
99	15326 13351	   	279.97	DCR|2LIT|3VULN|1MLV|1DMG	18LIT|237VULN|4DMG|5MLV|6DUR|9ERES|aRCR
100	16325 21411	   	279.97	DCR|2LIT|3VULN|1MLV|1DMG	18LIT|2DUST|379VULN|4DMG|5ERES|6MLV|aRCR
101	42315 21411	   	279.97	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|28LIT|379VULN|4DUR|5ERES|6MLV|aRCR
102	42326 13211	   	279.97	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|25LIT|379VULN|4ERES|6DUR|8MLV|aRCR
103	42326 63211	   	279.97	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|25LIT|379VULN|4ERES|6DUST|8MLV|aRCR
104	11313 23324	   	279.86	DCR|2LIT|2MLV|2VULN|1CDMG|1ASPD	18LIT|2ASPD|37VULN|4DUR|56MLV|9CDMG|aRCR
105	11363 23324	   	279.86	DCR|2LIT|2MLV|2VULN|1CDMG|1ASPD	18LIT|2ASPD|37VULN|4DUST|56MLV|9CDMG|aRCR
106	15413 23324	   	279.86	DCR|2LIT|2MLV|2VULN|1CDMG|1ASPD	18LIT|27VULN|3ASPD|4DUR|56MLV|9CDMG|aRCR
107	15326 13334	   	279.82	DCR|2LIT|3VULN|1MLV|1DMG|1SELL	18LIT|237VULN|4DMG|5MLV|6DUR|9SELL|aRCR
108	63312 23361	   	279.78	DCR|2LIT|2VULN|1MLV|2CDMG|1AART	1RCVC|29VULN|3RMIN|4MLV|5BELT|69LIT|7RCR|89CDMG|9BPWR|aAART
109	66112 23361	   	279.78	DCR|2LIT|2VULN|1MLV|2CDMG|1AART	1RCVC|2RMIN|39VULN|4MLV|5BELT|69LIT|7RCR|89CDMG|9BPWR|aAART
110	15241 23311	   	279.30	DCR|2LIT|2MLV|3VULN	15LIT|279VULN|3CGEN|45MLV|5BPWR|6FEWX|8TLV|aRCR
111	15331 21344	   	279.17	DCR|2LIT|4VULN|1MLV	19LIT|2346VULN|5ERES|7MLV|8RPLT|aRCR
112	15313 56311	   	279.15	DCR|2LIT|2MLV|3VULN	16LIT|239VULN|4LWND|57MLV|8LHND|aRCR
113	13321 44433	 * 	279.03	ACR|3LIT|2VULN|2DMG|2CDMG|1ASPD	18aLIT|2RCR|3aVULN|46DMG|5AART|7ASPD|9aCDMG|aBPWR
114	22343 14342	   	278.88	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|28LIT|3aVULN|4MLV|5BEXP|6RCR|7CDMG|9DMG
115	13114 52325	   	278.88	ACR|3LIT|2MLV|2VULN|1NUKE	178LIT|2RCR|3RPLT|49MLV|57VULN|67CGEN|7BPWR|aNUKE
116	32343 14342	   	278.78	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1ERES|28LIT|3aVULN|4MLV|5BEXP|6RCR|7CDMG|9DMG
117	41123 14335	   	278.68	DCR|2LIT|2MLV|2VULN|1DMG	1DMG|2BEXP|35MLV|4aLIT|6AART|78VULN|9RCR
118	41123 14431	   	278.68	DCR|2LIT|2MLV|2VULN|1DMG	1DMG|2BEXP|35MLV|48LIT|6AART|7aVULN|9RCR
119	13323 23335	   	278.65	ACR|2LIT|2MLV|2VULN|2DMG|1SELL	18LIT|2RCR|37VULN|4aDMG|56MLV|9SELL
120	15331 13125	   	278.61	DCR|3LIT|3VULN|2ASPD	18aLIT|234VULN|5aERES|6RCR|7RCVC|9aASPD|aBPWR
121	13114 12325	   	278.58	ACR|3LIT|2MLV|2VULN|1NUKE	178LIT|2RCR|3RPLT|49MLV|57VULN|67ERES|7BPWR|aNUKE
122	13323 23361	   	278.58	ACR|3LIT|2MLV|2VULN|1DMG	189LIT|2RCR|37VULN|4DMG|56MLV|aBEXP
123	13323 23362	   	278.58	ACR|3LIT|2MLV|2VULN|1DMG	189LIT|2RCR|37VULN|4DMG|56MLV|aLHND
124	13323 23364	   	278.58	ACR|3LIT|2MLV|2VULN|1DMG	189LIT|2RCR|37VULN|4DMG|56MLV|aFEWX
125	13323 23366	   	278.58	ACR|3LIT|2MLV|2VULN|1DMG	189LIT|2RCR|37VULN|4DMG|56MLV|aDMSP
126	34111 44231	   	278.57	DCR|3VULN|1LIT|1MLV|1ASPD|1CDMG	1ERES|2CDMG|3ZMB|478VULN|5LIT|6RCR|9MLV|aASPD
127	15331 15125	   	278.51	DCR|3LIT|3VULN|2ASPD	18aLIT|234VULN|57aERES|6RCR|9aASPD|aBPWR
128	13323 23365	   	278.43	ACR|3LIT|2MLV|2VULN|1DMG	189LIT|2RCR|37VULN|4DMG|56MLV|aDUR
129	45323 26222	   	278.21	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1DMG|2FLTARM|3LHND|4VULN|5ZMB|67LIT|8DUR|9RCR|aMLV
130	45113 26222	   	278.11	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG	1DMG|2FLTARM|3VULN|4DUST|5ZMB|67LIT|8DUR|9RCR|aMLV
