0	Index      	 *	Score 	Summary	Detail	
1	16353 33141	 * 	268.02	DCR|3LIT|2VULN|1FLTARM	1FEWX|25aLIT|3CGEN|4ERES|6RCR|78VULN|9FLTARM
65	21323 16161	   	246.69	DCR|1LIT|2VULN|1MLV|1AART|1ASPD	1LHND|2DUST|3LIT|4ASPD|5BELT|68VULN|7MLV|9RCR|aAART
66	16652 23123	   	246.69	DCR|2LIT|2VULN|1DMG|1ASPD	15FEWX|24LIT|34SPLREG|4BPWR|6RCR|7ASPD|8DMG|9aVULN
67	36663 23123	   	246.59	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1DUR|25LIT|3SPLREG|4DMSP|6RCR|7ASPD|8DMG|9aVULN
68	23234 43533	   	245.47	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1LHND|2ASPD|3FEWX|4DMG|5VULN|69LIT|7MLV|8TLV|aRCR
69	23261 53633	   	245.47	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1LHND|2ASPD|3FEWX|49LIT|5VULN|6TLV|7MLV|8DMG|aRCR
70	23324 43633	   	245.47	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1LHND|2ASPD|3TLV|4FEWX|5VULN|69LIT|7MLV|8DMG|aRCR
71	23361 43633	   	245.47	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1LHND|2ASPD|3TLV|4VULN|5FEWX|69LIT|7MLV|8DMG|aRCR
72	11321 53663	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1FEWX|2DUST|39LIT|4ASPD|5VULN|6TLV|7MLV|8DMG|aRCR
73	11335 33643	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1FEWX|2DUST|35LIT|4CGEN|6MLV|7VULN|8DMG|9ASPD|aRCR
74	12345 33143	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1FEWX|2LHND|35LIT|4DMG|6MLV|7VULN|8ERES|9ASPD|aRCR
75	21321 53633	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1LHND|2DUST|39LIT|4ASPD|5VULN|6TLV|7MLV|8DMG|aRCR
76	23234 43333	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1LHND|2ASPD|3FEWX|4DMG|5VULN|69LIT|7MLV|8ERES|aRCR
77	23451 31163	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1LHND|2ASPD|39LIT|4ERES|5DMG|6MLV|7LWND|8VULN|aRCR
78	23451 33433	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1LHND|2ASPD|39LIT|4ERES|5DMG|6MLV|7VULN|8FEWX|aRCR
79	23451 34133	   	245.27	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1LHND|2ASPD|39LIT|4ERES|5DMG|6MLV|7DUR|8VULN|aRCR
80	11345 33143	   	245.27	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1FEWX|2DUST|35LIT|4DMG|6MLV|7VULN|8ERES|9ASPD|aRCR
81	21345 33143	   	245.27	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1LHND|2DUST|35LIT|4DMG|6MLV|7VULN|8ERES|9ASPD|aRCR
82	24142 63111	   	245.06	DCR|2LIT|2VULN|1MLV	1LHND|23CGEN|4MLV|5aLIT|6RCR|78VULN|9BASICY
83	16134 22412	 * 	244.86	ACR|2LIT|3VULN|2DMG	137FEWX|2aLIT|4CGEN|5RCR|69aVULN|8aDMG|aBPWR
84	12116 35621	 * 	244.76	ACR|2LIT|3VULN|1FLTARM	14FEWX|2LHND|3FLTARM|5RCR|6aLIT|789VULN
85	16124 22412	   	244.76	ACR|2LIT|3VULN|2DMG	137FEWX|2aLIT|4ERES|5RCR|69aVULN|8aDMG|aBPWR
86	33343 12364	   	244.70	DCR|2LIT|2VULN|1MLV|2DUR	16DUR|2ERES|3MLV|4RPLT|56VULN|6BPWR|78LIT|9ZMB|aRCR
87	11116 35223	   	244.66	ACR|2LIT|3VULN|1FLTARM	14FEWX|2DUST|3FLTARM|5RCR|68LIT|79aVULN
88	11116 35621	   	244.66	ACR|2LIT|3VULN|1FLTARM	14FEWX|2DUST|3FLTARM|5RCR|6aLIT|789VULN
89	11146 35223	   	244.66	ACR|2LIT|3VULN|1FLTARM	1FEWX|2DUST|3FLTARM|4DMSP|5RCR|68LIT|79aVULN
90	11156 35223	   	244.56	ACR|2LIT|3VULN|1FLTARM	1FEWX|24DUST|3FLTARM|5RCR|68LIT|79aVULN
91	31146 36223	   	244.56	ACR|2LIT|3VULN|1FLTARM|1DUR	1DUR|2DUST|3FLTARM|4DMSP|5RCR|68LIT|79aVULN
92	21343 13661	   	244.49	DCR|1LIT|2DMG|1VULN|1MLV|1AART	1LHND|2DUST|3LIT|48DMG|5BELT|6VULN|7MLV|9RCR|aAART
93	31156 36223	   	244.46	ACR|2LIT|3VULN|1FLTARM|1DUR	1DUR|24DUST|3FLTARM|5RCR|68LIT|79aVULN
94	11136 22634	 * 	244.42	3LIT|4VULN|1FLTARM|1MLV	1FEWX|29aDUST|3FLTARM|4ERES|589aVULN|6MLV|79aLIT|9aBPWR
95	61133 22634	   	244.42	3LIT|4VULN|1FLTARM|1MLV	1BEXP|29aDUST|3FLTARM|4ERES|589aVULN|6MLV|79aLIT|9aBPWR
96	31133 22634	   	244.32	3LIT|4VULN|1FLTARM|1MLV|1DUR	1DUR|29aDUST|3FLTARM|4ERES|589aVULN|6MLV|79aLIT|9aBPWR
97	33343 12264	 * 	243.97	DCR|3VULN|1LIT|1MLV|2DUR	16DUR|2ERES|3MLV|4RPLT|568VULN|6BPWR|7LIT|9ZMB|aRCR
98	21115 62522	 * 	243.97	DCR|1LIT|2VULN|1FLTARM|1DMG	1LHND|2DUST|3FLTARM|4FEWX|5LIT|6RCR|7CGEN|8DMG|9aVULN
99	16242 22361	   	243.62	DCR|2LIT|2VULN|2DMG|1DUR	19FEWX|29LIT|3DUR|48DMG|5RCVC|69VULN|7AART|9BPWR|aRCR
100	16241 12361	 * 	243.52	DCR|2LIT|2VULN|2DMG|2DUR	19FEWX|29LIT|36DUR|48DMG|59VULN|7AART|9BPWR|aRCR
101	16241 22321	   	243.52	DCR|2LIT|2VULN|2DMG|1DUR	19FEWX|26LIT|3DUR|48DMG|56VULN|6BPWR|7AART|aRCR
102	36141 22321	   	243.52	DCR|2LIT|2VULN|2DMG|1DUR	1DUR|26LIT|39FEWX|48DMG|56VULN|6BPWR|7AART|aRCR
103	36142 22361	   	243.52	DCR|2LIT|2VULN|2DMG|2DUR	19DUR|29LIT|3FEWX|48DMG|5RCVC|69VULN|7AART|9BPWR|aRCR
104	36242 22361	   	243.42	DCR|2LIT|2VULN|2DMG|2DUR	19DUR|29LIT|3DUST|48DMG|5RCVC|69VULN|7AART|9BPWR|aRCR
105	23435 32151	 * 	243.41	DCR|2LIT|2MLV|1VULN|1CDMG|1ASPD	1LHND|2ASPD|35LIT|4LWND|68MLV|7CDMG|9RCR|aVULN
106	11325 33461	   	243.36	DCR|2LIT|1VULN|1MLV|1AART|1ASPD	1FEWX|2DUST|35LIT|4ASPD|6MLV|7VULN|8BELT|9RCR|aAART
107	42441 22311	 * 	243.14	DCR|1LIT|2VULN|3DMG|1DUR	1DUST|268DMG|3LIT|4DUR|56VULN|6BPWR|7AART|9ZMB|aRCR
108	22222 34356	 * 	242.88	DCR|2LIT|1FLTARM|1VULN|1DMG	1235LHND|46LIT|7RCR|8VULN|9DMG|aFLTARM
109	22223 34356	   	242.88	DCR|2LIT|1FLTARM|1VULN|1DMG	123LHND|46LIT|5RCVC|7RCR|8VULN|9DMG|aFLTARM
110	32145 36123	 * 	242.79	DCR|3VULN|1LIT|1FLTARM|1DUR	1DUR|28LHND|3FLTARM|4DMSP|579VULN|6LIT|aRCR
111	32145 36323	   	242.79	DCR|3VULN|1LIT|1FLTARM|1DUR	1DUR|2LHND|3FLTARM|48DMSP|579VULN|6LIT|aRCR
112	32165 36123	   	242.79	DCR|3VULN|1LIT|1FLTARM|1DUR	1DUR|248LHND|3FLTARM|579VULN|6LIT|aRCR
113	32165 36323	   	242.79	DCR|3VULN|1LIT|1FLTARM|1DUR	1DUR|24LHND|3FLTARM|579VULN|6LIT|8DMSP|aRCR
114	25115 31225	 * 	242.49	2LIT|2FLTARM|2VULN|2DMG|1MLV	1LHND|2LEGI|3aFLTARM|4FEWX|58LIT|6aDMG|7MLV|9aVULN|aBPWR
115	23424 12143	   	242.39	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD	1LHND|2ASPD|3LIT|4RPLT|5MLV|68VULN|7FEWX|9CDMG|aRCR
116	36334 12143	   	242.29	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD|1DUR	1DUR|2LIT|3RPLT|4ASPD|5MLV|68VULN|7FEWX|9CDMG|aRCR
117	24142 63131	   	242.26	DCR|1LIT|2VULN|1MLV|1DMG	1LHND|23CGEN|4MLV|5LIT|6RCR|78VULN|9ERES|aDMG
118	36653 33232	 * 	241.62	DCR|3LIT|2DMG|1VULN|1DUR	1DUR|245LIT|34SPLREG|4BPWR|6RCR|7aDMG|8FEWX|9VULN
119	36653 33332	   	241.52	DCR|3LIT|2DMG|1VULN|1DUR	1DUR|245LIT|34SPLREG|4BPWR|6RCR|7aDMG|8DUST|9VULN
120	22316 33653	   	241.49	DCR|2LIT|2VULN|2CDMG|1ASPD	12aLHND|36LIT|4aCDMG|5CGEN|7ASPD|8aVULN|9RCR|aBPWR
121	36221 22541	   	241.46	DCR|2LIT|3VULN|1ASPD|1DUR	1DUR|26LIT|38DUST|4ASPD|569VULN|6BPWR|7AART|aRCR
122	36221 25284	   	241.46	DCR|2LIT|3VULN|1ASPD|1DUR	1DUR|26LIT|3DUST|4ASPD|568VULN|6BPWR|7MBVNT|9AART|aRCR
123	36221 25273	   	241.36	DCR|2LIT|3VULN|1ASPD|1DUR	1DUR|26LIT|3DUST|4ASPD|568VULN|6BPWR|7MBVNT|9ERES|aRCR
124	36221 25235	   	241.22	DCR|2LIT|3VULN|1ASPD|1DUR|1SELL	1DUR|26LIT|3DUST|4ASPD|568VULN|6BPWR|7MBVNT|9SELL|aRCR
125	23424 13312	 * 	241.20	DCR|1LIT|2VULN|1MLV|2ASPD	1LHND|29ASPD|3LIT|4RPLT|5MLV|69VULN|7CGEN|89LSRREG|9BPWR|aRCR
126	23435 32351	   	240.86	DCR|2LIT|1VULN|1MLV|1CDMG|1ASPD	1LHND|2ASPD|35LIT|48LWND|6MLV|7CDMG|9RCR|aVULN
127	11335 33355	   	240.76	DCR|2LIT|1VULN|1MLV|1ASPD|1CDMG	1FEWX|2DUST|35LIT|4CGEN|6MLV|7VULN|8CDMG|9RCR|aASPD
128	21335 33355	   	240.76	DCR|2LIT|1VULN|1MLV|1ASPD|1CDMG	1LHND|2DUST|35LIT|4CGEN|6MLV|7VULN|8CDMG|9RCR|aASPD
129	12332 53643	   	240.19	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1FEWX|2LHND|3LIT|4VULN|58DMG|6TLV|7MLV|9ASPD|aRCR
130	13363 53261	   	239.97	DCR|2LIT|2VULN|1DMG	1FEWX|2ERES|3ZMB|4TLV|58VULN|6RCR|79LIT|aDMG
131	12116 35221	 * 	239.92	ACR|3LIT|2VULN|1FLTARM	14FEWX|2LHND|3FLTARM|5RCR|68aLIT|79VULN
132	12146 35221	   	239.92	ACR|3LIT|2VULN|1FLTARM	1FEWX|2LHND|3FLTARM|4DMSP|5RCR|68aLIT|79VULN
133	12166 35221	   	239.92	ACR|3LIT|2VULN|1FLTARM	1FEWX|24LHND|3FLTARM|5RCR|68aLIT|79VULN
134	11116 35221	   	239.82	ACR|3LIT|2VULN|1FLTARM	14FEWX|2DUST|3FLTARM|5RCR|68aLIT|79VULN
135	11146 35221	   	239.82	ACR|3LIT|2VULN|1FLTARM	1FEWX|2DUST|3FLTARM|4DMSP|5RCR|68aLIT|79VULN
136	32146 36221	   	239.82	ACR|3LIT|2VULN|1FLTARM|1DUR	1DUR|2LHND|3FLTARM|4DMSP|5RCR|68aLIT|79VULN
137	32166 36221	   	239.82	ACR|3LIT|2VULN|1FLTARM|1DUR	1DUR|24LHND|3FLTARM|5RCR|68aLIT|79VULN
138	11156 35221	   	239.72	ACR|3LIT|2VULN|1FLTARM	1FEWX|24DUST|3FLTARM|5RCR|68aLIT|79VULN
139	31146 36221	   	239.72	ACR|3LIT|2VULN|1FLTARM|1DUR	1DUR|2DUST|3FLTARM|4DMSP|5RCR|68aLIT|79VULN
140	31156 36221	   	239.62	ACR|3LIT|2VULN|1FLTARM|1DUR	1DUR|24DUST|3FLTARM|5RCR|68aLIT|79VULN
141	23634 32123	   	239.59	DCR|2LIT|2VULN|1DMG|1ASPD	1LHND|2ASPD|3BEXP|4DMG|58VULN|69LIT|7RPLT|aRCR
142	23634 33433	   	239.59	DCR|2LIT|2VULN|1DMG|1ASPD	1LHND|2ASPD|3BEXP|4DMG|57VULN|69LIT|8FEWX|aRCR
143	62332 22243	   	239.59	DCR|2LIT|2VULN|1DMG|1ASPD	1BEXP|2LHND|36LIT|48VULN|5DMG|7FEWX|9ASPD|aRCR
144	62341 22243	   	239.59	DCR|2LIT|2VULN|1DMG|1ASPD	1BEXP|2LHND|36LIT|4DMG|58VULN|7FEWX|9ASPD|aRCR
145	11341 24243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD	1FEWX|2DUST|36LIT|4DMG|58VULN|7LHND|9ASPD|aRCR
146	11341 26243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD	1FEWX|2DUST|36LIT|4DMG|58VULN|7BEXP|9ASPD|aRCR
147	12332 21243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1FEWX|2LHND|36LIT|48VULN|5DMG|7DUR|9ASPD|aRCR
148	12341 21243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1FEWX|2LHND|36LIT|4DMG|58VULN|7DUR|9ASPD|aRCR
149	12345 21243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1FEWX|2LHND|35LIT|4DMG|68VULN|7DUR|9ASPD|aRCR
150	16241 21143	   	239.49	DCR|2LIT|2VULN|1DMG|2DUR|1ASPD	1FEWX|26LIT|37DUR|4DMG|56VULN|6BPWR|8LWND|9ASPD|aRCR
151	21341 22243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD	1LHND|2DUST|36LIT|4DMG|58VULN|7FEWX|9ASPD|aRCR
152	21345 22243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD	1LHND|2DUST|35LIT|4DMG|68VULN|7FEWX|9ASPD|aRCR
153	36141 21143	   	239.49	DCR|2LIT|2VULN|1DMG|2DUR|1ASPD	17DUR|26LIT|3FEWX|4DMG|56VULN|6BPWR|8LWND|9ASPD|aRCR
154	42431 22243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD	1DUST|2DMG|36LIT|4LWND|58VULN|7FEWX|9ASPD|aRCR
155	42431 23243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD	1DUST|2DMG|36LIT|4LWND|58VULN|7LHND|9ASPD|aRCR
156	61341 22243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD	1BEXP|2DUST|36LIT|4DMG|58VULN|7FEWX|9ASPD|aRCR
157	61341 23243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD	1BEXP|2DUST|36LIT|4DMG|58VULN|7LHND|9ASPD|aRCR
158	62332 21243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1BEXP|2LHND|36LIT|48VULN|5DMG|7DUR|9ASPD|aRCR
159	62341 21243	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1BEXP|2LHND|36LIT|4DMG|58VULN|7DUR|9ASPD|aRCR
160	32115 64131	   	239.45	DCR|1LIT|1FLTARM|1MLV|1VULN|1ASPD|1DUR	1DUR|27LHND|3FLTARM|4FEWX|5LIT|6RCR|8MLV|9VULN|aASPD
161	32115 65131	   	239.45	DCR|1LIT|1FLTARM|1MLV|1VULN|1ASPD|1DUR	1DUR|2LHND|3FLTARM|4FEWX|5LIT|6RCR|7RCVC|8MLV|9VULN|aASPD
