0	Index      	 *	Score 	Summary	Detail	
1	42438 13137	 * 	313.13	DCR|2MLV|3VULN|1LIT|2CDMG|1NUKE	18CDMG|2MBVNT|38MLV|4RCVC|568VULN|7RCR|8BPWR|9LIT|aNUKE
16	35253 13622	   	293.51	DCR|2LIT|3VULN|1MLV|2ASPD	18ASPD|2TLV|3RMIN|458VULN|6RCR|78LIT|8BPWR|9MLV|aDUR
17	32623 52241	   	292.02	DCR|2MLV|3VULN|1LIT|1CDMG|1ASPD	1ASPD|2ZMB|35aVULN|46MLV|7CDMG|8LIT|9RCR
18	52523 13124	   	290.50	DCR|4VULN|1LIT|1MLV|1DMG	1258VULN|3DUST|4MLV|6RCR|7LIT|9ZMB|aDMG
19	64623 11223	   	289.70	DCR|4VULN|1LIT|1MLV|2ASPD	1RMIN|27ASPD|358aVULN|4MLV|6RCR|9LIT
20	26232 11222	   	289.37	DCR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1BELT|2FLTARM|37VULN|46LIT|5MLV|8ASPD|9LWND|aRCR
21	26232 11242	   	289.37	DCR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1BELT|2FLTARM|37VULN|46LIT|5MLV|8ASPD|9FEWX|aRCR
22	26232 11252	   	289.37	DCR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1BELT|2FLTARM|37VULN|46LIT|5MLV|8ASPD|9LHND|aRCR
23	53334 85413	   	288.57	DCR|3VULN|1LIT|2DMG|1MLV|2ZMB|1SELL	17aVULN|2LIT|3MBVNT|4SELL|57ZMB|67DMG|7BPWR|8RCR|9MLV
24	34324 22121	   	288.26	DCR|2LIT|2VULN|1MLV|2ASPD|1CDMG	13ASPD|2CDMG|4aVULN|59LIT|6MLV|7ZMB|8RCR
25	53341 12674	 * 	288.03	DCR|3LIT|4VULN|1DMG	1467VULN|29aLIT|3MBVNT|5DMG|8RCR
26	53341 42644	   	288.03	DCR|3LIT|4VULN|1DMG	1479VULN|26aLIT|3MBVNT|5DMG|8RCR
27	53361 12644	   	288.03	DCR|3LIT|4VULN|1DMG	1679VULN|24aLIT|3MBVNT|5DMG|8RCR
28	53341 12673	   	287.63	DCR|5VULN|2LIT|1DMG	1467aVULN|29LIT|3MBVNT|5DMG|8RCR
29	53341 42643	   	287.63	DCR|5VULN|2LIT|1DMG	1479aVULN|26LIT|3MBVNT|5DMG|8RCR
30	53361 12643	   	287.63	DCR|5VULN|2LIT|1DMG	1679aVULN|24LIT|3MBVNT|5DMG|8RCR
31	34324 22151	   	287.52	DCR|3VULN|1LIT|1MLV|2ASPD|1CDMG	13ASPD|2CDMG|49aVULN|5LIT|6MLV|7ZMB|8RCR
32	52523 13123	   	287.33	DCR|5VULN|1LIT|1MLV	1258aVULN|3DUST|4MLV|6RCR|7LIT|9ZMB
33	55523 13123	   	287.33	DCR|5VULN|1LIT|1MLV	1258aVULN|2BPWR|3DUST|4MLV|6RCR|7LIT|9ZMB
34	52523 13362	   	287.27	DCR|2LIT|3VULN|1MLV|1DMG	125VULN|3DUST|4MLV|6RCR|79LIT|8LHND|aDMG
35	26232 24132	 * 	287.06	DCR|2LIT|1FLTARM|2DMG|1VULN|1MLV	1BELT|2FLTARM|3VULN|49LIT|5MLV|6DUST|78DMG|aRCR
36	52116 31242	 * 	286.73	DCR|2LIT|4VULN|2DMG	1258VULN|3BELT|48DMG|6MBVNT|78LIT|8BPWR|9RCR|aDMSP
37	52116 31243	   	286.73	DCR|2LIT|4VULN|2DMG	1258VULN|3BELT|48DMG|6MBVNT|78LIT|8BPWR|9RCR|aLWND
38	52116 31244	   	286.73	DCR|2LIT|4VULN|2DMG	1258VULN|3BELT|48DMG|6MBVNT|78LIT|8BPWR|9RCR|aCGEN
39	52116 31245	   	286.73	DCR|2LIT|4VULN|2DMG	1258VULN|3BELT|48DMG|6MBVNT|78LIT|8BPWR|9RCR|aFEWX
40	52116 31247	   	286.73	DCR|2LIT|4VULN|2DMG	1258VULN|3BELT|48DMG|6MBVNT|78LIT|8BPWR|9RCR|aRPLT
41	55116 31242	   	286.73	DCR|2LIT|4VULN|2DMG	1258VULN|28BPWR|3BELT|48DMG|6MBVNT|78LIT|9RCR|aDMSP
42	55116 31243	   	286.73	DCR|2LIT|4VULN|2DMG	1258VULN|28BPWR|3BELT|48DMG|6MBVNT|78LIT|9RCR|aLWND
43	55116 31244	   	286.73	DCR|2LIT|4VULN|2DMG	1258VULN|28BPWR|3BELT|48DMG|6MBVNT|78LIT|9RCR|aCGEN
44	52116 31241	   	286.63	DCR|2LIT|4VULN|2DMG	1258VULN|3BELT|48DMG|6MBVNT|78LIT|8BPWR|9RCR|aDUST
45	55116 31241	   	286.63	DCR|2LIT|4VULN|2DMG	1258VULN|28BPWR|3BELT|48DMG|6MBVNT|78LIT|9RCR|aDUST
46	53361 41115	 * 	286.46	DCR|3LIT|3VULN|2DMG	19aVULN|246LIT|3MBVNT|59DMG|79BASARM|8RCR|9BPWR
47	52523 13161	   	286.37	DCR|2LIT|4VULN|1MLV	1258VULN|3DUST|4MLV|6RCR|79LIT|aTLV
48	52523 13433	   	286.37	DCR|2LIT|4VULN|1MLV	125aVULN|3DUST|4MLV|6RCR|79LIT|8TLV
49	52522 13163	   	286.37	DCR|2LIT|4VULN|1MLV	128aVULN|3DUST|4MLV|5RCVC|6RCR|79LIT
50	52523 13162	   	286.27	DCR|2LIT|4VULN|1MLV	1258VULN|3DUST|4MLV|6RCR|79LIT|aERES
51	52323 16223	   	285.73	DCR|2MLV|3VULN|1LIT|1DMG	125VULN|3FEWX|4aMLV|6RCR|7DMG|8TLV|9LIT
52	52323 16531	   	285.73	DCR|2MLV|3VULN|1LIT|1DMG	125VULN|3FEWX|4aMLV|6RCR|7DMG|8RPLT|9LIT
53	55323 16223	   	285.73	DCR|2MLV|3VULN|1LIT|1DMG	125VULN|2BPWR|3FEWX|4aMLV|6RCR|7DMG|8TLV|9LIT
54	56123 16223	   	285.73	DCR|2MLV|3VULN|1LIT|1DMG	135VULN|2FEWX|4aMLV|6RCR|7DMG|8TLV|9LIT
55	52614 32223	   	285.72	DCR|4VULN|1LIT|2DMG|2CDMG	1279VULN|36DMG|47CGEN|57CDMG|7BPWR|8RCR|aLIT
56	52632 62223	   	285.72	DCR|4VULN|1LIT|2DMG|2CDMG	1279VULN|34DMG|57CGEN|67CDMG|7BPWR|8RCR|aLIT
57	53343 47325	 * 	284.73	DCR|2LIT|4VULN|1FLTARM	1468VULN|29LIT|3MBVNT|5ERES|7FLTARM|aRCR
58	53341 42681	   	284.39	DCR|2LIT|4VULN|1DMG|1CDMG	147aVULN|26LIT|3MBVNT|5DMG|8RCR|9CDMG
59	32623 61121	   	284.05	DCR|2LIT|3VULN|1MLV|1ASPD|1SELL	1ASPD|2ZMB|35aVULN|4MLV|69LIT|7SELL|8RCR
60	52522 13133	   	283.56	DCR|4VULN|1LIT|1MLV|1DMG	128aVULN|3DUST|4MLV|5RCVC|6RCR|7LIT|9DMG
61	52523 13131	   	283.56	DCR|4VULN|1LIT|1MLV|1DMG	1258VULN|3DUST|4MLV|6RCR|7LIT|9DMG|aFEWX
62	52523 13135	   	283.56	DCR|4VULN|1LIT|1MLV|1DMG	1258VULN|3DUST|4MLV|6RCR|7LIT|9DMG|aCGEN
63	52523 13136	   	283.56	DCR|4VULN|1LIT|1MLV|1DMG	1258VULN|3DUST|4MLV|6RCR|7LIT|9DMG|aRPLT
64	52523 13142	   	283.56	DCR|4VULN|1LIT|1MLV|1DMG	1258VULN|3DUST|4MLV|6RCR|7LIT|9LWND|aDMG
65	55522 13133	   	283.56	DCR|4VULN|1LIT|1MLV|1DMG	128aVULN|2BPWR|3DUST|4MLV|5RCVC|6RCR|7LIT|9DMG
66	55523 13131	   	283.56	DCR|4VULN|1LIT|1MLV|1DMG	1258VULN|2BPWR|3DUST|4MLV|6RCR|7LIT|9DMG|aFEWX
67	52631 36313	   	283.52	DCR|3VULN|1LIT|2DMG|1MLV	126VULN|34DMG|5ZMB|7MLV|8BASHEA|9RCR|aLIT
68	52523 13114	   	283.46	DCR|4VULN|1LIT|1MLV|1DMG	1258VULN|3DUST|4MLV|6RCR|7LIT|9NUKE|aDMG
69	52523 13132	   	283.46	DCR|4VULN|1LIT|1MLV|1DMG	1258VULN|3DUST|4MLV|6RCR|7LIT|9DMG|aDUR
70	52523 13152	   	283.46	DCR|4VULN|1LIT|1MLV|1DMG	1258VULN|3DUST|4MLV|6RCR|7LIT|9LEGI|aDMG
71	55523 13132	   	283.46	DCR|4VULN|1LIT|1MLV|1DMG	1258VULN|2BPWR|3DUST|4MLV|6RCR|7LIT|9DMG|aDUR
72	42435 42244	   	283.39	DCR|2LIT|2VULN|1MLV|1DMG|2CDMG	1aCDMG|2MBVNT|3MLV|4RCVC|5aLIT|6DMG|7RCR|8ERES|9aVULN|aBPWR
