0	Index      	 *	Score 	Summary	Detail	
1	61115 32533	 * 	286.21	DCR|2LIT|3VULN|1MLV|2ASPD	19ERES|269VULN|37ASPD|4MLV|5RPLT|89LIT|9BPWR|aRCR
28	23113 22114	   	264.26	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6LIT|7LHND|9RCR|aCDMG
29	23113 46113	   	264.26	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6FEWX|7LIT|9RCR|aCDMG
30	23113 25114	   	264.16	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6LIT|7LEGI|9RCR|aCDMG
31	23113 26114	   	264.16	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6LIT|7DUST|9RCR|aCDMG
32	23523 26253	   	262.77	DCR|2LIT|2VULN|2DMG|1CDMG	1LWND|2aDMG|3CDMG|4GSSTOX|5aVULN|6TLV|7RCR|8RPLT|9aLIT|aBPWR
33	23633 26253	   	262.67	DCR|2LIT|2VULN|2DMG|1CDMG	1LWND|2aDMG|3CANTOX|4CDMG|5aVULN|6TLV|7RCR|8RPLT|9aLIT|aBPWR
34	32412 22433	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1BEXP|2AART|3DMG|4MLV|59aVULN|6ERES|7RCR|8LIT
35	44312 22433	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1AART|2DMG|3FEWX|4MLV|59aVULN|6ERES|7RCR|8LIT
36	23563 21124	 * 	262.52	DCR|1LIT|2VULN|1MLV|1DMG|2CDMG	19LWND|2DMG|39CDMG|4BEXP|5MLV|6RCR|79VULN|8RMIN|9BPWR|aLIT
37	44212 22433	   	262.50	DCR|3VULN|1LIT|1MLV|1DMG	1AART|2DMG|3LEGI|4MLV|59aVULN|6ERES|7RCR|8LIT
38	46132 23422	 * 	261.66	ACR|3VULN|1LIT|1MLV|1DMG|1NUKE|1DUR	1AART|2RCR|3DUR|4MLV|568VULN|7DMG|9LIT|aNUKE
39	23563 21232	 * 	260.38	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG	1LWND|29DMG|3CDMG|4BEXP|59MLV|6RCR|7VULN|89FEWX|9BPWR|aLIT
40	61311 61215	 * 	259.95	DCR|3MLV|1LIT|2VULN|1DMG	1ERES|25VULN|346MLV|7LIT|8DMG|9RCR|aZMB
41	61313 53215	   	259.95	DCR|3MLV|1LIT|2VULN|1DMG	1ERES|27VULN|346MLV|5LIT|8DMG|9RCR|aZMB
42	23234 56113	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1LWND|2DMG|3DUR|48VULN|5MLV|6TLV|7aLIT|9RCR
43	23235 35113	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1LWND|2DMG|3DUR|48VULN|5aLIT|6CGEN|7MLV|9RCR
44	23113 52615	   	259.73	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1LWND|2DMG|36ASPD|4MLV|5VULN|7LHND|8aLIT|9RCR
45	23235 65113	   	259.63	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1LWND|2DMG|3DUR|48VULN|5aLIT|6ERES|7MLV|9RCR
46	36213 35116	   	259.63	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1BEXP|2DUR|3aLIT|4DUST|5MLV|68VULN|7DMG|9RCR
47	32415 13422	   	258.27	DCR|2MLV|1LIT|2VULN|1DMG|1ASPD	1aBEXP|2AART|3DMG|4aMLV|5LIT|6BELT|7ASPD|8aVULN|9RCR|aBPWR
48	32412 22463	   	258.04	DCR|1LIT|2VULN|2DMG|1MLV	1BEXP|2AART|39DMG|4MLV|5aVULN|6ERES|7RCR|8LIT
49	61352 25331	   	257.98	DCR|3VULN|1LIT|1MLV|1ASPD	1ERES|257VULN|3MLV|4AART|6RCR|8LIT|9RPLT|aASPD
50	61352 25231	   	257.88	DCR|3VULN|1LIT|1MLV|1ASPD	1ERES|257VULN|3MLV|4AART|6RCR|8ASPD|9LEGI|aLIT
51	46232 22231	 * 	256.91	ACR|3LIT|3VULN|1DMG	1AART|2RCR|37CGEN|457VULN|678LIT|7BPWR|9ZMB|aDMG
52	23313 22261	   	256.54	DCR|1LIT|2VULN|2DMG|1MLV	1LWND|2aDMG|3TLV|4MLV|5aVULN|6LIT|7aLHND|8RCR|9RMIN|aBPWR
53	61352 21333	 * 	256.54	DCR|2LIT|2MLV|2VULN	1ERES|25VULN|37MLV|4AART|6RCR|8aLIT|9RPLT
54	23413 22261	   	256.44	DCR|1LIT|2VULN|2DMG|1MLV	1LWND|2aDMG|3ERES|4MLV|5aVULN|6LIT|7aLHND|8RCR|9RMIN|aBPWR
55	61352 21226	   	256.30	DCR|2MLV|1LIT|2VULN|1ASPD|1CDMG	1ERES|25VULN|37MLV|4AART|6RCR|8ASPD|9CDMG|aLIT
