0	Index      	 *	Score 	Summary	Detail	
1	61374 38414	 * 	301.64	ACR|DCR|1TLV|1VULN|2DMG|2DUR	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|67DMG|8aDUR
21	12462 33511	   	285.42	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1NUKE|2VULN|3AAC|4TLV|5BEXP|6AEPOI|79RCR|8DMG|aDUST
22	12462 33512	   	285.42	DCR|DCR|1TLV|1VULN|1AEPOI|1DMG	1NUKE|2VULN|3AAC|4TLV|5BEXP|6AEPOI|79RCR|8DMG|aERES
23	61372 33611	   	285.32	DCR|DCR|1TLV|1VULN|1AEPOI|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|5BEXP|6AEPOI|79RCR|8DMG|aDUST
24	61372 33612	   	285.32	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1AEFRZ|2VULN|3MBVNT|4TLV|5BEXP|6AEPOI|79RCR|8DMG|aERES
25	61374 12611	   	285.32	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6FEWX|7AEFBLL|8DMG|aDUST
26	61374 12612	   	285.32	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6FEWX|7AEFBLL|8DMG|aERES
27	14621 24122	 * 	284.72	ACR|2TLV|1VULN|2DMG|1AEFBLL|1ASPD|1CDMG	1NUKE|2MDPS|36TLV|46DMG|5RCR|6BPWR|7ASPD|8CDMG|9AEFBLL|aVULN
28	61374 34414	   	284.06	ACR|DCR|1TLV|1VULN|1DMG|2DUR	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6DMG|7DMSP|8aDUR
29	14621 23261	 * 	282.87	ACR|2TLV|2VULN|3DMG	1NUKE|2MDPS|36TLV|468DMG|5RCR|6BPWR|7aVULN|9RPLT
30	31151 23416	   	282.77	DCR|2TLV|2VULN|2ASPD|2AEFBLL	18ASPD|2LWND|38VULN|4ERES|5ZMB|68AEFBLL|7RCR|8BPWR|9aTLV
31	14621 23225	   	282.77	ACR|2TLV|2VULN|3DMG	1NUKE|2MDPS|36TLV|468DMG|5RCR|6BPWR|7aVULN|9DUST
32	14631 23223	 * 	282.67	ACR|2TLV|2VULN|2ASPD|1DMG	1NUKE|2MDPS|36TLV|46ASPD|5RCR|6BPWR|7aVULN|8DMG|9RAT
33	31223 13412	   	279.28	DCR|2TLV|2VULN|2ASPD|1CDMG	18ASPD|2LWND|3RCVC|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DUR|aCDMG
34	31623 13412	   	279.28	DCR|2TLV|2VULN|2ASPD|1CDMG	18ASPD|2LWND|3DMSP|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DUR|aCDMG
35	12563 13513	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1NUKE|2VULN|3ERES|4TLV|5RMIN|6ASPD|79RCR|8DMG|aLWND
36	12563 13511	   	278.90	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1NUKE|2VULN|3ERES|4TLV|5RMIN|6ASPD|79RCR|8DMG|aDUST
37	12563 13512	   	278.90	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1NUKE|2VULN|3aERES|4TLV|5RMIN|6ASPD|79RCR|8DMG
38	14621 22122	   	278.01	ACR|2TLV|1VULN|2DMG|1AEFBLL|1CDMG	1NUKE|2MDPS|36TLV|46DMG|5RCR|6BPWR|7ZMB|8CDMG|9AEFBLL|aVULN
39	31223 13414	 * 	277.07	DCR|2TLV|2VULN|3ASPD	18aASPD|2LWND|3RCVC|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DUR
40	31623 13414	   	277.07	DCR|2TLV|2VULN|3ASPD	18aASPD|2LWND|3DMSP|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DUR
41	33326 13413	 * 	277.02	DCR|2VULN|1TLV|3DUR|2ASPD|1AEPOI	18ASPD|289DUR|3AAC|4MLV|5AEPOI|68VULN|7RCR|8BPWR|aTLV
42	33152 13222	   	276.77	DCR|2TLV|2VULN|3ASPD	16aASPD|2DUR|3aVULN|459ERES|7RCR|8aTLV|aBPWR
43	33512 13222	   	276.77	DCR|2TLV|2VULN|3ASPD	16aASPD|2DUR|359ERES|4aVULN|7RCR|8aTLV|aBPWR
44	14621 23235	   	276.32	ACR|2TLV|3DMG|1VULN|1ASPD	1NUKE|2MDPS|36TLV|468DMG|5RCR|6BPWR|7VULN|9ASPD|aDUR
45	31223 13432	   	276.03	DCR|2TLV|2VULN|2ASPD|1DMG	18ASPD|2LWND|3aRCVC|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG
46	31223 13436	   	276.03	DCR|2TLV|2VULN|2ASPD|1DMG	18ASPD|2LWND|3RCVC|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG|aLHND
47	31623 13432	   	276.03	DCR|2TLV|2VULN|2ASPD|1DMG	18ASPD|2LWND|3DMSP|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG|aRCVC
48	31623 13436	   	276.03	DCR|2TLV|2VULN|2ASPD|1DMG	18ASPD|2LWND|3DMSP|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG|aLHND
49	12132 11463	 * 	276.00	DCR|4VULN|1TLV|2AEFBLL	1NUKE|257aVULN|35AEFBLL|4MDPS|5BPWR|6RCR|8RAT|9TLV
50	12132 16463	   	276.00	DCR|4VULN|1TLV|2AEFBLL	1NUKE|258aVULN|35AEFBLL|4MDPS|5BPWR|6RCR|7RAT|9TLV
51	31223 13431	   	275.93	DCR|2TLV|2VULN|2ASPD|1DMG	18ASPD|2LWND|3RCVC|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG|aAEFRZ
52	31223 13433	   	275.93	DCR|2TLV|2VULN|2ASPD|1DMG|1MSE	18ASPD|2LWND|3RCVC|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG|aMSE
53	31223 13434	   	275.93	DCR|2TLV|2VULN|2ASPD|1DMG	18ASPD|2LWND|3RCVC|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG|aAETHUN
54	31623 13431	   	275.93	DCR|2TLV|2VULN|2ASPD|1DMG	18ASPD|2LWND|3DMSP|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG|aAEFRZ
55	31623 13433	   	275.93	DCR|2TLV|2VULN|2ASPD|1DMG|1MSE	18ASPD|2LWND|3DMSP|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG|aMSE
56	31623 13434	   	275.93	DCR|2TLV|2VULN|2ASPD|1DMG	18ASPD|2LWND|3DMSP|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG|aAETHUN
57	32413 33631	   	275.93	DCR|2TLV|2VULN|2ASPD|1AEPOI	1aASPD|2DUST|3AAC|4aVULN|5CGEN|6AEPOI|7RCR|8aTLV|9BELT|aBPWR
58	12122 13416	   	275.83	DCR|2TLV|2VULN|2ASPD|2AEFBLL	1NUKE|28VULN|38AEFBLL|4AME|5LHND|68ASPD|7RCR|8BPWR|9aTLV
59	12563 13433	   	275.83	DCR|2TLV|2VULN|2ASPD|1DMG	1NUKE|28VULN|3ERES|48TLV|5RMIN|68ASPD|7RCR|8BPWR|9DMG|aRPLT
60	32412 33631	   	275.83	DCR|2TLV|2VULN|2ASPD|1AEPOI	1aASPD|2DUST|3AAC|4aVULN|5ERES|6AEPOI|7RCR|8aTLV|9BELT|aBPWR
61	12121 13416	   	275.73	DCR|2TLV|2VULN|2ASPD|2AEFBLL	1NUKE|28VULN|38AEFBLL|4AME|5DUST|68ASPD|7RCR|8BPWR|9aTLV
62	12563 13431	   	275.73	DCR|2TLV|2VULN|2ASPD|1DMG	1NUKE|28VULN|3ERES|48TLV|5RMIN|68ASPD|7RCR|8BPWR|9DMG|aAEFRZ
63	15233 25343	 * 	275.62	DCR|3TLV|2VULN|2DUR|1CDMG|1SELL	1NUKE|2SELL|3aLIT|46aTLV|56DUR|6aBPWR|7RCR|8CDMG|9aVULN
64	61374 11614	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|67FEWX|8DMG|aDUR
65	61374 33414	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6DMG|78LHND|aDUR
66	61374 34413	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6DMG|7DMSP|8DUR|aRPLT
67	61374 34415	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6DMG|7DMSP|8DUR|aCGEN
68	61374 34416	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6DMG|7DMSP|8DUR|aLHND
69	61374 34417	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6DMG|7DMSP|8DUR|aMLV
70	61374 34418	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6DMG|7DMSP|8DUR|aRMIN
71	61374 34714	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6DMG|7DMSP|8FEWX|aDUR
72	61374 34411	   	274.91	ACR|DCR|1TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6DMG|7DMSP|8DUR|aDUST
73	61374 34412	   	274.91	ACR|DCR|1TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6DMG|7DMSP|8DUR|aERES
74	43433 26312	   	274.87	DCR|DCR|1TLV|1VULN|1AEPOI|1SELL	1DMSP|2DUST|3RPLT|4TLV|5AEPOI|69RCR|7VULN|8SELL|aDUR
75	61374 37312	   	274.81	ACR|DCR|1TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6DMG|78DUST|aDUR
76	62433 26312	   	274.77	DCR|DCR|1TLV|1VULN|1AEPOI|1SELL	1AEFRZ|2DUST|3RPLT|4TLV|5AEPOI|69RCR|7VULN|8SELL|aDUR
77	65133 26311	   	274.77	DCR|DCR|1TLV|1VULN|1AEPOI|1SELL	1AEFRZ|2RPLT|3DUR|4TLV|5AEPOI|69RCR|7VULN|8SELL|aDUST
78	65133 26312	   	274.77	DCR|DCR|1TLV|1VULN|1AEPOI|1SELL	1AEFRZ|2RPLT|3DUR|4TLV|5AEPOI|69RCR|7VULN|8SELL|aERES
79	65133 26313	   	274.77	DCR|DCR|1TLV|1VULN|1AEPOI|1SELL	1AEFRZ|2RPLT|3DUR|4TLV|5AEPOI|69RCR|7VULN|8SELL|aMBVNT
80	61334 58344	 * 	274.46	ACR|DCR|2VULN|2DMG|1AEPOI	1AEFRZ|28VULN|3MBVNT|4CGEN|5aRCR|67DMG|9AEPOI
81	33152 43222	   	274.37	DCR|2TLV|2VULN|2ASPD|2DUR	1aASPD|26DUR|3aVULN|459ERES|7RCR|8aTLV|aBPWR
82	33512 43222	   	274.37	DCR|2TLV|2VULN|2ASPD|2DUR	1aASPD|26DUR|359ERES|4aVULN|7RCR|8aTLV|aBPWR
83	12122 13413	 * 	274.32	DCR|3VULN|1TLV|2ASPD|2AEFBLL	1NUKE|28aVULN|38AEFBLL|4AME|5LHND|68ASPD|7RCR|8BPWR|9TLV
84	14621 23623	   	274.15	ACR|2TLV|2VULN|2DMG	1NUKE|2MDPS|36TLV|46DMG|5RCR|6BPWR|7aVULN|8AAC|9RAT
85	14621 23214	   	273.60	ACR|2TLV|3DMG|1VULN|1CDMG	1NUKE|2MDPS|36TLV|468DMG|5RCR|6BPWR|7VULN|9RAT|aCDMG
86	33233 26252	   	273.04	DCR|2TLV|2VULN|1AEPOI|1ASPD	1ASPD|2DUR|3RCVC|4RPLT|5AEPOI|6RCR|7aVULN|89TLV
87	12562 33323	   	272.84	DCR|2TLV|2VULN|1AEPOI|1ASPD	1NUKE|29VULN|3ERES|49TLV|5DUR|6AEPOI|7RCR|89AIRHEL|9BPWR|aASPD
88	61373 11744	 * 	272.54	DCR|3VULN|1TLV|2DMG	1aAEFRZ|26aVULN|3MBVNT|4TLV|5RAT|7NUKE|8RCR|9aDMG|aBPWR
89	61374 38321	 * 	272.54	ACR|3VULN|1TLV|2DMG	1AEFRZ|28aVULN|3MBVNT|4TLV|5RCR|67DMG|9RAT
