0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33335 11135	9	 * 	307.89	橙5易伤3伤害1等级2雷电	1加一29雷电369伤害45679易伤69序列升级8核a等级
58	33335 61131	9	   	281.59	橙5易伤3伤害2雷电	1加一29雷电369伤害4579a易伤8核9序列升级
59	33335 61136	10	   	281.59	橙5易伤3伤害2雷电	1加一29雷电369伤害4579a易伤8核9序列升级
60	64335 11133	9	   	281.59	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a赏金邻近
61	33335 11137	10	   	281.45	橙5易伤3伤害2雷电1卖塔	1加一29雷电369伤害45679易伤69序列升级8核a卖塔
62	33335 11231	6	   	281.31	橙4易伤3伤害2雷电	1加一27雷电367伤害4567易伤67序列升级8全技能9核a攻速
63	33335 17231	7	   	281.31	橙4易伤3伤害2雷电	1加一27雷电367伤害4567易伤67序列升级8全技能9核a攻速
64	64335 11231	6	   	281.31	橙4易伤3伤害2雷电	17雷电2567易伤367伤害4加一67序列升级8全技能9核a攻速
65	33337 11426	10	   	280.86	橙3易伤3伤害2等级	1加一2雷电356伤害456易伤56序列升级7敌人爆炸89等级a核
66	33337 12142	9	   	280.76	橙3易伤3伤害2等级	1加一2雷电356伤害456易伤56序列升级7挖尘8核9a等级
67	33337 12426	10	   	280.76	橙3易伤3伤害2等级	1加一2雷电356伤害456易伤56序列升级7挖尘89等级a核
68	64337 12142	9	   	280.76	橙3易伤3伤害2等级	1雷电256易伤356伤害4加一56序列升级7挖尘8核9a等级
69	33337 32261	6	   	280.36	橙3易伤3时间2伤害2雷电	1加一29雷电35伤害459易伤59序列升级69a时间7核8全技能
70	15326 13333	10	   	280.02	橙2易伤3伤害1等级2暴击1时间2雷电	1a暴击28雷电34a伤害5时间6等级7a易伤9核a序列升级
71	15326 13133	10	 * 	279.51	橙2易伤3伤害1等级3暴击1时间	18a暴击2雷电34a伤害5时间6等级7a易伤9核a序列升级
72	33335 61133	10	   	279.50	橙4易伤3伤害1时间2雷电	1加一29雷电369伤害4579易伤8核9序列升级a时间
73	64326 13323	7	   	279.17	橙4易伤3时间3雷电1伤害	156雷电278a易伤3伤害456时间56序列升级9核
74	33235 11135	9	 * 	278.17	橙5易伤1等级3攻速2雷电	1加一29雷电369攻速45679易伤69序列升级8核a等级
75	33337 13156	10	   	278.10	橙3易伤3伤害1等级1时间	1加一2雷电356伤害456易伤56序列升级7等级8时间9立即金币a核
76	33337 12142	10	   	278.00	橙3易伤3伤害1等级1时间	1加一2雷电356伤害456易伤56序列升级7挖尘8核9等级a时间
77	33337 13152	8	   	278.00	橙3易伤3伤害1等级1时间	1加一2雷电356伤害456易伤56序列升级7等级8时间9赏金塔a核
78	33337 13852	7	   	278.00	橙3易伤3伤害1等级1时间	1加一2雷电356伤害456易伤56序列升级7等级8时间9赏金塔a核
79	64337 12142	10	   	278.00	橙3易伤3伤害1等级1时间	1雷电256易伤356伤害4加一56序列升级7挖尘8核9等级a时间
